site,monitor,first_year,ibutton_serial_2022,ibutton_serial_2023,ibutton_serial_2024,ibutton_serial_2026,tms_serial_2023,triangle_point_anti-clockwise,triangle_direction,lat,lon,description,elevation,easting,northing,vegetation height
cat_bield,ibutton,2022,7D6200,7D6200,7F047B,,,1.0,N,54.38109,-3.18483,sheep field cat bield,219.46,323143,499032,0.01
cat_bield,tms4,2023,,,,,95132264.0,1.0,N,54.38109,-3.18483,sheep field cat bield,219.46,323143,499032,0.01
cat_bield,tms4,2023,,,,,95132265.0,2.0,N,54.38103,-3.185,sheep field cat bield,219.46,323143,499032,0.01
cat_bield,tms4,2023,,,,,95132263.0,3.0,N,54.38097,-3.18483,sheep field cat bield,219.46,323143,499032,0.01
great_wood,ibutton,2022,7D6005,7DAB20,7D93F8,7D93F8,,1.0,E,54.38334,-3.18323,great wood mature oak,207.18,323235,499290,13.44
great_wood,tms4,2023,,,,,95132261.0,1.0,E,54.38334,-3.18323,great wood mature oak,207.18,323235,499290,13.44
great_wood,tms4,2023,,,,,95132262.0,2.0,E,54.38335,-3.18344,great wood mature oak,207.18,323235,499290,13.44
great_wood,tms4,2023,,,,,95132255.0,3.0,E,54.3833,-3.18348,great wood mature oak,207.18,323235,499290,13.44
regen3,ibutton,2022,7D93F8,7D93F8,7D6005,7EFFAD,,1.0,N,54.38429,-3.18593,mature birch regen,208.91,323084,499393,0.42
regen3,tms4,2023,,,,,95132254.0,1.0,N,54.38429,-3.18593,mature birch regen,208.91,323084,499393,0.42
regen3,tms4,2023,,,,,95132253.0,2.0,N,54.38423,-3.18598,mature birch regen,208.91,323084,499393,0.42
regen3,tms4,2023,,,,,95132251.0,3.0,N,54.3842,-3.18584,mature birch regen,208.91,323084,499393,0.42
norway,ibutton,2022,7D6221,7D6221,7F0722,,,1.0,N,54.38616,-3.18206,mature norway stand,189.23,323331,499599,15.16
norway,tms4,2023,,,,,95132252.0,1.0,N,54.38616,-3.18206,mature norway stand,189.23,323331,499599,15.16
norway,tms4,2023,,,,,95132276.0,2.0,N,54.38611,-3.18208,mature norway stand,189.23,323331,499599,15.16
norway,tms4,2023,,,,,95132279.0,3.0,N,54.38609,-3.18208,mature norway stand,189.23,323331,499599,15.16
regen1,ibutton,2022,7D6021,7D6021,7D92D2,7F0259,,1.0,N,54.39283,-3.18024,young open regen,221.85,323465,500339,0.03
regen1,tms4,2023,,,,,95132280.0,1.0,N,54.39283,-3.18024,young open regen,221.85,323465,500339,0.03
regen1,tms4,2023,,,,,95132278.0,2.0,N,54.39277,-3.18039,young open regen,221.85,323465,500339,0.03
regen1,tms4,2023,,,,,95132277.0,3.0,N,54.39276,-3.18022,young open regen,221.85,323465,500339,0.03
regen4,ibutton,2023,,7F0722,7EFF74,7D6200,,1.0,N,54.39402,-3.18098,dense mature regen,245.38,323416,500479,0.51
regen4,tms4,2023,,,,,95132270.0,1.0,N,54.39402,-3.18098,dense mature regen,245.38,323416,500479,0.51
regen4,tms4,2023,,,,,95132266.0,2.0,N,54.394,-3.18104,dense mature regen,245.38,323416,500479,0.51
regen4,tms4,2023,,,,,95132268.0,3.0,N,54.39401,-3.181,dense mature regen,245.38,323416,500479,0.51
regen6,ibutton,2023,,7EFF74,7DAB20,7D92D2,,1.0,N,54.39501,-3.17953,very dense tall mixed regen,241.31,323515,500576,1.45
regen6,tms4,2023,,,,,95132269.0,1.0,N,54.39501,-3.17953,very dense tall mixed regen,241.31,323515,500576,1.45
regen6,tms4,2023,,,,,95132267.0,2.0,N,54.39496,-3.1797,very dense tall mixed regen,241.31,323515,500576,1.45
regen6,tms4,2023,,,,,95132260.0,3.0,N,54.3949,-3.17951,very dense tall mixed regen,241.31,323515,500576,1.45
regen5,ibutton,2023,,7F047B,7D6021,7EFF74,,1.0,N,54.39403,-3.17878,dense mature regen some sitkas,221.39,323561,500474,0.14
regen5,tms4,2023,,,,,95132256.0,1.0,N,54.39403,-3.17878,dense mature regen some sitkas,221.39,323561,500474,0.14
regen5,tms4,2023,,,,,95132258.0,2.0,N,54.39402,-3.17893,dense mature regen some sitkas,221.39,323561,500474,0.14
regen5,tms4,2023,,,,,95132257.0,3.0,N,54.39399,-3.17877,dense mature regen some sitkas,221.39,323561,500474,0.14
regen2,ibutton,2022,7D92D2,7D92D2,7F0259,7F047B,,1.0,N,54.39197,-3.18003,medium regen,217.21,323475,500238,0.1
regen2,tms4,2023,,,,,95132259.0,1.0,N,54.39197,-3.18003,medium regen,217.21,323475,500238,0.1
regen2,tms4,2023,,,,,95132275.0,2.0,N,54.39193,-3.18019,medium regen,217.21,323475,500238,0.1
regen2,tms4,2023,,,,,95132274.0,3.0,N,54.39185,-3.18003,medium regen,217.21,323475,500238,0.1
regen7,ibutton,2023,,7F0259,7D6200,7D6021,,,N,54.39146,-3.17912,dense mature regen,211.42,323536,500188,0.13
regen7,tms4,2023,,,,,95132272.0,1.0,N,54.39146,-3.17912,dense mature regen,211.42,323536,500188,0.13
regen7,tms4,2023,,,,,95132273.0,2.0,N,54.39142,-3.17922,dense mature regen,211.42,323536,500188,0.13
regen7,tms4,2023,,,,,95132271.0,3.0,N,54.39141,-3.17908,dense mature regen,211.42,323536,500188,0.13
