1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:52:01 BST 2022
Mission Sample Count:  1207
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:52:01 BST 2022
Total Mission Samples:  1207
Total Device Samples:  9381
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:52:01,C,12.066
19/05/22 09:22:01,C,12.567
19/05/22 09:52:01,C,12.567
19/05/22 10:22:01,C,13.067
19/05/22 10:52:01,C,14.57
19/05/22 11:22:01,C,13.568
19/05/22 11:52:01,C,14.069
19/05/22 12:22:01,C,15.071
19/05/22 12:52:01,C,16.072
19/05/22 13:22:01,C,16.573
19/05/22 13:52:01,C,16.573
19/05/22 14:22:01,C,16.573
19/05/22 14:52:01,C,16.072
19/05/22 15:22:01,C,18.575
19/05/22 15:52:01,C,18.575
19/05/22 16:22:01,C,18.575
19/05/22 16:52:01,C,17.574
19/05/22 17:22:01,C,16.072
19/05/22 17:52:01,C,15.071
19/05/22 18:22:01,C,18.575
19/05/22 18:52:01,C,14.069
19/05/22 19:22:01,C,11.064
19/05/22 19:52:01,C,11.064
19/05/22 20:22:01,C,10.563
19/05/22 20:52:01,C,9.561
19/05/22 21:22:01,C,8.057
19/05/22 21:52:01,C,8.558
19/05/22 22:22:01,C,7.556
19/05/22 22:52:01,C,7.556
19/05/22 23:22:01,C,7.055
19/05/22 23:52:01,C,7.556
20/05/22 00:22:01,C,7.556
20/05/22 00:52:01,C,7.556
20/05/22 01:22:01,C,7.556
20/05/22 01:52:01,C,7.556
20/05/22 02:22:01,C,8.558
20/05/22 02:52:01,C,9.561
20/05/22 03:22:01,C,10.062
20/05/22 03:52:01,C,9.561
20/05/22 04:22:01,C,10.062
20/05/22 04:52:01,C,9.561
20/05/22 05:22:01,C,9.561
20/05/22 05:52:01,C,10.062
20/05/22 06:22:01,C,10.563
20/05/22 06:52:01,C,11.064
20/05/22 07:22:01,C,11.565
20/05/22 07:52:01,C,11.565
20/05/22 08:22:01,C,11.064
20/05/22 08:52:01,C,12.066
20/05/22 09:22:01,C,11.565
20/05/22 09:52:01,C,11.064
20/05/22 10:22:01,C,11.064
20/05/22 10:52:01,C,11.565
20/05/22 11:22:01,C,12.567
20/05/22 11:52:01,C,13.568
20/05/22 12:22:01,C,13.067
20/05/22 12:52:01,C,14.069
20/05/22 13:22:01,C,14.069
20/05/22 13:52:01,C,13.568
20/05/22 14:22:01,C,14.069
20/05/22 14:52:01,C,13.067
20/05/22 15:22:01,C,14.069
20/05/22 15:52:01,C,13.568
20/05/22 16:22:01,C,12.567
20/05/22 16:52:01,C,12.567
20/05/22 17:22:01,C,11.565
20/05/22 17:52:01,C,12.066
20/05/22 18:22:01,C,11.565
20/05/22 18:52:01,C,11.565
20/05/22 19:22:01,C,11.565
