1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:52:01 BST 2022
Mission Sample Count:  2449
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:52:01 BST 2022
Total Mission Samples:  2449
Total Device Samples:  10623
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:52:01,%RH,88.23
19/05/22 09:22:01,%RH,85.625
19/05/22 09:52:01,%RH,81.369
19/05/22 10:22:01,%RH,80.288
19/05/22 10:52:01,%RH,73.094
19/05/22 11:22:01,%RH,75.338
19/05/22 11:52:01,%RH,71.392
19/05/22 12:22:01,%RH,63.843
19/05/22 12:52:01,%RH,58.448
19/05/22 13:22:01,%RH,58.448
19/05/22 13:52:01,%RH,59.054
19/05/22 14:22:01,%RH,56.619
19/05/22 14:52:01,%RH,57.84
19/05/22 15:22:01,%RH,52.915
19/05/22 15:52:01,%RH,50.411
19/05/22 16:22:01,%RH,45.964
19/05/22 16:52:01,%RH,48.515
19/05/22 17:22:01,%RH,49.781
19/05/22 17:52:01,%RH,53.536
19/05/22 18:22:01,%RH,42.085
19/05/22 18:52:01,%RH,57.23
19/05/22 19:22:01,%RH,60.863
19/05/22 19:52:01,%RH,70.822
19/05/22 20:22:01,%RH,77.555
19/05/22 20:52:01,%RH,83.511
19/05/22 21:22:01,%RH,91.3
19/05/22 21:52:01,%RH,90.792
19/05/22 22:22:01,%RH,94.803
19/05/22 22:52:01,%RH,96.767
19/05/22 23:22:01,%RH,97.739
19/05/22 23:52:01,%RH,98.223
20/05/22 00:22:01,%RH,99.184
20/05/22 00:52:01,%RH,99.184
20/05/22 01:22:01,%RH,99.663
20/05/22 01:52:01,%RH,100.139
20/05/22 02:22:01,%RH,98.704
20/05/22 02:52:01,%RH,97.739
20/05/22 03:22:01,%RH,97.739
20/05/22 03:52:01,%RH,97.254
20/05/22 04:22:01,%RH,98.223
20/05/22 04:52:01,%RH,98.704
20/05/22 05:22:01,%RH,99.184
20/05/22 05:52:01,%RH,98.223
20/05/22 06:22:01,%RH,95.297
20/05/22 06:52:01,%RH,93.312
20/05/22 07:22:01,%RH,92.811
20/05/22 07:52:01,%RH,91.3
20/05/22 08:22:01,%RH,93.811
20/05/22 08:52:01,%RH,91.3
20/05/22 09:22:01,%RH,90.792
20/05/22 09:52:01,%RH,94.308
20/05/22 10:22:01,%RH,94.308
20/05/22 10:52:01,%RH,93.811
20/05/22 11:22:01,%RH,93.312
20/05/22 11:52:01,%RH,88.23
20/05/22 12:22:01,%RH,88.746
20/05/22 12:52:01,%RH,85.625
20/05/22 13:22:01,%RH,81.907
20/05/22 13:52:01,%RH,83.511
20/05/22 14:22:01,%RH,84.042
20/05/22 14:52:01,%RH,89.773
20/05/22 15:22:01,%RH,86.672
20/05/22 15:52:01,%RH,86.15
20/05/22 16:22:01,%RH,86.672
20/05/22 16:52:01,%RH,87.193
20/05/22 17:22:01,%RH,94.803
20/05/22 17:52:01,%RH,93.312
20/05/22 18:22:01,%RH,95.789
20/05/22 18:52:01,%RH,95.297
20/05/22 19:22:01,%RH,95.789
20/05/22 19:52:01,%RH,94.308
20/05/22 20:22:01,%RH,96.279
20/05/22 20:52:01,%RH,97.254
