1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  2450
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:53:01 BST 2022
Total Mission Samples:  2450
Total Device Samples:  11504
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:53:01,C,10.566
19/05/22 09:23:01,C,11.067
19/05/22 09:53:01,C,10.566
19/05/22 10:23:01,C,10.566
19/05/22 10:53:01,C,11.569
19/05/22 11:23:01,C,11.067
19/05/22 11:53:01,C,11.569
19/05/22 12:23:01,C,12.57
19/05/22 12:53:01,C,13.572
19/05/22 13:23:01,C,13.071
19/05/22 13:53:01,C,13.071
19/05/22 14:23:01,C,16.076
19/05/22 14:53:01,C,14.574
19/05/22 15:23:01,C,13.572
19/05/22 15:53:01,C,14.073
19/05/22 16:23:01,C,14.073
19/05/22 16:53:01,C,13.071
19/05/22 17:23:01,C,12.57
19/05/22 17:53:01,C,12.57
19/05/22 18:23:01,C,12.069
19/05/22 18:53:01,C,11.569
19/05/22 19:23:01,C,11.067
19/05/22 19:53:01,C,10.566
19/05/22 20:23:01,C,10.566
19/05/22 20:53:01,C,10.566
19/05/22 21:23:01,C,9.564
19/05/22 21:53:01,C,9.063
19/05/22 22:23:01,C,8.562
19/05/22 22:53:01,C,8.061
19/05/22 23:23:01,C,8.061
19/05/22 23:53:01,C,7.559
20/05/22 00:23:01,C,7.559
20/05/22 00:53:01,C,7.559
20/05/22 01:23:01,C,8.061
20/05/22 01:53:01,C,7.559
20/05/22 02:23:01,C,8.562
20/05/22 02:53:01,C,9.063
20/05/22 03:23:01,C,9.564
20/05/22 03:53:01,C,9.564
20/05/22 04:23:01,C,9.564
20/05/22 04:53:01,C,9.564
20/05/22 05:23:01,C,9.564
20/05/22 05:53:01,C,9.564
20/05/22 06:23:01,C,10.065
20/05/22 06:53:01,C,10.566
20/05/22 07:23:01,C,10.566
20/05/22 07:53:01,C,10.566
20/05/22 08:23:01,C,10.566
20/05/22 08:53:01,C,11.067
20/05/22 09:23:01,C,11.067
20/05/22 09:53:01,C,10.566
20/05/22 10:23:01,C,10.566
20/05/22 10:53:01,C,10.566
