1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  2449
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu May 19 08:53:01 BST 2022
Total Mission Samples:  2449
Total Device Samples:  12041
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
19/05/22 08:53:01,C,12.604
19/05/22 09:23:01,C,13.105
19/05/22 09:53:01,C,13.105
19/05/22 10:23:01,C,13.105
19/05/22 10:53:01,C,15.11
19/05/22 11:23:01,C,14.108
19/05/22 11:53:01,C,14.609
19/05/22 12:23:01,C,15.611
19/05/22 12:53:01,C,17.114
19/05/22 13:23:01,C,17.114
19/05/22 13:53:01,C,18.616
19/05/22 14:23:01,C,18.616
19/05/22 14:53:01,C,18.616
19/05/22 15:23:01,C,21.119
19/05/22 15:53:01,C,20.118
19/05/22 16:23:01,C,21.619
19/05/22 16:53:01,C,21.119
19/05/22 17:23:01,C,19.117
19/05/22 17:53:01,C,18.616
19/05/22 18:23:01,C,12.103
19/05/22 18:53:01,C,11.1
19/05/22 19:23:01,C,10.599
19/05/22 19:53:01,C,10.599
19/05/22 20:23:01,C,10.599
19/05/22 20:53:01,C,9.595
19/05/22 21:23:01,C,8.09
19/05/22 21:53:01,C,8.592
19/05/22 22:23:01,C,7.087
19/05/22 22:53:01,C,7.087
19/05/22 23:23:01,C,6.585
19/05/22 23:53:01,C,7.087
20/05/22 00:23:01,C,7.087
20/05/22 00:53:01,C,7.087
20/05/22 01:23:01,C,7.589
20/05/22 01:53:01,C,7.087
20/05/22 02:23:01,C,8.592
20/05/22 02:53:01,C,9.094
20/05/22 03:23:01,C,9.595
20/05/22 03:53:01,C,9.094
20/05/22 04:23:01,C,9.595
20/05/22 04:53:01,C,9.094
20/05/22 05:23:01,C,9.094
20/05/22 05:53:01,C,9.595
20/05/22 06:23:01,C,10.097
20/05/22 06:53:01,C,11.1
20/05/22 07:23:01,C,11.1
20/05/22 07:53:01,C,11.1
20/05/22 08:23:01,C,10.599
20/05/22 08:53:01,C,11.601
20/05/22 09:23:01,C,11.1
20/05/22 09:53:01,C,10.599
20/05/22 10:23:01,C,10.599
20/05/22 10:53:01,C,11.601
20/05/22 11:23:01,C,12.103
20/05/22 11:53:01,C,13.105
20/05/22 12:23:01,C,12.604
20/05/22 12:53:01,C,14.108
20/05/22 13:23:01,C,13.607
20/05/22 13:53:01,C,13.105
20/05/22 14:23:01,C,13.607
20/05/22 14:53:01,C,12.103
20/05/22 15:23:01,C,13.607
20/05/22 15:53:01,C,13.105
20/05/22 16:23:01,C,12.103
20/05/22 16:53:01,C,12.103
20/05/22 17:23:01,C,11.1
20/05/22 17:53:01,C,11.1
20/05/22 18:23:01,C,11.1
20/05/22 18:53:01,C,11.601
20/05/22 19:23:01,C,11.1
20/05/22 19:53:01,C,11.1
20/05/22 20:23:01,C,10.599
20/05/22 20:53:01,C,10.599
20/05/22 21:23:01,C,9.595
20/05/22 21:53:01,C,9.595
20/05/22 22:23:01,C,9.595
20/05/22 22:53:01,C,9.595
20/05/22 23:23:01,C,9.595
20/05/22 23:53:01,C,9.595
21/05/22 00:23:01,C,9.595
21/05/22 00:53:01,C,9.595
21/05/22 01:23:01,C,9.595
21/05/22 01:53:01,C,9.094
21/05/22 02:23:01,C,9.595
21/05/22 02:53:01,C,9.094
21/05/22 03:23:01,C,9.094
21/05/22 03:53:01,C,9.094
21/05/22 04:23:01,C,9.094
21/05/22 04:53:01,C,9.094
21/05/22 05:23:01,C,9.094
