1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:51:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:51:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15686
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:51:01,%RH,101.814
03/07/22 02:21:01,%RH,101.814
03/07/22 02:51:01,%RH,102.744
03/07/22 03:21:01,%RH,103.207
03/07/22 03:51:01,%RH,101.814
03/07/22 04:21:01,%RH,99.932
03/07/22 04:51:01,%RH,101.346
03/07/22 05:21:01,%RH,98.503
03/07/22 05:51:01,%RH,99.932
03/07/22 06:21:01,%RH,97.06
03/07/22 06:51:01,%RH,98.024
03/07/22 07:21:01,%RH,95.111
03/07/22 07:51:01,%RH,96.089
03/07/22 08:21:01,%RH,93.632
03/07/22 08:51:01,%RH,100.405
03/07/22 09:21:01,%RH,94.127
03/07/22 09:51:01,%RH,95.111
03/07/22 10:21:01,%RH,90.629
03/07/22 10:51:01,%RH,87.566
03/07/22 11:21:01,%RH,83.388
03/07/22 11:51:01,%RH,85.49
03/07/22 12:21:01,%RH,82.326
03/07/22 12:51:01,%RH,80.183
03/07/22 13:21:01,%RH,76.919
03/07/22 13:51:01,%RH,69.639
03/07/22 14:21:01,%RH,63.846
03/07/22 14:51:01,%RH,66.764
03/07/22 15:21:01,%RH,62.076
03/07/22 15:51:01,%RH,60.887
03/07/22 16:21:01,%RH,62.076
03/07/22 16:51:01,%RH,61.482
03/07/22 17:21:01,%RH,70.777
03/07/22 17:51:01,%RH,67.919
03/07/22 18:21:01,%RH,76.919
03/07/22 18:51:01,%RH,78.559
03/07/22 19:21:01,%RH,81.258
03/07/22 19:51:01,%RH,84.442
03/07/22 20:21:01,%RH,86.531
03/07/22 20:51:01,%RH,90.123
03/07/22 21:21:01,%RH,92.138
03/07/22 21:51:01,%RH,93.136
03/07/22 22:21:01,%RH,95.601
03/07/22 22:51:01,%RH,95.601
03/07/22 23:21:01,%RH,94.127
03/07/22 23:51:01,%RH,94.62
04/07/22 00:21:01,%RH,94.62
04/07/22 00:51:01,%RH,94.127
04/07/22 01:21:01,%RH,93.136
04/07/22 01:51:01,%RH,98.503
04/07/22 02:21:01,%RH,100.876
04/07/22 02:51:01,%RH,100.876
04/07/22 03:21:01,%RH,102.28
04/07/22 03:51:01,%RH,100.876
04/07/22 04:21:01,%RH,102.28
04/07/22 04:51:01,%RH,102.28
04/07/22 05:21:01,%RH,101.346
04/07/22 05:51:01,%RH,100.876
04/07/22 06:21:01,%RH,100.405
04/07/22 06:51:01,%RH,98.981
04/07/22 07:21:01,%RH,97.543
04/07/22 07:51:01,%RH,98.503
04/07/22 08:21:01,%RH,95.601
04/07/22 08:51:01,%RH,91.637
04/07/22 09:21:01,%RH,90.123
04/07/22 09:51:01,%RH,93.136
04/07/22 10:21:01,%RH,91.134
04/07/22 10:51:01,%RH,87.566
04/07/22 11:21:01,%RH,74.709
04/07/22 11:51:01,%RH,79.102
04/07/22 12:21:01,%RH,69.067
04/07/22 12:51:01,%RH,74.709
04/07/22 13:21:01,%RH,84.442
04/07/22 13:51:01,%RH,73.594
04/07/22 14:21:01,%RH,70.777
04/07/22 14:51:01,%RH,79.102
04/07/22 15:21:01,%RH,69.639
