1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 350000007D600541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:49:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:49:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15848
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:49:01,%RH,115.81
03/07/22 02:19:01,%RH,115.81
03/07/22 02:49:01,%RH,116.732
03/07/22 03:19:01,%RH,116.271
03/07/22 03:49:01,%RH,116.271
03/07/22 04:19:01,%RH,116.732
03/07/22 04:49:01,%RH,115.347
03/07/22 05:19:01,%RH,114.417
03/07/22 05:49:01,%RH,114.417
03/07/22 06:19:01,%RH,114.882
03/07/22 06:49:01,%RH,113.01
03/07/22 07:19:01,%RH,108.712
03/07/22 07:49:01,%RH,109.677
03/07/22 08:19:01,%RH,115.81
03/07/22 08:49:01,%RH,110.637
03/07/22 09:19:01,%RH,111.591
03/07/22 09:49:01,%RH,114.417
03/07/22 10:19:01,%RH,110.637
03/07/22 10:49:01,%RH,105.287
03/07/22 11:19:01,%RH,102.295
03/07/22 11:49:01,%RH,97.191
03/07/22 12:19:01,%RH,96.673
03/07/22 12:49:01,%RH,94.059
03/07/22 13:19:01,%RH,95.109
03/07/22 13:49:01,%RH,84.898
03/07/22 14:19:01,%RH,90.338
03/07/22 14:49:01,%RH,85.449
03/07/22 15:19:01,%RH,81.565
03/07/22 15:49:01,%RH,85.998
03/07/22 16:19:01,%RH,81.004
03/07/22 16:49:01,%RH,81.004
03/07/22 17:19:01,%RH,82.124
03/07/22 17:49:01,%RH,84.898
03/07/22 18:19:01,%RH,88.18
03/07/22 18:49:01,%RH,88.721
03/07/22 19:19:01,%RH,89.8
03/07/22 19:49:01,%RH,94.584
03/07/22 20:19:01,%RH,94.059
03/07/22 20:49:01,%RH,96.673
03/07/22 21:19:01,%RH,98.737
03/07/22 21:49:01,%RH,99.761
03/07/22 22:19:01,%RH,100.779
03/07/22 22:49:01,%RH,100.779
03/07/22 23:19:01,%RH,101.286
03/07/22 23:49:01,%RH,101.791
04/07/22 00:19:01,%RH,101.286
04/07/22 00:49:01,%RH,100.271
04/07/22 01:19:01,%RH,101.791
04/07/22 01:49:01,%RH,109.195
04/07/22 02:19:01,%RH,113.48
04/07/22 02:49:01,%RH,115.347
04/07/22 03:19:01,%RH,115.347
04/07/22 03:49:01,%RH,113.48
04/07/22 04:19:01,%RH,115.81
04/07/22 04:49:01,%RH,115.81
04/07/22 05:19:01,%RH,115.81
04/07/22 05:49:01,%RH,115.347
04/07/22 06:19:01,%RH,114.882
04/07/22 06:49:01,%RH,113.949
04/07/22 07:19:01,%RH,114.417
04/07/22 07:49:01,%RH,113.48
04/07/22 08:19:01,%RH,113.48
04/07/22 08:49:01,%RH,108.227
04/07/22 09:19:01,%RH,103.298
04/07/22 09:49:01,%RH,104.296
04/07/22 10:19:01,%RH,104.296
04/07/22 10:49:01,%RH,95.631
04/07/22 11:19:01,%RH,95.631
04/07/22 11:49:01,%RH,91.941
04/07/22 12:19:01,%RH,90.874
04/07/22 12:49:01,%RH,86.546
04/07/22 13:19:01,%RH,89.262
04/07/22 13:49:01,%RH,89.262
04/07/22 14:19:01,%RH,85.449
04/07/22 14:49:01,%RH,87.636
04/07/22 15:19:01,%RH,87.092
04/07/22 15:49:01,%RH,86.546
04/07/22 16:19:01,%RH,85.449
04/07/22 16:49:01,%RH,86.546
04/07/22 17:19:01,%RH,85.449
04/07/22 17:49:01,%RH,87.636
04/07/22 18:19:01,%RH,85.998
04/07/22 18:49:01,%RH,88.721
04/07/22 19:19:01,%RH,88.721
04/07/22 19:49:01,%RH,90.874
04/07/22 20:19:01,%RH,92.473
04/07/22 20:49:01,%RH,94.059
04/07/22 21:19:01,%RH,95.631
04/07/22 21:49:01,%RH,95.631
04/07/22 22:19:01,%RH,97.708
04/07/22 22:49:01,%RH,107.741
04/07/22 23:19:01,%RH,112.538
04/07/22 23:49:01,%RH,112.065
05/07/22 00:19:01,%RH,112.065
05/07/22 00:49:01,%RH,113.48
05/07/22 01:19:01,%RH,114.882
05/07/22 01:49:01,%RH,112.065
05/07/22 02:19:01,%RH,115.347
05/07/22 02:49:01,%RH,114.882
05/07/22 03:19:01,%RH,114.417
05/07/22 03:49:01,%RH,113.01
05/07/22 04:19:01,%RH,107.741
05/07/22 04:49:01,%RH,102.295
05/07/22 05:19:01,%RH,99.761
05/07/22 05:49:01,%RH,102.295
05/07/22 06:19:01,%RH,112.538
05/07/22 06:49:01,%RH,113.48
05/07/22 07:19:01,%RH,107.741
05/07/22 07:49:01,%RH,108.712
05/07/22 08:19:01,%RH,102.295
05/07/22 08:49:01,%RH,95.109
05/07/22 09:19:01,%RH,95.109
05/07/22 09:49:01,%RH,90.338
05/07/22 10:19:01,%RH,91.408
05/07/22 10:49:01,%RH,91.941
05/07/22 11:19:01,%RH,82.682
05/07/22 11:49:01,%RH,79.313
05/07/22 12:19:01,%RH,81.004
05/07/22 12:49:01,%RH,77.038
05/07/22 13:19:01,%RH,75.317
05/07/22 13:49:01,%RH,77.609
05/07/22 14:19:01,%RH,77.609
05/07/22 14:49:01,%RH,75.892
05/07/22 15:19:01,%RH,75.317
05/07/22 15:49:01,%RH,78.747
05/07/22 16:19:01,%RH,75.317
05/07/22 16:49:01,%RH,78.747
05/07/22 17:19:01,%RH,77.038
05/07/22 17:49:01,%RH,79.878
05/07/22 18:19:01,%RH,78.747
05/07/22 18:49:01,%RH,80.442
05/07/22 19:19:01,%RH,84.898
05/07/22 19:49:01,%RH,88.18
05/07/22 20:19:01,%RH,88.721
05/07/22 20:49:01,%RH,92.473
05/07/22 21:19:01,%RH,95.109
05/07/22 21:49:01,%RH,99.761
05/07/22 22:19:01,%RH,100.779
05/07/22 22:49:01,%RH,102.797
05/07/22 23:19:01,%RH,108.227
