1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:53:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15296
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:53:01,%RH,103.237
03/07/22 02:23:01,%RH,103.733
03/07/22 02:53:01,%RH,105.214
03/07/22 03:23:01,%RH,105.214
03/07/22 03:53:01,%RH,104.721
03/07/22 04:23:01,%RH,103.733
03/07/22 04:53:01,%RH,104.228
03/07/22 05:23:01,%RH,104.228
03/07/22 05:53:01,%RH,104.721
03/07/22 06:23:01,%RH,103.733
03/07/22 06:53:01,%RH,102.739
03/07/22 07:23:01,%RH,102.24
03/07/22 07:53:01,%RH,101.238
03/07/22 08:23:01,%RH,100.735
03/07/22 08:53:01,%RH,102.24
03/07/22 09:23:01,%RH,102.24
03/07/22 09:53:01,%RH,104.228
03/07/22 10:23:01,%RH,101.74
03/07/22 10:53:01,%RH,101.238
03/07/22 11:23:01,%RH,99.219
03/07/22 11:53:01,%RH,96.664
03/07/22 12:23:01,%RH,96.149
03/07/22 12:53:01,%RH,93.555
03/07/22 13:23:01,%RH,91.982
03/07/22 13:53:01,%RH,87.729
03/07/22 14:23:01,%RH,85.571
03/07/22 14:53:01,%RH,86.653
03/07/22 15:23:01,%RH,82.293
03/07/22 15:53:01,%RH,83.391
03/07/22 16:23:01,%RH,80.082
03/07/22 16:53:01,%RH,80.082
03/07/22 17:23:01,%RH,84.484
03/07/22 17:53:01,%RH,85.571
03/07/22 18:23:01,%RH,88.265
03/07/22 18:53:01,%RH,89.866
03/07/22 19:23:01,%RH,88.265
03/07/22 19:53:01,%RH,91.455
03/07/22 20:23:01,%RH,92.508
03/07/22 20:53:01,%RH,94.596
03/07/22 21:23:01,%RH,96.149
03/07/22 21:53:01,%RH,97.178
03/07/22 22:23:01,%RH,98.71
03/07/22 22:53:01,%RH,98.201
03/07/22 23:23:01,%RH,98.201
03/07/22 23:53:01,%RH,97.69
04/07/22 00:23:01,%RH,97.178
04/07/22 00:53:01,%RH,97.178
04/07/22 01:23:01,%RH,96.664
04/07/22 01:53:01,%RH,101.74
04/07/22 02:23:01,%RH,103.237
04/07/22 02:53:01,%RH,104.721
04/07/22 03:23:01,%RH,103.237
04/07/22 03:53:01,%RH,104.721
04/07/22 04:23:01,%RH,104.721
04/07/22 04:53:01,%RH,104.721
04/07/22 05:23:01,%RH,103.733
04/07/22 05:53:01,%RH,104.228
04/07/22 06:23:01,%RH,103.733
04/07/22 06:53:01,%RH,103.733
04/07/22 07:23:01,%RH,101.74
04/07/22 07:53:01,%RH,102.739
04/07/22 08:23:01,%RH,100.735
04/07/22 08:53:01,%RH,100.231
04/07/22 09:23:01,%RH,98.71
04/07/22 09:53:01,%RH,101.74
04/07/22 10:23:01,%RH,97.69
04/07/22 10:53:01,%RH,96.149
04/07/22 11:23:01,%RH,93.555
04/07/22 11:53:01,%RH,90.927
04/07/22 12:23:01,%RH,89.334
04/07/22 12:53:01,%RH,88.265
04/07/22 13:23:01,%RH,88.8
04/07/22 13:53:01,%RH,88.265
04/07/22 14:23:01,%RH,82.293
04/07/22 14:53:01,%RH,87.192
04/07/22 15:23:01,%RH,86.112
04/07/22 15:53:01,%RH,83.938
04/07/22 16:23:01,%RH,87.192
04/07/22 16:53:01,%RH,83.938
04/07/22 17:23:01,%RH,86.653
04/07/22 17:53:01,%RH,85.028
04/07/22 18:23:01,%RH,87.729
04/07/22 18:53:01,%RH,86.112
04/07/22 19:23:01,%RH,88.265
04/07/22 19:53:01,%RH,90.927
04/07/22 20:23:01,%RH,89.866
04/07/22 20:53:01,%RH,90.927
04/07/22 21:23:01,%RH,93.555
04/07/22 21:53:01,%RH,94.076
04/07/22 22:23:01,%RH,95.633
04/07/22 22:53:01,%RH,100.231
04/07/22 23:23:01,%RH,101.74
04/07/22 23:53:01,%RH,102.739
05/07/22 00:23:01,%RH,102.24
05/07/22 00:53:01,%RH,101.74
05/07/22 01:23:01,%RH,102.24
05/07/22 01:53:01,%RH,100.735
05/07/22 02:23:01,%RH,101.74
05/07/22 02:53:01,%RH,101.74
05/07/22 03:23:01,%RH,101.238
05/07/22 03:53:01,%RH,99.219
05/07/22 04:23:01,%RH,98.201
05/07/22 04:53:01,%RH,95.115
05/07/22 05:23:01,%RH,93.555
