1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:53:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15834
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:53:01,%RH,101.479
03/07/22 02:23:01,%RH,100.522
03/07/22 02:53:01,%RH,101.001
03/07/22 03:23:01,%RH,101.479
03/07/22 03:53:01,%RH,101.001
03/07/22 04:23:01,%RH,101.479
03/07/22 04:53:01,%RH,100.522
03/07/22 05:23:01,%RH,101.954
03/07/22 05:53:01,%RH,101.954
03/07/22 06:23:01,%RH,101.954
03/07/22 06:53:01,%RH,100.042
03/07/22 07:23:01,%RH,100.042
03/07/22 07:53:01,%RH,99.075
03/07/22 08:23:01,%RH,98.103
03/07/22 08:53:01,%RH,98.59
03/07/22 09:23:01,%RH,95.643
03/07/22 09:53:01,%RH,95.643
03/07/22 10:23:01,%RH,92.639
03/07/22 10:53:01,%RH,91.114
03/07/22 11:23:01,%RH,91.624
03/07/22 11:53:01,%RH,87.502
03/07/22 12:23:01,%RH,87.502
03/07/22 12:53:01,%RH,83.276
03/07/22 13:23:01,%RH,77.848
03/07/22 13:53:01,%RH,72.826
03/07/22 14:23:01,%RH,68.829
03/07/22 14:53:01,%RH,65.926
03/07/22 15:23:01,%RH,58.188
03/07/22 15:53:01,%RH,64.753
03/07/22 16:23:01,%RH,64.164
03/07/22 16:53:01,%RH,59.998
03/07/22 17:23:01,%RH,69.979
03/07/22 17:53:01,%RH,69.979
03/07/22 18:23:01,%RH,76.189
03/07/22 18:53:01,%RH,79.494
03/07/22 19:23:01,%RH,82.203
03/07/22 19:53:01,%RH,84.342
03/07/22 20:23:01,%RH,86.455
03/07/22 20:53:01,%RH,89.06
03/07/22 21:23:01,%RH,92.132
03/07/22 21:53:01,%RH,94.148
03/07/22 22:23:01,%RH,94.648
03/07/22 22:53:01,%RH,94.648
03/07/22 23:23:01,%RH,95.147
03/07/22 23:53:01,%RH,95.643
04/07/22 00:23:01,%RH,95.147
04/07/22 00:53:01,%RH,94.648
04/07/22 01:23:01,%RH,96.139
04/07/22 01:53:01,%RH,99.559
04/07/22 02:23:01,%RH,101.001
04/07/22 02:53:01,%RH,100.522
04/07/22 03:23:01,%RH,101.001
04/07/22 03:53:01,%RH,101.001
04/07/22 04:23:01,%RH,101.479
04/07/22 04:53:01,%RH,100.522
04/07/22 05:23:01,%RH,101.479
04/07/22 05:53:01,%RH,100.522
04/07/22 06:23:01,%RH,101.001
04/07/22 06:53:01,%RH,101.001
04/07/22 07:23:01,%RH,98.59
04/07/22 07:53:01,%RH,99.075
04/07/22 08:23:01,%RH,96.632
04/07/22 08:53:01,%RH,94.648
04/07/22 09:23:01,%RH,94.148
04/07/22 09:53:01,%RH,99.075
04/07/22 10:23:01,%RH,91.624
04/07/22 10:53:01,%RH,89.06
04/07/22 11:23:01,%RH,85.402
04/07/22 11:53:01,%RH,86.455
04/07/22 12:23:01,%RH,79.494
04/07/22 12:53:01,%RH,80.039
04/07/22 13:23:01,%RH,85.929
04/07/22 13:53:01,%RH,77.848
04/07/22 14:23:01,%RH,75.632
04/07/22 14:53:01,%RH,78.947
04/07/22 15:23:01,%RH,74.515
04/07/22 15:53:01,%RH,76.744
04/07/22 16:23:01,%RH,80.582
04/07/22 16:53:01,%RH,74.515
04/07/22 17:23:01,%RH,76.744
04/07/22 17:53:01,%RH,77.848
04/07/22 18:23:01,%RH,78.947
04/07/22 18:53:01,%RH,81.124
04/07/22 19:23:01,%RH,81.665
04/07/22 19:53:01,%RH,86.979
04/07/22 20:23:01,%RH,86.455
04/07/22 20:53:01,%RH,89.06
04/07/22 21:23:01,%RH,91.624
04/07/22 21:53:01,%RH,92.132
04/07/22 22:23:01,%RH,94.648
04/07/22 22:53:01,%RH,98.59
04/07/22 23:23:01,%RH,99.075
04/07/22 23:53:01,%RH,100.042
05/07/22 00:23:01,%RH,99.559
05/07/22 00:53:01,%RH,100.042
05/07/22 01:23:01,%RH,100.522
05/07/22 01:53:01,%RH,101.001
05/07/22 02:23:01,%RH,101.954
05/07/22 02:53:01,%RH,103.372
05/07/22 03:23:01,%RH,101.001
05/07/22 03:53:01,%RH,100.522
05/07/22 04:23:01,%RH,101.479
05/07/22 04:53:01,%RH,99.075
05/07/22 05:23:01,%RH,100.042
05/07/22 05:53:01,%RH,100.042
05/07/22 06:23:01,%RH,100.042
05/07/22 06:53:01,%RH,99.075
05/07/22 07:23:01,%RH,99.075
05/07/22 07:53:01,%RH,96.632
05/07/22 08:23:01,%RH,90.603
05/07/22 08:53:01,%RH,88.542
05/07/22 09:23:01,%RH,90.09
05/07/22 09:53:01,%RH,83.81
05/07/22 10:23:01,%RH,81.665
05/07/22 10:53:01,%RH,84.342
05/07/22 11:23:01,%RH,71.692
05/07/22 11:53:01,%RH,70.552
05/07/22 12:23:01,%RH,68.252
05/07/22 12:53:01,%RH,61.793
05/07/22 13:23:01,%RH,63.574
05/07/22 13:53:01,%RH,57.582
05/07/22 14:23:01,%RH,58.793
05/07/22 14:53:01,%RH,58.188
05/07/22 15:23:01,%RH,58.188
05/07/22 15:53:01,%RH,62.982
05/07/22 16:23:01,%RH,61.793
05/07/22 16:53:01,%RH,69.405
05/07/22 17:23:01,%RH,56.974
05/07/22 17:53:01,%RH,53.291
05/07/22 18:23:01,%RH,64.753
05/07/22 18:53:01,%RH,73.953
05/07/22 19:23:01,%RH,76.189
05/07/22 19:53:01,%RH,79.494
05/07/22 20:23:01,%RH,83.81
05/07/22 20:53:01,%RH,86.455
05/07/22 21:23:01,%RH,90.603
05/07/22 21:53:01,%RH,92.639
