1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:52:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:52:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  14416
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:52:01,%RH,101.087
03/07/22 02:22:01,%RH,102.029
03/07/22 02:52:01,%RH,101.087
03/07/22 03:22:01,%RH,102.029
03/07/22 03:52:01,%RH,102.963
03/07/22 04:22:01,%RH,102.029
03/07/22 04:52:01,%RH,101.087
03/07/22 05:22:01,%RH,101.559
03/07/22 05:52:01,%RH,102.497
03/07/22 06:22:01,%RH,100.614
03/07/22 06:52:01,%RH,100.139
03/07/22 07:22:01,%RH,100.139
03/07/22 07:52:01,%RH,100.139
03/07/22 08:22:01,%RH,98.704
03/07/22 08:52:01,%RH,99.184
03/07/22 09:22:01,%RH,95.789
03/07/22 09:52:01,%RH,97.739
03/07/22 10:22:01,%RH,95.297
03/07/22 10:52:01,%RH,92.309
03/07/22 11:22:01,%RH,92.309
03/07/22 11:52:01,%RH,87.193
03/07/22 12:22:01,%RH,90.283
03/07/22 12:52:01,%RH,86.672
03/07/22 13:22:01,%RH,84.042
03/07/22 13:52:01,%RH,79.745
03/07/22 14:22:01,%RH,77.555
03/07/22 14:52:01,%RH,78.653
03/07/22 15:22:01,%RH,68.523
03/07/22 15:52:01,%RH,68.523
03/07/22 16:22:01,%RH,72.528
03/07/22 16:52:01,%RH,70.822
03/07/22 17:22:01,%RH,79.2
03/07/22 17:52:01,%RH,77.003
03/07/22 18:22:01,%RH,81.369
03/07/22 18:52:01,%RH,84.042
03/07/22 19:22:01,%RH,87.193
03/07/22 19:52:01,%RH,87.713
03/07/22 20:22:01,%RH,90.283
03/07/22 20:52:01,%RH,91.805
03/07/22 21:22:01,%RH,94.803
03/07/22 21:52:01,%RH,96.279
03/07/22 22:22:01,%RH,97.254
03/07/22 22:52:01,%RH,97.739
03/07/22 23:22:01,%RH,96.767
03/07/22 23:52:01,%RH,97.254
04/07/22 00:22:01,%RH,97.739
04/07/22 00:52:01,%RH,96.279
04/07/22 01:22:01,%RH,96.279
04/07/22 01:52:01,%RH,100.139
04/07/22 02:22:01,%RH,100.614
04/07/22 02:52:01,%RH,101.087
04/07/22 03:22:01,%RH,102.029
04/07/22 03:52:01,%RH,101.559
04/07/22 04:22:01,%RH,101.559
04/07/22 04:52:01,%RH,101.559
04/07/22 05:22:01,%RH,102.497
04/07/22 05:52:01,%RH,101.087
