1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:48:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:48:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  16402
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:48:01,%RH,102.24
03/07/22 02:18:01,%RH,102.739
03/07/22 02:48:01,%RH,102.739
03/07/22 03:18:01,%RH,103.237
03/07/22 03:48:01,%RH,102.739
03/07/22 04:18:01,%RH,102.739
03/07/22 04:48:01,%RH,103.237
03/07/22 05:18:01,%RH,103.237
03/07/22 05:48:01,%RH,102.739
03/07/22 06:18:01,%RH,102.739
03/07/22 06:48:01,%RH,103.733
03/07/22 07:18:01,%RH,103.237
03/07/22 07:48:01,%RH,101.74
03/07/22 08:18:01,%RH,102.739
03/07/22 08:48:01,%RH,101.74
03/07/22 09:18:01,%RH,102.24
03/07/22 09:48:01,%RH,102.739
03/07/22 10:18:01,%RH,102.24
03/07/22 10:48:01,%RH,99.219
03/07/22 11:18:01,%RH,99.726
03/07/22 11:48:01,%RH,97.178
03/07/22 12:18:01,%RH,98.201
03/07/22 12:48:01,%RH,96.149
03/07/22 13:18:01,%RH,95.115
03/07/22 13:48:01,%RH,90.397
03/07/22 14:18:01,%RH,91.455
03/07/22 14:48:01,%RH,89.866
03/07/22 15:18:01,%RH,86.653
03/07/22 15:48:01,%RH,87.192
03/07/22 16:18:01,%RH,86.112
03/07/22 16:48:01,%RH,85.028
03/07/22 17:18:01,%RH,85.028
03/07/22 17:48:01,%RH,89.866
03/07/22 18:18:01,%RH,90.397
03/07/22 18:48:01,%RH,91.455
03/07/22 19:18:01,%RH,93.032
03/07/22 19:48:01,%RH,95.115
03/07/22 20:18:01,%RH,95.633
03/07/22 20:48:01,%RH,96.664
03/07/22 21:18:01,%RH,98.201
03/07/22 21:48:01,%RH,98.201
03/07/22 22:18:01,%RH,98.71
03/07/22 22:48:01,%RH,99.726
03/07/22 23:18:01,%RH,99.726
03/07/22 23:48:01,%RH,99.219
04/07/22 00:18:01,%RH,99.219
04/07/22 00:48:01,%RH,98.71
04/07/22 01:18:01,%RH,99.219
04/07/22 01:48:01,%RH,100.735
04/07/22 02:18:01,%RH,102.739
04/07/22 02:48:01,%RH,102.739
04/07/22 03:18:01,%RH,102.739
04/07/22 03:48:01,%RH,103.237
04/07/22 04:18:01,%RH,103.733
04/07/22 04:48:01,%RH,103.733
04/07/22 05:18:01,%RH,103.237
04/07/22 05:48:01,%RH,103.733
04/07/22 06:18:01,%RH,103.733
04/07/22 06:48:01,%RH,103.237
04/07/22 07:18:01,%RH,103.237
04/07/22 07:48:01,%RH,103.237
04/07/22 08:18:01,%RH,102.24
04/07/22 08:48:01,%RH,102.24
04/07/22 09:18:01,%RH,101.238
04/07/22 09:48:01,%RH,101.238
04/07/22 10:18:01,%RH,100.231
04/07/22 10:48:01,%RH,94.076
04/07/22 11:18:01,%RH,98.201
04/07/22 11:48:01,%RH,92.508
04/07/22 12:18:01,%RH,93.555
04/07/22 12:48:01,%RH,85.571
