1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:51:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:51:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15686
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:51:01,C,13.065
03/07/22 02:21:01,C,13.065
03/07/22 02:51:01,C,13.065
03/07/22 03:21:01,C,13.065
03/07/22 03:51:01,C,12.564
03/07/22 04:21:01,C,12.564
03/07/22 04:51:01,C,12.063
03/07/22 05:21:01,C,12.063
03/07/22 05:51:01,C,12.564
03/07/22 06:21:01,C,12.564
03/07/22 06:51:01,C,12.564
03/07/22 07:21:01,C,13.065
03/07/22 07:51:01,C,12.564
03/07/22 08:21:01,C,13.565
03/07/22 08:51:01,C,13.565
03/07/22 09:21:01,C,14.066
03/07/22 09:51:01,C,13.565
03/07/22 10:21:01,C,14.567
03/07/22 10:51:01,C,15.569
03/07/22 11:21:01,C,17.071
03/07/22 11:51:01,C,17.071
03/07/22 12:21:01,C,16.57
03/07/22 12:51:01,C,17.071
03/07/22 13:21:01,C,17.571
03/07/22 13:51:01,C,17.071
03/07/22 14:21:01,C,19.573
03/07/22 14:51:01,C,18.072
03/07/22 15:21:01,C,21.075
03/07/22 15:51:01,C,19.073
03/07/22 16:21:01,C,20.574
03/07/22 16:51:01,C,19.573
03/07/22 17:21:01,C,16.57
03/07/22 17:51:01,C,18.572
03/07/22 18:21:01,C,16.069
03/07/22 18:51:01,C,16.069
03/07/22 19:21:01,C,14.567
03/07/22 19:51:01,C,15.068
03/07/22 20:21:01,C,14.567
03/07/22 20:51:01,C,14.066
03/07/22 21:21:01,C,14.066
03/07/22 21:51:01,C,13.565
03/07/22 22:21:01,C,13.065
03/07/22 22:51:01,C,13.065
03/07/22 23:21:01,C,13.065
03/07/22 23:51:01,C,13.065
04/07/22 00:21:01,C,13.065
04/07/22 00:51:01,C,13.065
04/07/22 01:21:01,C,13.065
04/07/22 01:51:01,C,12.564
04/07/22 02:21:01,C,12.063
04/07/22 02:51:01,C,11.562
04/07/22 03:21:01,C,11.562
04/07/22 03:51:01,C,11.562
04/07/22 04:21:01,C,11.562
04/07/22 04:51:01,C,11.562
04/07/22 05:21:01,C,11.562
04/07/22 05:51:01,C,11.562
04/07/22 06:21:01,C,11.562
04/07/22 06:51:01,C,11.562
04/07/22 07:21:01,C,11.562
04/07/22 07:51:01,C,12.063
04/07/22 08:21:01,C,12.063
04/07/22 08:51:01,C,12.564
04/07/22 09:21:01,C,12.564
04/07/22 09:51:01,C,12.063
04/07/22 10:21:01,C,13.565
04/07/22 10:51:01,C,13.565
04/07/22 11:21:01,C,18.072
04/07/22 11:51:01,C,15.569
04/07/22 12:21:01,C,18.072
04/07/22 12:51:01,C,15.569
04/07/22 13:21:01,C,14.066
04/07/22 13:51:01,C,18.572
04/07/22 14:21:01,C,16.069
04/07/22 14:51:01,C,16.57
04/07/22 15:21:01,C,18.072
04/07/22 15:51:01,C,16.57
04/07/22 16:21:01,C,15.068
04/07/22 16:51:01,C,15.569
04/07/22 17:21:01,C,18.072
04/07/22 17:51:01,C,16.069
04/07/22 18:21:01,C,15.569
04/07/22 18:51:01,C,15.068
04/07/22 19:21:01,C,14.066
04/07/22 19:51:01,C,13.565
04/07/22 20:21:01,C,13.565
04/07/22 20:51:01,C,13.565
04/07/22 21:21:01,C,13.065
04/07/22 21:51:01,C,12.564
04/07/22 22:21:01,C,12.564
04/07/22 22:51:01,C,12.063
04/07/22 23:21:01,C,12.063
04/07/22 23:51:01,C,11.562
05/07/22 00:21:01,C,11.061
05/07/22 00:51:01,C,11.061
05/07/22 01:21:01,C,11.061
05/07/22 01:51:01,C,10.559
05/07/22 02:21:01,C,11.061
05/07/22 02:51:01,C,11.061
05/07/22 03:21:01,C,11.061
05/07/22 03:51:01,C,11.061
05/07/22 04:21:01,C,11.061
05/07/22 04:51:01,C,10.559
05/07/22 05:21:01,C,10.559
05/07/22 05:51:01,C,10.559
05/07/22 06:21:01,C,11.061
05/07/22 06:51:01,C,12.063
05/07/22 07:21:01,C,12.063
05/07/22 07:51:01,C,12.564
05/07/22 08:21:01,C,13.065
05/07/22 08:51:01,C,13.565
05/07/22 09:21:01,C,12.564
05/07/22 09:51:01,C,16.069
05/07/22 10:21:01,C,14.567
05/07/22 10:51:01,C,13.565
05/07/22 11:21:01,C,16.57
05/07/22 11:51:01,C,19.073
05/07/22 12:21:01,C,19.073
05/07/22 12:51:01,C,18.572
05/07/22 13:21:01,C,19.073
05/07/22 13:51:01,C,19.573
05/07/22 14:21:01,C,18.072
05/07/22 14:51:01,C,20.074
05/07/22 15:21:01,C,17.571
05/07/22 15:51:01,C,19.073
05/07/22 16:21:01,C,20.574
05/07/22 16:51:01,C,17.071
05/07/22 17:21:01,C,17.571
05/07/22 17:51:01,C,17.571
05/07/22 18:21:01,C,17.571
05/07/22 18:51:01,C,18.072
05/07/22 19:21:01,C,15.569
05/07/22 19:51:01,C,15.068
05/07/22 20:21:01,C,14.066
05/07/22 20:51:01,C,14.066
05/07/22 21:21:01,C,13.565
05/07/22 21:51:01,C,13.565
05/07/22 22:21:01,C,13.565
05/07/22 22:51:01,C,13.065
