1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 350000007D600541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:49:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:49:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15848
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:49:01,C,12.6
03/07/22 02:19:01,C,12.6
03/07/22 02:49:01,C,12.6
03/07/22 03:19:01,C,12.6
03/07/22 03:49:01,C,12.6
03/07/22 04:19:01,C,12.6
03/07/22 04:49:01,C,12.098
03/07/22 05:19:01,C,12.098
03/07/22 05:49:01,C,12.098
03/07/22 06:19:01,C,12.6
03/07/22 06:49:01,C,12.6
03/07/22 07:19:01,C,12.6
03/07/22 07:49:01,C,12.6
03/07/22 08:19:01,C,13.101
03/07/22 08:49:01,C,13.101
03/07/22 09:19:01,C,13.602
03/07/22 09:49:01,C,13.101
03/07/22 10:19:01,C,13.602
03/07/22 10:49:01,C,14.103
03/07/22 11:19:01,C,14.604
03/07/22 11:49:01,C,14.604
03/07/22 12:19:01,C,15.105
03/07/22 12:49:01,C,15.105
03/07/22 13:19:01,C,15.105
03/07/22 13:49:01,C,15.605
03/07/22 14:19:01,C,15.605
03/07/22 14:49:01,C,15.605
03/07/22 15:19:01,C,15.605
03/07/22 15:49:01,C,15.605
03/07/22 16:19:01,C,15.605
03/07/22 16:49:01,C,15.105
03/07/22 17:19:01,C,14.103
03/07/22 17:49:01,C,14.604
03/07/22 18:19:01,C,14.103
03/07/22 18:49:01,C,14.103
03/07/22 19:19:01,C,13.602
03/07/22 19:49:01,C,13.602
03/07/22 20:19:01,C,13.602
03/07/22 20:49:01,C,13.602
03/07/22 21:19:01,C,13.101
03/07/22 21:49:01,C,13.101
03/07/22 22:19:01,C,12.6
03/07/22 22:49:01,C,12.6
03/07/22 23:19:01,C,12.6
03/07/22 23:49:01,C,12.6
04/07/22 00:19:01,C,12.6
04/07/22 00:49:01,C,12.6
04/07/22 01:19:01,C,12.6
04/07/22 01:49:01,C,12.098
04/07/22 02:19:01,C,12.098
04/07/22 02:49:01,C,12.098
04/07/22 03:19:01,C,11.597
04/07/22 03:49:01,C,11.096
04/07/22 04:19:01,C,11.096
04/07/22 04:49:01,C,11.096
04/07/22 05:19:01,C,11.096
04/07/22 05:49:01,C,11.096
04/07/22 06:19:01,C,11.096
04/07/22 06:49:01,C,11.096
04/07/22 07:19:01,C,11.096
04/07/22 07:49:01,C,11.597
04/07/22 08:19:01,C,11.597
04/07/22 08:49:01,C,11.597
04/07/22 09:19:01,C,12.098
04/07/22 09:49:01,C,11.597
04/07/22 10:19:01,C,12.098
04/07/22 10:49:01,C,13.101
04/07/22 11:19:01,C,13.101
04/07/22 11:49:01,C,13.101
04/07/22 12:19:01,C,13.602
04/07/22 12:49:01,C,13.602
04/07/22 13:19:01,C,13.101
04/07/22 13:49:01,C,14.604
04/07/22 14:19:01,C,15.105
04/07/22 14:49:01,C,13.602
04/07/22 15:19:01,C,14.604
04/07/22 15:49:01,C,14.604
04/07/22 16:19:01,C,14.103
04/07/22 16:49:01,C,14.604
04/07/22 17:19:01,C,14.604
04/07/22 17:49:01,C,14.103
04/07/22 18:19:01,C,14.103
04/07/22 18:49:01,C,13.602
04/07/22 19:19:01,C,13.602
04/07/22 19:49:01,C,13.101
04/07/22 20:19:01,C,13.101
04/07/22 20:49:01,C,12.6
04/07/22 21:19:01,C,12.6
04/07/22 21:49:01,C,12.098
04/07/22 22:19:01,C,12.098
04/07/22 22:49:01,C,12.098
04/07/22 23:19:01,C,11.597
04/07/22 23:49:01,C,11.096
05/07/22 00:19:01,C,11.096
05/07/22 00:49:01,C,10.595
05/07/22 01:19:01,C,10.595
05/07/22 01:49:01,C,10.595
05/07/22 02:19:01,C,10.595
05/07/22 02:49:01,C,10.595
05/07/22 03:19:01,C,10.595
05/07/22 03:49:01,C,10.595
05/07/22 04:19:01,C,10.595
05/07/22 04:49:01,C,10.094
05/07/22 05:19:01,C,10.094
05/07/22 05:49:01,C,10.094
05/07/22 06:19:01,C,10.595
05/07/22 06:49:01,C,11.096
05/07/22 07:19:01,C,11.597
05/07/22 07:49:01,C,11.597
05/07/22 08:19:01,C,12.098
05/07/22 08:49:01,C,12.098
05/07/22 09:19:01,C,12.098
05/07/22 09:49:01,C,13.101
05/07/22 10:19:01,C,13.602
05/07/22 10:49:01,C,13.602
05/07/22 11:19:01,C,14.103
05/07/22 11:49:01,C,15.605
05/07/22 12:19:01,C,14.604
05/07/22 12:49:01,C,15.605
05/07/22 13:19:01,C,16.607
05/07/22 13:49:01,C,15.605
05/07/22 14:19:01,C,16.607
05/07/22 14:49:01,C,16.607
05/07/22 15:19:01,C,17.608
05/07/22 15:49:01,C,16.607
05/07/22 16:19:01,C,16.607
05/07/22 16:49:01,C,15.605
05/07/22 17:19:01,C,16.607
05/07/22 17:49:01,C,16.106
05/07/22 18:19:01,C,15.605
05/07/22 18:49:01,C,15.105
05/07/22 19:19:01,C,14.604
05/07/22 19:49:01,C,14.103
05/07/22 20:19:01,C,13.602
05/07/22 20:49:01,C,13.602
05/07/22 21:19:01,C,13.101
05/07/22 21:49:01,C,13.101
05/07/22 22:19:01,C,13.101
05/07/22 22:49:01,C,12.6
05/07/22 23:19:01,C,12.6
05/07/22 23:49:01,C,12.6
06/07/22 00:19:01,C,12.6
06/07/22 00:49:01,C,12.6
06/07/22 01:19:01,C,12.6
06/07/22 01:49:01,C,12.6
06/07/22 02:19:01,C,13.101
06/07/22 02:49:01,C,13.101
06/07/22 03:19:01,C,13.602
06/07/22 03:49:01,C,13.602
06/07/22 04:19:01,C,13.602
06/07/22 04:49:01,C,13.602
06/07/22 05:19:01,C,13.602
06/07/22 05:49:01,C,13.602
06/07/22 06:19:01,C,14.103
06/07/22 06:49:01,C,13.602
06/07/22 07:19:01,C,13.602
06/07/22 07:49:01,C,14.103
06/07/22 08:19:01,C,14.103
06/07/22 08:49:01,C,14.103
06/07/22 09:19:01,C,14.103
06/07/22 09:49:01,C,14.103
06/07/22 10:19:01,C,13.602
06/07/22 10:49:01,C,14.103
06/07/22 11:19:01,C,14.103
06/07/22 11:49:01,C,14.103
06/07/22 12:19:01,C,14.103
06/07/22 12:49:01,C,14.604
06/07/22 13:19:01,C,14.604
06/07/22 13:49:01,C,14.604
06/07/22 14:19:01,C,14.604
06/07/22 14:49:01,C,15.105
06/07/22 15:19:01,C,15.105
06/07/22 15:49:01,C,15.105
06/07/22 16:19:01,C,15.105
06/07/22 16:49:01,C,15.105
06/07/22 17:19:01,C,15.105
06/07/22 17:49:01,C,15.105
06/07/22 18:19:01,C,15.105
06/07/22 18:49:01,C,15.105
06/07/22 19:19:01,C,15.105
06/07/22 19:49:01,C,14.604
06/07/22 20:19:01,C,14.604
06/07/22 20:49:01,C,14.103
06/07/22 21:19:01,C,13.602
06/07/22 21:49:01,C,13.101
06/07/22 22:19:01,C,12.6
06/07/22 22:49:01,C,12.6
06/07/22 23:19:01,C,12.6
06/07/22 23:49:01,C,12.6
07/07/22 00:19:01,C,12.6
07/07/22 00:49:01,C,12.6
07/07/22 01:19:01,C,12.6
07/07/22 01:49:01,C,12.6
07/07/22 02:19:01,C,12.6
07/07/22 02:49:01,C,12.6
07/07/22 03:19:01,C,12.6
07/07/22 03:49:01,C,12.6
07/07/22 04:19:01,C,12.6
07/07/22 04:49:01,C,12.6
07/07/22 05:19:01,C,12.6
07/07/22 05:49:01,C,12.6
07/07/22 06:19:01,C,12.6
07/07/22 06:49:01,C,12.6
07/07/22 07:19:01,C,13.101
07/07/22 07:49:01,C,13.101
07/07/22 08:19:01,C,13.602
07/07/22 08:49:01,C,14.103
07/07/22 09:19:01,C,14.604
07/07/22 09:49:01,C,14.604
07/07/22 10:19:01,C,15.605
07/07/22 10:49:01,C,16.106
07/07/22 11:19:01,C,16.106
07/07/22 11:49:01,C,17.108
07/07/22 12:19:01,C,17.608
07/07/22 12:49:01,C,17.608
07/07/22 13:19:01,C,18.61
07/07/22 13:49:01,C,17.608
07/07/22 14:19:01,C,17.608
07/07/22 14:49:01,C,17.608
07/07/22 15:19:01,C,18.61
07/07/22 15:49:01,C,18.109
07/07/22 16:19:01,C,18.61
07/07/22 16:49:01,C,19.611
07/07/22 17:19:01,C,19.611
07/07/22 17:49:01,C,17.608
07/07/22 18:19:01,C,17.608
07/07/22 18:49:01,C,18.61
07/07/22 19:19:01,C,17.608
07/07/22 19:49:01,C,17.108
07/07/22 20:19:01,C,16.607
07/07/22 20:49:01,C,16.106
07/07/22 21:19:01,C,15.605
07/07/22 21:49:01,C,15.105
07/07/22 22:19:01,C,14.604
07/07/22 22:49:01,C,14.103
07/07/22 23:19:01,C,13.602
07/07/22 23:49:01,C,13.101
08/07/22 00:19:01,C,13.101
08/07/22 00:49:01,C,13.602
08/07/22 01:19:01,C,13.602
08/07/22 01:49:01,C,13.101
08/07/22 02:19:01,C,13.101
08/07/22 02:49:01,C,12.6
08/07/22 03:19:01,C,12.098
08/07/22 03:49:01,C,11.597
08/07/22 04:19:01,C,11.597
08/07/22 04:49:01,C,11.597
08/07/22 05:19:01,C,12.098
08/07/22 05:49:01,C,12.098
08/07/22 06:19:01,C,13.101
08/07/22 06:49:01,C,13.101
08/07/22 07:19:01,C,13.602
08/07/22 07:49:01,C,13.602
08/07/22 08:19:01,C,14.103
08/07/22 08:49:01,C,14.604
08/07/22 09:19:01,C,16.106
08/07/22 09:49:01,C,17.108
08/07/22 10:19:01,C,17.108
08/07/22 10:49:01,C,16.607
08/07/22 11:19:01,C,16.607
08/07/22 11:49:01,C,17.108
08/07/22 12:19:01,C,17.108
08/07/22 12:49:01,C,18.61
08/07/22 13:19:01,C,17.108
08/07/22 13:49:01,C,17.108
08/07/22 14:19:01,C,16.106
08/07/22 14:49:01,C,15.605
08/07/22 15:19:01,C,15.605
08/07/22 15:49:01,C,16.106
08/07/22 16:19:01,C,16.106
08/07/22 16:49:01,C,16.106
08/07/22 17:19:01,C,16.607
