1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:53:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:53:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  15296
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:53:01,C,11.569
03/07/22 02:23:01,C,11.569
03/07/22 02:53:01,C,12.069
03/07/22 03:23:01,C,11.569
03/07/22 03:53:01,C,11.569
03/07/22 04:23:01,C,11.569
03/07/22 04:53:01,C,11.067
03/07/22 05:23:01,C,11.067
03/07/22 05:53:01,C,11.067
03/07/22 06:23:01,C,11.569
03/07/22 06:53:01,C,11.569
03/07/22 07:23:01,C,11.569
03/07/22 07:53:01,C,11.569
03/07/22 08:23:01,C,12.069
03/07/22 08:53:01,C,12.069
03/07/22 09:23:01,C,12.069
03/07/22 09:53:01,C,12.069
03/07/22 10:23:01,C,12.57
03/07/22 10:53:01,C,12.57
03/07/22 11:23:01,C,13.071
03/07/22 11:53:01,C,13.572
03/07/22 12:23:01,C,13.572
03/07/22 12:53:01,C,13.572
03/07/22 13:23:01,C,14.574
03/07/22 13:53:01,C,14.574
03/07/22 14:23:01,C,14.073
03/07/22 14:53:01,C,14.073
03/07/22 15:23:01,C,14.574
03/07/22 15:53:01,C,14.574
03/07/22 16:23:01,C,14.574
03/07/22 16:53:01,C,13.572
03/07/22 17:23:01,C,13.071
03/07/22 17:53:01,C,13.572
03/07/22 18:23:01,C,13.071
03/07/22 18:53:01,C,13.071
03/07/22 19:23:01,C,12.57
03/07/22 19:53:01,C,13.071
03/07/22 20:23:01,C,13.071
03/07/22 20:53:01,C,12.57
03/07/22 21:23:01,C,12.57
03/07/22 21:53:01,C,12.57
03/07/22 22:23:01,C,12.069
03/07/22 22:53:01,C,12.069
03/07/22 23:23:01,C,12.069
03/07/22 23:53:01,C,12.069
04/07/22 00:23:01,C,12.069
04/07/22 00:53:01,C,12.069
04/07/22 01:23:01,C,12.069
04/07/22 01:53:01,C,11.569
04/07/22 02:23:01,C,11.067
04/07/22 02:53:01,C,11.067
04/07/22 03:23:01,C,10.566
04/07/22 03:53:01,C,10.566
04/07/22 04:23:01,C,10.566
04/07/22 04:53:01,C,10.566
04/07/22 05:23:01,C,10.566
04/07/22 05:53:01,C,10.566
04/07/22 06:23:01,C,10.566
04/07/22 06:53:01,C,10.566
04/07/22 07:23:01,C,10.566
04/07/22 07:53:01,C,10.566
04/07/22 08:23:01,C,10.566
04/07/22 08:53:01,C,11.067
04/07/22 09:23:01,C,11.067
04/07/22 09:53:01,C,10.566
04/07/22 10:23:01,C,11.067
04/07/22 10:53:01,C,11.569
04/07/22 11:23:01,C,12.57
04/07/22 11:53:01,C,12.069
04/07/22 12:23:01,C,13.071
04/07/22 12:53:01,C,12.57
04/07/22 13:23:01,C,12.069
04/07/22 13:53:01,C,13.572
04/07/22 14:23:01,C,13.071
04/07/22 14:53:01,C,13.071
04/07/22 15:23:01,C,13.572
04/07/22 15:53:01,C,13.071
04/07/22 16:23:01,C,13.071
04/07/22 16:53:01,C,13.071
04/07/22 17:23:01,C,13.572
04/07/22 17:53:01,C,13.071
04/07/22 18:23:01,C,13.071
04/07/22 18:53:01,C,13.071
04/07/22 19:23:01,C,12.57
04/07/22 19:53:01,C,12.57
04/07/22 20:23:01,C,12.069
04/07/22 20:53:01,C,12.069
04/07/22 21:23:01,C,12.069
04/07/22 21:53:01,C,11.569
04/07/22 22:23:01,C,11.569
04/07/22 22:53:01,C,11.067
04/07/22 23:23:01,C,10.566
04/07/22 23:53:01,C,10.566
05/07/22 00:23:01,C,10.065
05/07/22 00:53:01,C,10.065
05/07/22 01:23:01,C,10.065
05/07/22 01:53:01,C,10.065
05/07/22 02:23:01,C,10.065
05/07/22 02:53:01,C,10.065
05/07/22 03:23:01,C,10.065
05/07/22 03:53:01,C,10.065
05/07/22 04:23:01,C,10.065
05/07/22 04:53:01,C,9.564
05/07/22 05:23:01,C,9.564
05/07/22 05:53:01,C,9.564
05/07/22 06:23:01,C,9.564
05/07/22 06:53:01,C,10.566
05/07/22 07:23:01,C,11.067
05/07/22 07:53:01,C,11.067
05/07/22 08:23:01,C,11.067
05/07/22 08:53:01,C,11.569
05/07/22 09:23:01,C,11.569
05/07/22 09:53:01,C,12.069
05/07/22 10:23:01,C,12.57
05/07/22 10:53:01,C,12.069
05/07/22 11:23:01,C,13.071
05/07/22 11:53:01,C,14.073
05/07/22 12:23:01,C,14.574
05/07/22 12:53:01,C,14.574
05/07/22 13:23:01,C,14.073
05/07/22 13:53:01,C,14.574
05/07/22 14:23:01,C,15.075
05/07/22 14:53:01,C,15.575
05/07/22 15:23:01,C,15.075
05/07/22 15:53:01,C,15.075
05/07/22 16:23:01,C,14.574
05/07/22 16:53:01,C,14.574
05/07/22 17:23:01,C,14.574
05/07/22 17:53:01,C,14.574
05/07/22 18:23:01,C,14.073
05/07/22 18:53:01,C,14.073
05/07/22 19:23:01,C,13.572
05/07/22 19:53:01,C,13.071
05/07/22 20:23:01,C,13.071
05/07/22 20:53:01,C,12.57
05/07/22 21:23:01,C,12.57
05/07/22 21:53:01,C,12.57
05/07/22 22:23:01,C,12.069
05/07/22 22:53:01,C,12.069
05/07/22 23:23:01,C,11.569
05/07/22 23:53:01,C,11.569
06/07/22 00:23:01,C,11.569
06/07/22 00:53:01,C,11.569
06/07/22 01:23:01,C,12.069
06/07/22 01:53:01,C,12.069
06/07/22 02:23:01,C,12.069
06/07/22 02:53:01,C,12.57
06/07/22 03:23:01,C,12.57
06/07/22 03:53:01,C,13.071
06/07/22 04:23:01,C,13.071
06/07/22 04:53:01,C,13.071
06/07/22 05:23:01,C,13.071
06/07/22 05:53:01,C,13.071
06/07/22 06:23:01,C,13.071
06/07/22 06:53:01,C,13.071
06/07/22 07:23:01,C,12.57
06/07/22 07:53:01,C,13.071
06/07/22 08:23:01,C,13.071
06/07/22 08:53:01,C,13.071
06/07/22 09:23:01,C,13.071
06/07/22 09:53:01,C,13.071
06/07/22 10:23:01,C,13.071
06/07/22 10:53:01,C,13.071
06/07/22 11:23:01,C,13.071
06/07/22 11:53:01,C,13.071
06/07/22 12:23:01,C,13.071
06/07/22 12:53:01,C,13.572
06/07/22 13:23:01,C,13.572
06/07/22 13:53:01,C,13.572
06/07/22 14:23:01,C,13.572
06/07/22 14:53:01,C,14.073
06/07/22 15:23:01,C,14.073
06/07/22 15:53:01,C,14.073
06/07/22 16:23:01,C,14.073
06/07/22 16:53:01,C,14.073
06/07/22 17:23:01,C,14.073
06/07/22 17:53:01,C,14.073
06/07/22 18:23:01,C,14.073
06/07/22 18:53:01,C,14.073
06/07/22 19:23:01,C,14.073
06/07/22 19:53:01,C,14.073
06/07/22 20:23:01,C,13.572
06/07/22 20:53:01,C,13.071
06/07/22 21:23:01,C,12.57
06/07/22 21:53:01,C,12.069
06/07/22 22:23:01,C,12.069
06/07/22 22:53:01,C,12.069
06/07/22 23:23:01,C,12.069
06/07/22 23:53:01,C,12.069
07/07/22 00:23:01,C,12.069
07/07/22 00:53:01,C,12.069
07/07/22 01:23:01,C,12.069
07/07/22 01:53:01,C,12.069
07/07/22 02:23:01,C,12.069
07/07/22 02:53:01,C,12.069
07/07/22 03:23:01,C,11.569
07/07/22 03:53:01,C,11.569
07/07/22 04:23:01,C,11.569
07/07/22 04:53:01,C,11.569
07/07/22 05:23:01,C,11.569
07/07/22 05:53:01,C,11.569
07/07/22 06:23:01,C,11.569
07/07/22 06:53:01,C,12.069
07/07/22 07:23:01,C,12.069
07/07/22 07:53:01,C,12.57
07/07/22 08:23:01,C,12.57
07/07/22 08:53:01,C,13.071
07/07/22 09:23:01,C,14.073
07/07/22 09:53:01,C,14.073
07/07/22 10:23:01,C,15.075
07/07/22 10:53:01,C,15.075
07/07/22 11:23:01,C,15.075
07/07/22 11:53:01,C,16.076
07/07/22 12:23:01,C,16.577
07/07/22 12:53:01,C,16.577
07/07/22 13:23:01,C,16.577
07/07/22 13:53:01,C,16.076
07/07/22 14:23:01,C,16.076
07/07/22 14:53:01,C,16.577
07/07/22 15:23:01,C,16.577
07/07/22 15:53:01,C,17.077
07/07/22 16:23:01,C,17.578
07/07/22 16:53:01,C,17.077
07/07/22 17:23:01,C,17.077
07/07/22 17:53:01,C,16.076
07/07/22 18:23:01,C,16.577
07/07/22 18:53:01,C,16.577
07/07/22 19:23:01,C,16.577
07/07/22 19:53:01,C,16.076
07/07/22 20:23:01,C,15.575
07/07/22 20:53:01,C,15.075
07/07/22 21:23:01,C,14.574
07/07/22 21:53:01,C,14.574
07/07/22 22:23:01,C,13.572
07/07/22 22:53:01,C,12.57
07/07/22 23:23:01,C,13.071
07/07/22 23:53:01,C,12.57
08/07/22 00:23:01,C,12.069
08/07/22 00:53:01,C,12.57
08/07/22 01:23:01,C,12.57
08/07/22 01:53:01,C,12.069
