1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Thu May 19 08:52:01 BST 2022
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jul 03 01:52:01 BST 2022
Total Mission Samples:  6242
Total Device Samples:  14416
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
03/07/22 01:52:01,C,12.066
03/07/22 02:22:01,C,12.567
03/07/22 02:52:01,C,12.066
03/07/22 03:22:01,C,12.066
03/07/22 03:52:01,C,12.066
03/07/22 04:22:01,C,12.066
03/07/22 04:52:01,C,11.565
03/07/22 05:22:01,C,11.565
03/07/22 05:52:01,C,12.066
03/07/22 06:22:01,C,12.066
03/07/22 06:52:01,C,12.066
03/07/22 07:22:01,C,12.567
03/07/22 07:52:01,C,12.567
03/07/22 08:22:01,C,13.067
03/07/22 08:52:01,C,12.567
03/07/22 09:22:01,C,13.568
03/07/22 09:52:01,C,13.568
03/07/22 10:22:01,C,15.071
03/07/22 10:52:01,C,14.57
03/07/22 11:22:01,C,15.571
03/07/22 11:52:01,C,16.573
03/07/22 12:22:01,C,15.571
03/07/22 12:52:01,C,15.071
03/07/22 13:22:01,C,16.573
03/07/22 13:52:01,C,16.573
03/07/22 14:22:01,C,16.573
03/07/22 14:52:01,C,16.573
03/07/22 15:22:01,C,20.076
03/07/22 15:52:01,C,17.574
03/07/22 16:22:01,C,18.074
03/07/22 16:52:01,C,16.573
03/07/22 17:22:01,C,15.571
03/07/22 17:52:01,C,16.072
03/07/22 18:22:01,C,15.071
03/07/22 18:52:01,C,14.57
03/07/22 19:22:01,C,13.568
03/07/22 19:52:01,C,14.069
03/07/22 20:22:01,C,13.568
03/07/22 20:52:01,C,13.067
03/07/22 21:22:01,C,13.067
03/07/22 21:52:01,C,13.067
03/07/22 22:22:01,C,12.567
03/07/22 22:52:01,C,12.567
03/07/22 23:22:01,C,12.567
03/07/22 23:52:01,C,12.567
04/07/22 00:22:01,C,12.567
04/07/22 00:52:01,C,12.567
04/07/22 01:22:01,C,12.567
04/07/22 01:52:01,C,12.066
04/07/22 02:22:01,C,11.565
04/07/22 02:52:01,C,11.565
04/07/22 03:22:01,C,11.064
04/07/22 03:52:01,C,11.064
04/07/22 04:22:01,C,11.064
04/07/22 04:52:01,C,11.064
04/07/22 05:22:01,C,11.064
04/07/22 05:52:01,C,11.064
04/07/22 06:22:01,C,11.064
