1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3A0000007DAB2041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 03:30:01 BST 2023
Total Mission Samples:  5063
Total Device Samples:  19921
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/06/2023, 03:30:01,C,6.602
06/06/2023, 04:00:01,C,6.602
06/06/2023, 04:30:01,C,6.1
06/06/2023, 05:00:01,C,5.599
06/06/2023, 05:30:01,C,6.1
06/06/2023, 06:00:01,C,6.1
06/06/2023, 06:30:01,C,7.605
06/06/2023, 07:00:01,C,8.607
06/06/2023, 07:30:01,C,9.61
06/06/2023, 08:00:01,C,10.111
06/06/2023, 08:30:01,C,10.612
06/06/2023, 09:00:01,C,11.113
06/06/2023, 09:30:01,C,11.614
06/06/2023, 10:00:01,C,12.115
06/06/2023, 10:30:01,C,13.618
06/06/2023, 11:00:01,C,14.62
06/06/2023, 11:30:01,C,15.121
06/06/2023, 12:00:01,C,15.621
06/06/2023, 12:30:01,C,16.122
06/06/2023, 13:00:01,C,16.122
06/06/2023, 13:30:01,C,17.123
06/06/2023, 14:00:01,C,17.123
06/06/2023, 14:30:01,C,17.123
06/06/2023, 15:00:01,C,17.624
06/06/2023, 15:30:01,C,17.624
06/06/2023, 16:00:01,C,18.125
06/06/2023, 16:30:01,C,17.123
06/06/2023, 17:00:01,C,18.125
06/06/2023, 17:30:01,C,18.625
06/06/2023, 18:00:01,C,18.125
06/06/2023, 18:30:01,C,18.625
06/06/2023, 19:00:01,C,17.624
06/06/2023, 19:30:01,C,15.621
06/06/2023, 20:00:01,C,14.62
06/06/2023, 20:30:01,C,14.119
06/06/2023, 21:00:01,C,12.616
06/06/2023, 21:30:01,C,12.115
06/06/2023, 22:00:01,C,11.113
06/06/2023, 22:30:01,C,10.612
06/06/2023, 23:00:01,C,10.612
06/06/2023, 23:30:01,C,9.61
07/06/2023, 00:00:01,C,9.109
07/06/2023, 00:30:01,C,8.106
07/06/2023, 01:00:01,C,8.106
07/06/2023, 01:30:01,C,8.607
07/06/2023, 02:00:01,C,8.607
07/06/2023, 02:30:01,C,8.607
07/06/2023, 03:00:01,C,8.607
07/06/2023, 03:30:01,C,8.607
07/06/2023, 04:00:01,C,9.109
07/06/2023, 04:30:01,C,9.109
07/06/2023, 05:00:01,C,9.109
07/06/2023, 05:30:01,C,9.109
07/06/2023, 06:00:01,C,9.109
07/06/2023, 06:30:01,C,9.109
07/06/2023, 07:00:01,C,9.61
07/06/2023, 07:30:01,C,10.111
07/06/2023, 08:00:01,C,10.612
07/06/2023, 08:30:01,C,12.115
07/06/2023, 09:00:01,C,12.115
07/06/2023, 09:30:01,C,12.115
07/06/2023, 10:00:01,C,12.616
07/06/2023, 10:30:01,C,13.618
07/06/2023, 11:00:01,C,13.618
07/06/2023, 11:30:01,C,14.62
07/06/2023, 12:00:01,C,14.62
07/06/2023, 12:30:01,C,15.621
07/06/2023, 13:00:01,C,16.623
07/06/2023, 13:30:01,C,16.623
07/06/2023, 14:00:01,C,17.123
07/06/2023, 14:30:01,C,17.123
07/06/2023, 15:00:01,C,17.624
07/06/2023, 15:30:01,C,17.123
07/06/2023, 16:00:01,C,17.624
07/06/2023, 16:30:01,C,17.624
07/06/2023, 17:00:01,C,17.624
07/06/2023, 17:30:01,C,18.625
07/06/2023, 18:00:01,C,17.123
07/06/2023, 18:30:01,C,17.123
07/06/2023, 19:00:01,C,16.122
07/06/2023, 19:30:01,C,14.62
07/06/2023, 20:00:01,C,14.119
07/06/2023, 20:30:01,C,13.618
07/06/2023, 21:00:01,C,13.117
07/06/2023, 21:30:01,C,12.115
07/06/2023, 22:00:01,C,11.614
07/06/2023, 22:30:01,C,11.614
07/06/2023, 23:00:01,C,11.113
07/06/2023, 23:30:01,C,11.113
08/06/2023, 00:00:01,C,10.111
08/06/2023, 00:30:01,C,9.61
08/06/2023, 01:00:01,C,9.109
08/06/2023, 01:30:01,C,8.607
08/06/2023, 02:00:01,C,8.607
08/06/2023, 02:30:01,C,8.607
08/06/2023, 03:00:01,C,8.106
08/06/2023, 03:30:01,C,8.607
08/06/2023, 04:00:01,C,8.106
08/06/2023, 04:30:01,C,8.607
08/06/2023, 05:00:01,C,8.607
08/06/2023, 05:30:01,C,8.607
08/06/2023, 06:00:01,C,8.106
08/06/2023, 06:30:01,C,8.607
08/06/2023, 07:00:01,C,9.109
08/06/2023, 07:30:01,C,10.111
08/06/2023, 08:00:01,C,11.113
08/06/2023, 08:30:01,C,12.115
08/06/2023, 09:00:01,C,12.616
08/06/2023, 09:30:01,C,13.117
08/06/2023, 10:00:01,C,13.117
08/06/2023, 10:30:01,C,14.119
08/06/2023, 11:00:01,C,15.121
08/06/2023, 11:30:01,C,15.121
08/06/2023, 12:00:01,C,15.621
08/06/2023, 12:30:01,C,16.623
08/06/2023, 13:00:01,C,16.623
08/06/2023, 13:30:01,C,17.123
08/06/2023, 14:00:01,C,17.624
08/06/2023, 14:30:01,C,18.125
08/06/2023, 15:00:01,C,18.125
08/06/2023, 15:30:01,C,17.624
08/06/2023, 16:00:01,C,18.125
08/06/2023, 16:30:01,C,18.625
08/06/2023, 17:00:01,C,18.625
08/06/2023, 17:30:01,C,19.126
08/06/2023, 18:00:01,C,18.625
08/06/2023, 18:30:01,C,18.625
08/06/2023, 19:00:01,C,17.123
08/06/2023, 19:30:01,C,15.621
08/06/2023, 20:00:01,C,15.121
08/06/2023, 20:30:01,C,14.119
08/06/2023, 21:00:01,C,13.618
08/06/2023, 21:30:01,C,12.616
08/06/2023, 22:00:01,C,12.115
08/06/2023, 22:30:01,C,11.113
08/06/2023, 23:00:01,C,10.612
08/06/2023, 23:30:01,C,10.612
09/06/2023, 00:00:01,C,10.111
09/06/2023, 00:30:01,C,10.111
09/06/2023, 01:00:01,C,9.61
09/06/2023, 01:30:01,C,9.109
09/06/2023, 02:00:01,C,10.111
09/06/2023, 02:30:01,C,9.61
09/06/2023, 03:00:01,C,9.109
09/06/2023, 03:30:01,C,9.109
09/06/2023, 04:00:01,C,8.607
09/06/2023, 04:30:01,C,9.109
09/06/2023, 05:00:01,C,9.109
09/06/2023, 05:30:01,C,9.109
09/06/2023, 06:00:01,C,9.61
09/06/2023, 06:30:01,C,9.109
09/06/2023, 07:00:01,C,11.113
09/06/2023, 07:30:01,C,12.115
09/06/2023, 08:00:01,C,14.119
09/06/2023, 08:30:01,C,14.62
09/06/2023, 09:00:01,C,15.621
09/06/2023, 09:30:01,C,15.621
09/06/2023, 10:00:01,C,17.123
09/06/2023, 10:30:01,C,19.126
09/06/2023, 11:00:01,C,19.126
