1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3A0000007DAB2041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 03:30:01 BST 2023
Total Mission Samples:  5063
Total Device Samples:  19921
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/06/2023, 03:30:01,%RH,95.445
06/06/2023, 04:00:01,%RH,98.062
06/06/2023, 04:30:01,%RH,95.971
06/06/2023, 05:00:01,%RH,99.097
06/06/2023, 05:30:01,%RH,98.062
06/06/2023, 06:00:01,%RH,99.097
06/06/2023, 06:30:01,%RH,98.062
06/06/2023, 07:00:01,%RH,96.496
06/06/2023, 07:30:01,%RH,95.445
06/06/2023, 08:00:01,%RH,94.387
06/06/2023, 08:30:01,%RH,92.789
06/06/2023, 09:00:01,%RH,89.55
06/06/2023, 09:30:01,%RH,87.359
06/06/2023, 10:00:01,%RH,82.339
06/06/2023, 10:30:01,%RH,74.276
06/06/2023, 11:00:01,%RH,70.13
06/06/2023, 11:30:01,%RH,67.121
06/06/2023, 12:00:01,%RH,67.726
06/06/2023, 12:30:01,%RH,64.686
06/06/2023, 13:00:01,%RH,63.459
06/06/2023, 13:30:01,%RH,60.986
06/06/2023, 14:00:01,%RH,60.986
06/06/2023, 14:30:01,%RH,58.488
06/06/2023, 15:00:01,%RH,58.488
06/06/2023, 15:30:01,%RH,58.488
06/06/2023, 16:00:01,%RH,61.606
06/06/2023, 16:30:01,%RH,61.606
06/06/2023, 17:00:01,%RH,57.859
06/06/2023, 17:30:01,%RH,55.33
06/06/2023, 18:00:01,%RH,54.694
06/06/2023, 18:30:01,%RH,53.417
06/06/2023, 19:00:01,%RH,59.115
06/06/2023, 19:30:01,%RH,68.931
06/06/2023, 20:00:01,%RH,70.13
06/06/2023, 20:30:01,%RH,70.727
06/06/2023, 21:00:01,%RH,76.03
06/06/2023, 21:30:01,%RH,78.346
06/06/2023, 22:00:01,%RH,80.637
06/06/2023, 22:30:01,%RH,81.206
06/06/2023, 23:00:01,%RH,82.903
06/06/2023, 23:30:01,%RH,86.808
07/06/2023, 00:00:01,%RH,87.359
07/06/2023, 00:30:01,%RH,91.176
07/06/2023, 01:00:01,%RH,92.789
07/06/2023, 01:30:01,%RH,93.323
07/06/2023, 02:00:01,%RH,91.176
07/06/2023, 02:30:01,%RH,91.715
07/06/2023, 03:00:01,%RH,91.176
07/06/2023, 03:30:01,%RH,89.55
07/06/2023, 04:00:01,%RH,88.458
07/06/2023, 04:30:01,%RH,87.359
07/06/2023, 05:00:01,%RH,87.909
07/06/2023, 05:30:01,%RH,86.808
07/06/2023, 06:00:01,%RH,84.586
07/06/2023, 06:30:01,%RH,85.7
07/06/2023, 07:00:01,%RH,84.586
07/06/2023, 07:30:01,%RH,82.339
07/06/2023, 08:00:01,%RH,81.206
07/06/2023, 08:30:01,%RH,75.447
07/06/2023, 09:00:01,%RH,74.862
07/06/2023, 09:30:01,%RH,71.916
07/06/2023, 10:00:01,%RH,72.508
07/06/2023, 10:30:01,%RH,69.531
07/06/2023, 11:00:01,%RH,66.514
07/06/2023, 11:30:01,%RH,64.686
07/06/2023, 12:00:01,%RH,64.686
07/06/2023, 12:30:01,%RH,62.225
07/06/2023, 13:00:01,%RH,59.115
07/06/2023, 13:30:01,%RH,59.74
07/06/2023, 14:00:01,%RH,59.115
07/06/2023, 14:30:01,%RH,58.488
07/06/2023, 15:00:01,%RH,55.965
07/06/2023, 15:30:01,%RH,57.859
07/06/2023, 16:00:01,%RH,57.859
07/06/2023, 16:30:01,%RH,55.33
07/06/2023, 17:00:01,%RH,55.965
07/06/2023, 17:30:01,%RH,55.965
07/06/2023, 18:00:01,%RH,57.229
07/06/2023, 18:30:01,%RH,57.859
07/06/2023, 19:00:01,%RH,61.606
07/06/2023, 19:30:01,%RH,65.297
07/06/2023, 20:00:01,%RH,67.726
07/06/2023, 20:30:01,%RH,70.13
07/06/2023, 21:00:01,%RH,72.508
07/06/2023, 21:30:01,%RH,73.099
07/06/2023, 22:00:01,%RH,75.447
07/06/2023, 22:30:01,%RH,76.611
07/06/2023, 23:00:01,%RH,77.191
07/06/2023, 23:30:01,%RH,77.191
08/06/2023, 00:00:01,%RH,79.494
08/06/2023, 00:30:01,%RH,81.773
08/06/2023, 01:00:01,%RH,84.586
08/06/2023, 01:30:01,%RH,85.7
08/06/2023, 02:00:01,%RH,85.7
08/06/2023, 02:30:01,%RH,85.7
08/06/2023, 03:00:01,%RH,86.255
08/06/2023, 03:30:01,%RH,83.465
08/06/2023, 04:00:01,%RH,82.339
08/06/2023, 04:30:01,%RH,81.773
08/06/2023, 05:00:01,%RH,80.066
08/06/2023, 05:30:01,%RH,82.339
08/06/2023, 06:00:01,%RH,85.7
08/06/2023, 06:30:01,%RH,84.586
08/06/2023, 07:00:01,%RH,82.903
08/06/2023, 07:30:01,%RH,78.921
08/06/2023, 08:00:01,%RH,75.447
08/06/2023, 08:30:01,%RH,73.099
08/06/2023, 09:00:01,%RH,69.531
08/06/2023, 09:30:01,%RH,67.121
08/06/2023, 10:00:01,%RH,67.726
08/06/2023, 10:30:01,%RH,64.686
08/06/2023, 11:00:01,%RH,62.843
08/06/2023, 11:30:01,%RH,62.843
08/06/2023, 12:00:01,%RH,62.225
08/06/2023, 12:30:01,%RH,60.986
08/06/2023, 13:00:01,%RH,59.115
08/06/2023, 13:30:01,%RH,58.488
08/06/2023, 14:00:01,%RH,57.229
08/06/2023, 14:30:01,%RH,54.056
08/06/2023, 15:00:01,%RH,51.489
08/06/2023, 15:30:01,%RH,52.133
08/06/2023, 16:00:01,%RH,49.547
08/06/2023, 16:30:01,%RH,50.196
08/06/2023, 17:00:01,%RH,50.843
08/06/2023, 17:30:01,%RH,52.133
08/06/2023, 18:00:01,%RH,53.417
08/06/2023, 18:30:01,%RH,54.694
08/06/2023, 19:00:01,%RH,57.229
08/06/2023, 19:30:01,%RH,60.986
08/06/2023, 20:00:01,%RH,64.686
08/06/2023, 20:30:01,%RH,67.121
08/06/2023, 21:00:01,%RH,67.726
08/06/2023, 21:30:01,%RH,70.727
08/06/2023, 22:00:01,%RH,71.916
08/06/2023, 22:30:01,%RH,76.611
08/06/2023, 23:00:01,%RH,77.769
08/06/2023, 23:30:01,%RH,75.447
09/06/2023, 00:00:01,%RH,77.191
09/06/2023, 00:30:01,%RH,76.03
09/06/2023, 01:00:01,%RH,78.346
09/06/2023, 01:30:01,%RH,77.191
09/06/2023, 02:00:01,%RH,71.916
09/06/2023, 02:30:01,%RH,73.688
09/06/2023, 03:00:01,%RH,74.862
09/06/2023, 03:30:01,%RH,72.508
09/06/2023, 04:00:01,%RH,74.862
09/06/2023, 04:30:01,%RH,72.508
09/06/2023, 05:00:01,%RH,71.916
09/06/2023, 05:30:01,%RH,74.862
09/06/2023, 06:00:01,%RH,74.276
09/06/2023, 06:30:01,%RH,80.066
09/06/2023, 07:00:01,%RH,74.276
09/06/2023, 07:30:01,%RH,71.322
09/06/2023, 08:00:01,%RH,62.225
09/06/2023, 08:30:01,%RH,57.859
09/06/2023, 09:00:01,%RH,57.229
09/06/2023, 09:30:01,%RH,58.488
09/06/2023, 10:00:01,%RH,57.229
09/06/2023, 10:30:01,%RH,57.229
09/06/2023, 11:00:01,%RH,55.965
