1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 410000007F072241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:00:01 BST 2023
Total Mission Samples:  5018
Total Device Samples:  17489
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:00:01,%RH,96.637
05/06/2023, 05:30:01,%RH,99.152
05/06/2023, 06:00:01,%RH,99.649
05/06/2023, 06:30:01,%RH,98.652
05/06/2023, 07:00:01,%RH,92.522
05/06/2023, 07:30:01,%RH,84.497
05/06/2023, 08:00:01,%RH,82.289
05/06/2023, 08:30:01,%RH,78.357
05/06/2023, 09:00:01,%RH,76.071
05/06/2023, 09:30:01,%RH,72.001
05/06/2023, 10:00:01,%RH,68.443
05/06/2023, 10:30:01,%RH,70.822
05/06/2023, 11:00:01,%RH,69.04
05/06/2023, 11:30:01,%RH,72.001
05/06/2023, 12:00:01,%RH,68.443
05/06/2023, 12:30:01,%RH,67.843
05/06/2023, 13:00:01,%RH,69.636
05/06/2023, 13:30:01,%RH,71.412
05/06/2023, 14:00:01,%RH,69.04
05/06/2023, 14:30:01,%RH,70.23
05/06/2023, 15:00:01,%RH,69.04
05/06/2023, 15:30:01,%RH,67.843
05/06/2023, 16:00:01,%RH,70.23
05/06/2023, 16:30:01,%RH,70.23
05/06/2023, 17:00:01,%RH,72.587
05/06/2023, 17:30:01,%RH,74.337
05/06/2023, 18:00:01,%RH,78.357
05/06/2023, 18:30:01,%RH,77.788
05/06/2023, 19:00:01,%RH,76.645
05/06/2023, 19:30:01,%RH,74.337
05/06/2023, 20:00:01,%RH,67.242
05/06/2023, 20:30:01,%RH,78.924
05/06/2023, 21:00:01,%RH,77.217
05/06/2023, 21:30:01,%RH,78.357
05/06/2023, 22:00:01,%RH,81.175
05/06/2023, 22:30:01,%RH,85.59
05/06/2023, 23:00:01,%RH,88.292
05/06/2023, 23:30:01,%RH,89.36
06/06/2023, 00:00:01,%RH,91.475
06/06/2023, 00:30:01,%RH,93.042
06/06/2023, 01:00:01,%RH,93.561
06/06/2023, 01:30:01,%RH,94.079
06/06/2023, 02:00:01,%RH,95.107
06/06/2023, 02:30:01,%RH,96.129
06/06/2023, 03:00:01,%RH,96.637
06/06/2023, 03:30:01,%RH,96.637
06/06/2023, 04:00:01,%RH,97.648
06/06/2023, 04:30:01,%RH,97.144
06/06/2023, 05:00:01,%RH,97.648
06/06/2023, 05:30:01,%RH,99.649
06/06/2023, 06:00:01,%RH,100.639
06/06/2023, 06:30:01,%RH,99.649
06/06/2023, 07:00:01,%RH,97.648
06/06/2023, 07:30:01,%RH,97.144
06/06/2023, 08:00:01,%RH,97.144
06/06/2023, 08:30:01,%RH,95.619
06/06/2023, 09:00:01,%RH,93.042
06/06/2023, 09:30:01,%RH,91.999
06/06/2023, 10:00:01,%RH,87.755
06/06/2023, 10:30:01,%RH,78.924
06/06/2023, 11:00:01,%RH,73.756
06/06/2023, 11:30:01,%RH,71.412
06/06/2023, 12:00:01,%RH,69.04
06/06/2023, 12:30:01,%RH,64.82
06/06/2023, 13:00:01,%RH,63.599
06/06/2023, 13:30:01,%RH,60.513
06/06/2023, 14:00:01,%RH,59.266
06/06/2023, 14:30:01,%RH,56.118
06/06/2023, 15:00:01,%RH,57.383
06/06/2023, 15:30:01,%RH,63.599
06/06/2023, 16:00:01,%RH,56.752
06/06/2023, 16:30:01,%RH,63.599
06/06/2023, 17:00:01,%RH,67.242
06/06/2023, 17:30:01,%RH,66.035
06/06/2023, 18:00:01,%RH,63.599
06/06/2023, 18:30:01,%RH,70.23
06/06/2023, 19:00:01,%RH,65.429
06/06/2023, 19:30:01,%RH,75.495
06/06/2023, 20:00:01,%RH,78.357
06/06/2023, 20:30:01,%RH,74.337
06/06/2023, 21:00:01,%RH,82.844
06/06/2023, 21:30:01,%RH,86.134
06/06/2023, 22:00:01,%RH,85.044
06/06/2023, 22:30:01,%RH,87.217
06/06/2023, 23:00:01,%RH,89.36
06/06/2023, 23:30:01,%RH,89.36
07/06/2023, 00:00:01,%RH,88.827
07/06/2023, 00:30:01,%RH,89.36
07/06/2023, 01:00:01,%RH,91.475
07/06/2023, 01:30:01,%RH,92.522
07/06/2023, 02:00:01,%RH,93.042
07/06/2023, 02:30:01,%RH,93.042
07/06/2023, 03:00:01,%RH,93.042
07/06/2023, 03:30:01,%RH,91.999
07/06/2023, 04:00:01,%RH,91.999
07/06/2023, 04:30:01,%RH,91.999
07/06/2023, 05:00:01,%RH,91.999
07/06/2023, 05:30:01,%RH,89.36
07/06/2023, 06:00:01,%RH,86.676
07/06/2023, 06:30:01,%RH,87.755
07/06/2023, 07:00:01,%RH,87.217
07/06/2023, 07:30:01,%RH,85.044
07/06/2023, 08:00:01,%RH,83.397
07/06/2023, 08:30:01,%RH,80.053
07/06/2023, 09:00:01,%RH,73.172
07/06/2023, 09:30:01,%RH,77.788
07/06/2023, 10:00:01,%RH,72.587
07/06/2023, 10:30:01,%RH,71.412
07/06/2023, 11:00:01,%RH,69.04
07/06/2023, 11:30:01,%RH,64.82
07/06/2023, 12:00:01,%RH,62.37
07/06/2023, 12:30:01,%RH,60.513
07/06/2023, 13:00:01,%RH,59.891
07/06/2023, 13:30:01,%RH,58.013
07/06/2023, 14:00:01,%RH,58.64
07/06/2023, 14:30:01,%RH,58.64
07/06/2023, 15:00:01,%RH,58.013
07/06/2023, 15:30:01,%RH,55.483
07/06/2023, 16:00:01,%RH,57.383
07/06/2023, 16:30:01,%RH,57.383
07/06/2023, 17:00:01,%RH,60.513
07/06/2023, 17:30:01,%RH,61.134
07/06/2023, 18:00:01,%RH,61.753
07/06/2023, 18:30:01,%RH,65.429
07/06/2023, 19:00:01,%RH,67.843
07/06/2023, 19:30:01,%RH,69.636
07/06/2023, 20:00:01,%RH,70.822
07/06/2023, 20:30:01,%RH,73.172
07/06/2023, 21:00:01,%RH,74.337
07/06/2023, 21:30:01,%RH,78.924
07/06/2023, 22:00:01,%RH,80.053
07/06/2023, 22:30:01,%RH,80.615
07/06/2023, 23:00:01,%RH,82.289
07/06/2023, 23:30:01,%RH,82.289
08/06/2023, 00:00:01,%RH,85.59
08/06/2023, 00:30:01,%RH,86.676
08/06/2023, 01:00:01,%RH,89.36
08/06/2023, 01:30:01,%RH,88.292
