1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 06:00:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  20643
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 06:00:01,%RH,104.352
05/06/2023, 06:30:01,%RH,102.963
05/06/2023, 07:00:01,%RH,102.497
05/06/2023, 07:30:01,%RH,91.805
05/06/2023, 08:00:01,%RH,87.713
05/06/2023, 08:30:01,%RH,78.105
05/06/2023, 09:00:01,%RH,77.555
05/06/2023, 09:30:01,%RH,73.657
05/06/2023, 10:00:01,%RH,69.676
05/06/2023, 10:30:01,%RH,65.024
05/06/2023, 11:00:01,%RH,66.781
05/06/2023, 11:30:01,%RH,70.25
05/06/2023, 12:00:01,%RH,66.197
05/06/2023, 12:30:01,%RH,65.611
05/06/2023, 13:00:01,%RH,70.822
05/06/2023, 13:30:01,%RH,68.523
05/06/2023, 14:00:01,%RH,59.659
05/06/2023, 14:30:01,%RH,63.843
05/06/2023, 15:00:01,%RH,60.863
05/06/2023, 15:30:01,%RH,55.391
05/06/2023, 16:00:01,%RH,66.781
05/06/2023, 16:30:01,%RH,64.434
05/06/2023, 17:00:01,%RH,69.1
05/06/2023, 17:30:01,%RH,71.392
05/06/2023, 18:00:01,%RH,74.779
05/06/2023, 18:30:01,%RH,75.338
05/06/2023, 19:00:01,%RH,67.944
05/06/2023, 19:30:01,%RH,65.024
05/06/2023, 20:00:01,%RH,69.676
05/06/2023, 20:30:01,%RH,78.653
05/06/2023, 21:00:01,%RH,82.443
05/06/2023, 21:30:01,%RH,84.042
05/06/2023, 22:00:01,%RH,88.23
05/06/2023, 22:30:01,%RH,91.3
05/06/2023, 23:00:01,%RH,94.308
05/06/2023, 23:30:01,%RH,95.297
06/06/2023, 00:00:01,%RH,97.739
06/06/2023, 00:30:01,%RH,98.223
06/06/2023, 01:00:01,%RH,100.139
06/06/2023, 01:30:01,%RH,100.614
06/06/2023, 02:00:01,%RH,101.087
06/06/2023, 02:30:01,%RH,101.559
06/06/2023, 03:00:01,%RH,102.029
06/06/2023, 03:30:01,%RH,102.029
06/06/2023, 04:00:01,%RH,102.029
06/06/2023, 04:30:01,%RH,103.428
06/06/2023, 05:00:01,%RH,103.428
06/06/2023, 05:30:01,%RH,104.811
06/06/2023, 06:00:01,%RH,103.891
06/06/2023, 06:30:01,%RH,103.891
06/06/2023, 07:00:01,%RH,101.559
06/06/2023, 07:30:01,%RH,98.223
06/06/2023, 08:00:01,%RH,99.184
06/06/2023, 08:30:01,%RH,95.297
06/06/2023, 09:00:01,%RH,92.309
06/06/2023, 09:30:01,%RH,89.26
06/06/2023, 10:00:01,%RH,83.511
06/06/2023, 10:30:01,%RH,77.003
06/06/2023, 11:00:01,%RH,71.392
06/06/2023, 11:30:01,%RH,72.528
06/06/2023, 12:00:01,%RH,65.611
06/06/2023, 12:30:01,%RH,67.944
06/06/2023, 13:00:01,%RH,60.863
06/06/2023, 13:30:01,%RH,54.774
06/06/2023, 14:00:01,%RH,54.156
06/06/2023, 14:30:01,%RH,49.781
06/06/2023, 15:00:01,%RH,44.678
06/06/2023, 15:30:01,%RH,52.915
06/06/2023, 16:00:01,%RH,46.604
06/06/2023, 16:30:01,%RH,54.156
06/06/2023, 17:00:01,%RH,63.251
06/06/2023, 17:30:01,%RH,57.84
06/06/2023, 18:00:01,%RH,52.915
06/06/2023, 18:30:01,%RH,56.006
06/06/2023, 19:00:01,%RH,59.659
06/06/2023, 19:30:01,%RH,71.392
06/06/2023, 20:00:01,%RH,76.45
06/06/2023, 20:30:01,%RH,78.105
06/06/2023, 21:00:01,%RH,82.443
06/06/2023, 21:30:01,%RH,90.792
06/06/2023, 22:00:01,%RH,92.811
06/06/2023, 22:30:01,%RH,95.297
06/06/2023, 23:00:01,%RH,95.789
06/06/2023, 23:30:01,%RH,97.739
07/06/2023, 00:00:01,%RH,93.811
07/06/2023, 00:30:01,%RH,92.309
07/06/2023, 01:00:01,%RH,94.803
07/06/2023, 01:30:01,%RH,96.279
07/06/2023, 02:00:01,%RH,96.767
07/06/2023, 02:30:01,%RH,97.254
07/06/2023, 03:00:01,%RH,95.789
07/06/2023, 03:30:01,%RH,93.811
07/06/2023, 04:00:01,%RH,95.297
07/06/2023, 04:30:01,%RH,92.309
07/06/2023, 05:00:01,%RH,91.3
07/06/2023, 05:30:01,%RH,89.773
07/06/2023, 06:00:01,%RH,87.713
07/06/2023, 06:30:01,%RH,88.23
07/06/2023, 07:00:01,%RH,86.15
07/06/2023, 07:30:01,%RH,85.625
07/06/2023, 08:00:01,%RH,81.369
07/06/2023, 08:30:01,%RH,75.338
07/06/2023, 09:00:01,%RH,70.822
07/06/2023, 09:30:01,%RH,76.45
07/06/2023, 10:00:01,%RH,74.779
07/06/2023, 10:30:01,%RH,69.1
07/06/2023, 11:00:01,%RH,67.944
07/06/2023, 11:30:01,%RH,63.843
07/06/2023, 12:00:01,%RH,60.863
07/06/2023, 12:30:01,%RH,59.659
07/06/2023, 13:00:01,%RH,59.054
07/06/2023, 13:30:01,%RH,56.619
07/06/2023, 14:00:01,%RH,58.448
07/06/2023, 14:30:01,%RH,51.666
07/06/2023, 15:00:01,%RH,47.88
07/06/2023, 15:30:01,%RH,49.149
07/06/2023, 16:00:01,%RH,42.736
07/06/2023, 16:30:01,%RH,47.88
07/06/2023, 17:00:01,%RH,50.411
07/06/2023, 17:30:01,%RH,56.006
07/06/2023, 18:00:01,%RH,56.619
07/06/2023, 18:30:01,%RH,60.262
07/06/2023, 19:00:01,%RH,62.06
07/06/2023, 19:30:01,%RH,70.822
07/06/2023, 20:00:01,%RH,71.961
07/06/2023, 20:30:01,%RH,77.003
07/06/2023, 21:00:01,%RH,77.555
07/06/2023, 21:30:01,%RH,79.745
07/06/2023, 22:00:01,%RH,80.829
07/06/2023, 22:30:01,%RH,82.978
07/06/2023, 23:00:01,%RH,86.15
07/06/2023, 23:30:01,%RH,84.571
08/06/2023, 00:00:01,%RH,86.672
08/06/2023, 00:30:01,%RH,88.23
08/06/2023, 01:00:01,%RH,90.283
08/06/2023, 01:30:01,%RH,90.792
08/06/2023, 02:00:01,%RH,90.792
08/06/2023, 02:30:01,%RH,89.26
08/06/2023, 03:00:01,%RH,90.283
08/06/2023, 03:30:01,%RH,90.283
08/06/2023, 04:00:01,%RH,89.26
08/06/2023, 04:30:01,%RH,88.23
08/06/2023, 05:00:01,%RH,89.26
08/06/2023, 05:30:01,%RH,90.792
08/06/2023, 06:00:01,%RH,88.746
08/06/2023, 06:30:01,%RH,86.672
08/06/2023, 07:00:01,%RH,87.193
08/06/2023, 07:30:01,%RH,80.829
08/06/2023, 08:00:01,%RH,77.555
08/06/2023, 08:30:01,%RH,74.779
08/06/2023, 09:00:01,%RH,71.392
08/06/2023, 09:30:01,%RH,69.676
08/06/2023, 10:00:01,%RH,67.944
08/06/2023, 10:30:01,%RH,62.06
08/06/2023, 11:00:01,%RH,62.656
08/06/2023, 11:30:01,%RH,60.863
08/06/2023, 12:00:01,%RH,61.462
08/06/2023, 12:30:01,%RH,58.448
08/06/2023, 13:00:01,%RH,57.84
08/06/2023, 13:30:01,%RH,53.536
08/06/2023, 14:00:01,%RH,53.536
08/06/2023, 14:30:01,%RH,51.039
08/06/2023, 15:00:01,%RH,44.678
08/06/2023, 15:30:01,%RH,51.666
08/06/2023, 16:00:01,%RH,44.032
08/06/2023, 16:30:01,%RH,47.88
08/06/2023, 17:00:01,%RH,49.149
08/06/2023, 17:30:01,%RH,53.536
08/06/2023, 18:00:01,%RH,54.774
08/06/2023, 18:30:01,%RH,55.391
08/06/2023, 19:00:01,%RH,60.262
08/06/2023, 19:30:01,%RH,65.024
08/06/2023, 20:00:01,%RH,67.944
08/06/2023, 20:30:01,%RH,70.25
08/06/2023, 21:00:01,%RH,72.528
08/06/2023, 21:30:01,%RH,74.219
08/06/2023, 22:00:01,%RH,79.745
08/06/2023, 22:30:01,%RH,80.288
08/06/2023, 23:00:01,%RH,81.907
08/06/2023, 23:30:01,%RH,81.907
09/06/2023, 00:00:01,%RH,81.907
09/06/2023, 00:30:01,%RH,81.907
09/06/2023, 01:00:01,%RH,78.653
09/06/2023, 01:30:01,%RH,77.003
09/06/2023, 02:00:01,%RH,78.653
09/06/2023, 02:30:01,%RH,82.443
09/06/2023, 03:00:01,%RH,81.907
09/06/2023, 03:30:01,%RH,78.653
09/06/2023, 04:00:01,%RH,78.653
09/06/2023, 04:30:01,%RH,79.745
09/06/2023, 05:00:01,%RH,75.338
09/06/2023, 05:30:01,%RH,73.657
09/06/2023, 06:00:01,%RH,72.528
09/06/2023, 06:30:01,%RH,72.528
09/06/2023, 07:00:01,%RH,71.961
09/06/2023, 07:30:01,%RH,67.944
09/06/2023, 08:00:01,%RH,60.262
09/06/2023, 08:30:01,%RH,59.659
09/06/2023, 09:00:01,%RH,58.448
09/06/2023, 09:30:01,%RH,59.054
09/06/2023, 10:00:01,%RH,58.448
09/06/2023, 10:30:01,%RH,57.84
09/06/2023, 11:00:01,%RH,57.23
09/06/2023, 11:30:01,%RH,57.84
09/06/2023, 12:00:01,%RH,54.156
09/06/2023, 12:30:01,%RH,54.156
09/06/2023, 13:00:01,%RH,51.666
09/06/2023, 13:30:01,%RH,49.781
09/06/2023, 14:00:01,%RH,42.736
09/06/2023, 14:30:01,%RH,40.123
09/06/2023, 15:00:01,%RH,35.484
09/06/2023, 15:30:01,%RH,35.484
09/06/2023, 16:00:01,%RH,35.484
09/06/2023, 16:30:01,%RH,39.465
09/06/2023, 17:00:01,%RH,43.385
09/06/2023, 17:30:01,%RH,47.243
09/06/2023, 18:00:01,%RH,50.411
09/06/2023, 18:30:01,%RH,50.411
09/06/2023, 19:00:01,%RH,53.536
09/06/2023, 19:30:01,%RH,58.448
09/06/2023, 20:00:01,%RH,61.462
09/06/2023, 20:30:01,%RH,63.843
09/06/2023, 21:00:01,%RH,64.434
09/06/2023, 21:30:01,%RH,66.197
09/06/2023, 22:00:01,%RH,62.656
