1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 02:59:01 BST 2023
Total Mission Samples:  5062
Total Device Samples:  21941
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/06/2023, 02:59:01,C,7.552
06/06/2023, 03:29:01,C,7.051
06/06/2023, 03:59:01,C,6.048
06/06/2023, 04:29:01,C,6.048
06/06/2023, 04:59:01,C,5.547
06/06/2023, 05:29:01,C,6.549
06/06/2023, 05:59:01,C,7.051
06/06/2023, 06:29:01,C,8.555
06/06/2023, 06:59:01,C,9.557
06/06/2023, 07:29:01,C,10.559
06/06/2023, 07:59:01,C,11.061
06/06/2023, 08:29:01,C,11.061
06/06/2023, 08:59:01,C,11.562
06/06/2023, 09:29:01,C,12.564
06/06/2023, 09:59:01,C,13.565
06/06/2023, 10:29:01,C,18.572
06/06/2023, 10:59:01,C,20.074
06/06/2023, 11:29:01,C,20.574
06/06/2023, 11:59:01,C,20.074
06/06/2023, 12:29:01,C,21.075
06/06/2023, 12:59:01,C,22.575
06/06/2023, 13:29:01,C,22.075
06/06/2023, 13:59:01,C,23.576
06/06/2023, 14:29:01,C,24.076
06/06/2023, 14:59:01,C,24.576
06/06/2023, 15:29:01,C,23.576
06/06/2023, 15:59:01,C,22.075
06/06/2023, 16:29:01,C,21.075
06/06/2023, 16:59:01,C,22.075
06/06/2023, 17:29:01,C,23.076
06/06/2023, 17:59:01,C,23.076
06/06/2023, 18:29:01,C,21.575
06/06/2023, 18:59:01,C,20.074
06/06/2023, 19:29:01,C,17.571
06/06/2023, 19:59:01,C,15.068
06/06/2023, 20:29:01,C,14.066
06/06/2023, 20:59:01,C,13.065
06/06/2023, 21:29:01,C,11.562
06/06/2023, 21:59:01,C,10.058
06/06/2023, 22:29:01,C,9.557
06/06/2023, 22:59:01,C,8.555
06/06/2023, 23:29:01,C,8.053
06/06/2023, 23:59:01,C,9.056
07/06/2023, 00:29:01,C,8.555
07/06/2023, 00:59:01,C,8.053
07/06/2023, 01:29:01,C,7.552
07/06/2023, 01:59:01,C,7.552
07/06/2023, 02:29:01,C,7.552
07/06/2023, 02:59:01,C,8.053
07/06/2023, 03:29:01,C,9.056
07/06/2023, 03:59:01,C,9.056
07/06/2023, 04:29:01,C,9.056
07/06/2023, 04:59:01,C,9.056
07/06/2023, 05:29:01,C,9.056
07/06/2023, 05:59:01,C,9.557
07/06/2023, 06:29:01,C,10.058
07/06/2023, 06:59:01,C,10.559
07/06/2023, 07:29:01,C,11.562
07/06/2023, 07:59:01,C,11.562
07/06/2023, 08:29:01,C,15.068
07/06/2023, 08:59:01,C,14.567
07/06/2023, 09:29:01,C,14.567
07/06/2023, 09:59:01,C,17.071
07/06/2023, 10:29:01,C,17.071
07/06/2023, 10:59:01,C,18.072
07/06/2023, 11:29:01,C,20.574
07/06/2023, 11:59:01,C,20.074
07/06/2023, 12:29:01,C,19.573
07/06/2023, 12:59:01,C,22.075
07/06/2023, 13:29:01,C,22.075
07/06/2023, 13:59:01,C,23.576
07/06/2023, 14:29:01,C,22.575
07/06/2023, 14:59:01,C,24.076
07/06/2023, 15:29:01,C,23.576
07/06/2023, 15:59:01,C,23.076
07/06/2023, 16:29:01,C,23.076
07/06/2023, 16:59:01,C,23.576
07/06/2023, 17:29:01,C,21.575
07/06/2023, 17:59:01,C,21.575
07/06/2023, 18:29:01,C,20.074
07/06/2023, 18:59:01,C,20.074
07/06/2023, 19:29:01,C,17.071
07/06/2023, 19:59:01,C,14.066
07/06/2023, 20:29:01,C,13.065
07/06/2023, 20:59:01,C,12.564
07/06/2023, 21:29:01,C,12.063
07/06/2023, 21:59:01,C,11.562
07/06/2023, 22:29:01,C,11.061
07/06/2023, 22:59:01,C,10.559
07/06/2023, 23:29:01,C,10.559
07/06/2023, 23:59:01,C,10.058
08/06/2023, 00:29:01,C,8.555
08/06/2023, 00:59:01,C,8.555
08/06/2023, 01:29:01,C,8.053
08/06/2023, 01:59:01,C,7.552
08/06/2023, 02:29:01,C,7.552
08/06/2023, 02:59:01,C,7.051
08/06/2023, 03:29:01,C,8.555
08/06/2023, 03:59:01,C,8.555
08/06/2023, 04:29:01,C,8.555
08/06/2023, 04:59:01,C,8.555
08/06/2023, 05:29:01,C,8.555
08/06/2023, 05:59:01,C,8.053
08/06/2023, 06:29:01,C,9.056
08/06/2023, 06:59:01,C,9.056
08/06/2023, 07:29:01,C,10.559
08/06/2023, 07:59:01,C,12.564
08/06/2023, 08:29:01,C,13.565
08/06/2023, 08:59:01,C,15.068
08/06/2023, 09:29:01,C,15.569
08/06/2023, 09:59:01,C,16.069
08/06/2023, 10:29:01,C,17.571
08/06/2023, 10:59:01,C,19.573
08/06/2023, 11:29:01,C,19.073
08/06/2023, 11:59:01,C,20.074
08/06/2023, 12:29:01,C,18.572
08/06/2023, 12:59:01,C,21.575
08/06/2023, 13:29:01,C,22.075
08/06/2023, 13:59:01,C,21.075
08/06/2023, 14:29:01,C,23.076
08/06/2023, 14:59:01,C,23.076
08/06/2023, 15:29:01,C,21.575
08/06/2023, 15:59:01,C,24.076
08/06/2023, 16:29:01,C,24.576
08/06/2023, 16:59:01,C,24.576
08/06/2023, 17:29:01,C,21.575
08/06/2023, 17:59:01,C,23.076
08/06/2023, 18:29:01,C,21.575
08/06/2023, 18:59:01,C,21.075
08/06/2023, 19:29:01,C,18.072
08/06/2023, 19:59:01,C,15.068
08/06/2023, 20:29:01,C,14.066
08/06/2023, 20:59:01,C,13.065
08/06/2023, 21:29:01,C,12.564
08/06/2023, 21:59:01,C,11.061
08/06/2023, 22:29:01,C,10.058
08/06/2023, 22:59:01,C,10.058
08/06/2023, 23:29:01,C,10.058
08/06/2023, 23:59:01,C,9.557
09/06/2023, 00:29:01,C,9.557
09/06/2023, 00:59:01,C,9.056
09/06/2023, 01:29:01,C,9.056
09/06/2023, 01:59:01,C,9.557
09/06/2023, 02:29:01,C,9.056
09/06/2023, 02:59:01,C,8.555
09/06/2023, 03:29:01,C,8.053
09/06/2023, 03:59:01,C,7.552
09/06/2023, 04:29:01,C,8.053
09/06/2023, 04:59:01,C,8.555
09/06/2023, 05:29:01,C,9.056
09/06/2023, 05:59:01,C,9.557
09/06/2023, 06:29:01,C,9.557
09/06/2023, 06:59:01,C,10.559
09/06/2023, 07:29:01,C,14.066
09/06/2023, 07:59:01,C,15.569
09/06/2023, 08:29:01,C,15.569
09/06/2023, 08:59:01,C,17.571
09/06/2023, 09:29:01,C,18.072
09/06/2023, 09:59:01,C,20.074
09/06/2023, 10:29:01,C,22.575
09/06/2023, 10:59:01,C,22.075
09/06/2023, 11:29:01,C,23.576
09/06/2023, 11:59:01,C,24.576
09/06/2023, 12:29:01,C,25.076
09/06/2023, 12:59:01,C,24.076
09/06/2023, 13:29:01,C,25.576
09/06/2023, 13:59:01,C,27.076
09/06/2023, 14:29:01,C,28.076
09/06/2023, 14:59:01,C,28.576
09/06/2023, 15:29:01,C,28.576
09/06/2023, 15:59:01,C,28.576
09/06/2023, 16:29:01,C,27.576
09/06/2023, 16:59:01,C,27.576
09/06/2023, 17:29:01,C,27.576
09/06/2023, 17:59:01,C,26.576
09/06/2023, 18:29:01,C,25.076
09/06/2023, 18:59:01,C,23.576
09/06/2023, 19:29:01,C,21.575
09/06/2023, 19:59:01,C,19.573
09/06/2023, 20:29:01,C,19.073
09/06/2023, 20:59:01,C,18.572
09/06/2023, 21:29:01,C,17.571
09/06/2023, 21:59:01,C,18.072
09/06/2023, 22:29:01,C,17.571
09/06/2023, 22:59:01,C,17.571
09/06/2023, 23:29:01,C,17.071
09/06/2023, 23:59:01,C,17.071
10/06/2023, 00:29:01,C,17.071
10/06/2023, 00:59:01,C,17.071
