1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:59:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  22072
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:59:01,C,6.083
05/06/2023, 06:29:01,C,10.599
05/06/2023, 06:59:01,C,13.105
05/06/2023, 07:29:01,C,14.609
05/06/2023, 07:59:01,C,16.613
05/06/2023, 08:29:01,C,17.114
05/06/2023, 08:59:01,C,18.616
05/06/2023, 09:29:01,C,19.617
05/06/2023, 09:59:01,C,20.619
05/06/2023, 10:29:01,C,21.619
05/06/2023, 10:59:01,C,20.619
05/06/2023, 11:29:01,C,20.118
05/06/2023, 11:59:01,C,21.119
05/06/2023, 12:29:01,C,21.119
05/06/2023, 12:59:01,C,18.616
05/06/2023, 13:29:01,C,19.617
05/06/2023, 13:59:01,C,20.619
05/06/2023, 14:29:01,C,19.117
05/06/2023, 14:59:01,C,21.119
05/06/2023, 15:29:01,C,22.12
05/06/2023, 15:59:01,C,20.619
05/06/2023, 16:29:01,C,20.118
05/06/2023, 16:59:01,C,19.617
05/06/2023, 17:29:01,C,19.617
05/06/2023, 17:59:01,C,18.115
05/06/2023, 18:29:01,C,17.615
05/06/2023, 18:59:01,C,18.616
05/06/2023, 19:29:01,C,18.115
05/06/2023, 19:59:01,C,16.613
05/06/2023, 20:29:01,C,15.11
05/06/2023, 20:59:01,C,14.609
05/06/2023, 21:29:01,C,13.607
05/06/2023, 21:59:01,C,11.601
05/06/2023, 22:29:01,C,10.599
05/06/2023, 22:59:01,C,9.595
05/06/2023, 23:29:01,C,8.592
05/06/2023, 23:59:01,C,8.592
06/06/2023, 00:29:01,C,7.589
06/06/2023, 00:59:01,C,7.087
06/06/2023, 01:29:01,C,6.585
06/06/2023, 01:59:01,C,6.083
06/06/2023, 02:29:01,C,6.083
06/06/2023, 02:59:01,C,5.079
06/06/2023, 03:29:01,C,5.079
06/06/2023, 03:59:01,C,4.577
06/06/2023, 04:29:01,C,4.577
06/06/2023, 04:59:01,C,4.075
06/06/2023, 05:29:01,C,4.577
06/06/2023, 05:59:01,C,6.585
06/06/2023, 06:29:01,C,7.589
06/06/2023, 06:59:01,C,8.592
06/06/2023, 07:29:01,C,9.595
06/06/2023, 07:59:01,C,9.595
06/06/2023, 08:29:01,C,10.097
06/06/2023, 08:59:01,C,10.599
06/06/2023, 09:29:01,C,11.1
06/06/2023, 09:59:01,C,11.601
06/06/2023, 10:29:01,C,13.105
06/06/2023, 10:59:01,C,14.108
06/06/2023, 11:29:01,C,14.609
06/06/2023, 11:59:01,C,17.114
06/06/2023, 12:29:01,C,16.112
06/06/2023, 12:59:01,C,17.114
06/06/2023, 13:29:01,C,17.615
06/06/2023, 13:59:01,C,18.616
06/06/2023, 14:29:01,C,19.117
06/06/2023, 14:59:01,C,19.617
06/06/2023, 15:29:01,C,19.617
06/06/2023, 15:59:01,C,20.619
06/06/2023, 16:29:01,C,19.617
06/06/2023, 16:59:01,C,19.117
06/06/2023, 17:29:01,C,19.617
06/06/2023, 17:59:01,C,18.616
06/06/2023, 18:29:01,C,16.613
06/06/2023, 18:59:01,C,16.112
06/06/2023, 19:29:01,C,15.11
06/06/2023, 19:59:01,C,13.607
06/06/2023, 20:29:01,C,13.105
06/06/2023, 20:59:01,C,12.103
06/06/2023, 21:29:01,C,10.097
06/06/2023, 21:59:01,C,10.097
06/06/2023, 22:29:01,C,9.094
06/06/2023, 22:59:01,C,9.094
06/06/2023, 23:29:01,C,7.589
06/06/2023, 23:59:01,C,8.592
07/06/2023, 00:29:01,C,8.09
07/06/2023, 00:59:01,C,7.589
07/06/2023, 01:29:01,C,7.589
07/06/2023, 01:59:01,C,7.589
07/06/2023, 02:29:01,C,7.589
07/06/2023, 02:59:01,C,8.09
07/06/2023, 03:29:01,C,8.09
07/06/2023, 03:59:01,C,8.09
07/06/2023, 04:29:01,C,8.09
07/06/2023, 04:59:01,C,8.09
07/06/2023, 05:29:01,C,8.09
07/06/2023, 05:59:01,C,8.592
07/06/2023, 06:29:01,C,8.592
07/06/2023, 06:59:01,C,9.094
07/06/2023, 07:29:01,C,9.595
07/06/2023, 07:59:01,C,10.097
07/06/2023, 08:29:01,C,11.601
07/06/2023, 08:59:01,C,14.108
07/06/2023, 09:29:01,C,11.601
07/06/2023, 09:59:01,C,12.604
07/06/2023, 10:29:01,C,14.108
07/06/2023, 10:59:01,C,14.108
07/06/2023, 11:29:01,C,15.11
07/06/2023, 11:59:01,C,16.613
07/06/2023, 12:29:01,C,17.114
07/06/2023, 12:59:01,C,18.115
07/06/2023, 13:29:01,C,16.613
07/06/2023, 13:59:01,C,17.114
07/06/2023, 14:29:01,C,18.616
07/06/2023, 14:59:01,C,19.117
07/06/2023, 15:29:01,C,19.117
07/06/2023, 15:59:01,C,20.619
07/06/2023, 16:29:01,C,19.117
07/06/2023, 16:59:01,C,19.617
07/06/2023, 17:29:01,C,18.115
07/06/2023, 17:59:01,C,17.615
07/06/2023, 18:29:01,C,16.112
07/06/2023, 18:59:01,C,14.609
07/06/2023, 19:29:01,C,14.108
07/06/2023, 19:59:01,C,13.607
07/06/2023, 20:29:01,C,12.604
07/06/2023, 20:59:01,C,12.103
07/06/2023, 21:29:01,C,11.601
07/06/2023, 21:59:01,C,11.1
07/06/2023, 22:29:01,C,10.599
07/06/2023, 22:59:01,C,9.595
07/06/2023, 23:29:01,C,9.595
07/06/2023, 23:59:01,C,9.094
08/06/2023, 00:29:01,C,8.592
08/06/2023, 00:59:01,C,8.09
08/06/2023, 01:29:01,C,8.09
08/06/2023, 01:59:01,C,8.09
08/06/2023, 02:29:01,C,7.589
08/06/2023, 02:59:01,C,7.589
08/06/2023, 03:29:01,C,7.589
08/06/2023, 03:59:01,C,7.589
08/06/2023, 04:29:01,C,7.589
08/06/2023, 04:59:01,C,7.589
08/06/2023, 05:29:01,C,7.589
08/06/2023, 05:59:01,C,8.09
08/06/2023, 06:29:01,C,9.094
08/06/2023, 06:59:01,C,8.592
08/06/2023, 07:29:01,C,10.599
08/06/2023, 07:59:01,C,11.1
