1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:59:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  22072
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:59:01,%RH,104.309
05/06/2023, 06:29:01,%RH,100.522
05/06/2023, 06:59:01,%RH,84.873
05/06/2023, 07:29:01,%RH,74.515
05/06/2023, 07:59:01,%RH,67.673
05/06/2023, 08:29:01,%RH,67.092
05/06/2023, 08:59:01,%RH,62.389
05/06/2023, 09:29:01,%RH,57.582
05/06/2023, 09:59:01,%RH,55.753
05/06/2023, 10:29:01,%RH,55.753
05/06/2023, 10:59:01,%RH,60.598
05/06/2023, 11:29:01,%RH,62.982
05/06/2023, 11:59:01,%RH,60.598
05/06/2023, 12:29:01,%RH,59.396
05/06/2023, 12:59:01,%RH,65.926
05/06/2023, 13:29:01,%RH,68.252
05/06/2023, 13:59:01,%RH,59.998
05/06/2023, 14:29:01,%RH,66.51
05/06/2023, 14:59:01,%RH,62.389
05/06/2023, 15:29:01,%RH,58.188
05/06/2023, 15:59:01,%RH,62.389
05/06/2023, 16:29:01,%RH,62.389
05/06/2023, 16:59:01,%RH,67.673
05/06/2023, 17:29:01,%RH,69.405
05/06/2023, 17:59:01,%RH,73.39
05/06/2023, 18:29:01,%RH,73.953
05/06/2023, 18:59:01,%RH,70.552
05/06/2023, 19:29:01,%RH,62.389
05/06/2023, 19:59:01,%RH,63.574
05/06/2023, 20:29:01,%RH,75.632
05/06/2023, 20:59:01,%RH,71.692
05/06/2023, 21:29:01,%RH,73.953
05/06/2023, 21:59:01,%RH,83.276
05/06/2023, 22:29:01,%RH,88.023
05/06/2023, 22:59:01,%RH,90.603
05/06/2023, 23:29:01,%RH,93.647
05/06/2023, 23:59:01,%RH,95.643
06/06/2023, 00:29:01,%RH,97.614
06/06/2023, 00:59:01,%RH,99.075
06/06/2023, 01:29:01,%RH,100.042
06/06/2023, 01:59:01,%RH,101.001
06/06/2023, 02:29:01,%RH,101.479
06/06/2023, 02:59:01,%RH,102.429
06/06/2023, 03:29:01,%RH,103.841
06/06/2023, 03:59:01,%RH,103.372
06/06/2023, 04:29:01,%RH,103.372
06/06/2023, 04:59:01,%RH,104.309
06/06/2023, 05:29:01,%RH,103.372
06/06/2023, 05:59:01,%RH,104.309
06/06/2023, 06:29:01,%RH,102.901
06/06/2023, 06:59:01,%RH,102.429
06/06/2023, 07:29:01,%RH,100.042
06/06/2023, 07:59:01,%RH,97.614
06/06/2023, 08:29:01,%RH,93.647
06/06/2023, 08:59:01,%RH,91.624
06/06/2023, 09:29:01,%RH,88.023
06/06/2023, 09:59:01,%RH,82.74
06/06/2023, 10:29:01,%RH,75.074
06/06/2023, 10:59:01,%RH,67.673
06/06/2023, 11:29:01,%RH,68.252
06/06/2023, 11:59:01,%RH,63.574
06/06/2023, 12:29:01,%RH,63.574
06/06/2023, 12:59:01,%RH,59.998
06/06/2023, 13:29:01,%RH,57.582
06/06/2023, 13:59:01,%RH,54.525
