1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:29:01 BST 2023
Total Mission Samples:  5019
Total Device Samples:  16673
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:29:01,%RH,100.767
05/06/2023, 05:59:01,%RH,101.757
05/06/2023, 06:29:01,%RH,100.767
05/06/2023, 06:59:01,%RH,95.712
05/06/2023, 07:29:01,%RH,88.334
05/06/2023, 07:59:01,%RH,83.407
05/06/2023, 08:29:01,%RH,76.612
05/06/2023, 08:59:01,%RH,73.119
05/06/2023, 09:29:01,%RH,73.119
05/06/2023, 09:59:01,%RH,68.961
05/06/2023, 10:29:01,%RH,69.561
05/06/2023, 10:59:01,%RH,68.36
05/06/2023, 11:29:01,%RH,69.561
05/06/2023, 11:59:01,%RH,61.631
05/06/2023, 12:29:01,%RH,60.384
05/06/2023, 12:59:01,%RH,64.716
05/06/2023, 13:29:01,%RH,66.546
05/06/2023, 13:59:01,%RH,60.384
05/06/2023, 14:29:01,%RH,64.716
05/06/2023, 14:59:01,%RH,64.716
05/06/2023, 15:29:01,%RH,62.871
05/06/2023, 15:59:01,%RH,66.546
05/06/2023, 16:29:01,%RH,65.328
05/06/2023, 16:59:01,%RH,69.561
05/06/2023, 17:29:01,%RH,70.158
05/06/2023, 17:59:01,%RH,74.873
05/06/2023, 18:29:01,%RH,74.873
05/06/2023, 18:59:01,%RH,71.94
05/06/2023, 19:29:01,%RH,62.871
05/06/2023, 19:59:01,%RH,63.488
05/06/2023, 20:29:01,%RH,78.335
05/06/2023, 20:59:01,%RH,77.763
05/06/2023, 21:29:01,%RH,80.042
05/06/2023, 21:59:01,%RH,85.066
05/06/2023, 22:29:01,%RH,88.873
05/06/2023, 22:59:01,%RH,90.478
05/06/2023, 23:29:01,%RH,92.593
05/06/2023, 23:59:01,%RH,94.679
06/06/2023, 00:29:01,%RH,95.712
06/06/2023, 00:59:01,%RH,97.247
