1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:00:01 BST 2023
Total Mission Samples:  5018
Total Device Samples:  16817
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:00:01,C,6.528
05/06/2023, 05:30:01,C,6.528
05/06/2023, 06:00:01,C,7.532
05/06/2023, 06:30:01,C,9.037
05/06/2023, 07:00:01,C,10.04
05/06/2023, 07:30:01,C,10.542
05/06/2023, 08:00:01,C,12.046
05/06/2023, 08:30:01,C,13.55
05/06/2023, 09:00:01,C,14.552
05/06/2023, 09:30:01,C,15.554
05/06/2023, 10:00:01,C,16.556
05/06/2023, 10:30:01,C,16.556
05/06/2023, 11:00:01,C,16.556
05/06/2023, 11:30:01,C,16.556
05/06/2023, 12:00:01,C,17.558
05/06/2023, 12:30:01,C,18.059
05/06/2023, 13:00:01,C,17.558
05/06/2023, 13:30:01,C,17.558
05/06/2023, 14:00:01,C,18.559
05/06/2023, 14:30:01,C,18.059
05/06/2023, 15:00:01,C,18.559
05/06/2023, 15:30:01,C,19.06
05/06/2023, 16:00:01,C,18.059
05/06/2023, 16:30:01,C,18.559
05/06/2023, 17:00:01,C,18.059
05/06/2023, 17:30:01,C,18.059
05/06/2023, 18:00:01,C,17.057
05/06/2023, 18:30:01,C,17.057
05/06/2023, 19:00:01,C,17.558
05/06/2023, 19:30:01,C,17.558
05/06/2023, 20:00:01,C,16.556
05/06/2023, 20:30:01,C,15.053
05/06/2023, 21:00:01,C,14.552
05/06/2023, 21:30:01,C,13.55
05/06/2023, 22:00:01,C,12.547
05/06/2023, 22:30:01,C,11.545
05/06/2023, 23:00:01,C,11.043
05/06/2023, 23:30:01,C,10.04
06/06/2023, 00:00:01,C,9.539
06/06/2023, 00:30:01,C,9.037
06/06/2023, 01:00:01,C,8.535
06/06/2023, 01:30:01,C,8.034
06/06/2023, 02:00:01,C,8.034
06/06/2023, 02:30:01,C,7.532
06/06/2023, 03:00:01,C,7.03
06/06/2023, 03:30:01,C,7.03
06/06/2023, 04:00:01,C,6.528
06/06/2023, 04:30:01,C,6.026
06/06/2023, 05:00:01,C,6.026
06/06/2023, 05:30:01,C,6.026
06/06/2023, 06:00:01,C,7.532
06/06/2023, 06:30:01,C,8.034
06/06/2023, 07:00:01,C,9.037
06/06/2023, 07:30:01,C,9.037
06/06/2023, 08:00:01,C,9.539
06/06/2023, 08:30:01,C,10.04
06/06/2023, 09:00:01,C,10.04
06/06/2023, 09:30:01,C,11.043
06/06/2023, 10:00:01,C,11.545
06/06/2023, 10:30:01,C,12.547
06/06/2023, 11:00:01,C,13.049
06/06/2023, 11:30:01,C,13.55
06/06/2023, 12:00:01,C,15.053
06/06/2023, 12:30:01,C,15.554
06/06/2023, 13:00:01,C,16.055
06/06/2023, 13:30:01,C,16.556
06/06/2023, 14:00:01,C,17.558
06/06/2023, 14:30:01,C,18.059
06/06/2023, 15:00:01,C,18.559
06/06/2023, 15:30:01,C,17.558
06/06/2023, 16:00:01,C,18.059
06/06/2023, 16:30:01,C,17.558
06/06/2023, 17:00:01,C,17.057
06/06/2023, 17:30:01,C,17.558
06/06/2023, 18:00:01,C,17.057
06/06/2023, 18:30:01,C,16.556
06/06/2023, 19:00:01,C,16.055
06/06/2023, 19:30:01,C,15.554
06/06/2023, 20:00:01,C,14.552
06/06/2023, 20:30:01,C,13.55
06/06/2023, 21:00:01,C,12.547
06/06/2023, 21:30:01,C,11.043
06/06/2023, 22:00:01,C,10.542
06/06/2023, 22:30:01,C,10.04
06/06/2023, 23:00:01,C,9.539
06/06/2023, 23:30:01,C,9.539
07/06/2023, 00:00:01,C,9.539
07/06/2023, 00:30:01,C,8.535
07/06/2023, 01:00:01,C,8.535
07/06/2023, 01:30:01,C,8.535
07/06/2023, 02:00:01,C,8.535
07/06/2023, 02:30:01,C,8.535
07/06/2023, 03:00:01,C,8.535
07/06/2023, 03:30:01,C,8.535
07/06/2023, 04:00:01,C,8.535
07/06/2023, 04:30:01,C,8.535
07/06/2023, 05:00:01,C,8.535
07/06/2023, 05:30:01,C,8.535
07/06/2023, 06:00:01,C,8.535
07/06/2023, 06:30:01,C,8.535
07/06/2023, 07:00:01,C,9.037
07/06/2023, 07:30:01,C,9.539
07/06/2023, 08:00:01,C,9.539
07/06/2023, 08:30:01,C,11.043
07/06/2023, 09:00:01,C,11.545
07/06/2023, 09:30:01,C,10.542
07/06/2023, 10:00:01,C,12.046
07/06/2023, 10:30:01,C,13.049
07/06/2023, 11:00:01,C,13.55
07/06/2023, 11:30:01,C,14.051
07/06/2023, 12:00:01,C,15.053
07/06/2023, 12:30:01,C,15.554
07/06/2023, 13:00:01,C,16.055
07/06/2023, 13:30:01,C,16.556
07/06/2023, 14:00:01,C,17.057
07/06/2023, 14:30:01,C,17.057
07/06/2023, 15:00:01,C,17.558
07/06/2023, 15:30:01,C,17.558
07/06/2023, 16:00:01,C,17.558
07/06/2023, 16:30:01,C,17.057
07/06/2023, 17:00:01,C,17.057
07/06/2023, 17:30:01,C,16.556
07/06/2023, 18:00:01,C,16.556
07/06/2023, 18:30:01,C,16.055
07/06/2023, 19:00:01,C,15.053
07/06/2023, 19:30:01,C,14.552
07/06/2023, 20:00:01,C,14.051
07/06/2023, 20:30:01,C,13.049
07/06/2023, 21:00:01,C,12.547
07/06/2023, 21:30:01,C,11.545
07/06/2023, 22:00:01,C,11.043
07/06/2023, 22:30:01,C,10.542
07/06/2023, 23:00:01,C,10.542
07/06/2023, 23:30:01,C,10.04
08/06/2023, 00:00:01,C,9.539
08/06/2023, 00:30:01,C,9.037
08/06/2023, 01:00:01,C,8.535
08/06/2023, 01:30:01,C,8.535
08/06/2023, 02:00:01,C,8.034
08/06/2023, 02:30:01,C,8.034
08/06/2023, 03:00:01,C,8.034
08/06/2023, 03:30:01,C,7.532
08/06/2023, 04:00:01,C,7.532
08/06/2023, 04:30:01,C,7.532
08/06/2023, 05:00:01,C,7.532
08/06/2023, 05:30:01,C,7.532
08/06/2023, 06:00:01,C,8.034
08/06/2023, 06:30:01,C,8.535
08/06/2023, 07:00:01,C,8.535
08/06/2023, 07:30:01,C,9.539
08/06/2023, 08:00:01,C,10.542
08/06/2023, 08:30:01,C,11.545
08/06/2023, 09:00:01,C,12.547
08/06/2023, 09:30:01,C,12.547
08/06/2023, 10:00:01,C,13.049
08/06/2023, 10:30:01,C,14.051
08/06/2023, 11:00:01,C,14.552
08/06/2023, 11:30:01,C,15.554
08/06/2023, 12:00:01,C,16.055
08/06/2023, 12:30:01,C,16.556
08/06/2023, 13:00:01,C,17.057
08/06/2023, 13:30:01,C,17.558
08/06/2023, 14:00:01,C,18.059
08/06/2023, 14:30:01,C,18.559
08/06/2023, 15:00:01,C,18.559
08/06/2023, 15:30:01,C,17.558
08/06/2023, 16:00:01,C,18.559
08/06/2023, 16:30:01,C,18.559
08/06/2023, 17:00:01,C,18.059
08/06/2023, 17:30:01,C,17.558
08/06/2023, 18:00:01,C,17.558
08/06/2023, 18:30:01,C,17.057
08/06/2023, 19:00:01,C,16.055
08/06/2023, 19:30:01,C,15.554
08/06/2023, 20:00:01,C,14.552
08/06/2023, 20:30:01,C,13.55
08/06/2023, 21:00:01,C,13.049
08/06/2023, 21:30:01,C,12.046
08/06/2023, 22:00:01,C,11.043
08/06/2023, 22:30:01,C,11.043
08/06/2023, 23:00:01,C,10.04
08/06/2023, 23:30:01,C,10.04
09/06/2023, 00:00:01,C,9.539
09/06/2023, 00:30:01,C,9.539
09/06/2023, 01:00:01,C,9.539
09/06/2023, 01:30:01,C,9.539
09/06/2023, 02:00:01,C,9.037
09/06/2023, 02:30:01,C,8.535
09/06/2023, 03:00:01,C,9.037
09/06/2023, 03:30:01,C,9.037
09/06/2023, 04:00:01,C,9.037
09/06/2023, 04:30:01,C,9.037
09/06/2023, 05:00:01,C,9.037
09/06/2023, 05:30:01,C,9.037
09/06/2023, 06:00:01,C,9.539
09/06/2023, 06:30:01,C,10.04
09/06/2023, 07:00:01,C,10.04
09/06/2023, 07:30:01,C,11.545
09/06/2023, 08:00:01,C,13.049
09/06/2023, 08:30:01,C,13.55
09/06/2023, 09:00:01,C,14.552
09/06/2023, 09:30:01,C,15.053
09/06/2023, 10:00:01,C,16.055
09/06/2023, 10:30:01,C,17.558
09/06/2023, 11:00:01,C,18.059
09/06/2023, 11:30:01,C,19.06
09/06/2023, 12:00:01,C,20.061
09/06/2023, 12:30:01,C,20.562
09/06/2023, 13:00:01,C,20.562
09/06/2023, 13:30:01,C,21.563
09/06/2023, 14:00:01,C,22.063
09/06/2023, 14:30:01,C,22.564
09/06/2023, 15:00:01,C,22.564
09/06/2023, 15:30:01,C,23.064
09/06/2023, 16:00:01,C,22.564
09/06/2023, 16:30:01,C,22.063
09/06/2023, 17:00:01,C,22.063
09/06/2023, 17:30:01,C,21.563
09/06/2023, 18:00:01,C,21.563
09/06/2023, 18:30:01,C,20.562
09/06/2023, 19:00:01,C,20.061
09/06/2023, 19:30:01,C,20.061
09/06/2023, 20:00:01,C,19.06
09/06/2023, 20:30:01,C,18.559
09/06/2023, 21:00:01,C,18.059
09/06/2023, 21:30:01,C,17.558
09/06/2023, 22:00:01,C,16.556
09/06/2023, 22:30:01,C,16.556
09/06/2023, 23:00:01,C,16.055
09/06/2023, 23:30:01,C,16.556
10/06/2023, 00:00:01,C,17.558
10/06/2023, 00:30:01,C,18.059
10/06/2023, 01:00:01,C,17.558
10/06/2023, 01:30:01,C,17.558
10/06/2023, 02:00:01,C,17.558
10/06/2023, 02:30:01,C,18.559
10/06/2023, 03:00:01,C,18.059
10/06/2023, 03:30:01,C,18.059
10/06/2023, 04:00:01,C,18.559
10/06/2023, 04:30:01,C,18.559
10/06/2023, 05:00:01,C,18.559
10/06/2023, 05:30:01,C,18.559
10/06/2023, 06:00:01,C,19.06
10/06/2023, 06:30:01,C,19.561
10/06/2023, 07:00:01,C,20.061
10/06/2023, 07:30:01,C,20.061
10/06/2023, 08:00:01,C,21.563
10/06/2023, 08:30:01,C,22.063
10/06/2023, 09:00:01,C,22.063
10/06/2023, 09:30:01,C,22.564
10/06/2023, 10:00:01,C,23.564
10/06/2023, 10:30:01,C,24.064
10/06/2023, 11:00:01,C,24.064
10/06/2023, 11:30:01,C,25.065
10/06/2023, 12:00:01,C,25.565
10/06/2023, 12:30:01,C,25.565
10/06/2023, 13:00:01,C,25.565
10/06/2023, 13:30:01,C,25.565
10/06/2023, 14:00:01,C,26.564
10/06/2023, 14:30:01,C,27.564
10/06/2023, 15:00:01,C,28.564
10/06/2023, 15:30:01,C,26.065
10/06/2023, 16:00:01,C,27.064
10/06/2023, 16:30:01,C,26.564
10/06/2023, 17:00:01,C,26.065
10/06/2023, 17:30:01,C,26.065
10/06/2023, 18:00:01,C,25.565
10/06/2023, 18:30:01,C,25.065
10/06/2023, 19:00:01,C,24.564
10/06/2023, 19:30:01,C,24.564
10/06/2023, 20:00:01,C,23.564
10/06/2023, 20:30:01,C,23.064
10/06/2023, 21:00:01,C,22.564
10/06/2023, 21:30:01,C,22.063
10/06/2023, 22:00:01,C,18.059
10/06/2023, 22:30:01,C,17.057
10/06/2023, 23:00:01,C,16.556
10/06/2023, 23:30:01,C,16.556
11/06/2023, 00:00:01,C,16.055
11/06/2023, 00:30:01,C,15.554
11/06/2023, 01:00:01,C,16.055
11/06/2023, 01:30:01,C,16.055
11/06/2023, 02:00:01,C,16.055
