1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:00:01 BST 2023
Total Mission Samples:  5018
Total Device Samples:  16817
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:00:01,%RH,97.955
05/06/2023, 05:30:01,%RH,98.474
05/06/2023, 06:00:01,%RH,98.474
05/06/2023, 06:30:01,%RH,97.435
05/06/2023, 07:00:01,%RH,93.219
05/06/2023, 07:30:01,%RH,89.449
05/06/2023, 08:00:01,%RH,86.711
05/06/2023, 08:30:01,%RH,79.985
05/06/2023, 09:00:01,%RH,78.269
05/06/2023, 09:30:01,%RH,74.797
05/06/2023, 10:00:01,%RH,70.081
05/06/2023, 10:30:01,%RH,73.04
05/06/2023, 11:00:01,%RH,72.451
05/06/2023, 11:30:01,%RH,71.269
05/06/2023, 12:00:01,%RH,68.887
05/06/2023, 12:30:01,%RH,69.485
05/06/2023, 13:00:01,%RH,70.676
05/06/2023, 13:30:01,%RH,71.269
05/06/2023, 14:00:01,%RH,68.288
05/06/2023, 14:30:01,%RH,68.887
05/06/2023, 15:00:01,%RH,68.887
05/06/2023, 15:30:01,%RH,67.085
05/06/2023, 16:00:01,%RH,71.269
05/06/2023, 16:30:01,%RH,69.485
05/06/2023, 17:00:01,%RH,71.269
05/06/2023, 17:30:01,%RH,72.451
05/06/2023, 18:00:01,%RH,76.54
05/06/2023, 18:30:01,%RH,77.118
05/06/2023, 19:00:01,%RH,74.797
05/06/2023, 19:30:01,%RH,72.451
05/06/2023, 20:00:01,%RH,67.687
05/06/2023, 20:30:01,%RH,76.54
05/06/2023, 21:00:01,%RH,75.379
05/06/2023, 21:30:01,%RH,77.118
05/06/2023, 22:00:01,%RH,83.376
05/06/2023, 22:30:01,%RH,86.159
05/06/2023, 23:00:01,%RH,86.159
05/06/2023, 23:30:01,%RH,88.905
06/06/2023, 00:00:01,%RH,89.992
06/06/2023, 00:30:01,%RH,91.612
06/06/2023, 01:00:01,%RH,92.685
06/06/2023, 01:30:01,%RH,94.282
06/06/2023, 02:00:01,%RH,95.339
06/06/2023, 02:30:01,%RH,96.39
06/06/2023, 03:00:01,%RH,97.435
06/06/2023, 03:30:01,%RH,96.913
06/06/2023, 04:00:01,%RH,96.39
06/06/2023, 04:30:01,%RH,98.474
06/06/2023, 05:00:01,%RH,98.474
06/06/2023, 05:30:01,%RH,98.991
06/06/2023, 06:00:01,%RH,99.507
06/06/2023, 06:30:01,%RH,97.435
06/06/2023, 07:00:01,%RH,97.955
06/06/2023, 07:30:01,%RH,96.39
06/06/2023, 08:00:01,%RH,96.39
06/06/2023, 08:30:01,%RH,94.282
06/06/2023, 09:00:01,%RH,93.219
06/06/2023, 09:30:01,%RH,91.074
06/06/2023, 10:00:01,%RH,86.159
06/06/2023, 10:30:01,%RH,77.694
06/06/2023, 11:00:01,%RH,73.627
06/06/2023, 11:30:01,%RH,72.451
06/06/2023, 12:00:01,%RH,68.887
06/06/2023, 12:30:01,%RH,65.875
06/06/2023, 13:00:01,%RH,65.269
06/06/2023, 13:30:01,%RH,60.978
06/06/2023, 14:00:01,%RH,59.738
06/06/2023, 14:30:01,%RH,56.612
