1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 06:00:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  21521
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 06:00:01,C,4.551
05/06/2023, 06:30:01,C,5.554
05/06/2023, 07:00:01,C,7.058
05/06/2023, 07:30:01,C,9.063
05/06/2023, 08:00:01,C,10.566
05/06/2023, 08:30:01,C,12.57
05/06/2023, 09:00:01,C,13.572
05/06/2023, 09:30:01,C,15.575
05/06/2023, 10:00:01,C,16.076
05/06/2023, 10:30:01,C,17.077
05/06/2023, 11:00:01,C,17.578
05/06/2023, 11:30:01,C,17.578
05/06/2023, 12:00:01,C,18.078
05/06/2023, 12:30:01,C,17.578
05/06/2023, 13:00:01,C,17.578
05/06/2023, 13:30:01,C,17.578
05/06/2023, 14:00:01,C,18.078
05/06/2023, 14:30:01,C,17.578
05/06/2023, 15:00:01,C,18.579
05/06/2023, 15:30:01,C,18.579
05/06/2023, 16:00:01,C,18.579
05/06/2023, 16:30:01,C,18.579
05/06/2023, 17:00:01,C,18.078
05/06/2023, 17:30:01,C,18.579
05/06/2023, 18:00:01,C,18.078
05/06/2023, 18:30:01,C,17.578
05/06/2023, 19:00:01,C,17.578
05/06/2023, 19:30:01,C,17.578
05/06/2023, 20:00:01,C,16.076
05/06/2023, 20:30:01,C,15.575
05/06/2023, 21:00:01,C,14.574
05/06/2023, 21:30:01,C,13.572
05/06/2023, 22:00:01,C,13.071
05/06/2023, 22:30:01,C,12.57
05/06/2023, 23:00:01,C,11.067
05/06/2023, 23:30:01,C,10.065
