1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 06:00:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  21521
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 06:00:01,%RH,98.201
05/06/2023, 06:30:01,%RH,97.69
05/06/2023, 07:00:01,%RH,98.201
05/06/2023, 07:30:01,%RH,95.633
05/06/2023, 08:00:01,%RH,90.927
05/06/2023, 08:30:01,%RH,81.742
05/06/2023, 09:00:01,%RH,78.409
05/06/2023, 09:30:01,%RH,73.318
05/06/2023, 10:00:01,%RH,72.173
05/06/2023, 10:30:01,%RH,68.12
05/06/2023, 11:00:01,%RH,69.865
05/06/2023, 11:30:01,%RH,69.865
05/06/2023, 12:00:01,%RH,66.363
05/06/2023, 12:30:01,%RH,68.703
05/06/2023, 13:00:01,%RH,69.285
05/06/2023, 13:30:01,%RH,69.285
05/06/2023, 14:00:01,%RH,69.285
05/06/2023, 14:30:01,%RH,69.865
05/06/2023, 15:00:01,%RH,68.703
05/06/2023, 15:30:01,%RH,65.185
05/06/2023, 16:00:01,%RH,69.285
05/06/2023, 16:30:01,%RH,68.12
05/06/2023, 17:00:01,%RH,70.444
05/06/2023, 17:30:01,%RH,71.598
05/06/2023, 18:00:01,%RH,72.746
05/06/2023, 18:30:01,%RH,73.889
05/06/2023, 19:00:01,%RH,72.746
05/06/2023, 19:30:01,%RH,61.021
05/06/2023, 20:00:01,%RH,69.285
05/06/2023, 20:30:01,%RH,69.865
05/06/2023, 21:00:01,%RH,75.027
05/06/2023, 21:30:01,%RH,78.409
05/06/2023, 22:00:01,%RH,81.19
05/06/2023, 22:30:01,%RH,82.293
05/06/2023, 23:00:01,%RH,84.484
05/06/2023, 23:30:01,%RH,88.265
06/06/2023, 00:00:01,%RH,89.866
06/06/2023, 00:30:01,%RH,90.927
06/06/2023, 01:00:01,%RH,93.032
06/06/2023, 01:30:01,%RH,93.555
06/06/2023, 02:00:01,%RH,95.115
06/06/2023, 02:30:01,%RH,96.149
06/06/2023, 03:00:01,%RH,93.555
06/06/2023, 03:30:01,%RH,96.149
06/06/2023, 04:00:01,%RH,95.633
06/06/2023, 04:30:01,%RH,96.149
06/06/2023, 05:00:01,%RH,99.219
06/06/2023, 05:30:01,%RH,97.69
06/06/2023, 06:00:01,%RH,99.726
06/06/2023, 06:30:01,%RH,99.219
06/06/2023, 07:00:01,%RH,95.115
06/06/2023, 07:30:01,%RH,96.149
06/06/2023, 08:00:01,%RH,95.115
06/06/2023, 08:30:01,%RH,94.076
06/06/2023, 09:00:01,%RH,90.927
06/06/2023, 09:30:01,%RH,89.334
06/06/2023, 10:00:01,%RH,85.571
06/06/2023, 10:30:01,%RH,76.16
06/06/2023, 11:00:01,%RH,71.598
06/06/2023, 11:30:01,%RH,69.285
06/06/2023, 12:00:01,%RH,67.536
06/06/2023, 12:30:01,%RH,66.95
06/06/2023, 13:00:01,%RH,67.536
06/06/2023, 13:30:01,%RH,64.002
06/06/2023, 14:00:01,%RH,62.217
06/06/2023, 14:30:01,%RH,59.819
06/06/2023, 15:00:01,%RH,59.216
