1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 02:59:01 BST 2023
Total Mission Samples:  5062
Total Device Samples:  22666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/06/2023, 02:59:01,C,8.043
06/06/2023, 03:29:01,C,7.542
06/06/2023, 03:59:01,C,6.539
06/06/2023, 04:29:01,C,6.539
06/06/2023, 04:59:01,C,6.038
06/06/2023, 05:29:01,C,6.539
06/06/2023, 05:59:01,C,6.539
06/06/2023, 06:29:01,C,7.542
06/06/2023, 06:59:01,C,8.544
06/06/2023, 07:29:01,C,9.547
06/06/2023, 07:59:01,C,10.048
06/06/2023, 08:29:01,C,10.549
06/06/2023, 08:59:01,C,11.05
06/06/2023, 09:29:01,C,11.551
06/06/2023, 09:59:01,C,12.052
06/06/2023, 10:29:01,C,14.055
06/06/2023, 10:59:01,C,16.058
06/06/2023, 11:29:01,C,16.058
06/06/2023, 11:59:01,C,16.058
06/06/2023, 12:29:01,C,16.559
06/06/2023, 12:59:01,C,17.06
06/06/2023, 13:29:01,C,17.06
06/06/2023, 13:59:01,C,18.061
06/06/2023, 14:29:01,C,18.561
06/06/2023, 14:59:01,C,18.561
06/06/2023, 15:29:01,C,18.061
06/06/2023, 15:59:01,C,18.061
06/06/2023, 16:29:01,C,17.06
06/06/2023, 16:59:01,C,17.56
06/06/2023, 17:29:01,C,17.06
06/06/2023, 17:59:01,C,16.559
06/06/2023, 18:29:01,C,16.559
06/06/2023, 18:59:01,C,16.058
06/06/2023, 19:29:01,C,15.057
06/06/2023, 19:59:01,C,14.556
06/06/2023, 20:29:01,C,14.055
06/06/2023, 20:59:01,C,12.553
06/06/2023, 21:29:01,C,12.553
06/06/2023, 21:59:01,C,11.551
06/06/2023, 22:29:01,C,11.05
06/06/2023, 22:59:01,C,10.048
06/06/2023, 23:29:01,C,9.547
06/06/2023, 23:59:01,C,9.547
07/06/2023, 00:29:01,C,9.547
07/06/2023, 00:59:01,C,8.544
07/06/2023, 01:29:01,C,9.046
07/06/2023, 01:59:01,C,9.046
07/06/2023, 02:29:01,C,8.544
07/06/2023, 02:59:01,C,9.046
07/06/2023, 03:29:01,C,9.046
07/06/2023, 03:59:01,C,9.046
07/06/2023, 04:29:01,C,9.046
07/06/2023, 04:59:01,C,9.046
07/06/2023, 05:29:01,C,9.046
07/06/2023, 05:59:01,C,9.547
07/06/2023, 06:29:01,C,9.547
07/06/2023, 06:59:01,C,9.547
07/06/2023, 07:29:01,C,10.048
07/06/2023, 07:59:01,C,10.549
07/06/2023, 08:29:01,C,12.553
07/06/2023, 08:59:01,C,12.052
07/06/2023, 09:29:01,C,13.054
07/06/2023, 09:59:01,C,13.555
07/06/2023, 10:29:01,C,14.055
07/06/2023, 10:59:01,C,15.057
07/06/2023, 11:29:01,C,16.058
07/06/2023, 11:59:01,C,16.058
07/06/2023, 12:29:01,C,16.058
07/06/2023, 12:59:01,C,16.559
07/06/2023, 13:29:01,C,17.56
07/06/2023, 13:59:01,C,17.56
07/06/2023, 14:29:01,C,18.061
07/06/2023, 14:59:01,C,18.061
07/06/2023, 15:29:01,C,17.56
07/06/2023, 15:59:01,C,17.56
07/06/2023, 16:29:01,C,17.06
07/06/2023, 16:59:01,C,17.06
07/06/2023, 17:29:01,C,17.06
07/06/2023, 17:59:01,C,16.058
07/06/2023, 18:29:01,C,15.558
07/06/2023, 18:59:01,C,15.057
07/06/2023, 19:29:01,C,14.556
07/06/2023, 19:59:01,C,14.055
07/06/2023, 20:29:01,C,13.555
07/06/2023, 20:59:01,C,13.054
07/06/2023, 21:29:01,C,12.553
07/06/2023, 21:59:01,C,11.551
07/06/2023, 22:29:01,C,11.05
07/06/2023, 22:59:01,C,11.05
07/06/2023, 23:29:01,C,10.549
07/06/2023, 23:59:01,C,10.048
08/06/2023, 00:29:01,C,9.547
08/06/2023, 00:59:01,C,9.046
08/06/2023, 01:29:01,C,9.046
08/06/2023, 01:59:01,C,8.544
08/06/2023, 02:29:01,C,8.544
08/06/2023, 02:59:01,C,8.544
08/06/2023, 03:29:01,C,8.043
08/06/2023, 03:59:01,C,8.043
08/06/2023, 04:29:01,C,8.544
08/06/2023, 04:59:01,C,8.544
08/06/2023, 05:29:01,C,8.544
08/06/2023, 05:59:01,C,8.544
08/06/2023, 06:29:01,C,8.544
08/06/2023, 06:59:01,C,9.547
08/06/2023, 07:29:01,C,10.549
08/06/2023, 07:59:01,C,11.551
08/06/2023, 08:29:01,C,12.553
08/06/2023, 08:59:01,C,13.555
08/06/2023, 09:29:01,C,13.555
08/06/2023, 09:59:01,C,14.556
08/06/2023, 10:29:01,C,15.057
08/06/2023, 10:59:01,C,16.559
08/06/2023, 11:29:01,C,16.058
08/06/2023, 11:59:01,C,16.559
08/06/2023, 12:29:01,C,17.06
08/06/2023, 12:59:01,C,17.56
08/06/2023, 13:29:01,C,18.561
08/06/2023, 13:59:01,C,18.061
08/06/2023, 14:29:01,C,18.561
08/06/2023, 14:59:01,C,18.561
08/06/2023, 15:29:01,C,18.061
08/06/2023, 15:59:01,C,18.561
08/06/2023, 16:29:01,C,18.561
08/06/2023, 16:59:01,C,18.061
08/06/2023, 17:29:01,C,17.56
08/06/2023, 17:59:01,C,17.56
08/06/2023, 18:29:01,C,17.06
08/06/2023, 18:59:01,C,16.058
08/06/2023, 19:29:01,C,15.558
08/06/2023, 19:59:01,C,14.556
08/06/2023, 20:29:01,C,14.055
08/06/2023, 20:59:01,C,13.555
08/06/2023, 21:29:01,C,12.553
08/06/2023, 21:59:01,C,12.052
08/06/2023, 22:29:01,C,11.05
08/06/2023, 22:59:01,C,11.05
08/06/2023, 23:29:01,C,10.549
08/06/2023, 23:59:01,C,10.048
09/06/2023, 00:29:01,C,10.048
09/06/2023, 00:59:01,C,9.547
09/06/2023, 01:29:01,C,9.547
09/06/2023, 01:59:01,C,10.048
09/06/2023, 02:29:01,C,9.046
09/06/2023, 02:59:01,C,9.046
09/06/2023, 03:29:01,C,9.046
09/06/2023, 03:59:01,C,9.046
09/06/2023, 04:29:01,C,9.046
09/06/2023, 04:59:01,C,9.046
09/06/2023, 05:29:01,C,9.547
09/06/2023, 05:59:01,C,10.549
09/06/2023, 06:29:01,C,10.549
09/06/2023, 06:59:01,C,11.05
09/06/2023, 07:29:01,C,12.553
09/06/2023, 07:59:01,C,14.556
09/06/2023, 08:29:01,C,15.057
09/06/2023, 08:59:01,C,16.058
09/06/2023, 09:29:01,C,17.06
09/06/2023, 09:59:01,C,18.061
09/06/2023, 10:29:01,C,20.062
09/06/2023, 10:59:01,C,19.562
09/06/2023, 11:29:01,C,20.563
09/06/2023, 11:59:01,C,21.063
09/06/2023, 12:29:01,C,21.563
09/06/2023, 12:59:01,C,21.563
09/06/2023, 13:29:01,C,22.064
09/06/2023, 13:59:01,C,22.064
09/06/2023, 14:29:01,C,23.064
09/06/2023, 14:59:01,C,23.064
09/06/2023, 15:29:01,C,23.064
09/06/2023, 15:59:01,C,22.564
09/06/2023, 16:29:01,C,22.064
09/06/2023, 16:59:01,C,21.563
09/06/2023, 17:29:01,C,21.563
09/06/2023, 17:59:01,C,21.063
