1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 06 02:59:01 BST 2023
Total Mission Samples:  5062
Total Device Samples:  22666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06/06/2023, 02:59:01,%RH,98.201
06/06/2023, 03:29:01,%RH,93.555
06/06/2023, 03:59:01,%RH,97.178
06/06/2023, 04:29:01,%RH,96.664
06/06/2023, 04:59:01,%RH,97.69
06/06/2023, 05:29:01,%RH,101.238
06/06/2023, 05:59:01,%RH,98.71
06/06/2023, 06:29:01,%RH,100.231
06/06/2023, 06:59:01,%RH,99.219
06/06/2023, 07:29:01,%RH,97.69
06/06/2023, 07:59:01,%RH,96.664
06/06/2023, 08:29:01,%RH,94.596
06/06/2023, 08:59:01,%RH,91.982
06/06/2023, 09:29:01,%RH,89.334
06/06/2023, 09:59:01,%RH,83.391
06/06/2023, 10:29:01,%RH,75.027
06/06/2023, 10:59:01,%RH,64.594
06/06/2023, 11:29:01,%RH,62.217
06/06/2023, 11:59:01,%RH,66.363
06/06/2023, 12:29:01,%RH,64.002
06/06/2023, 12:59:01,%RH,60.42
06/06/2023, 13:29:01,%RH,61.021
06/06/2023, 13:59:01,%RH,58.006
06/06/2023, 14:29:01,%RH,56.181
06/06/2023, 14:59:01,%RH,56.791
06/06/2023, 15:29:01,%RH,59.216
06/06/2023, 15:59:01,%RH,64.002
06/06/2023, 16:29:01,%RH,66.363
06/06/2023, 16:59:01,%RH,60.42
06/06/2023, 17:29:01,%RH,58.006
06/06/2023, 17:59:01,%RH,58.612
06/06/2023, 18:29:01,%RH,59.216
06/06/2023, 18:59:01,%RH,64.594
06/06/2023, 19:29:01,%RH,73.318
06/06/2023, 19:59:01,%RH,73.889
06/06/2023, 20:29:01,%RH,73.889
06/06/2023, 20:59:01,%RH,77.287
06/06/2023, 21:29:01,%RH,77.849
06/06/2023, 21:59:01,%RH,80.082
06/06/2023, 22:29:01,%RH,81.19
06/06/2023, 22:59:01,%RH,85.571
06/06/2023, 23:29:01,%RH,87.729
06/06/2023, 23:59:01,%RH,86.653
07/06/2023, 00:29:01,%RH,88.265
07/06/2023, 00:59:01,%RH,89.866
07/06/2023, 01:29:01,%RH,90.397
07/06/2023, 01:59:01,%RH,90.397
07/06/2023, 02:29:01,%RH,91.455
07/06/2023, 02:59:01,%RH,91.455
07/06/2023, 03:29:01,%RH,90.397
07/06/2023, 03:59:01,%RH,88.265
07/06/2023, 04:29:01,%RH,87.192
07/06/2023, 04:59:01,%RH,88.265
07/06/2023, 05:29:01,%RH,86.653
07/06/2023, 05:59:01,%RH,84.484
07/06/2023, 06:29:01,%RH,85.571
07/06/2023, 06:59:01,%RH,84.484
07/06/2023, 07:29:01,%RH,82.843
07/06/2023, 07:59:01,%RH,82.843
07/06/2023, 08:29:01,%RH,73.889
07/06/2023, 08:59:01,%RH,72.746
07/06/2023, 09:29:01,%RH,71.021
07/06/2023, 09:59:01,%RH,71.021
07/06/2023, 10:29:01,%RH,65.185
07/06/2023, 10:59:01,%RH,64.002
07/06/2023, 11:29:01,%RH,60.42
07/06/2023, 11:59:01,%RH,58.612
07/06/2023, 12:29:01,%RH,59.819
07/06/2023, 12:59:01,%RH,58.006
07/06/2023, 13:29:01,%RH,59.216
07/06/2023, 13:59:01,%RH,58.006
07/06/2023, 14:29:01,%RH,55.57
07/06/2023, 14:59:01,%RH,56.181
07/06/2023, 15:29:01,%RH,58.612
07/06/2023, 15:59:01,%RH,57.399
07/06/2023, 16:29:01,%RH,57.399
07/06/2023, 16:59:01,%RH,59.819
07/06/2023, 17:29:01,%RH,61.021
07/06/2023, 17:59:01,%RH,61.62
07/06/2023, 18:29:01,%RH,63.408
07/06/2023, 18:59:01,%RH,65.775
07/06/2023, 19:29:01,%RH,67.536
07/06/2023, 19:59:01,%RH,70.444
07/06/2023, 20:29:01,%RH,72.173
07/06/2023, 20:59:01,%RH,73.318
07/06/2023, 21:29:01,%RH,75.594
07/06/2023, 21:59:01,%RH,77.287
07/06/2023, 22:29:01,%RH,81.19
07/06/2023, 22:59:01,%RH,80.637
07/06/2023, 23:29:01,%RH,80.637
07/06/2023, 23:59:01,%RH,81.742
08/06/2023, 00:29:01,%RH,83.938
08/06/2023, 00:59:01,%RH,86.653
08/06/2023, 01:29:01,%RH,86.653
08/06/2023, 01:59:01,%RH,86.112
08/06/2023, 02:29:01,%RH,86.112
08/06/2023, 02:59:01,%RH,86.112
08/06/2023, 03:29:01,%RH,86.653
08/06/2023, 03:59:01,%RH,86.112
08/06/2023, 04:29:01,%RH,82.293
08/06/2023, 04:59:01,%RH,82.843
08/06/2023, 05:29:01,%RH,84.484
08/06/2023, 05:59:01,%RH,86.653
08/06/2023, 06:29:01,%RH,86.112
08/06/2023, 06:59:01,%RH,83.391
08/06/2023, 07:29:01,%RH,77.849
08/06/2023, 07:59:01,%RH,73.889
08/06/2023, 08:29:01,%RH,72.173
08/06/2023, 08:59:01,%RH,68.12
08/06/2023, 09:29:01,%RH,66.95
08/06/2023, 09:59:01,%RH,63.408
08/06/2023, 10:29:01,%RH,62.217
08/06/2023, 10:59:01,%RH,58.612
08/06/2023, 11:29:01,%RH,61.62
08/06/2023, 11:59:01,%RH,58.612
08/06/2023, 12:29:01,%RH,58.006
08/06/2023, 12:59:01,%RH,57.399
08/06/2023, 13:29:01,%RH,55.57
08/06/2023, 13:59:01,%RH,56.181
08/06/2023, 14:29:01,%RH,55.57
08/06/2023, 14:59:01,%RH,49.387
08/06/2023, 15:29:01,%RH,51.876
08/06/2023, 15:59:01,%RH,49.387
08/06/2023, 16:29:01,%RH,49.387
08/06/2023, 16:59:01,%RH,54.958
08/06/2023, 17:29:01,%RH,55.57
08/06/2023, 17:59:01,%RH,58.006
08/06/2023, 18:29:01,%RH,58.006
08/06/2023, 18:59:01,%RH,61.62
08/06/2023, 19:29:01,%RH,64.002
08/06/2023, 19:59:01,%RH,65.775
08/06/2023, 20:29:01,%RH,69.865
08/06/2023, 20:59:01,%RH,70.444
08/06/2023, 21:29:01,%RH,72.173
08/06/2023, 21:59:01,%RH,74.459
08/06/2023, 22:29:01,%RH,76.724
08/06/2023, 22:59:01,%RH,78.968
08/06/2023, 23:29:01,%RH,76.724
08/06/2023, 23:59:01,%RH,77.287
09/06/2023, 00:29:01,%RH,77.287
09/06/2023, 00:59:01,%RH,77.287
09/06/2023, 01:29:01,%RH,77.287
09/06/2023, 01:59:01,%RH,72.746
09/06/2023, 02:29:01,%RH,78.409
09/06/2023, 02:59:01,%RH,77.849
09/06/2023, 03:29:01,%RH,75.027
09/06/2023, 03:59:01,%RH,75.027
09/06/2023, 04:29:01,%RH,74.459
09/06/2023, 04:59:01,%RH,75.594
09/06/2023, 05:29:01,%RH,73.318
09/06/2023, 05:59:01,%RH,68.12
09/06/2023, 06:29:01,%RH,74.459
09/06/2023, 06:59:01,%RH,70.444
09/06/2023, 07:29:01,%RH,69.285
09/06/2023, 07:59:01,%RH,61.021
09/06/2023, 08:29:01,%RH,56.791
09/06/2023, 08:59:01,%RH,54.958
09/06/2023, 09:29:01,%RH,56.181
09/06/2023, 09:59:01,%RH,54.958
09/06/2023, 10:29:01,%RH,53.729
09/06/2023, 10:59:01,%RH,53.729
09/06/2023, 11:29:01,%RH,54.344
09/06/2023, 11:59:01,%RH,51.876
09/06/2023, 12:29:01,%RH,51.256
09/06/2023, 12:59:01,%RH,50.634
09/06/2023, 13:29:01,%RH,50.011
09/06/2023, 13:59:01,%RH,46.246
09/06/2023, 14:29:01,%RH,44.345
09/06/2023, 14:59:01,%RH,43.708
09/06/2023, 15:29:01,%RH,41.792
09/06/2023, 15:59:01,%RH,44.98
09/06/2023, 16:29:01,%RH,44.345
09/06/2023, 16:59:01,%RH,48.762
09/06/2023, 17:29:01,%RH,51.876
09/06/2023, 17:59:01,%RH,51.876
09/06/2023, 18:29:01,%RH,54.344
09/06/2023, 18:59:01,%RH,56.181
09/06/2023, 19:29:01,%RH,57.399
09/06/2023, 19:59:01,%RH,58.006
09/06/2023, 20:29:01,%RH,59.216
09/06/2023, 20:59:01,%RH,61.021
09/06/2023, 21:29:01,%RH,60.42
09/06/2023, 21:59:01,%RH,57.399
