1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 05 05:59:01 BST 2023
Total Mission Samples:  5020
Total Device Samples:  15961
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/06/2023, 05:59:01,C,5.507
05/06/2023, 06:29:01,C,7.014
05/06/2023, 06:59:01,C,9.022
05/06/2023, 07:29:01,C,10.528
05/06/2023, 07:59:01,C,12.033
05/06/2023, 08:29:01,C,13.537
05/06/2023, 08:59:01,C,15.041
05/06/2023, 09:29:01,C,16.545
05/06/2023, 09:59:01,C,18.549
05/06/2023, 10:29:01,C,19.049
05/06/2023, 10:59:01,C,19.55
05/06/2023, 11:29:01,C,18.549
05/06/2023, 11:59:01,C,19.55
05/06/2023, 12:29:01,C,20.051
05/06/2023, 12:59:01,C,18.549
05/06/2023, 13:29:01,C,18.048
05/06/2023, 13:59:01,C,20.551
05/06/2023, 14:29:01,C,19.049
05/06/2023, 14:59:01,C,20.051
05/06/2023, 15:29:01,C,21.553
05/06/2023, 15:59:01,C,19.049
05/06/2023, 16:29:01,C,20.051
05/06/2023, 16:59:01,C,19.55
05/06/2023, 17:29:01,C,19.049
05/06/2023, 17:59:01,C,18.048
05/06/2023, 18:29:01,C,17.547
05/06/2023, 18:59:01,C,18.549
05/06/2023, 19:29:01,C,18.048
05/06/2023, 19:59:01,C,16.044
05/06/2023, 20:29:01,C,15.041
05/06/2023, 20:59:01,C,13.036
05/06/2023, 21:29:01,C,12.534
05/06/2023, 21:59:01,C,11.531
05/06/2023, 22:29:01,C,10.528
05/06/2023, 22:59:01,C,9.524
05/06/2023, 23:29:01,C,9.022
05/06/2023, 23:59:01,C,8.018
06/06/2023, 00:29:01,C,7.516
06/06/2023, 00:59:01,C,7.014
06/06/2023, 01:29:01,C,6.512
06/06/2023, 01:59:01,C,6.512
06/06/2023, 02:29:01,C,6.01
06/06/2023, 02:59:01,C,5.507
06/06/2023, 03:29:01,C,5.005
06/06/2023, 03:59:01,C,4.502
06/06/2023, 04:29:01,C,4.502
06/06/2023, 04:59:01,C,4.502
06/06/2023, 05:29:01,C,4.502
06/06/2023, 05:59:01,C,6.512
06/06/2023, 06:29:01,C,8.018
06/06/2023, 06:59:01,C,9.022
06/06/2023, 07:29:01,C,9.524
06/06/2023, 07:59:01,C,10.026
06/06/2023, 08:29:01,C,10.528
06/06/2023, 08:59:01,C,10.528
06/06/2023, 09:29:01,C,11.531
06/06/2023, 09:59:01,C,12.534
06/06/2023, 10:29:01,C,13.537
06/06/2023, 10:59:01,C,15.542
06/06/2023, 11:29:01,C,15.041
06/06/2023, 11:59:01,C,17.547
06/06/2023, 12:29:01,C,16.545
06/06/2023, 12:59:01,C,18.048
06/06/2023, 13:29:01,C,18.549
06/06/2023, 13:59:01,C,18.549
06/06/2023, 14:29:01,C,19.049
06/06/2023, 14:59:01,C,19.049
06/06/2023, 15:29:01,C,19.55
06/06/2023, 15:59:01,C,20.051
06/06/2023, 16:29:01,C,19.55
06/06/2023, 16:59:01,C,18.048
06/06/2023, 17:29:01,C,18.549
06/06/2023, 17:59:01,C,18.048
06/06/2023, 18:29:01,C,17.046
06/06/2023, 18:59:01,C,16.545
06/06/2023, 19:29:01,C,15.542
06/06/2023, 19:59:01,C,14.039
06/06/2023, 20:29:01,C,13.036
06/06/2023, 20:59:01,C,12.033
06/06/2023, 21:29:01,C,10.528
06/06/2023, 21:59:01,C,9.524
06/06/2023, 22:29:01,C,8.52
06/06/2023, 22:59:01,C,8.018
06/06/2023, 23:29:01,C,7.516
06/06/2023, 23:59:01,C,8.018
07/06/2023, 00:29:01,C,8.018
07/06/2023, 00:59:01,C,7.516
07/06/2023, 01:29:01,C,7.516
07/06/2023, 01:59:01,C,7.516
07/06/2023, 02:29:01,C,7.516
07/06/2023, 02:59:01,C,7.516
07/06/2023, 03:29:01,C,7.516
07/06/2023, 03:59:01,C,7.516
07/06/2023, 04:29:01,C,8.018
07/06/2023, 04:59:01,C,8.52
07/06/2023, 05:29:01,C,8.52
07/06/2023, 05:59:01,C,9.022
07/06/2023, 06:29:01,C,8.52
07/06/2023, 06:59:01,C,9.524
07/06/2023, 07:29:01,C,10.026
07/06/2023, 07:59:01,C,10.528
07/06/2023, 08:29:01,C,12.534
07/06/2023, 08:59:01,C,12.534
07/06/2023, 09:29:01,C,11.531
07/06/2023, 09:59:01,C,12.534
07/06/2023, 10:29:01,C,14.039
07/06/2023, 10:59:01,C,15.041
07/06/2023, 11:29:01,C,16.044
07/06/2023, 11:59:01,C,17.046
07/06/2023, 12:29:01,C,17.547
07/06/2023, 12:59:01,C,18.048
07/06/2023, 13:29:01,C,18.048
07/06/2023, 13:59:01,C,18.048
07/06/2023, 14:29:01,C,19.049
07/06/2023, 14:59:01,C,19.55
07/06/2023, 15:29:01,C,18.549
07/06/2023, 15:59:01,C,19.049
07/06/2023, 16:29:01,C,19.049
07/06/2023, 16:59:01,C,19.55
07/06/2023, 17:29:01,C,18.048
07/06/2023, 17:59:01,C,17.547
07/06/2023, 18:29:01,C,16.545
07/06/2023, 18:59:01,C,15.542
07/06/2023, 19:29:01,C,14.54
07/06/2023, 19:59:01,C,13.537
07/06/2023, 20:29:01,C,12.534
07/06/2023, 20:59:01,C,12.033
07/06/2023, 21:29:01,C,11.531
07/06/2023, 21:59:01,C,10.528
07/06/2023, 22:29:01,C,10.528
07/06/2023, 22:59:01,C,10.026
07/06/2023, 23:29:01,C,9.524
07/06/2023, 23:59:01,C,9.524
08/06/2023, 00:29:01,C,9.022
08/06/2023, 00:59:01,C,8.018
08/06/2023, 01:29:01,C,8.018
08/06/2023, 01:59:01,C,8.018
08/06/2023, 02:29:01,C,7.516
08/06/2023, 02:59:01,C,7.516
08/06/2023, 03:29:01,C,7.516
08/06/2023, 03:59:01,C,7.516
08/06/2023, 04:29:01,C,7.516
08/06/2023, 04:59:01,C,7.516
08/06/2023, 05:29:01,C,7.516
08/06/2023, 05:59:01,C,8.018
08/06/2023, 06:29:01,C,8.52
08/06/2023, 06:59:01,C,8.018
08/06/2023, 07:29:01,C,9.524
08/06/2023, 07:59:01,C,11.029
08/06/2023, 08:29:01,C,11.531
08/06/2023, 08:59:01,C,12.534
08/06/2023, 09:29:01,C,13.537
08/06/2023, 09:59:01,C,14.54
08/06/2023, 10:29:01,C,15.542
08/06/2023, 10:59:01,C,16.545
08/06/2023, 11:29:01,C,17.046
08/06/2023, 11:59:01,C,17.547
08/06/2023, 12:29:01,C,17.547
08/06/2023, 12:59:01,C,18.549
08/06/2023, 13:29:01,C,18.549
08/06/2023, 13:59:01,C,19.55
08/06/2023, 14:29:01,C,19.049
08/06/2023, 14:59:01,C,19.55
08/06/2023, 15:29:01,C,18.549
08/06/2023, 15:59:01,C,20.051
08/06/2023, 16:29:01,C,20.051
08/06/2023, 16:59:01,C,19.55
08/06/2023, 17:29:01,C,18.549
08/06/2023, 17:59:01,C,18.048
08/06/2023, 18:29:01,C,17.547
08/06/2023, 18:59:01,C,16.545
08/06/2023, 19:29:01,C,15.542
08/06/2023, 19:59:01,C,14.54
08/06/2023, 20:29:01,C,13.537
08/06/2023, 20:59:01,C,13.036
08/06/2023, 21:29:01,C,12.033
08/06/2023, 21:59:01,C,11.029
08/06/2023, 22:29:01,C,10.528
08/06/2023, 22:59:01,C,10.026
08/06/2023, 23:29:01,C,10.026
08/06/2023, 23:59:01,C,9.524
09/06/2023, 00:29:01,C,9.022
09/06/2023, 00:59:01,C,9.022
09/06/2023, 01:29:01,C,8.52
09/06/2023, 01:59:01,C,9.022
09/06/2023, 02:29:01,C,8.018
09/06/2023, 02:59:01,C,7.516
09/06/2023, 03:29:01,C,7.516
09/06/2023, 03:59:01,C,8.018
09/06/2023, 04:29:01,C,8.018
09/06/2023, 04:59:01,C,8.52
09/06/2023, 05:29:01,C,8.52
09/06/2023, 05:59:01,C,9.022
09/06/2023, 06:29:01,C,9.524
09/06/2023, 06:59:01,C,10.026
09/06/2023, 07:29:01,C,11.531
09/06/2023, 07:59:01,C,13.537
09/06/2023, 08:29:01,C,14.54
09/06/2023, 08:59:01,C,15.041
09/06/2023, 09:29:01,C,15.542
09/06/2023, 09:59:01,C,17.547
