1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1615
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1615
Total Device Samples:  17238
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,%RH,97.739
17/05/2023, 00:30:01,%RH,99.184
17/05/2023, 01:00:01,%RH,99.184
17/05/2023, 01:30:01,%RH,99.663
17/05/2023, 02:00:01,%RH,101.087
17/05/2023, 02:30:01,%RH,100.139
17/05/2023, 03:00:01,%RH,101.087
17/05/2023, 03:30:01,%RH,101.559
17/05/2023, 04:00:01,%RH,100.614
17/05/2023, 04:30:01,%RH,101.559
17/05/2023, 05:00:01,%RH,102.497
17/05/2023, 05:30:01,%RH,102.029
17/05/2023, 06:00:01,%RH,102.963
17/05/2023, 06:30:01,%RH,99.184
17/05/2023, 07:00:01,%RH,94.803
17/05/2023, 07:30:01,%RH,89.26
17/05/2023, 08:00:01,%RH,84.571
17/05/2023, 08:30:01,%RH,84.042
17/05/2023, 09:00:01,%RH,85.625
17/05/2023, 09:30:01,%RH,79.745
17/05/2023, 10:00:01,%RH,72.528
17/05/2023, 10:30:01,%RH,74.779
17/05/2023, 11:00:01,%RH,72.528
17/05/2023, 11:30:01,%RH,73.657
17/05/2023, 12:00:01,%RH,70.25
17/05/2023, 12:30:01,%RH,67.944
17/05/2023, 13:00:01,%RH,71.392
17/05/2023, 13:30:01,%RH,62.656
17/05/2023, 14:00:01,%RH,59.659
17/05/2023, 14:30:01,%RH,56.006
17/05/2023, 15:00:01,%RH,50.411
17/05/2023, 15:30:01,%RH,54.774
17/05/2023, 16:00:01,%RH,52.915
17/05/2023, 16:30:01,%RH,66.197
17/05/2023, 17:00:01,%RH,69.1
17/05/2023, 17:30:01,%RH,73.094
17/05/2023, 18:00:01,%RH,71.961
17/05/2023, 18:30:01,%RH,70.25
17/05/2023, 19:00:01,%RH,70.25
17/05/2023, 19:30:01,%RH,75.895
17/05/2023, 20:00:01,%RH,85.099
17/05/2023, 20:30:01,%RH,84.571
17/05/2023, 21:00:01,%RH,85.625
17/05/2023, 21:30:01,%RH,90.792
17/05/2023, 22:00:01,%RH,93.811
17/05/2023, 22:30:01,%RH,92.811
17/05/2023, 23:00:01,%RH,94.803
17/05/2023, 23:30:01,%RH,96.279
18/05/2023, 00:00:01,%RH,96.279
18/05/2023, 00:30:01,%RH,94.803
18/05/2023, 01:00:01,%RH,95.789
18/05/2023, 01:30:01,%RH,96.279
18/05/2023, 02:00:01,%RH,95.789
18/05/2023, 02:30:01,%RH,95.789
18/05/2023, 03:00:01,%RH,96.279
18/05/2023, 03:30:01,%RH,96.279
18/05/2023, 04:00:01,%RH,98.704
18/05/2023, 04:30:01,%RH,98.704
18/05/2023, 05:00:01,%RH,99.184
18/05/2023, 05:30:01,%RH,99.184
18/05/2023, 06:00:01,%RH,98.223
18/05/2023, 06:30:01,%RH,96.767
18/05/2023, 07:00:01,%RH,93.811
18/05/2023, 07:30:01,%RH,92.309
18/05/2023, 08:00:01,%RH,90.283
18/05/2023, 08:30:01,%RH,86.672
18/05/2023, 09:00:01,%RH,80.829
18/05/2023, 09:30:01,%RH,77.003
18/05/2023, 10:00:01,%RH,76.45
18/05/2023, 10:30:01,%RH,74.779
18/05/2023, 11:00:01,%RH,73.657
18/05/2023, 11:30:01,%RH,77.003
18/05/2023, 12:00:01,%RH,78.105
18/05/2023, 12:30:01,%RH,71.961
18/05/2023, 13:00:01,%RH,69.676
18/05/2023, 13:30:01,%RH,68.523
18/05/2023, 14:00:01,%RH,69.1
18/05/2023, 14:30:01,%RH,67.363
18/05/2023, 15:00:01,%RH,63.843
18/05/2023, 15:30:01,%RH,70.25
18/05/2023, 16:00:01,%RH,71.961
18/05/2023, 16:30:01,%RH,73.657
18/05/2023, 17:00:01,%RH,74.219
18/05/2023, 17:30:01,%RH,75.338
18/05/2023, 18:00:01,%RH,73.657
18/05/2023, 18:30:01,%RH,75.338
18/05/2023, 19:00:01,%RH,77.555
18/05/2023, 19:30:01,%RH,82.978
18/05/2023, 20:00:01,%RH,81.369
18/05/2023, 20:30:01,%RH,86.15
