1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1614
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1614
Total Device Samples:  18666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,%RH,98.103
17/05/2023, 00:29:01,%RH,98.103
17/05/2023, 00:59:01,%RH,98.59
17/05/2023, 01:29:01,%RH,101.479
17/05/2023, 01:59:01,%RH,100.522
17/05/2023, 02:29:01,%RH,99.559
17/05/2023, 02:59:01,%RH,100.042
17/05/2023, 03:29:01,%RH,100.042
17/05/2023, 03:59:01,%RH,101.001
17/05/2023, 04:29:01,%RH,101.001
17/05/2023, 04:59:01,%RH,101.479
17/05/2023, 05:29:01,%RH,100.042
17/05/2023, 05:59:01,%RH,98.59
17/05/2023, 06:29:01,%RH,93.647
17/05/2023, 06:59:01,%RH,90.09
17/05/2023, 07:29:01,%RH,87.502
17/05/2023, 07:59:01,%RH,84.342
17/05/2023, 08:29:01,%RH,80.582
17/05/2023, 08:59:01,%RH,80.582
17/05/2023, 09:29:01,%RH,71.123
17/05/2023, 09:59:01,%RH,66.51
17/05/2023, 10:29:01,%RH,69.979
17/05/2023, 10:59:01,%RH,71.692
17/05/2023, 11:29:01,%RH,64.164
17/05/2023, 11:59:01,%RH,61.793
17/05/2023, 12:29:01,%RH,61.197
17/05/2023, 12:59:01,%RH,62.982
17/05/2023, 13:29:01,%RH,58.188
17/05/2023, 13:59:01,%RH,55.753
17/05/2023, 14:29:01,%RH,53.909
17/05/2023, 14:59:01,%RH,50.804
17/05/2023, 15:29:01,%RH,50.178
17/05/2023, 15:59:01,%RH,52.051
17/05/2023, 16:29:01,%RH,62.389
17/05/2023, 16:59:01,%RH,67.673
17/05/2023, 17:29:01,%RH,71.123
17/05/2023, 17:59:01,%RH,71.123
17/05/2023, 18:29:01,%RH,71.692
17/05/2023, 18:59:01,%RH,69.979
17/05/2023, 19:29:01,%RH,73.953
17/05/2023, 19:59:01,%RH,84.873
17/05/2023, 20:29:01,%RH,84.873
17/05/2023, 20:59:01,%RH,82.74
17/05/2023, 21:29:01,%RH,86.979
17/05/2023, 21:59:01,%RH,90.09
17/05/2023, 22:29:01,%RH,91.624
17/05/2023, 22:59:01,%RH,94.148
17/05/2023, 23:29:01,%RH,95.147
17/05/2023, 23:59:01,%RH,95.147
18/05/2023, 00:29:01,%RH,93.647
18/05/2023, 00:59:01,%RH,94.648
18/05/2023, 01:29:01,%RH,94.148
18/05/2023, 01:59:01,%RH,93.647
18/05/2023, 02:29:01,%RH,93.647
18/05/2023, 02:59:01,%RH,95.147
18/05/2023, 03:29:01,%RH,96.139
18/05/2023, 03:59:01,%RH,96.632
18/05/2023, 04:29:01,%RH,97.124
18/05/2023, 04:59:01,%RH,97.124
18/05/2023, 05:29:01,%RH,97.614
18/05/2023, 05:59:01,%RH,98.59
18/05/2023, 06:29:01,%RH,94.148
18/05/2023, 06:59:01,%RH,91.624
18/05/2023, 07:29:01,%RH,88.542
18/05/2023, 07:59:01,%RH,85.402
18/05/2023, 08:29:01,%RH,81.124
18/05/2023, 08:59:01,%RH,74.515
18/05/2023, 09:29:01,%RH,70.552
18/05/2023, 09:59:01,%RH,69.405
18/05/2023, 10:29:01,%RH,69.979
18/05/2023, 10:59:01,%RH,68.829
18/05/2023, 11:29:01,%RH,73.39
18/05/2023, 11:59:01,%RH,72.26
18/05/2023, 12:29:01,%RH,68.829
18/05/2023, 12:59:01,%RH,65.926
18/05/2023, 13:29:01,%RH,63.574
18/05/2023, 13:59:01,%RH,62.982
18/05/2023, 14:29:01,%RH,64.164
18/05/2023, 14:59:01,%RH,62.982
18/05/2023, 15:29:01,%RH,68.252
18/05/2023, 15:59:01,%RH,71.123
18/05/2023, 16:29:01,%RH,71.123
18/05/2023, 16:59:01,%RH,71.123
18/05/2023, 17:29:01,%RH,72.826
18/05/2023, 17:59:01,%RH,71.692
18/05/2023, 18:29:01,%RH,72.826
