1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1614
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1614
Total Device Samples:  18666
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,C,6.585
17/05/2023, 00:29:01,C,7.589
17/05/2023, 00:59:01,C,6.585
17/05/2023, 01:29:01,C,6.585
17/05/2023, 01:59:01,C,6.585
17/05/2023, 02:29:01,C,5.581
17/05/2023, 02:59:01,C,5.581
17/05/2023, 03:29:01,C,5.581
17/05/2023, 03:59:01,C,5.581
17/05/2023, 04:29:01,C,5.079
17/05/2023, 04:59:01,C,5.079
17/05/2023, 05:29:01,C,5.581
17/05/2023, 05:59:01,C,6.083
17/05/2023, 06:29:01,C,8.09
17/05/2023, 06:59:01,C,9.094
17/05/2023, 07:29:01,C,9.595
17/05/2023, 07:59:01,C,10.097
17/05/2023, 08:29:01,C,11.1
17/05/2023, 08:59:01,C,11.601
17/05/2023, 09:29:01,C,14.108
17/05/2023, 09:59:01,C,15.611
17/05/2023, 10:29:01,C,13.607
17/05/2023, 10:59:01,C,15.11
17/05/2023, 11:29:01,C,17.114
17/05/2023, 11:59:01,C,16.613
17/05/2023, 12:29:01,C,17.114
17/05/2023, 12:59:01,C,16.112
17/05/2023, 13:29:01,C,16.613
17/05/2023, 13:59:01,C,16.613
17/05/2023, 14:29:01,C,17.114
17/05/2023, 14:59:01,C,17.615
17/05/2023, 15:29:01,C,16.613
17/05/2023, 15:59:01,C,16.112
17/05/2023, 16:29:01,C,15.611
17/05/2023, 16:59:01,C,14.108
17/05/2023, 17:29:01,C,13.607
17/05/2023, 17:59:01,C,13.105
17/05/2023, 18:29:01,C,13.105
17/05/2023, 18:59:01,C,13.105
17/05/2023, 19:29:01,C,12.103
17/05/2023, 19:59:01,C,11.1
17/05/2023, 20:29:01,C,11.1
17/05/2023, 20:59:01,C,9.595
17/05/2023, 21:29:01,C,9.094
17/05/2023, 21:59:01,C,9.094
17/05/2023, 22:29:01,C,8.592
17/05/2023, 22:59:01,C,8.09
17/05/2023, 23:29:01,C,8.09
17/05/2023, 23:59:01,C,8.09
18/05/2023, 00:29:01,C,8.09
18/05/2023, 00:59:01,C,8.09
18/05/2023, 01:29:01,C,8.09
18/05/2023, 01:59:01,C,8.592
18/05/2023, 02:29:01,C,8.09
18/05/2023, 02:59:01,C,7.589
18/05/2023, 03:29:01,C,7.589
18/05/2023, 03:59:01,C,7.589
18/05/2023, 04:29:01,C,8.09
18/05/2023, 04:59:01,C,8.09
18/05/2023, 05:29:01,C,8.592
18/05/2023, 05:59:01,C,9.094
18/05/2023, 06:29:01,C,10.097
18/05/2023, 06:59:01,C,10.599
18/05/2023, 07:29:01,C,11.1
18/05/2023, 07:59:01,C,12.604
18/05/2023, 08:29:01,C,14.108
18/05/2023, 08:59:01,C,15.11
18/05/2023, 09:29:01,C,16.112
18/05/2023, 09:59:01,C,16.112
18/05/2023, 10:29:01,C,15.611
18/05/2023, 10:59:01,C,16.112
18/05/2023, 11:29:01,C,15.611
18/05/2023, 11:59:01,C,15.11
18/05/2023, 12:29:01,C,16.613
18/05/2023, 12:59:01,C,15.611
18/05/2023, 13:29:01,C,16.112
18/05/2023, 13:59:01,C,16.613
18/05/2023, 14:29:01,C,16.112
18/05/2023, 14:59:01,C,17.114
18/05/2023, 15:29:01,C,15.611
18/05/2023, 15:59:01,C,14.609
18/05/2023, 16:29:01,C,14.108
18/05/2023, 16:59:01,C,14.108
18/05/2023, 17:29:01,C,14.108
18/05/2023, 17:59:01,C,13.607
18/05/2023, 18:29:01,C,13.105
18/05/2023, 18:59:01,C,12.604
18/05/2023, 19:29:01,C,12.103
18/05/2023, 19:59:01,C,11.601
18/05/2023, 20:29:01,C,11.1
18/05/2023, 20:59:01,C,10.097
18/05/2023, 21:29:01,C,9.094
18/05/2023, 21:59:01,C,8.09
18/05/2023, 22:29:01,C,7.087
18/05/2023, 22:59:01,C,7.589
18/05/2023, 23:29:01,C,8.592
18/05/2023, 23:59:01,C,9.094
19/05/2023, 00:29:01,C,9.094
19/05/2023, 00:59:01,C,9.094
19/05/2023, 01:29:01,C,9.094
19/05/2023, 01:59:01,C,9.094
19/05/2023, 02:29:01,C,9.094
19/05/2023, 02:59:01,C,9.094
19/05/2023, 03:29:01,C,9.094
19/05/2023, 03:59:01,C,9.094
19/05/2023, 04:29:01,C,9.094
19/05/2023, 04:59:01,C,8.592
19/05/2023, 05:29:01,C,8.09
19/05/2023, 05:59:01,C,7.589
19/05/2023, 06:29:01,C,9.595
19/05/2023, 06:59:01,C,9.595
19/05/2023, 07:29:01,C,10.599
19/05/2023, 07:59:01,C,11.601
19/05/2023, 08:29:01,C,13.105
19/05/2023, 08:59:01,C,12.103
19/05/2023, 09:29:01,C,14.609
19/05/2023, 09:59:01,C,15.611
19/05/2023, 10:29:01,C,15.611
19/05/2023, 10:59:01,C,14.108
19/05/2023, 11:29:01,C,15.11
19/05/2023, 11:59:01,C,15.11
19/05/2023, 12:29:01,C,17.615
19/05/2023, 12:59:01,C,17.615
19/05/2023, 13:29:01,C,16.613
19/05/2023, 13:59:01,C,17.615
19/05/2023, 14:29:01,C,17.615
19/05/2023, 14:59:01,C,17.114
19/05/2023, 15:29:01,C,18.115
19/05/2023, 15:59:01,C,17.114
19/05/2023, 16:29:01,C,17.114
19/05/2023, 16:59:01,C,16.613
19/05/2023, 17:29:01,C,16.112
19/05/2023, 17:59:01,C,16.112
19/05/2023, 18:29:01,C,15.11
19/05/2023, 18:59:01,C,14.609
19/05/2023, 19:29:01,C,14.108
19/05/2023, 19:59:01,C,13.607
19/05/2023, 20:29:01,C,12.103
19/05/2023, 20:59:01,C,11.1
19/05/2023, 21:29:01,C,10.097
19/05/2023, 21:59:01,C,9.094
19/05/2023, 22:29:01,C,8.09
19/05/2023, 22:59:01,C,7.589
19/05/2023, 23:29:01,C,8.09
19/05/2023, 23:59:01,C,8.09
20/05/2023, 00:29:01,C,8.09
20/05/2023, 00:59:01,C,7.589
20/05/2023, 01:29:01,C,7.589
20/05/2023, 01:59:01,C,7.589
20/05/2023, 02:29:01,C,7.087
20/05/2023, 02:59:01,C,7.087
20/05/2023, 03:29:01,C,7.589
20/05/2023, 03:59:01,C,7.589
20/05/2023, 04:29:01,C,7.087
20/05/2023, 04:59:01,C,7.087
20/05/2023, 05:29:01,C,7.589
20/05/2023, 05:59:01,C,8.592
20/05/2023, 06:29:01,C,11.601
20/05/2023, 06:59:01,C,13.607
20/05/2023, 07:29:01,C,15.11
20/05/2023, 07:59:01,C,16.613
20/05/2023, 08:29:01,C,17.615
20/05/2023, 08:59:01,C,19.117
20/05/2023, 09:29:01,C,19.117
20/05/2023, 09:59:01,C,17.615
20/05/2023, 10:29:01,C,18.115
20/05/2023, 10:59:01,C,19.117
20/05/2023, 11:29:01,C,20.118
20/05/2023, 11:59:01,C,20.619
20/05/2023, 12:29:01,C,19.617
20/05/2023, 12:59:01,C,16.613
20/05/2023, 13:29:01,C,18.616
20/05/2023, 13:59:01,C,20.118
20/05/2023, 14:29:01,C,17.114
20/05/2023, 14:59:01,C,19.617
20/05/2023, 15:29:01,C,19.617
20/05/2023, 15:59:01,C,20.619
20/05/2023, 16:29:01,C,18.616
20/05/2023, 16:59:01,C,20.118
20/05/2023, 17:29:01,C,19.617
20/05/2023, 17:59:01,C,18.616
20/05/2023, 18:29:01,C,16.613
20/05/2023, 18:59:01,C,15.611
20/05/2023, 19:29:01,C,14.609
20/05/2023, 19:59:01,C,14.108
20/05/2023, 20:29:01,C,13.105
20/05/2023, 20:59:01,C,12.103
20/05/2023, 21:29:01,C,11.1
20/05/2023, 21:59:01,C,10.599
20/05/2023, 22:29:01,C,10.097
20/05/2023, 22:59:01,C,11.1
