1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1614
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1614
Total Device Samples:  13268
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,%RH,96.225
17/05/2023, 00:29:01,%RH,95.712
17/05/2023, 00:59:01,%RH,96.737
17/05/2023, 01:29:01,%RH,98.262
17/05/2023, 01:59:01,%RH,96.225
17/05/2023, 02:29:01,%RH,97.755
17/05/2023, 02:59:01,%RH,99.77
17/05/2023, 03:29:01,%RH,99.77
17/05/2023, 03:59:01,%RH,99.77
17/05/2023, 04:29:01,%RH,100.269
17/05/2023, 04:59:01,%RH,100.767
17/05/2023, 05:29:01,%RH,101.263
17/05/2023, 05:59:01,%RH,93.117
17/05/2023, 06:29:01,%RH,92.593
17/05/2023, 06:59:01,%RH,90.478
17/05/2023, 07:29:01,%RH,87.794
17/05/2023, 07:59:01,%RH,85.615
17/05/2023, 08:29:01,%RH,83.962
17/05/2023, 08:59:01,%RH,83.962
17/05/2023, 09:29:01,%RH,78.906
17/05/2023, 09:59:01,%RH,77.188
17/05/2023, 10:29:01,%RH,74.29
17/05/2023, 10:59:01,%RH,73.705
17/05/2023, 11:29:01,%RH,67.153
17/05/2023, 11:59:01,%RH,61.008
17/05/2023, 12:29:01,%RH,57.869
17/05/2023, 12:59:01,%RH,62.871
17/05/2023, 13:29:01,%RH,57.869
17/05/2023, 13:59:01,%RH,54.044
17/05/2023, 14:29:01,%RH,55.326
17/05/2023, 14:59:01,%RH,52.107
17/05/2023, 15:29:01,%RH,52.754
17/05/2023, 15:59:01,%RH,53.4
17/05/2023, 16:29:01,%RH,61.008
17/05/2023, 16:59:01,%RH,67.757
17/05/2023, 17:29:01,%RH,70.754
17/05/2023, 17:59:01,%RH,70.754
17/05/2023, 18:29:01,%RH,71.94
17/05/2023, 18:59:01,%RH,68.36
17/05/2023, 19:29:01,%RH,71.94
17/05/2023, 19:59:01,%RH,82.292
17/05/2023, 20:29:01,%RH,82.292
17/05/2023, 20:59:01,%RH,85.066
17/05/2023, 21:29:01,%RH,85.615
17/05/2023, 21:59:01,%RH,89.41
17/05/2023, 22:29:01,%RH,92.593
17/05/2023, 22:59:01,%RH,93.117
17/05/2023, 23:29:01,%RH,94.16
17/05/2023, 23:59:01,%RH,94.16
18/05/2023, 00:29:01,%RH,94.679
18/05/2023, 00:59:01,%RH,94.16
18/05/2023, 01:29:01,%RH,94.679
18/05/2023, 01:59:01,%RH,93.117
18/05/2023, 02:29:01,%RH,95.196
18/05/2023, 02:59:01,%RH,95.196
18/05/2023, 03:29:01,%RH,96.225
18/05/2023, 03:59:01,%RH,96.225
18/05/2023, 04:29:01,%RH,96.225
18/05/2023, 04:59:01,%RH,98.766
18/05/2023, 05:29:01,%RH,96.737
18/05/2023, 05:59:01,%RH,97.247
18/05/2023, 06:29:01,%RH,94.679
18/05/2023, 06:59:01,%RH,93.117
18/05/2023, 07:29:01,%RH,89.945
18/05/2023, 07:59:01,%RH,87.794
18/05/2023, 08:29:01,%RH,85.066
18/05/2023, 08:59:01,%RH,79.475
18/05/2023, 09:29:01,%RH,76.612
18/05/2023, 09:59:01,%RH,74.873
18/05/2023, 10:29:01,%RH,74.29
18/05/2023, 10:59:01,%RH,72.53
18/05/2023, 11:29:01,%RH,76.612
18/05/2023, 11:59:01,%RH,74.29
18/05/2023, 12:29:01,%RH,71.94
18/05/2023, 12:59:01,%RH,67.757
18/05/2023, 13:29:01,%RH,66.546
18/05/2023, 13:59:01,%RH,65.328
18/05/2023, 14:29:01,%RH,69.561
18/05/2023, 14:59:01,%RH,66.546
18/05/2023, 15:29:01,%RH,70.158
18/05/2023, 15:59:01,%RH,73.119
18/05/2023, 16:29:01,%RH,74.29
18/05/2023, 16:59:01,%RH,71.348
18/05/2023, 17:29:01,%RH,73.705
18/05/2023, 17:59:01,%RH,73.119
18/05/2023, 18:29:01,%RH,73.119
18/05/2023, 18:59:01,%RH,76.612
18/05/2023, 19:29:01,%RH,80.607
18/05/2023, 19:59:01,%RH,81.171
18/05/2023, 20:29:01,%RH,85.066
18/05/2023, 20:59:01,%RH,87.252
18/05/2023, 21:29:01,%RH,89.41
18/05/2023, 21:59:01,%RH,93.64
18/05/2023, 22:29:01,%RH,95.712
18/05/2023, 22:59:01,%RH,96.225
18/05/2023, 23:29:01,%RH,96.737
18/05/2023, 23:59:01,%RH,96.225
19/05/2023, 00:29:01,%RH,97.247
19/05/2023, 00:59:01,%RH,98.766
19/05/2023, 01:29:01,%RH,100.269
19/05/2023, 01:59:01,%RH,99.77
19/05/2023, 02:29:01,%RH,100.767
19/05/2023, 02:59:01,%RH,99.269
19/05/2023, 03:29:01,%RH,100.767
19/05/2023, 03:59:01,%RH,101.757
19/05/2023, 04:29:01,%RH,100.269
19/05/2023, 04:59:01,%RH,100.269
19/05/2023, 05:29:01,%RH,100.269
19/05/2023, 05:59:01,%RH,101.263
19/05/2023, 06:29:01,%RH,100.767
19/05/2023, 06:59:01,%RH,101.263
19/05/2023, 07:29:01,%RH,95.712
19/05/2023, 07:59:01,%RH,94.16
19/05/2023, 08:29:01,%RH,84.514
19/05/2023, 08:59:01,%RH,80.042
19/05/2023, 09:29:01,%RH,76.034
19/05/2023, 09:59:01,%RH,67.153
19/05/2023, 10:29:01,%RH,62.252
19/05/2023, 10:59:01,%RH,64.716
19/05/2023, 11:29:01,%RH,60.384
19/05/2023, 11:59:01,%RH,59.13
19/05/2023, 12:29:01,%RH,50.154
19/05/2023, 12:59:01,%RH,47.524
19/05/2023, 13:29:01,%RH,48.184
19/05/2023, 13:59:01,%RH,49.499
19/05/2023, 14:29:01,%RH,48.184
19/05/2023, 14:59:01,%RH,52.754
19/05/2023, 15:29:01,%RH,48.843
19/05/2023, 15:59:01,%RH,52.754
19/05/2023, 16:29:01,%RH,52.754
19/05/2023, 16:59:01,%RH,52.107
19/05/2023, 17:29:01,%RH,54.044
19/05/2023, 17:59:01,%RH,56.601
19/05/2023, 18:29:01,%RH,57.236
19/05/2023, 18:59:01,%RH,61.631
19/05/2023, 19:29:01,%RH,63.488
19/05/2023, 19:59:01,%RH,66.546
19/05/2023, 20:29:01,%RH,74.29
19/05/2023, 20:59:01,%RH,80.042
19/05/2023, 21:29:01,%RH,82.851
19/05/2023, 21:59:01,%RH,86.708
19/05/2023, 22:29:01,%RH,90.478
19/05/2023, 22:59:01,%RH,92.593
19/05/2023, 23:29:01,%RH,94.679
19/05/2023, 23:59:01,%RH,95.196
20/05/2023, 00:29:01,%RH,96.225
20/05/2023, 00:59:01,%RH,96.225
20/05/2023, 01:29:01,%RH,97.755
20/05/2023, 01:59:01,%RH,97.755
20/05/2023, 02:29:01,%RH,97.755
20/05/2023, 02:59:01,%RH,98.262
20/05/2023, 03:29:01,%RH,98.262
20/05/2023, 03:59:01,%RH,98.262
20/05/2023, 04:29:01,%RH,99.269
20/05/2023, 04:59:01,%RH,99.77
20/05/2023, 05:29:01,%RH,99.269
20/05/2023, 05:59:01,%RH,99.269
20/05/2023, 06:29:01,%RH,93.117
20/05/2023, 06:59:01,%RH,87.794
20/05/2023, 07:29:01,%RH,84.514
20/05/2023, 07:59:01,%RH,73.119
20/05/2023, 08:29:01,%RH,75.455
20/05/2023, 08:59:01,%RH,67.757
20/05/2023, 09:29:01,%RH,62.252
20/05/2023, 09:59:01,%RH,61.008
20/05/2023, 10:29:01,%RH,57.236
20/05/2023, 10:59:01,%RH,52.107
20/05/2023, 11:29:01,%RH,48.843
20/05/2023, 11:59:01,%RH,46.199
20/05/2023, 12:29:01,%RH,60.384
20/05/2023, 12:59:01,%RH,72.53
20/05/2023, 13:29:01,%RH,60.384
20/05/2023, 13:59:01,%RH,55.965
20/05/2023, 14:29:01,%RH,65.328
20/05/2023, 14:59:01,%RH,62.252
20/05/2023, 15:29:01,%RH,64.103
20/05/2023, 15:59:01,%RH,58.501
20/05/2023, 16:29:01,%RH,62.871
20/05/2023, 16:59:01,%RH,59.13
20/05/2023, 17:29:01,%RH,57.869
20/05/2023, 17:59:01,%RH,59.13
20/05/2023, 18:29:01,%RH,65.938
20/05/2023, 18:59:01,%RH,70.158
20/05/2023, 19:29:01,%RH,73.119
20/05/2023, 19:59:01,%RH,76.612
20/05/2023, 20:29:01,%RH,82.851
20/05/2023, 20:59:01,%RH,85.615
20/05/2023, 21:29:01,%RH,87.794
20/05/2023, 21:59:01,%RH,90.478
20/05/2023, 22:29:01,%RH,91.009
20/05/2023, 22:59:01,%RH,92.067
20/05/2023, 23:29:01,%RH,92.067
20/05/2023, 23:59:01,%RH,91.009
21/05/2023, 00:29:01,%RH,89.945
21/05/2023, 00:59:01,%RH,90.478
21/05/2023, 01:29:01,%RH,91.539
21/05/2023, 01:59:01,%RH,91.539
21/05/2023, 02:29:01,%RH,93.117
21/05/2023, 02:59:01,%RH,93.64
21/05/2023, 03:29:01,%RH,94.16
21/05/2023, 03:59:01,%RH,94.16
21/05/2023, 04:29:01,%RH,94.679
21/05/2023, 04:59:01,%RH,95.196
21/05/2023, 05:29:01,%RH,96.225
21/05/2023, 05:59:01,%RH,97.247
21/05/2023, 06:29:01,%RH,95.196
21/05/2023, 06:59:01,%RH,94.16
21/05/2023, 07:29:01,%RH,89.945
21/05/2023, 07:59:01,%RH,83.962
21/05/2023, 08:29:01,%RH,73.705
21/05/2023, 08:59:01,%RH,65.328
21/05/2023, 09:29:01,%RH,65.938
21/05/2023, 09:59:01,%RH,62.252
21/05/2023, 10:29:01,%RH,57.236
21/05/2023, 10:59:01,%RH,57.236
21/05/2023, 11:29:01,%RH,57.236
21/05/2023, 11:59:01,%RH,55.965
21/05/2023, 12:29:01,%RH,53.4
21/05/2023, 12:59:01,%RH,51.457
21/05/2023, 13:29:01,%RH,55.326
21/05/2023, 13:59:01,%RH,55.326
21/05/2023, 14:29:01,%RH,58.501
21/05/2023, 14:59:01,%RH,57.236
21/05/2023, 15:29:01,%RH,59.13
21/05/2023, 15:59:01,%RH,61.008
21/05/2023, 16:29:01,%RH,63.488
21/05/2023, 16:59:01,%RH,65.328
21/05/2023, 17:29:01,%RH,67.153
21/05/2023, 17:59:01,%RH,68.961
21/05/2023, 18:29:01,%RH,69.561
21/05/2023, 18:59:01,%RH,67.153
21/05/2023, 19:29:01,%RH,70.158
21/05/2023, 19:59:01,%RH,74.29
21/05/2023, 20:29:01,%RH,79.475
21/05/2023, 20:59:01,%RH,84.514
21/05/2023, 21:29:01,%RH,85.615
21/05/2023, 21:59:01,%RH,85.066
21/05/2023, 22:29:01,%RH,88.334
21/05/2023, 22:59:01,%RH,91.009
21/05/2023, 23:29:01,%RH,93.117
21/05/2023, 23:59:01,%RH,95.196
22/05/2023, 00:29:01,%RH,96.737
22/05/2023, 00:59:01,%RH,95.712
22/05/2023, 01:29:01,%RH,98.262
22/05/2023, 01:59:01,%RH,98.262
22/05/2023, 02:29:01,%RH,97.755
22/05/2023, 02:59:01,%RH,98.262
22/05/2023, 03:29:01,%RH,98.262
22/05/2023, 03:59:01,%RH,97.755
22/05/2023, 04:29:01,%RH,98.766
22/05/2023, 04:59:01,%RH,99.269
22/05/2023, 05:29:01,%RH,99.269
22/05/2023, 05:59:01,%RH,99.77
22/05/2023, 06:29:01,%RH,97.247
22/05/2023, 06:59:01,%RH,81.732
22/05/2023, 07:29:01,%RH,81.732
22/05/2023, 07:59:01,%RH,83.407
22/05/2023, 08:29:01,%RH,87.794
22/05/2023, 08:59:01,%RH,81.732
22/05/2023, 09:29:01,%RH,74.29
