1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1615
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1615
Total Device Samples:  12556
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,%RH,94.386
17/05/2023, 00:29:01,%RH,97.428
17/05/2023, 00:59:01,%RH,96.421
17/05/2023, 01:29:01,%RH,97.929
17/05/2023, 01:59:01,%RH,97.929
17/05/2023, 02:29:01,%RH,97.428
17/05/2023, 02:59:01,%RH,99.913
17/05/2023, 03:29:01,%RH,100.895
17/05/2023, 03:59:01,%RH,99.913
17/05/2023, 04:29:01,%RH,99.913
17/05/2023, 04:59:01,%RH,101.383
17/05/2023, 05:29:01,%RH,101.87
17/05/2023, 05:59:01,%RH,102.354
17/05/2023, 06:29:01,%RH,100.895
17/05/2023, 06:59:01,%RH,95.407
17/05/2023, 07:29:01,%RH,90.754
17/05/2023, 07:59:01,%RH,88.64
17/05/2023, 08:29:01,%RH,83.228
17/05/2023, 08:59:01,%RH,82.676
17/05/2023, 09:29:01,%RH,78.768
17/05/2023, 09:59:01,%RH,69.503
17/05/2023, 10:29:01,%RH,67.115
17/05/2023, 10:59:01,%RH,68.909
17/05/2023, 11:29:01,%RH,66.513
17/05/2023, 11:59:01,%RH,66.513
17/05/2023, 12:29:01,%RH,62.866
17/05/2023, 12:59:01,%RH,62.866
17/05/2023, 13:29:01,%RH,59.777
17/05/2023, 13:59:01,%RH,57.902
17/05/2023, 14:29:01,%RH,57.274
17/05/2023, 14:59:01,%RH,52.823
17/05/2023, 15:29:01,%RH,53.465
17/05/2023, 15:59:01,%RH,52.18
17/05/2023, 16:29:01,%RH,64.698
17/05/2023, 16:59:01,%RH,66.513
17/05/2023, 17:29:01,%RH,70.096
17/05/2023, 17:59:01,%RH,72.448
17/05/2023, 18:29:01,%RH,68.313
17/05/2023, 18:59:01,%RH,70.096
17/05/2023, 19:29:01,%RH,76.495
17/05/2023, 19:59:01,%RH,83.777
17/05/2023, 20:29:01,%RH,85.414
17/05/2023, 20:59:01,%RH,85.414
17/05/2023, 21:29:01,%RH,89.701
17/05/2023, 21:59:01,%RH,90.754
17/05/2023, 22:29:01,%RH,92.84
17/05/2023, 22:59:01,%RH,95.407
17/05/2023, 23:29:01,%RH,94.897
17/05/2023, 23:59:01,%RH,96.421
18/05/2023, 00:29:01,%RH,97.428
18/05/2023, 00:59:01,%RH,97.428
18/05/2023, 01:29:01,%RH,97.428
18/05/2023, 01:59:01,%RH,97.428
18/05/2023, 02:29:01,%RH,97.428
18/05/2023, 02:59:01,%RH,97.428
18/05/2023, 03:29:01,%RH,97.929
18/05/2023, 03:59:01,%RH,98.427
18/05/2023, 04:29:01,%RH,99.42
18/05/2023, 04:59:01,%RH,99.913
18/05/2023, 05:29:01,%RH,99.913
18/05/2023, 05:59:01,%RH,99.42
18/05/2023, 06:29:01,%RH,98.427
18/05/2023, 06:59:01,%RH,96.421
18/05/2023, 07:29:01,%RH,93.872
18/05/2023, 07:59:01,%RH,90.229
18/05/2023, 08:29:01,%RH,86.497
18/05/2023, 08:59:01,%RH,79.894
18/05/2023, 09:29:01,%RH,75.348
18/05/2023, 09:59:01,%RH,74.193
18/05/2023, 10:29:01,%RH,73.613
18/05/2023, 10:59:01,%RH,71.863
18/05/2023, 11:29:01,%RH,75.348
18/05/2023, 11:59:01,%RH,71.863
18/05/2023, 12:29:01,%RH,71.275
18/05/2023, 12:59:01,%RH,67.115
18/05/2023, 13:29:01,%RH,67.715
18/05/2023, 13:59:01,%RH,67.115
18/05/2023, 14:29:01,%RH,67.115
18/05/2023, 14:59:01,%RH,65.91
18/05/2023, 15:29:01,%RH,69.503
18/05/2023, 15:59:01,%RH,70.096
18/05/2023, 16:29:01,%RH,71.863
18/05/2023, 16:59:01,%RH,72.448
18/05/2023, 17:29:01,%RH,73.613
18/05/2023, 17:59:01,%RH,73.031
18/05/2023, 18:29:01,%RH,73.613
18/05/2023, 18:59:01,%RH,75.922
18/05/2023, 19:29:01,%RH,81.012
18/05/2023, 19:59:01,%RH,79.894
18/05/2023, 20:29:01,%RH,85.414
18/05/2023, 20:59:01,%RH,87.572
18/05/2023, 21:29:01,%RH,90.754
18/05/2023, 21:59:01,%RH,93.872
18/05/2023, 22:29:01,%RH,95.915
18/05/2023, 22:59:01,%RH,99.42
18/05/2023, 23:29:01,%RH,97.929
18/05/2023, 23:59:01,%RH,97.929
19/05/2023, 00:29:01,%RH,97.929
19/05/2023, 00:59:01,%RH,98.427
19/05/2023, 01:29:01,%RH,98.925
19/05/2023, 01:59:01,%RH,99.42
19/05/2023, 02:29:01,%RH,99.42
19/05/2023, 02:59:01,%RH,100.405
19/05/2023, 03:29:01,%RH,99.913
19/05/2023, 03:59:01,%RH,100.405
19/05/2023, 04:29:01,%RH,100.405
19/05/2023, 04:59:01,%RH,100.895
19/05/2023, 05:29:01,%RH,100.895
19/05/2023, 05:59:01,%RH,101.87
19/05/2023, 06:29:01,%RH,102.837
19/05/2023, 06:59:01,%RH,102.354
19/05/2023, 07:29:01,%RH,98.427
19/05/2023, 07:59:01,%RH,96.421
19/05/2023, 08:29:01,%RH,90.229
19/05/2023, 08:59:01,%RH,84.324
19/05/2023, 09:29:01,%RH,79.332
19/05/2023, 09:59:01,%RH,66.513
19/05/2023, 10:29:01,%RH,62.252
19/05/2023, 10:59:01,%RH,65.305
19/05/2023, 11:29:01,%RH,62.866
19/05/2023, 11:59:01,%RH,62.866
19/05/2023, 12:29:01,%RH,51.536
19/05/2023, 12:59:01,%RH,55.377
19/05/2023, 13:29:01,%RH,48.938
19/05/2023, 13:59:01,%RH,50.889
19/05/2023, 14:29:01,%RH,51.536
19/05/2023, 14:59:01,%RH,52.18
19/05/2023, 15:29:01,%RH,48.938
19/05/2023, 15:59:01,%RH,52.823
19/05/2023, 16:29:01,%RH,54.104
19/05/2023, 16:59:01,%RH,54.741
19/05/2023, 17:29:01,%RH,54.741
19/05/2023, 17:59:01,%RH,57.274
19/05/2023, 18:29:01,%RH,61.018
19/05/2023, 18:59:01,%RH,61.636
19/05/2023, 19:29:01,%RH,67.715
19/05/2023, 19:59:01,%RH,71.863
19/05/2023, 20:29:01,%RH,77.635
19/05/2023, 20:59:01,%RH,83.228
19/05/2023, 21:29:01,%RH,86.497
19/05/2023, 21:59:01,%RH,89.171
19/05/2023, 22:29:01,%RH,93.357
19/05/2023, 22:59:01,%RH,95.915
19/05/2023, 23:29:01,%RH,97.428
19/05/2023, 23:59:01,%RH,98.427
20/05/2023, 00:29:01,%RH,98.427
20/05/2023, 00:59:01,%RH,99.42
20/05/2023, 01:29:01,%RH,99.42
20/05/2023, 01:59:01,%RH,99.913
20/05/2023, 02:29:01,%RH,99.913
20/05/2023, 02:59:01,%RH,100.895
20/05/2023, 03:29:01,%RH,100.405
20/05/2023, 03:59:01,%RH,101.87
20/05/2023, 04:29:01,%RH,101.383
20/05/2023, 04:59:01,%RH,101.383
20/05/2023, 05:29:01,%RH,100.895
20/05/2023, 05:59:01,%RH,101.87
20/05/2023, 06:29:01,%RH,100.405
20/05/2023, 06:59:01,%RH,93.872
20/05/2023, 07:29:01,%RH,86.497
