1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3A0000007DAB2041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1610
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1610
Total Device Samples:  16468
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,%RH,85.7
17/05/2023, 00:30:01,%RH,87.359
17/05/2023, 01:00:01,%RH,86.808
17/05/2023, 01:30:01,%RH,89.55
17/05/2023, 02:00:01,%RH,90.636
17/05/2023, 02:30:01,%RH,92.789
17/05/2023, 03:00:01,%RH,94.917
17/05/2023, 03:30:01,%RH,95.445
17/05/2023, 04:00:01,%RH,94.387
17/05/2023, 04:30:01,%RH,94.917
17/05/2023, 05:00:01,%RH,95.971
17/05/2023, 05:30:01,%RH,95.971
17/05/2023, 06:00:01,%RH,93.856
17/05/2023, 06:30:01,%RH,93.323
17/05/2023, 07:00:01,%RH,91.715
17/05/2023, 07:30:01,%RH,85.143
17/05/2023, 08:00:01,%RH,82.903
17/05/2023, 08:30:01,%RH,81.206
17/05/2023, 09:00:01,%RH,79.494
17/05/2023, 09:30:01,%RH,71.322
17/05/2023, 10:00:01,%RH,71.916
17/05/2023, 10:30:01,%RH,68.329
17/05/2023, 11:00:01,%RH,71.322
17/05/2023, 11:30:01,%RH,71.322
17/05/2023, 12:00:01,%RH,67.726
17/05/2023, 12:30:01,%RH,62.843
17/05/2023, 13:00:01,%RH,64.073
17/05/2023, 13:30:01,%RH,64.073
17/05/2023, 14:00:01,%RH,61.606
17/05/2023, 14:30:01,%RH,54.694
17/05/2023, 15:00:01,%RH,56.598
17/05/2023, 15:30:01,%RH,57.859
17/05/2023, 16:00:01,%RH,60.364
17/05/2023, 16:30:01,%RH,64.073
17/05/2023, 17:00:01,%RH,63.459
17/05/2023, 17:30:01,%RH,64.073
17/05/2023, 18:00:01,%RH,65.297
17/05/2023, 18:30:01,%RH,62.843
17/05/2023, 19:00:01,%RH,67.726
17/05/2023, 19:30:01,%RH,68.931
17/05/2023, 20:00:01,%RH,69.531
17/05/2023, 20:30:01,%RH,76.03
17/05/2023, 21:00:01,%RH,77.769
17/05/2023, 21:30:01,%RH,80.637
17/05/2023, 22:00:01,%RH,84.586
17/05/2023, 22:30:01,%RH,87.359
17/05/2023, 23:00:01,%RH,90.094
17/05/2023, 23:30:01,%RH,90.636
18/05/2023, 00:00:01,%RH,89.005
18/05/2023, 00:30:01,%RH,90.094
18/05/2023, 01:00:01,%RH,89.005
18/05/2023, 01:30:01,%RH,89.005
18/05/2023, 02:00:01,%RH,87.359
18/05/2023, 02:30:01,%RH,88.458
18/05/2023, 03:00:01,%RH,89.55
18/05/2023, 03:30:01,%RH,91.715
18/05/2023, 04:00:01,%RH,90.636
18/05/2023, 04:30:01,%RH,90.636
18/05/2023, 05:00:01,%RH,92.253
18/05/2023, 05:30:01,%RH,92.789
18/05/2023, 06:00:01,%RH,91.715
18/05/2023, 06:30:01,%RH,91.176
18/05/2023, 07:00:01,%RH,90.636
18/05/2023, 07:30:01,%RH,90.636
18/05/2023, 08:00:01,%RH,87.359
18/05/2023, 08:30:01,%RH,81.773
18/05/2023, 09:00:01,%RH,78.921
18/05/2023, 09:30:01,%RH,74.862
18/05/2023, 10:00:01,%RH,73.099
