1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1611
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1611
Total Device Samples:  18112
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,%RH,94.596
17/05/2023, 00:30:01,%RH,96.149
17/05/2023, 01:00:01,%RH,96.664
17/05/2023, 01:30:01,%RH,97.69
17/05/2023, 02:00:01,%RH,98.201
17/05/2023, 02:30:01,%RH,97.69
17/05/2023, 03:00:01,%RH,98.71
17/05/2023, 03:30:01,%RH,99.726
17/05/2023, 04:00:01,%RH,99.726
17/05/2023, 04:30:01,%RH,99.726
17/05/2023, 05:00:01,%RH,99.726
17/05/2023, 05:30:01,%RH,100.231
17/05/2023, 06:00:01,%RH,100.735
17/05/2023, 06:30:01,%RH,101.238
17/05/2023, 07:00:01,%RH,100.231
17/05/2023, 07:30:01,%RH,97.178
17/05/2023, 08:00:01,%RH,96.149
17/05/2023, 08:30:01,%RH,89.334
17/05/2023, 09:00:01,%RH,88.265
17/05/2023, 09:30:01,%RH,81.19
17/05/2023, 10:00:01,%RH,82.843
17/05/2023, 10:30:01,%RH,81.19
17/05/2023, 11:00:01,%RH,82.293
17/05/2023, 11:30:01,%RH,79.525
17/05/2023, 12:00:01,%RH,77.287
17/05/2023, 12:30:01,%RH,75.027
17/05/2023, 13:00:01,%RH,75.027
17/05/2023, 13:30:01,%RH,73.889
17/05/2023, 14:00:01,%RH,71.021
17/05/2023, 14:30:01,%RH,66.95
17/05/2023, 15:00:01,%RH,62.813
17/05/2023, 15:30:01,%RH,66.95
17/05/2023, 16:00:01,%RH,71.021
17/05/2023, 16:30:01,%RH,69.865
17/05/2023, 17:00:01,%RH,71.598
17/05/2023, 17:30:01,%RH,73.889
17/05/2023, 18:00:01,%RH,74.459
17/05/2023, 18:30:01,%RH,70.444
17/05/2023, 19:00:01,%RH,73.889
17/05/2023, 19:30:01,%RH,76.724
17/05/2023, 20:00:01,%RH,81.742
17/05/2023, 20:30:01,%RH,86.653
17/05/2023, 21:00:01,%RH,86.653
17/05/2023, 21:30:01,%RH,89.334
17/05/2023, 22:00:01,%RH,91.455
17/05/2023, 22:30:01,%RH,93.032
17/05/2023, 23:00:01,%RH,94.076
17/05/2023, 23:30:01,%RH,93.555
18/05/2023, 00:00:01,%RH,94.076
18/05/2023, 00:30:01,%RH,95.633
18/05/2023, 01:00:01,%RH,96.149
18/05/2023, 01:30:01,%RH,95.115
18/05/2023, 02:00:01,%RH,95.633
18/05/2023, 02:30:01,%RH,95.115
18/05/2023, 03:00:01,%RH,95.115
18/05/2023, 03:30:01,%RH,96.664
18/05/2023, 04:00:01,%RH,96.149
18/05/2023, 04:30:01,%RH,97.178
18/05/2023, 05:00:01,%RH,97.178
18/05/2023, 05:30:01,%RH,98.71
18/05/2023, 06:00:01,%RH,98.201
18/05/2023, 06:30:01,%RH,98.201
18/05/2023, 07:00:01,%RH,98.201
18/05/2023, 07:30:01,%RH,98.201
18/05/2023, 08:00:01,%RH,96.149
18/05/2023, 08:30:01,%RH,90.397
18/05/2023, 09:00:01,%RH,85.571
18/05/2023, 09:30:01,%RH,82.843
18/05/2023, 10:00:01,%RH,82.843
18/05/2023, 10:30:01,%RH,81.742
18/05/2023, 11:00:01,%RH,77.287
18/05/2023, 11:30:01,%RH,82.293
18/05/2023, 12:00:01,%RH,80.637
18/05/2023, 12:30:01,%RH,78.409
18/05/2023, 13:00:01,%RH,75.027
18/05/2023, 13:30:01,%RH,76.724
18/05/2023, 14:00:01,%RH,74.459
18/05/2023, 14:30:01,%RH,75.594
18/05/2023, 15:00:01,%RH,75.027
18/05/2023, 15:30:01,%RH,77.849
18/05/2023, 16:00:01,%RH,78.968
18/05/2023, 16:30:01,%RH,78.409
18/05/2023, 17:00:01,%RH,78.409
18/05/2023, 17:30:01,%RH,80.082
18/05/2023, 18:00:01,%RH,79.525
18/05/2023, 18:30:01,%RH,80.082
18/05/2023, 19:00:01,%RH,79.525
18/05/2023, 19:30:01,%RH,83.391
18/05/2023, 20:00:01,%RH,82.293
18/05/2023, 20:30:01,%RH,85.571
18/05/2023, 21:00:01,%RH,89.866
18/05/2023, 21:30:01,%RH,89.866
18/05/2023, 22:00:01,%RH,93.555
18/05/2023, 22:30:01,%RH,95.115
18/05/2023, 23:00:01,%RH,95.115
18/05/2023, 23:30:01,%RH,96.149
19/05/2023, 00:00:01,%RH,97.178
19/05/2023, 00:30:01,%RH,96.664
19/05/2023, 01:00:01,%RH,98.71
19/05/2023, 01:30:01,%RH,98.71
19/05/2023, 02:00:01,%RH,98.71
19/05/2023, 02:30:01,%RH,99.726
19/05/2023, 03:00:01,%RH,100.735
19/05/2023, 03:30:01,%RH,101.238
19/05/2023, 04:00:01,%RH,101.238
19/05/2023, 04:30:01,%RH,102.24
19/05/2023, 05:00:01,%RH,101.74
19/05/2023, 05:30:01,%RH,101.74
19/05/2023, 06:00:01,%RH,101.74
19/05/2023, 06:30:01,%RH,102.24
