1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1611
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1611
Total Device Samples:  19215
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,%RH,90.397
17/05/2023, 00:29:01,%RH,92.508
17/05/2023, 00:59:01,%RH,91.982
17/05/2023, 01:29:01,%RH,91.982
17/05/2023, 01:59:01,%RH,92.508
17/05/2023, 02:29:01,%RH,94.596
17/05/2023, 02:59:01,%RH,95.115
17/05/2023, 03:29:01,%RH,96.149
17/05/2023, 03:59:01,%RH,95.633
17/05/2023, 04:29:01,%RH,93.555
17/05/2023, 04:59:01,%RH,96.664
17/05/2023, 05:29:01,%RH,94.596
17/05/2023, 05:59:01,%RH,93.555
17/05/2023, 06:29:01,%RH,96.149
17/05/2023, 06:59:01,%RH,93.032
17/05/2023, 07:29:01,%RH,89.334
17/05/2023, 07:59:01,%RH,87.729
17/05/2023, 08:29:01,%RH,84.484
17/05/2023, 08:59:01,%RH,79.525
17/05/2023, 09:29:01,%RH,73.318
17/05/2023, 09:59:01,%RH,73.318
17/05/2023, 10:29:01,%RH,70.444
17/05/2023, 10:59:01,%RH,74.459
17/05/2023, 11:29:01,%RH,71.021
17/05/2023, 11:59:01,%RH,66.95
17/05/2023, 12:29:01,%RH,61.62
17/05/2023, 12:59:01,%RH,64.002
17/05/2023, 13:29:01,%RH,63.408
17/05/2023, 13:59:01,%RH,60.42
17/05/2023, 14:29:01,%RH,60.42
17/05/2023, 14:59:01,%RH,58.612
17/05/2023, 15:29:01,%RH,61.021
17/05/2023, 15:59:01,%RH,63.408
17/05/2023, 16:29:01,%RH,66.363
17/05/2023, 16:59:01,%RH,66.95
17/05/2023, 17:29:01,%RH,70.444
17/05/2023, 17:59:01,%RH,69.285
17/05/2023, 18:29:01,%RH,64.002
17/05/2023, 18:59:01,%RH,69.285
17/05/2023, 19:29:01,%RH,72.746
17/05/2023, 19:59:01,%RH,77.287
