1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1609
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1609
Total Device Samples:  18488
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,C,10.058
17/05/2023, 00:29:01,C,9.557
17/05/2023, 00:59:01,C,9.557
17/05/2023, 01:29:01,C,9.056
17/05/2023, 01:59:01,C,8.555
17/05/2023, 02:29:01,C,7.552
17/05/2023, 02:59:01,C,7.051
17/05/2023, 03:29:01,C,7.051
17/05/2023, 03:59:01,C,7.051
17/05/2023, 04:29:01,C,7.051
17/05/2023, 04:59:01,C,7.051
17/05/2023, 05:29:01,C,6.549
17/05/2023, 05:59:01,C,7.051
17/05/2023, 06:29:01,C,8.555
17/05/2023, 06:59:01,C,9.557
17/05/2023, 07:29:01,C,10.559
17/05/2023, 07:59:01,C,11.061
17/05/2023, 08:29:01,C,12.063
17/05/2023, 08:59:01,C,13.065
17/05/2023, 09:29:01,C,15.068
17/05/2023, 09:59:01,C,15.068
17/05/2023, 10:29:01,C,15.068
17/05/2023, 10:59:01,C,15.068
17/05/2023, 11:29:01,C,14.066
17/05/2023, 11:59:01,C,16.069
17/05/2023, 12:29:01,C,17.571
17/05/2023, 12:59:01,C,16.57
17/05/2023, 13:29:01,C,17.071
17/05/2023, 13:59:01,C,17.571
17/05/2023, 14:29:01,C,17.571
17/05/2023, 14:59:01,C,16.069
17/05/2023, 15:29:01,C,15.569
17/05/2023, 15:59:01,C,15.569
17/05/2023, 16:29:01,C,15.068
17/05/2023, 16:59:01,C,13.565
17/05/2023, 17:29:01,C,14.066
17/05/2023, 17:59:01,C,14.066
17/05/2023, 18:29:01,C,14.567
17/05/2023, 18:59:01,C,13.565
17/05/2023, 19:29:01,C,12.564
17/05/2023, 19:59:01,C,12.564
17/05/2023, 20:29:01,C,11.562
17/05/2023, 20:59:01,C,11.061
17/05/2023, 21:29:01,C,10.559
17/05/2023, 21:59:01,C,10.058
17/05/2023, 22:29:01,C,10.058
17/05/2023, 22:59:01,C,9.557
17/05/2023, 23:29:01,C,10.058
17/05/2023, 23:59:01,C,9.557
18/05/2023, 00:29:01,C,9.056
18/05/2023, 00:59:01,C,9.557
18/05/2023, 01:29:01,C,9.557
18/05/2023, 01:59:01,C,9.557
18/05/2023, 02:29:01,C,9.557
18/05/2023, 02:59:01,C,9.056
18/05/2023, 03:29:01,C,9.056
18/05/2023, 03:59:01,C,9.056
18/05/2023, 04:29:01,C,9.056
18/05/2023, 04:59:01,C,9.557
18/05/2023, 05:29:01,C,10.058
18/05/2023, 05:59:01,C,10.559
18/05/2023, 06:29:01,C,11.562
18/05/2023, 06:59:01,C,11.562
18/05/2023, 07:29:01,C,12.063
18/05/2023, 07:59:01,C,13.565
18/05/2023, 08:29:01,C,14.066
18/05/2023, 08:59:01,C,15.068
18/05/2023, 09:29:01,C,16.069
18/05/2023, 09:59:01,C,16.57
18/05/2023, 10:29:01,C,16.57
18/05/2023, 10:59:01,C,16.57
18/05/2023, 11:29:01,C,14.567
18/05/2023, 11:59:01,C,15.068
18/05/2023, 12:29:01,C,15.068
18/05/2023, 12:59:01,C,15.569
18/05/2023, 13:29:01,C,17.071
18/05/2023, 13:59:01,C,17.071
18/05/2023, 14:29:01,C,16.069
18/05/2023, 14:59:01,C,16.069
18/05/2023, 15:29:01,C,15.569
18/05/2023, 15:59:01,C,14.567
18/05/2023, 16:29:01,C,14.567
18/05/2023, 16:59:01,C,14.567
18/05/2023, 17:29:01,C,14.567
18/05/2023, 17:59:01,C,14.567
18/05/2023, 18:29:01,C,13.565
18/05/2023, 18:59:01,C,13.565
18/05/2023, 19:29:01,C,12.564
18/05/2023, 19:59:01,C,12.564
18/05/2023, 20:29:01,C,11.562
18/05/2023, 20:59:01,C,11.061
18/05/2023, 21:29:01,C,10.559
18/05/2023, 21:59:01,C,9.557
18/05/2023, 22:29:01,C,8.555
18/05/2023, 22:59:01,C,9.056
18/05/2023, 23:29:01,C,9.557
18/05/2023, 23:59:01,C,10.058
19/05/2023, 00:29:01,C,10.559
19/05/2023, 00:59:01,C,10.559
19/05/2023, 01:29:01,C,10.058
19/05/2023, 01:59:01,C,10.058
19/05/2023, 02:29:01,C,10.058
19/05/2023, 02:59:01,C,10.058
19/05/2023, 03:29:01,C,10.058
19/05/2023, 03:59:01,C,10.058
19/05/2023, 04:29:01,C,10.058
19/05/2023, 04:59:01,C,9.056
19/05/2023, 05:29:01,C,9.557
19/05/2023, 05:59:01,C,9.056
19/05/2023, 06:29:01,C,8.555
19/05/2023, 06:59:01,C,9.557
19/05/2023, 07:29:01,C,10.559
19/05/2023, 07:59:01,C,12.063
19/05/2023, 08:29:01,C,13.065
19/05/2023, 08:59:01,C,14.567
19/05/2023, 09:29:01,C,15.068
19/05/2023, 09:59:01,C,15.068
19/05/2023, 10:29:01,C,18.072
19/05/2023, 10:59:01,C,16.57
19/05/2023, 11:29:01,C,16.57
19/05/2023, 11:59:01,C,16.57
19/05/2023, 12:29:01,C,18.572
19/05/2023, 12:59:01,C,16.069
19/05/2023, 13:29:01,C,19.573
19/05/2023, 13:59:01,C,19.573
19/05/2023, 14:29:01,C,18.572
19/05/2023, 14:59:01,C,18.072
19/05/2023, 15:29:01,C,20.074
19/05/2023, 15:59:01,C,17.071
19/05/2023, 16:29:01,C,16.57
19/05/2023, 16:59:01,C,17.071
19/05/2023, 17:29:01,C,16.57
19/05/2023, 17:59:01,C,16.57
19/05/2023, 18:29:01,C,16.57
19/05/2023, 18:59:01,C,15.569
19/05/2023, 19:29:01,C,15.068
19/05/2023, 19:59:01,C,14.567
19/05/2023, 20:29:01,C,13.565
19/05/2023, 20:59:01,C,12.564
19/05/2023, 21:29:01,C,11.061
19/05/2023, 21:59:01,C,10.559
19/05/2023, 22:29:01,C,9.056
19/05/2023, 22:59:01,C,9.557
19/05/2023, 23:29:01,C,9.557
19/05/2023, 23:59:01,C,9.557
20/05/2023, 00:29:01,C,9.557
20/05/2023, 00:59:01,C,8.555
20/05/2023, 01:29:01,C,9.056
20/05/2023, 01:59:01,C,9.056
20/05/2023, 02:29:01,C,8.555
20/05/2023, 02:59:01,C,9.056
20/05/2023, 03:29:01,C,8.555
20/05/2023, 03:59:01,C,8.555
20/05/2023, 04:29:01,C,8.555
20/05/2023, 04:59:01,C,8.555
20/05/2023, 05:29:01,C,9.056
20/05/2023, 05:59:01,C,9.557
20/05/2023, 06:29:01,C,10.559
20/05/2023, 06:59:01,C,12.564
20/05/2023, 07:29:01,C,14.066
20/05/2023, 07:59:01,C,14.567
20/05/2023, 08:29:01,C,16.069
20/05/2023, 08:59:01,C,17.571
20/05/2023, 09:29:01,C,18.572
20/05/2023, 09:59:01,C,20.574
20/05/2023, 10:29:01,C,19.073
20/05/2023, 10:59:01,C,22.075
20/05/2023, 11:29:01,C,22.075
20/05/2023, 11:59:01,C,21.075
20/05/2023, 12:29:01,C,17.571
20/05/2023, 12:59:01,C,18.072
20/05/2023, 13:29:01,C,19.573
20/05/2023, 13:59:01,C,21.575
20/05/2023, 14:29:01,C,19.573
20/05/2023, 14:59:01,C,18.072
20/05/2023, 15:29:01,C,18.572
20/05/2023, 15:59:01,C,20.574
20/05/2023, 16:29:01,C,18.572
20/05/2023, 16:59:01,C,21.575
20/05/2023, 17:29:01,C,19.573
20/05/2023, 17:59:01,C,18.072
20/05/2023, 18:29:01,C,16.57
20/05/2023, 18:59:01,C,15.569
20/05/2023, 19:29:01,C,15.569
20/05/2023, 19:59:01,C,15.569
20/05/2023, 20:29:01,C,14.066
20/05/2023, 20:59:01,C,13.065
20/05/2023, 21:29:01,C,12.564
20/05/2023, 21:59:01,C,12.063
20/05/2023, 22:29:01,C,11.562
20/05/2023, 22:59:01,C,12.063
20/05/2023, 23:29:01,C,12.564
20/05/2023, 23:59:01,C,12.564
21/05/2023, 00:29:01,C,12.063
21/05/2023, 00:59:01,C,11.562
21/05/2023, 01:29:01,C,11.562
21/05/2023, 01:59:01,C,11.061
21/05/2023, 02:29:01,C,10.559
21/05/2023, 02:59:01,C,10.559
21/05/2023, 03:29:01,C,10.559
21/05/2023, 03:59:01,C,10.058
21/05/2023, 04:29:01,C,10.058
21/05/2023, 04:59:01,C,9.557
21/05/2023, 05:29:01,C,9.557
21/05/2023, 05:59:01,C,10.559
21/05/2023, 06:29:01,C,11.061
21/05/2023, 06:59:01,C,12.063
21/05/2023, 07:29:01,C,13.065
21/05/2023, 07:59:01,C,13.565
21/05/2023, 08:29:01,C,15.569
21/05/2023, 08:59:01,C,16.57
21/05/2023, 09:29:01,C,17.071
21/05/2023, 09:59:01,C,18.572
21/05/2023, 10:29:01,C,19.073
21/05/2023, 10:59:01,C,17.071
21/05/2023, 11:29:01,C,18.572
21/05/2023, 11:59:01,C,18.072
21/05/2023, 12:29:01,C,19.073
21/05/2023, 12:59:01,C,18.572
21/05/2023, 13:29:01,C,19.573
21/05/2023, 13:59:01,C,20.074
21/05/2023, 14:29:01,C,18.572
21/05/2023, 14:59:01,C,18.572
21/05/2023, 15:29:01,C,17.571
21/05/2023, 15:59:01,C,17.571
21/05/2023, 16:29:01,C,17.571
21/05/2023, 16:59:01,C,17.571
21/05/2023, 17:29:01,C,17.571
21/05/2023, 17:59:01,C,17.071
21/05/2023, 18:29:01,C,17.571
21/05/2023, 18:59:01,C,17.571
21/05/2023, 19:29:01,C,17.071
21/05/2023, 19:59:01,C,16.57
21/05/2023, 20:29:01,C,15.068
21/05/2023, 20:59:01,C,14.066
21/05/2023, 21:29:01,C,14.066
21/05/2023, 21:59:01,C,13.565
21/05/2023, 22:29:01,C,12.564
21/05/2023, 22:59:01,C,11.562
21/05/2023, 23:29:01,C,11.562
21/05/2023, 23:59:01,C,10.559
22/05/2023, 00:29:01,C,10.058
22/05/2023, 00:59:01,C,9.557
22/05/2023, 01:29:01,C,9.056
22/05/2023, 01:59:01,C,10.058
22/05/2023, 02:29:01,C,10.058
22/05/2023, 02:59:01,C,9.557
22/05/2023, 03:29:01,C,9.056
22/05/2023, 03:59:01,C,8.555
22/05/2023, 04:29:01,C,8.053
22/05/2023, 04:59:01,C,8.555
22/05/2023, 05:29:01,C,8.555
22/05/2023, 05:59:01,C,10.058
22/05/2023, 06:29:01,C,12.063
22/05/2023, 06:59:01,C,12.063
22/05/2023, 07:29:01,C,13.065
22/05/2023, 07:59:01,C,13.065
22/05/2023, 08:29:01,C,14.567
22/05/2023, 08:59:01,C,15.569
22/05/2023, 09:29:01,C,16.57
22/05/2023, 09:59:01,C,17.071
22/05/2023, 10:29:01,C,17.071
22/05/2023, 10:59:01,C,17.571
22/05/2023, 11:29:01,C,17.071
22/05/2023, 11:59:01,C,17.071
22/05/2023, 12:29:01,C,19.573
22/05/2023, 12:59:01,C,20.074
22/05/2023, 13:29:01,C,19.073
22/05/2023, 13:59:01,C,20.574
22/05/2023, 14:29:01,C,20.074
22/05/2023, 14:59:01,C,19.073
22/05/2023, 15:29:01,C,20.074
22/05/2023, 15:59:01,C,19.573
22/05/2023, 16:29:01,C,18.072
22/05/2023, 16:59:01,C,19.073
22/05/2023, 17:29:01,C,18.572
22/05/2023, 17:59:01,C,17.571
22/05/2023, 18:29:01,C,18.072
22/05/2023, 18:59:01,C,17.071
22/05/2023, 19:29:01,C,15.068
22/05/2023, 19:59:01,C,14.066
22/05/2023, 20:29:01,C,14.567
22/05/2023, 20:59:01,C,13.565
22/05/2023, 21:29:01,C,12.564
22/05/2023, 21:59:01,C,11.562
22/05/2023, 22:29:01,C,11.061
22/05/2023, 22:59:01,C,10.559
22/05/2023, 23:29:01,C,9.557
22/05/2023, 23:59:01,C,9.056
23/05/2023, 00:29:01,C,8.555
23/05/2023, 00:59:01,C,8.053
23/05/2023, 01:29:01,C,8.053
23/05/2023, 01:59:01,C,8.053
23/05/2023, 02:29:01,C,7.552
23/05/2023, 02:59:01,C,7.552
23/05/2023, 03:29:01,C,8.053
23/05/2023, 03:59:01,C,8.555
23/05/2023, 04:29:01,C,8.555
23/05/2023, 04:59:01,C,9.056
23/05/2023, 05:29:01,C,9.557
23/05/2023, 05:59:01,C,10.559
23/05/2023, 06:29:01,C,11.061
23/05/2023, 06:59:01,C,12.063
23/05/2023, 07:29:01,C,12.063
23/05/2023, 07:59:01,C,13.065
23/05/2023, 08:29:01,C,13.565
23/05/2023, 08:59:01,C,13.065
23/05/2023, 09:29:01,C,12.564
23/05/2023, 09:59:01,C,14.066
23/05/2023, 10:29:01,C,14.567
23/05/2023, 10:59:01,C,15.068
23/05/2023, 11:29:01,C,16.57
23/05/2023, 11:59:01,C,16.57
23/05/2023, 12:29:01,C,18.072
