1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  1609
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue May 16 23:59:01 BST 2023
Total Mission Samples:  1609
Total Device Samples:  18488
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/05/2023, 23:59:01,%RH,86.531
17/05/2023, 00:29:01,%RH,88.081
17/05/2023, 00:59:01,%RH,89.105
17/05/2023, 01:29:01,%RH,90.123
17/05/2023, 01:59:01,%RH,90.629
17/05/2023, 02:29:01,%RH,94.62
17/05/2023, 02:59:01,%RH,95.601
17/05/2023, 03:29:01,%RH,96.089
17/05/2023, 03:59:01,%RH,96.089
17/05/2023, 04:29:01,%RH,96.089
17/05/2023, 04:59:01,%RH,95.601
17/05/2023, 05:29:01,%RH,96.089
17/05/2023, 05:59:01,%RH,95.111
17/05/2023, 06:29:01,%RH,92.638
17/05/2023, 06:59:01,%RH,90.629
17/05/2023, 07:29:01,%RH,84.442
17/05/2023, 07:59:01,%RH,82.326
17/05/2023, 08:29:01,%RH,82.858
17/05/2023, 08:59:01,%RH,76.919
17/05/2023, 09:29:01,%RH,74.153
17/05/2023, 09:59:01,%RH,72.473
17/05/2023, 10:29:01,%RH,71.909
17/05/2023, 10:59:01,%RH,72.473
17/05/2023, 11:29:01,%RH,73.594
17/05/2023, 11:59:01,%RH,69.639
17/05/2023, 12:29:01,%RH,61.482
17/05/2023, 12:59:01,%RH,64.433
17/05/2023, 13:29:01,%RH,62.668
17/05/2023, 13:59:01,%RH,60.887
17/05/2023, 14:29:01,%RH,55.455
17/05/2023, 14:59:01,%RH,60.29
17/05/2023, 15:29:01,%RH,60.29
17/05/2023, 15:59:01,%RH,62.668
17/05/2023, 16:29:01,%RH,66.184
17/05/2023, 16:59:01,%RH,69.067
17/05/2023, 17:29:01,%RH,68.494
17/05/2023, 17:59:01,%RH,67.919
17/05/2023, 18:29:01,%RH,63.258
17/05/2023, 18:59:01,%RH,68.494
17/05/2023, 19:29:01,%RH,74.153
17/05/2023, 19:59:01,%RH,75.817
17/05/2023, 20:29:01,%RH,80.183
17/05/2023, 20:59:01,%RH,81.793
17/05/2023, 21:29:01,%RH,85.49
17/05/2023, 21:59:01,%RH,86.531
17/05/2023, 22:29:01,%RH,92.138
17/05/2023, 22:59:01,%RH,93.136
17/05/2023, 23:29:01,%RH,92.638
17/05/2023, 23:59:01,%RH,91.637
18/05/2023, 00:29:01,%RH,92.138
18/05/2023, 00:59:01,%RH,90.123
18/05/2023, 01:29:01,%RH,90.629
18/05/2023, 01:59:01,%RH,86.531
18/05/2023, 02:29:01,%RH,87.049
18/05/2023, 02:59:01,%RH,88.594
18/05/2023, 03:29:01,%RH,92.638
18/05/2023, 03:59:01,%RH,91.637
18/05/2023, 04:29:01,%RH,92.138
18/05/2023, 04:59:01,%RH,94.62
18/05/2023, 05:29:01,%RH,94.62
18/05/2023, 05:59:01,%RH,94.127
18/05/2023, 06:29:01,%RH,90.629
18/05/2023, 06:59:01,%RH,89.615
18/05/2023, 07:29:01,%RH,87.566
18/05/2023, 07:59:01,%RH,86.012
18/05/2023, 08:29:01,%RH,81.258
18/05/2023, 08:59:01,%RH,79.102
18/05/2023, 09:29:01,%RH,74.709
18/05/2023, 09:59:01,%RH,73.594
18/05/2023, 10:29:01,%RH,70.777
18/05/2023, 10:59:01,%RH,71.344
18/05/2023, 11:29:01,%RH,77.467
18/05/2023, 11:59:01,%RH,74.153
18/05/2023, 12:29:01,%RH,75.817
18/05/2023, 12:59:01,%RH,67.919
18/05/2023, 13:29:01,%RH,65.602
18/05/2023, 13:59:01,%RH,63.258
18/05/2023, 14:29:01,%RH,66.184
18/05/2023, 14:59:01,%RH,70.777
18/05/2023, 15:29:01,%RH,70.209
18/05/2023, 15:59:01,%RH,72.473
18/05/2023, 16:29:01,%RH,71.909
18/05/2023, 16:59:01,%RH,71.909
18/05/2023, 17:29:01,%RH,71.909
18/05/2023, 17:59:01,%RH,70.777
18/05/2023, 18:29:01,%RH,75.817
18/05/2023, 18:59:01,%RH,77.467
18/05/2023, 19:29:01,%RH,79.102
18/05/2023, 19:59:01,%RH,81.793
18/05/2023, 20:29:01,%RH,86.531
18/05/2023, 20:59:01,%RH,86.012
18/05/2023, 21:29:01,%RH,87.566
18/05/2023, 21:59:01,%RH,91.637
18/05/2023, 22:29:01,%RH,94.127
18/05/2023, 22:59:01,%RH,96.089
18/05/2023, 23:29:01,%RH,95.601
18/05/2023, 23:59:01,%RH,93.632
19/05/2023, 00:29:01,%RH,92.638
19/05/2023, 00:59:01,%RH,92.638
19/05/2023, 01:29:01,%RH,95.601
19/05/2023, 01:59:01,%RH,95.601
19/05/2023, 02:29:01,%RH,97.06
19/05/2023, 02:59:01,%RH,97.543
19/05/2023, 03:29:01,%RH,98.503
19/05/2023, 03:59:01,%RH,99.458
19/05/2023, 04:29:01,%RH,99.458
19/05/2023, 04:59:01,%RH,100.405
19/05/2023, 05:29:01,%RH,101.346
19/05/2023, 05:59:01,%RH,100.876
19/05/2023, 06:29:01,%RH,102.744
19/05/2023, 06:59:01,%RH,102.28
19/05/2023, 07:29:01,%RH,97.543
19/05/2023, 07:59:01,%RH,92.138
19/05/2023, 08:29:01,%RH,84.967
19/05/2023, 08:59:01,%RH,75.264
19/05/2023, 09:29:01,%RH,69.067
19/05/2023, 09:59:01,%RH,64.433
19/05/2023, 10:29:01,%RH,63.258
19/05/2023, 10:59:01,%RH,59.692
19/05/2023, 11:29:01,%RH,61.482
19/05/2023, 11:59:01,%RH,60.887
19/05/2023, 12:29:01,%RH,52.998
19/05/2023, 12:59:01,%RH,59.692
19/05/2023, 13:29:01,%RH,50.513
19/05/2023, 13:59:01,%RH,48.632
19/05/2023, 14:29:01,%RH,52.998
19/05/2023, 14:59:01,%RH,55.455
19/05/2023, 15:29:01,%RH,46.736
19/05/2023, 15:59:01,%RH,59.092
19/05/2023, 16:29:01,%RH,61.482
19/05/2023, 16:59:01,%RH,54.843
19/05/2023, 17:29:01,%RH,57.886
19/05/2023, 17:59:01,%RH,59.692
19/05/2023, 18:29:01,%RH,62.668
