1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 410000007F072241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1613
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1613
Total Device Samples:  14084
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,%RH,93.561
17/05/2023, 00:30:01,%RH,94.594
17/05/2023, 01:00:01,%RH,95.619
17/05/2023, 01:30:01,%RH,96.637
17/05/2023, 02:00:01,%RH,96.637
17/05/2023, 02:30:01,%RH,96.129
17/05/2023, 03:00:01,%RH,97.144
17/05/2023, 03:30:01,%RH,95.619
17/05/2023, 04:00:01,%RH,96.129
17/05/2023, 04:30:01,%RH,96.129
17/05/2023, 05:00:01,%RH,100.145
17/05/2023, 05:30:01,%RH,98.652
17/05/2023, 06:00:01,%RH,97.144
17/05/2023, 06:30:01,%RH,94.594
17/05/2023, 07:00:01,%RH,93.561
17/05/2023, 07:30:01,%RH,90.949
17/05/2023, 08:00:01,%RH,88.827
17/05/2023, 08:30:01,%RH,87.755
17/05/2023, 09:00:01,%RH,86.676
17/05/2023, 09:30:01,%RH,81.175
17/05/2023, 10:00:01,%RH,78.357
17/05/2023, 10:30:01,%RH,77.788
17/05/2023, 11:00:01,%RH,77.217
17/05/2023, 11:30:01,%RH,72.001
17/05/2023, 12:00:01,%RH,66.035
17/05/2023, 12:30:01,%RH,67.242
17/05/2023, 13:00:01,%RH,67.242
17/05/2023, 13:30:01,%RH,61.134
17/05/2023, 14:00:01,%RH,57.383
17/05/2023, 14:30:01,%RH,59.891
17/05/2023, 15:00:01,%RH,61.134
