1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1613
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1613
Total Device Samples:  13412
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,%RH,91.612
17/05/2023, 00:30:01,%RH,93.219
17/05/2023, 01:00:01,%RH,93.751
17/05/2023, 01:30:01,%RH,96.39
17/05/2023, 02:00:01,%RH,94.811
17/05/2023, 02:30:01,%RH,96.39
17/05/2023, 03:00:01,%RH,96.913
17/05/2023, 03:30:01,%RH,98.474
17/05/2023, 04:00:01,%RH,98.474
17/05/2023, 04:30:01,%RH,98.474
17/05/2023, 05:00:01,%RH,98.474
17/05/2023, 05:30:01,%RH,98.474
17/05/2023, 06:00:01,%RH,91.612
17/05/2023, 06:30:01,%RH,91.612
17/05/2023, 07:00:01,%RH,91.074
17/05/2023, 07:30:01,%RH,89.992
17/05/2023, 08:00:01,%RH,87.262
17/05/2023, 08:30:01,%RH,88.359
17/05/2023, 09:00:01,%RH,86.711
17/05/2023, 09:30:01,%RH,81.121
17/05/2023, 10:00:01,%RH,79.415
17/05/2023, 10:30:01,%RH,78.843
17/05/2023, 11:00:01,%RH,75.96
17/05/2023, 11:30:01,%RH,74.213
17/05/2023, 12:00:01,%RH,70.676
17/05/2023, 12:30:01,%RH,69.485
17/05/2023, 13:00:01,%RH,68.887
17/05/2023, 13:30:01,%RH,62.826
17/05/2023, 14:00:01,%RH,60.358
17/05/2023, 14:30:01,%RH,57.867
17/05/2023, 15:00:01,%RH,52.172
17/05/2023, 15:30:01,%RH,55.351
17/05/2023, 16:00:01,%RH,54.084
17/05/2023, 16:30:01,%RH,65.875
17/05/2023, 17:00:01,%RH,68.887
17/05/2023, 17:30:01,%RH,73.627
17/05/2023, 18:00:01,%RH,73.627
17/05/2023, 18:30:01,%RH,75.379
17/05/2023, 19:00:01,%RH,68.288
17/05/2023, 19:30:01,%RH,77.118
17/05/2023, 20:00:01,%RH,83.376
17/05/2023, 20:30:01,%RH,82.814
17/05/2023, 21:00:01,%RH,86.711
17/05/2023, 21:30:01,%RH,87.811
17/05/2023, 22:00:01,%RH,89.449
17/05/2023, 22:30:01,%RH,91.612
17/05/2023, 23:00:01,%RH,92.685
17/05/2023, 23:30:01,%RH,92.685
18/05/2023, 00:00:01,%RH,93.219
18/05/2023, 00:30:01,%RH,93.219
18/05/2023, 01:00:01,%RH,93.219
18/05/2023, 01:30:01,%RH,93.751
18/05/2023, 02:00:01,%RH,93.219
18/05/2023, 02:30:01,%RH,92.149
18/05/2023, 03:00:01,%RH,93.219
18/05/2023, 03:30:01,%RH,94.811
18/05/2023, 04:00:01,%RH,94.811
18/05/2023, 04:30:01,%RH,94.811
18/05/2023, 05:00:01,%RH,95.339
18/05/2023, 05:30:01,%RH,97.435
18/05/2023, 06:00:01,%RH,96.39
18/05/2023, 06:30:01,%RH,95.339
18/05/2023, 07:00:01,%RH,92.685
18/05/2023, 07:30:01,%RH,93.219
18/05/2023, 08:00:01,%RH,91.612
18/05/2023, 08:30:01,%RH,87.811
18/05/2023, 09:00:01,%RH,83.376
18/05/2023, 09:30:01,%RH,80.554
18/05/2023, 10:00:01,%RH,79.415
18/05/2023, 10:30:01,%RH,77.118
18/05/2023, 11:00:01,%RH,79.415
18/05/2023, 11:30:01,%RH,79.985
18/05/2023, 12:00:01,%RH,79.985
18/05/2023, 12:30:01,%RH,76.54
18/05/2023, 13:00:01,%RH,72.451
18/05/2023, 13:30:01,%RH,71.861
18/05/2023, 14:00:01,%RH,69.485
18/05/2023, 14:30:01,%RH,71.861
18/05/2023, 15:00:01,%RH,72.451
18/05/2023, 15:30:01,%RH,73.627
18/05/2023, 16:00:01,%RH,77.118
18/05/2023, 16:30:01,%RH,76.54
18/05/2023, 17:00:01,%RH,75.379
18/05/2023, 17:30:01,%RH,77.118
18/05/2023, 18:00:01,%RH,76.54
18/05/2023, 18:30:01,%RH,77.118
18/05/2023, 19:00:01,%RH,78.843
18/05/2023, 19:30:01,%RH,81.687
18/05/2023, 20:00:01,%RH,84.494
18/05/2023, 20:30:01,%RH,86.159
18/05/2023, 21:00:01,%RH,88.359
18/05/2023, 21:30:01,%RH,91.612
18/05/2023, 22:00:01,%RH,93.751
18/05/2023, 22:30:01,%RH,95.339
18/05/2023, 23:00:01,%RH,95.865
18/05/2023, 23:30:01,%RH,96.39
19/05/2023, 00:00:01,%RH,95.865
19/05/2023, 00:30:01,%RH,95.865
19/05/2023, 01:00:01,%RH,98.474
19/05/2023, 01:30:01,%RH,98.474
19/05/2023, 02:00:01,%RH,98.991
19/05/2023, 02:30:01,%RH,98.991
19/05/2023, 03:00:01,%RH,100.021
19/05/2023, 03:30:01,%RH,100.021
19/05/2023, 04:00:01,%RH,100.534
19/05/2023, 04:30:01,%RH,99.507
19/05/2023, 05:00:01,%RH,100.021
19/05/2023, 05:30:01,%RH,100.021
19/05/2023, 06:00:01,%RH,99.507
19/05/2023, 06:30:01,%RH,101.045
19/05/2023, 07:00:01,%RH,100.534
19/05/2023, 07:30:01,%RH,99.507
19/05/2023, 08:00:01,%RH,96.39
19/05/2023, 08:30:01,%RH,89.449
19/05/2023, 09:00:01,%RH,88.905
19/05/2023, 09:30:01,%RH,80.554
19/05/2023, 10:00:01,%RH,70.676
19/05/2023, 10:30:01,%RH,70.081
19/05/2023, 11:00:01,%RH,66.481
19/05/2023, 11:30:01,%RH,65.269
19/05/2023, 12:00:01,%RH,62.826
19/05/2023, 12:30:01,%RH,56.612
19/05/2023, 13:00:01,%RH,57.24
19/05/2023, 13:30:01,%RH,52.811
19/05/2023, 14:00:01,%RH,51.532
19/05/2023, 14:30:01,%RH,51.532
19/05/2023, 15:00:01,%RH,55.982
19/05/2023, 15:30:01,%RH,51.532
19/05/2023, 16:00:01,%RH,58.492
19/05/2023, 16:30:01,%RH,55.351
19/05/2023, 17:00:01,%RH,55.351
19/05/2023, 17:30:01,%RH,55.982
19/05/2023, 18:00:01,%RH,59.116
19/05/2023, 18:30:01,%RH,59.738
19/05/2023, 19:00:01,%RH,60.978
19/05/2023, 19:30:01,%RH,64.05
19/05/2023, 20:00:01,%RH,66.481
19/05/2023, 20:30:01,%RH,74.797
19/05/2023, 21:00:01,%RH,77.694
19/05/2023, 21:30:01,%RH,81.687
19/05/2023, 22:00:01,%RH,86.159
19/05/2023, 22:30:01,%RH,88.905
19/05/2023, 23:00:01,%RH,89.449
19/05/2023, 23:30:01,%RH,91.074
20/05/2023, 00:00:01,%RH,92.149
20/05/2023, 00:30:01,%RH,94.811
20/05/2023, 01:00:01,%RH,94.282
20/05/2023, 01:30:01,%RH,94.282
20/05/2023, 02:00:01,%RH,94.811
20/05/2023, 02:30:01,%RH,95.865
20/05/2023, 03:00:01,%RH,96.39
20/05/2023, 03:30:01,%RH,96.39
20/05/2023, 04:00:01,%RH,95.339
20/05/2023, 04:30:01,%RH,96.39
20/05/2023, 05:00:01,%RH,96.913
20/05/2023, 05:30:01,%RH,97.955
20/05/2023, 06:00:01,%RH,97.435
20/05/2023, 06:30:01,%RH,95.339
20/05/2023, 07:00:01,%RH,89.992
20/05/2023, 07:30:01,%RH,87.262
