1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 410000007F072241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  1613
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed May 17 00:00:01 BST 2023
Total Mission Samples:  1613
Total Device Samples:  14084
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/05/2023, 00:00:01,C,8.079
17/05/2023, 00:30:01,C,8.079
17/05/2023, 01:00:01,C,7.577
17/05/2023, 01:30:01,C,7.577
17/05/2023, 02:00:01,C,7.577
17/05/2023, 02:30:01,C,7.075
17/05/2023, 03:00:01,C,7.075
17/05/2023, 03:30:01,C,7.075
17/05/2023, 04:00:01,C,6.574
17/05/2023, 04:30:01,C,5.57
17/05/2023, 05:00:01,C,6.072
17/05/2023, 05:30:01,C,6.072
17/05/2023, 06:00:01,C,7.075
17/05/2023, 06:30:01,C,8.079
17/05/2023, 07:00:01,C,8.581
17/05/2023, 07:30:01,C,9.082
17/05/2023, 08:00:01,C,9.584
17/05/2023, 08:30:01,C,10.085
17/05/2023, 09:00:01,C,10.587
17/05/2023, 09:30:01,C,12.592
17/05/2023, 10:00:01,C,12.091
17/05/2023, 10:30:01,C,12.091
17/05/2023, 11:00:01,C,13.594
17/05/2023, 11:30:01,C,15.598
17/05/2023, 12:00:01,C,16.099
17/05/2023, 12:30:01,C,15.598
17/05/2023, 13:00:01,C,15.097
17/05/2023, 13:30:01,C,15.598
17/05/2023, 14:00:01,C,15.598
17/05/2023, 14:30:01,C,15.097
17/05/2023, 15:00:01,C,15.097
17/05/2023, 15:30:01,C,14.596
17/05/2023, 16:00:01,C,14.596
17/05/2023, 16:30:01,C,13.594
17/05/2023, 17:00:01,C,13.594
17/05/2023, 17:30:01,C,13.093
17/05/2023, 18:00:01,C,12.592
17/05/2023, 18:30:01,C,12.592
17/05/2023, 19:00:01,C,12.091
17/05/2023, 19:30:01,C,12.091
17/05/2023, 20:00:01,C,11.589
17/05/2023, 20:30:01,C,11.088
17/05/2023, 21:00:01,C,10.587
17/05/2023, 21:30:01,C,10.085
17/05/2023, 22:00:01,C,9.584
17/05/2023, 22:30:01,C,9.584
17/05/2023, 23:00:01,C,9.082
17/05/2023, 23:30:01,C,9.082
18/05/2023, 00:00:01,C,9.082
18/05/2023, 00:30:01,C,8.581
18/05/2023, 01:00:01,C,8.581
18/05/2023, 01:30:01,C,8.581
18/05/2023, 02:00:01,C,9.082
18/05/2023, 02:30:01,C,9.082
18/05/2023, 03:00:01,C,8.581
18/05/2023, 03:30:01,C,8.581
18/05/2023, 04:00:01,C,8.581
18/05/2023, 04:30:01,C,9.082
18/05/2023, 05:00:01,C,9.082
18/05/2023, 05:30:01,C,9.082
18/05/2023, 06:00:01,C,9.584
18/05/2023, 06:30:01,C,10.085
18/05/2023, 07:00:01,C,10.587
18/05/2023, 07:30:01,C,10.587
18/05/2023, 08:00:01,C,11.589
18/05/2023, 08:30:01,C,12.592
18/05/2023, 09:00:01,C,13.093
18/05/2023, 09:30:01,C,14.095
18/05/2023, 10:00:01,C,14.095
18/05/2023, 10:30:01,C,14.596
18/05/2023, 11:00:01,C,15.097
18/05/2023, 11:30:01,C,14.596
18/05/2023, 12:00:01,C,14.095
18/05/2023, 12:30:01,C,14.596
18/05/2023, 13:00:01,C,14.596
18/05/2023, 13:30:01,C,14.596
18/05/2023, 14:00:01,C,15.097
18/05/2023, 14:30:01,C,14.596
18/05/2023, 15:00:01,C,14.596
18/05/2023, 15:30:01,C,14.095
18/05/2023, 16:00:01,C,13.594
18/05/2023, 16:30:01,C,13.093
18/05/2023, 17:00:01,C,13.093
18/05/2023, 17:30:01,C,13.093
18/05/2023, 18:00:01,C,13.093
18/05/2023, 18:30:01,C,12.592
18/05/2023, 19:00:01,C,12.091
18/05/2023, 19:30:01,C,12.091
18/05/2023, 20:00:01,C,11.589
18/05/2023, 20:30:01,C,11.088
18/05/2023, 21:00:01,C,10.587
18/05/2023, 21:30:01,C,10.085
18/05/2023, 22:00:01,C,9.082
18/05/2023, 22:30:01,C,8.079
