1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3A0000007DAB2041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 04:00:01 BST 2023
Total Mission Samples:  6072
Total Device Samples:  20930
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/06/2023, 04:00:01,%RH,99.613
27/06/2023, 04:30:01,%RH,100.127
27/06/2023, 05:00:01,%RH,98.58
27/06/2023, 05:30:01,%RH,100.127
27/06/2023, 06:00:01,%RH,100.127
27/06/2023, 06:30:01,%RH,100.639
27/06/2023, 07:00:01,%RH,100.639
27/06/2023, 07:30:01,%RH,99.097
27/06/2023, 08:00:01,%RH,98.58
27/06/2023, 08:30:01,%RH,99.613
27/06/2023, 09:00:01,%RH,99.097
27/06/2023, 09:30:01,%RH,99.097
27/06/2023, 10:00:01,%RH,100.639
27/06/2023, 10:30:01,%RH,99.613
27/06/2023, 11:00:01,%RH,99.613
27/06/2023, 11:30:01,%RH,101.15
27/06/2023, 12:00:01,%RH,100.127
27/06/2023, 12:30:01,%RH,101.15
27/06/2023, 13:00:01,%RH,101.15
27/06/2023, 13:30:01,%RH,101.659
27/06/2023, 14:00:01,%RH,101.15
27/06/2023, 14:30:01,%RH,101.15
27/06/2023, 15:00:01,%RH,100.639
27/06/2023, 15:30:01,%RH,101.15
27/06/2023, 16:00:01,%RH,100.639
27/06/2023, 16:30:01,%RH,101.15
27/06/2023, 17:00:01,%RH,100.639
27/06/2023, 17:30:01,%RH,101.15
27/06/2023, 18:00:01,%RH,101.15
27/06/2023, 18:30:01,%RH,101.15
27/06/2023, 19:00:01,%RH,101.659
27/06/2023, 19:30:01,%RH,101.15
27/06/2023, 20:00:01,%RH,101.15
27/06/2023, 20:30:01,%RH,101.15
27/06/2023, 21:00:01,%RH,102.167
27/06/2023, 21:30:01,%RH,102.167
27/06/2023, 22:00:01,%RH,101.15
27/06/2023, 22:30:01,%RH,103.681
27/06/2023, 23:00:01,%RH,101.15
27/06/2023, 23:30:01,%RH,101.659
28/06/2023, 00:00:01,%RH,102.167
28/06/2023, 00:30:01,%RH,100.639
28/06/2023, 01:00:01,%RH,102.167
28/06/2023, 01:30:01,%RH,101.659
28/06/2023, 02:00:01,%RH,102.167
28/06/2023, 02:30:01,%RH,102.167
28/06/2023, 03:00:01,%RH,101.659
28/06/2023, 03:30:01,%RH,102.167
28/06/2023, 04:00:01,%RH,102.167
28/06/2023, 04:30:01,%RH,101.659
28/06/2023, 05:00:01,%RH,101.659
28/06/2023, 05:30:01,%RH,101.15
28/06/2023, 06:00:01,%RH,101.659
28/06/2023, 06:30:01,%RH,102.167
28/06/2023, 07:00:01,%RH,102.167
28/06/2023, 07:30:01,%RH,101.659
28/06/2023, 08:00:01,%RH,101.659
28/06/2023, 08:30:01,%RH,102.167
28/06/2023, 09:00:01,%RH,101.659
28/06/2023, 09:30:01,%RH,101.15
28/06/2023, 10:00:01,%RH,101.15
28/06/2023, 10:30:01,%RH,101.15
28/06/2023, 11:00:01,%RH,100.127
28/06/2023, 11:30:01,%RH,100.639
28/06/2023, 12:00:01,%RH,101.15
28/06/2023, 12:30:01,%RH,101.659
28/06/2023, 13:00:01,%RH,100.639
28/06/2023, 13:30:01,%RH,101.659
28/06/2023, 14:00:01,%RH,100.639
28/06/2023, 14:30:01,%RH,101.15
28/06/2023, 15:00:01,%RH,101.15
28/06/2023, 15:30:01,%RH,100.639
28/06/2023, 16:00:01,%RH,98.062
28/06/2023, 16:30:01,%RH,98.58
28/06/2023, 17:00:01,%RH,93.856
28/06/2023, 17:30:01,%RH,94.917
28/06/2023, 18:00:01,%RH,90.094
28/06/2023, 18:30:01,%RH,90.636
28/06/2023, 19:00:01,%RH,91.176
28/06/2023, 19:30:01,%RH,88.458
28/06/2023, 20:00:01,%RH,93.323
28/06/2023, 20:30:01,%RH,91.176
28/06/2023, 21:00:01,%RH,92.789
28/06/2023, 21:30:01,%RH,95.971
28/06/2023, 22:00:01,%RH,94.387
28/06/2023, 22:30:01,%RH,96.496
28/06/2023, 23:00:01,%RH,98.58
28/06/2023, 23:30:01,%RH,99.613
29/06/2023, 00:00:01,%RH,101.15
29/06/2023, 00:30:01,%RH,101.659
29/06/2023, 01:00:01,%RH,102.167
29/06/2023, 01:30:01,%RH,100.127
29/06/2023, 02:00:01,%RH,101.15
29/06/2023, 02:30:01,%RH,101.659
29/06/2023, 03:00:01,%RH,101.15
29/06/2023, 03:30:01,%RH,100.639
29/06/2023, 04:00:01,%RH,101.15
29/06/2023, 04:30:01,%RH,98.58
29/06/2023, 05:00:01,%RH,101.659
29/06/2023, 05:30:01,%RH,101.15
29/06/2023, 06:00:01,%RH,102.673
29/06/2023, 06:30:01,%RH,102.167
29/06/2023, 07:00:01,%RH,100.127
29/06/2023, 07:30:01,%RH,95.445
29/06/2023, 08:00:01,%RH,88.458
29/06/2023, 08:30:01,%RH,87.909
29/06/2023, 09:00:01,%RH,90.636
29/06/2023, 09:30:01,%RH,87.909
29/06/2023, 10:00:01,%RH,86.808
29/06/2023, 10:30:01,%RH,87.359
29/06/2023, 11:00:01,%RH,85.143
29/06/2023, 11:30:01,%RH,82.339
29/06/2023, 12:00:01,%RH,85.143
29/06/2023, 12:30:01,%RH,77.769
29/06/2023, 13:00:01,%RH,76.03
29/06/2023, 13:30:01,%RH,76.611
29/06/2023, 14:00:01,%RH,76.611
29/06/2023, 14:30:01,%RH,66.514
29/06/2023, 15:00:01,%RH,62.225
29/06/2023, 15:30:01,%RH,67.121
