1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 02:59:01 BST 2023
Total Mission Samples:  6070
Total Device Samples:  23122
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/06/2023, 02:59:01,%RH,101.954
27/06/2023, 03:29:01,%RH,102.901
27/06/2023, 03:59:01,%RH,101.479
27/06/2023, 04:29:01,%RH,101.479
27/06/2023, 04:59:01,%RH,102.429
27/06/2023, 05:29:01,%RH,100.042
27/06/2023, 05:59:01,%RH,102.901
27/06/2023, 06:29:01,%RH,100.522
27/06/2023, 06:59:01,%RH,100.042
27/06/2023, 07:29:01,%RH,99.559
27/06/2023, 07:59:01,%RH,98.103
27/06/2023, 08:29:01,%RH,97.614
27/06/2023, 08:59:01,%RH,97.614
27/06/2023, 09:29:01,%RH,98.59
27/06/2023, 09:59:01,%RH,98.59
27/06/2023, 10:29:01,%RH,97.614
27/06/2023, 10:59:01,%RH,99.559
27/06/2023, 11:29:01,%RH,99.075
27/06/2023, 11:59:01,%RH,100.042
27/06/2023, 12:29:01,%RH,100.522
27/06/2023, 12:59:01,%RH,100.042
27/06/2023, 13:29:01,%RH,100.042
27/06/2023, 13:59:01,%RH,100.042
27/06/2023, 14:29:01,%RH,99.559
27/06/2023, 14:59:01,%RH,99.559
27/06/2023, 15:29:01,%RH,100.042
27/06/2023, 15:59:01,%RH,99.559
27/06/2023, 16:29:01,%RH,99.559
27/06/2023, 16:59:01,%RH,99.559
27/06/2023, 17:29:01,%RH,98.59
27/06/2023, 17:59:01,%RH,99.075
27/06/2023, 18:29:01,%RH,99.559
27/06/2023, 18:59:01,%RH,100.042
27/06/2023, 19:29:01,%RH,100.522
27/06/2023, 19:59:01,%RH,100.042
27/06/2023, 20:29:01,%RH,100.522
27/06/2023, 20:59:01,%RH,100.042
27/06/2023, 21:29:01,%RH,101.001
27/06/2023, 21:59:01,%RH,101.479
27/06/2023, 22:29:01,%RH,101.001
27/06/2023, 22:59:01,%RH,101.954
27/06/2023, 23:29:01,%RH,101.479
27/06/2023, 23:59:01,%RH,101.479
28/06/2023, 00:29:01,%RH,100.522
28/06/2023, 00:59:01,%RH,101.954
28/06/2023, 01:29:01,%RH,101.479
28/06/2023, 01:59:01,%RH,101.479
28/06/2023, 02:29:01,%RH,101.479
28/06/2023, 02:59:01,%RH,101.001
28/06/2023, 03:29:01,%RH,101.001
28/06/2023, 03:59:01,%RH,101.001
28/06/2023, 04:29:01,%RH,101.001
28/06/2023, 04:59:01,%RH,100.042
28/06/2023, 05:29:01,%RH,101.479
28/06/2023, 05:59:01,%RH,101.954
28/06/2023, 06:29:01,%RH,101.001
28/06/2023, 06:59:01,%RH,100.042
28/06/2023, 07:29:01,%RH,100.042
28/06/2023, 07:59:01,%RH,99.559
28/06/2023, 08:29:01,%RH,100.042
28/06/2023, 08:59:01,%RH,99.559
28/06/2023, 09:29:01,%RH,99.075
28/06/2023, 09:59:01,%RH,99.075
28/06/2023, 10:29:01,%RH,99.075
28/06/2023, 10:59:01,%RH,97.124
28/06/2023, 11:29:01,%RH,96.632
28/06/2023, 11:59:01,%RH,97.614
28/06/2023, 12:29:01,%RH,97.614
28/06/2023, 12:59:01,%RH,97.124
28/06/2023, 13:29:01,%RH,99.075
28/06/2023, 13:59:01,%RH,99.559
28/06/2023, 14:29:01,%RH,99.559
28/06/2023, 14:59:01,%RH,99.075
28/06/2023, 15:29:01,%RH,96.139
28/06/2023, 15:59:01,%RH,98.103
28/06/2023, 16:29:01,%RH,96.632
28/06/2023, 16:59:01,%RH,89.576
28/06/2023, 17:29:01,%RH,91.114
28/06/2023, 17:59:01,%RH,88.023
28/06/2023, 18:29:01,%RH,89.576
28/06/2023, 18:59:01,%RH,84.873
28/06/2023, 19:29:01,%RH,86.455
28/06/2023, 19:59:01,%RH,95.643
28/06/2023, 20:29:01,%RH,94.148
28/06/2023, 20:59:01,%RH,95.643
28/06/2023, 21:29:01,%RH,98.59
28/06/2023, 21:59:01,%RH,99.559
28/06/2023, 22:29:01,%RH,101.001
28/06/2023, 22:59:01,%RH,101.479
28/06/2023, 23:29:01,%RH,101.954
28/06/2023, 23:59:01,%RH,102.901
29/06/2023, 00:29:01,%RH,103.372
29/06/2023, 00:59:01,%RH,103.841
29/06/2023, 01:29:01,%RH,103.841
29/06/2023, 01:59:01,%RH,103.841
29/06/2023, 02:29:01,%RH,103.841
29/06/2023, 02:59:01,%RH,103.841
29/06/2023, 03:29:01,%RH,103.841
29/06/2023, 03:59:01,%RH,103.841
29/06/2023, 04:29:01,%RH,104.309
29/06/2023, 04:59:01,%RH,104.309
29/06/2023, 05:29:01,%RH,105.703
29/06/2023, 05:59:01,%RH,105.24
29/06/2023, 06:29:01,%RH,103.841
29/06/2023, 06:59:01,%RH,103.372
29/06/2023, 07:29:01,%RH,93.647
29/06/2023, 07:59:01,%RH,85.402
29/06/2023, 08:29:01,%RH,81.124
29/06/2023, 08:59:01,%RH,82.74
29/06/2023, 09:29:01,%RH,84.342
29/06/2023, 09:59:01,%RH,80.039
29/06/2023, 10:29:01,%RH,85.402
29/06/2023, 10:59:01,%RH,78.947
29/06/2023, 11:29:01,%RH,75.632
29/06/2023, 11:59:01,%RH,75.632
29/06/2023, 12:29:01,%RH,72.826
29/06/2023, 12:59:01,%RH,67.673
29/06/2023, 13:29:01,%RH,67.673
29/06/2023, 13:59:01,%RH,65.34
29/06/2023, 14:29:01,%RH,58.188
29/06/2023, 14:59:01,%RH,49.551
29/06/2023, 15:29:01,%RH,51.428
29/06/2023, 15:59:01,%RH,62.389
29/06/2023, 16:29:01,%RH,64.164
29/06/2023, 16:59:01,%RH,68.252
29/06/2023, 17:29:01,%RH,66.51
29/06/2023, 17:59:01,%RH,69.979
29/06/2023, 18:29:01,%RH,79.494
29/06/2023, 18:59:01,%RH,81.665
29/06/2023, 19:29:01,%RH,82.203
29/06/2023, 19:59:01,%RH,83.276
29/06/2023, 20:29:01,%RH,85.929
29/06/2023, 20:59:01,%RH,87.502
29/06/2023, 21:29:01,%RH,89.06
29/06/2023, 21:59:01,%RH,89.576
29/06/2023, 22:29:01,%RH,90.09
29/06/2023, 22:59:01,%RH,92.639
29/06/2023, 23:29:01,%RH,93.647
29/06/2023, 23:59:01,%RH,95.643
30/06/2023, 00:29:01,%RH,96.139
30/06/2023, 00:59:01,%RH,95.643
30/06/2023, 01:29:01,%RH,95.147
30/06/2023, 01:59:01,%RH,97.614
30/06/2023, 02:29:01,%RH,97.124
30/06/2023, 02:59:01,%RH,95.643
30/06/2023, 03:29:01,%RH,96.632
30/06/2023, 03:59:01,%RH,96.139
30/06/2023, 04:29:01,%RH,97.124
30/06/2023, 04:59:01,%RH,97.614
30/06/2023, 05:29:01,%RH,96.632
30/06/2023, 05:59:01,%RH,97.124
30/06/2023, 06:29:01,%RH,99.559
30/06/2023, 06:59:01,%RH,99.559
30/06/2023, 07:29:01,%RH,100.042
30/06/2023, 07:59:01,%RH,101.001
30/06/2023, 08:29:01,%RH,99.075
30/06/2023, 08:59:01,%RH,99.075
30/06/2023, 09:29:01,%RH,97.124
30/06/2023, 09:59:01,%RH,99.075
30/06/2023, 10:29:01,%RH,100.042
30/06/2023, 10:59:01,%RH,98.103
30/06/2023, 11:29:01,%RH,98.59
30/06/2023, 11:59:01,%RH,96.632
30/06/2023, 12:29:01,%RH,95.643
30/06/2023, 12:59:01,%RH,96.632
30/06/2023, 13:29:01,%RH,96.139
30/06/2023, 13:59:01,%RH,97.614
30/06/2023, 14:29:01,%RH,96.139
30/06/2023, 14:59:01,%RH,99.075
30/06/2023, 15:29:01,%RH,98.103
30/06/2023, 15:59:01,%RH,99.559
30/06/2023, 16:29:01,%RH,97.614
30/06/2023, 16:59:01,%RH,99.559
30/06/2023, 17:29:01,%RH,99.559
30/06/2023, 17:59:01,%RH,99.075
30/06/2023, 18:29:01,%RH,100.522
30/06/2023, 18:59:01,%RH,99.559
30/06/2023, 19:29:01,%RH,100.522
30/06/2023, 19:59:01,%RH,100.042
30/06/2023, 20:29:01,%RH,100.522
30/06/2023, 20:59:01,%RH,100.522
30/06/2023, 21:29:01,%RH,100.522
30/06/2023, 21:59:01,%RH,100.522
30/06/2023, 22:29:01,%RH,102.429
30/06/2023, 22:59:01,%RH,101.954
30/06/2023, 23:29:01,%RH,100.522
30/06/2023, 23:59:01,%RH,101.001
01/07/2023, 00:29:01,%RH,101.001
01/07/2023, 00:59:01,%RH,101.001
01/07/2023, 01:29:01,%RH,100.042
01/07/2023, 01:59:01,%RH,100.522
01/07/2023, 02:29:01,%RH,101.479
01/07/2023, 02:59:01,%RH,101.001
01/07/2023, 03:29:01,%RH,100.522
01/07/2023, 03:59:01,%RH,100.522
01/07/2023, 04:29:01,%RH,101.001
01/07/2023, 04:59:01,%RH,100.522
01/07/2023, 05:29:01,%RH,100.042
01/07/2023, 05:59:01,%RH,101.479
01/07/2023, 06:29:01,%RH,99.559
01/07/2023, 06:59:01,%RH,100.522
01/07/2023, 07:29:01,%RH,100.042
01/07/2023, 07:59:01,%RH,100.042
01/07/2023, 08:29:01,%RH,100.522
01/07/2023, 08:59:01,%RH,100.522
01/07/2023, 09:29:01,%RH,98.59
01/07/2023, 09:59:01,%RH,98.59
01/07/2023, 10:29:01,%RH,97.614
01/07/2023, 10:59:01,%RH,95.147
01/07/2023, 11:29:01,%RH,93.143
01/07/2023, 11:59:01,%RH,91.114
01/07/2023, 12:29:01,%RH,94.648
01/07/2023, 12:59:01,%RH,94.648
01/07/2023, 13:29:01,%RH,80.582
01/07/2023, 13:59:01,%RH,75.074
01/07/2023, 14:29:01,%RH,75.632
01/07/2023, 14:59:01,%RH,69.979
01/07/2023, 15:29:01,%RH,75.632
01/07/2023, 15:59:01,%RH,70.552
01/07/2023, 16:29:01,%RH,75.074
01/07/2023, 16:59:01,%RH,80.582
01/07/2023, 17:29:01,%RH,80.582
01/07/2023, 17:59:01,%RH,79.494
01/07/2023, 18:29:01,%RH,90.603
01/07/2023, 18:59:01,%RH,89.06
01/07/2023, 19:29:01,%RH,84.873
01/07/2023, 19:59:01,%RH,83.81
01/07/2023, 20:29:01,%RH,82.74
01/07/2023, 20:59:01,%RH,86.979
01/07/2023, 21:29:01,%RH,84.342
01/07/2023, 21:59:01,%RH,84.873
01/07/2023, 22:29:01,%RH,95.643
01/07/2023, 22:59:01,%RH,96.632
01/07/2023, 23:29:01,%RH,99.075
01/07/2023, 23:59:01,%RH,98.103
02/07/2023, 00:29:01,%RH,98.103
02/07/2023, 00:59:01,%RH,98.59
02/07/2023, 01:29:01,%RH,95.643
02/07/2023, 01:59:01,%RH,94.648
02/07/2023, 02:29:01,%RH,95.643
02/07/2023, 02:59:01,%RH,99.075
02/07/2023, 03:29:01,%RH,96.632
02/07/2023, 03:59:01,%RH,97.124
02/07/2023, 04:29:01,%RH,96.139
02/07/2023, 04:59:01,%RH,95.147
02/07/2023, 05:29:01,%RH,94.648
02/07/2023, 05:59:01,%RH,94.148
02/07/2023, 06:29:01,%RH,94.148
02/07/2023, 06:59:01,%RH,92.639
02/07/2023, 07:29:01,%RH,91.114
02/07/2023, 07:59:01,%RH,91.114
02/07/2023, 08:29:01,%RH,87.502
02/07/2023, 08:59:01,%RH,88.023
02/07/2023, 09:29:01,%RH,86.455
02/07/2023, 09:59:01,%RH,84.342
02/07/2023, 10:29:01,%RH,80.582
02/07/2023, 10:59:01,%RH,79.494
02/07/2023, 11:29:01,%RH,78.398
02/07/2023, 11:59:01,%RH,78.947
02/07/2023, 12:29:01,%RH,75.074
02/07/2023, 12:59:01,%RH,67.673
02/07/2023, 13:29:01,%RH,70.552
02/07/2023, 13:59:01,%RH,73.953
02/07/2023, 14:29:01,%RH,88.023
02/07/2023, 14:59:01,%RH,82.74
02/07/2023, 15:29:01,%RH,76.744
02/07/2023, 15:59:01,%RH,93.647
02/07/2023, 16:29:01,%RH,86.455
02/07/2023, 16:59:01,%RH,89.576
02/07/2023, 17:29:01,%RH,85.929
02/07/2023, 17:59:01,%RH,94.148
02/07/2023, 18:29:01,%RH,86.979
02/07/2023, 18:59:01,%RH,90.603
02/07/2023, 19:29:01,%RH,87.502
02/07/2023, 19:59:01,%RH,89.06
02/07/2023, 20:29:01,%RH,93.143
02/07/2023, 20:59:01,%RH,93.143
02/07/2023, 21:29:01,%RH,94.148
02/07/2023, 21:59:01,%RH,93.143
02/07/2023, 22:29:01,%RH,95.147
02/07/2023, 22:59:01,%RH,97.124
02/07/2023, 23:29:01,%RH,99.559
02/07/2023, 23:59:01,%RH,100.042
03/07/2023, 00:29:01,%RH,99.075
03/07/2023, 00:59:01,%RH,99.075
03/07/2023, 01:29:01,%RH,99.075
03/07/2023, 01:59:01,%RH,99.559
03/07/2023, 02:29:01,%RH,97.124
03/07/2023, 02:59:01,%RH,95.643
03/07/2023, 03:29:01,%RH,94.148
03/07/2023, 03:59:01,%RH,95.147
03/07/2023, 04:29:01,%RH,94.148
03/07/2023, 04:59:01,%RH,93.647
03/07/2023, 05:29:01,%RH,94.648
03/07/2023, 05:59:01,%RH,92.639
03/07/2023, 06:29:01,%RH,92.639
03/07/2023, 06:59:01,%RH,97.614
03/07/2023, 07:29:01,%RH,94.148
03/07/2023, 07:59:01,%RH,91.624
03/07/2023, 08:29:01,%RH,91.624
03/07/2023, 08:59:01,%RH,85.929
03/07/2023, 09:29:01,%RH,80.039
03/07/2023, 09:59:01,%RH,83.81
03/07/2023, 10:29:01,%RH,86.455
03/07/2023, 10:59:01,%RH,84.873
03/07/2023, 11:29:01,%RH,78.947
03/07/2023, 11:59:01,%RH,74.515
03/07/2023, 12:29:01,%RH,67.673
03/07/2023, 12:59:01,%RH,69.979
03/07/2023, 13:29:01,%RH,64.753
03/07/2023, 13:59:01,%RH,66.51
03/07/2023, 14:29:01,%RH,59.396
03/07/2023, 14:59:01,%RH,58.188
03/07/2023, 15:29:01,%RH,59.998
03/07/2023, 15:59:01,%RH,56.974
03/07/2023, 16:29:01,%RH,73.39
03/07/2023, 16:59:01,%RH,71.123
03/07/2023, 17:29:01,%RH,77.297
03/07/2023, 17:59:01,%RH,85.402
03/07/2023, 18:29:01,%RH,84.342
03/07/2023, 18:59:01,%RH,85.929
03/07/2023, 19:29:01,%RH,81.665
03/07/2023, 19:59:01,%RH,81.124
03/07/2023, 20:29:01,%RH,94.148
03/07/2023, 20:59:01,%RH,99.075
03/07/2023, 21:29:01,%RH,99.559
03/07/2023, 21:59:01,%RH,100.042
03/07/2023, 22:29:01,%RH,100.042
03/07/2023, 22:59:01,%RH,99.559
03/07/2023, 23:29:01,%RH,99.559
03/07/2023, 23:59:01,%RH,98.103
04/07/2023, 00:29:01,%RH,97.614
04/07/2023, 00:59:01,%RH,98.103
04/07/2023, 01:29:01,%RH,94.648
04/07/2023, 01:59:01,%RH,96.139
04/07/2023, 02:29:01,%RH,96.139
04/07/2023, 02:59:01,%RH,95.643
