1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000007D622141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed May 17 00:00:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 03:30:01 BST 2023
Total Mission Samples:  6071
Total Device Samples:  22572
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/06/2023, 03:30:01,%RH,100.735
27/06/2023, 04:00:01,%RH,101.238
27/06/2023, 04:30:01,%RH,100.231
27/06/2023, 05:00:01,%RH,100.735
27/06/2023, 05:30:01,%RH,101.74
27/06/2023, 06:00:01,%RH,101.74
27/06/2023, 06:30:01,%RH,102.24
27/06/2023, 07:00:01,%RH,101.74
27/06/2023, 07:30:01,%RH,101.238
27/06/2023, 08:00:01,%RH,101.74
27/06/2023, 08:30:01,%RH,101.74
27/06/2023, 09:00:01,%RH,101.238
27/06/2023, 09:30:01,%RH,101.238
27/06/2023, 10:00:01,%RH,101.74
27/06/2023, 10:30:01,%RH,101.238
27/06/2023, 11:00:01,%RH,101.74
27/06/2023, 11:30:01,%RH,104.228
27/06/2023, 12:00:01,%RH,102.739
27/06/2023, 12:30:01,%RH,103.237
27/06/2023, 13:00:01,%RH,103.733
27/06/2023, 13:30:01,%RH,103.237
27/06/2023, 14:00:01,%RH,103.733
27/06/2023, 14:30:01,%RH,103.237
27/06/2023, 15:00:01,%RH,104.228
27/06/2023, 15:30:01,%RH,103.237
27/06/2023, 16:00:01,%RH,103.237
27/06/2023, 16:30:01,%RH,103.237
27/06/2023, 17:00:01,%RH,103.237
27/06/2023, 17:30:01,%RH,102.739
27/06/2023, 18:00:01,%RH,101.74
27/06/2023, 18:30:01,%RH,102.739
27/06/2023, 19:00:01,%RH,102.739
27/06/2023, 19:30:01,%RH,102.24
27/06/2023, 20:00:01,%RH,103.237
27/06/2023, 20:30:01,%RH,104.228
27/06/2023, 21:00:01,%RH,102.24
27/06/2023, 21:30:01,%RH,103.733
27/06/2023, 22:00:01,%RH,103.237
27/06/2023, 22:30:01,%RH,104.228
27/06/2023, 23:00:01,%RH,104.721
27/06/2023, 23:30:01,%RH,104.228
28/06/2023, 00:00:01,%RH,103.733
28/06/2023, 00:30:01,%RH,103.237
28/06/2023, 01:00:01,%RH,105.214
28/06/2023, 01:30:01,%RH,104.228
28/06/2023, 02:00:01,%RH,103.733
28/06/2023, 02:30:01,%RH,103.733
28/06/2023, 03:00:01,%RH,103.733
28/06/2023, 03:30:01,%RH,103.237
28/06/2023, 04:00:01,%RH,103.237
28/06/2023, 04:30:01,%RH,103.237
28/06/2023, 05:00:01,%RH,103.733
28/06/2023, 05:30:01,%RH,103.237
28/06/2023, 06:00:01,%RH,103.237
28/06/2023, 06:30:01,%RH,103.733
28/06/2023, 07:00:01,%RH,103.733
28/06/2023, 07:30:01,%RH,103.733
28/06/2023, 08:00:01,%RH,104.228
28/06/2023, 08:30:01,%RH,103.733
28/06/2023, 09:00:01,%RH,103.733
28/06/2023, 09:30:01,%RH,103.733
28/06/2023, 10:00:01,%RH,102.739
28/06/2023, 10:30:01,%RH,102.739
28/06/2023, 11:00:01,%RH,103.237
28/06/2023, 11:30:01,%RH,101.74
28/06/2023, 12:00:01,%RH,102.739
28/06/2023, 12:30:01,%RH,103.237
28/06/2023, 13:00:01,%RH,103.237
28/06/2023, 13:30:01,%RH,103.237
28/06/2023, 14:00:01,%RH,103.237
28/06/2023, 14:30:01,%RH,103.237
28/06/2023, 15:00:01,%RH,103.237
28/06/2023, 15:30:01,%RH,102.24
28/06/2023, 16:00:01,%RH,101.238
28/06/2023, 16:30:01,%RH,101.74
28/06/2023, 17:00:01,%RH,97.178
28/06/2023, 17:30:01,%RH,98.201
28/06/2023, 18:00:01,%RH,96.149
28/06/2023, 18:30:01,%RH,95.115
28/06/2023, 19:00:01,%RH,96.149
28/06/2023, 19:30:01,%RH,98.71
28/06/2023, 20:00:01,%RH,99.726
28/06/2023, 20:30:01,%RH,99.219
28/06/2023, 21:00:01,%RH,100.231
28/06/2023, 21:30:01,%RH,101.74
28/06/2023, 22:00:01,%RH,101.74
28/06/2023, 22:30:01,%RH,102.739
28/06/2023, 23:00:01,%RH,103.237
28/06/2023, 23:30:01,%RH,103.237
29/06/2023, 00:00:01,%RH,102.739
29/06/2023, 00:30:01,%RH,102.739
29/06/2023, 01:00:01,%RH,103.733
29/06/2023, 01:30:01,%RH,103.733
29/06/2023, 02:00:01,%RH,105.704
29/06/2023, 02:30:01,%RH,104.721
29/06/2023, 03:00:01,%RH,105.214
29/06/2023, 03:30:01,%RH,104.721
29/06/2023, 04:00:01,%RH,103.733
29/06/2023, 04:30:01,%RH,102.739
29/06/2023, 05:00:01,%RH,103.733
29/06/2023, 05:30:01,%RH,103.237
29/06/2023, 06:00:01,%RH,104.721
29/06/2023, 06:30:01,%RH,104.721
29/06/2023, 07:00:01,%RH,105.704
29/06/2023, 07:30:01,%RH,104.721
29/06/2023, 08:00:01,%RH,99.219
29/06/2023, 08:30:01,%RH,93.555
29/06/2023, 09:00:01,%RH,95.115
29/06/2023, 09:30:01,%RH,92.508
29/06/2023, 10:00:01,%RH,89.866
29/06/2023, 10:30:01,%RH,93.555
29/06/2023, 11:00:01,%RH,87.192
29/06/2023, 11:30:01,%RH,88.8
29/06/2023, 12:00:01,%RH,88.265
29/06/2023, 12:30:01,%RH,81.19
29/06/2023, 13:00:01,%RH,82.843
29/06/2023, 13:30:01,%RH,76.16
29/06/2023, 14:00:01,%RH,77.287
29/06/2023, 14:30:01,%RH,67.536
29/06/2023, 15:00:01,%RH,65.185
29/06/2023, 15:30:01,%RH,69.865
29/06/2023, 16:00:01,%RH,72.746
29/06/2023, 16:30:01,%RH,77.849
29/06/2023, 17:00:01,%RH,77.849
29/06/2023, 17:30:01,%RH,76.724
29/06/2023, 18:00:01,%RH,77.849
29/06/2023, 18:30:01,%RH,85.028
29/06/2023, 19:00:01,%RH,87.192
29/06/2023, 19:30:01,%RH,86.653
29/06/2023, 20:00:01,%RH,88.265
29/06/2023, 20:30:01,%RH,90.397
29/06/2023, 21:00:01,%RH,90.397
29/06/2023, 21:30:01,%RH,91.455
29/06/2023, 22:00:01,%RH,91.982
29/06/2023, 22:30:01,%RH,94.596
29/06/2023, 23:00:01,%RH,95.115
29/06/2023, 23:30:01,%RH,95.633
30/06/2023, 00:00:01,%RH,96.149
30/06/2023, 00:30:01,%RH,96.664
30/06/2023, 01:00:01,%RH,96.664
30/06/2023, 01:30:01,%RH,95.633
30/06/2023, 02:00:01,%RH,97.69
30/06/2023, 02:30:01,%RH,96.664
30/06/2023, 03:00:01,%RH,97.69
30/06/2023, 03:30:01,%RH,100.231
30/06/2023, 04:00:01,%RH,98.71
30/06/2023, 04:30:01,%RH,98.71
30/06/2023, 05:00:01,%RH,98.71
30/06/2023, 05:30:01,%RH,99.219
30/06/2023, 06:00:01,%RH,99.726
30/06/2023, 06:30:01,%RH,101.238
30/06/2023, 07:00:01,%RH,102.24
30/06/2023, 07:30:01,%RH,102.739
30/06/2023, 08:00:01,%RH,102.24
30/06/2023, 08:30:01,%RH,102.739
30/06/2023, 09:00:01,%RH,101.238
30/06/2023, 09:30:01,%RH,99.726
30/06/2023, 10:00:01,%RH,100.735
30/06/2023, 10:30:01,%RH,102.24
30/06/2023, 11:00:01,%RH,102.739
30/06/2023, 11:30:01,%RH,102.24
30/06/2023, 12:00:01,%RH,102.739
30/06/2023, 12:30:01,%RH,102.739
30/06/2023, 13:00:01,%RH,102.24
30/06/2023, 13:30:01,%RH,101.238
30/06/2023, 14:00:01,%RH,101.74
30/06/2023, 14:30:01,%RH,102.24
30/06/2023, 15:00:01,%RH,102.739
30/06/2023, 15:30:01,%RH,102.24
30/06/2023, 16:00:01,%RH,103.237
30/06/2023, 16:30:01,%RH,102.739
30/06/2023, 17:00:01,%RH,103.733
30/06/2023, 17:30:01,%RH,103.733
30/06/2023, 18:00:01,%RH,104.228
30/06/2023, 18:30:01,%RH,103.733
30/06/2023, 19:00:01,%RH,103.733
30/06/2023, 19:30:01,%RH,103.237
30/06/2023, 20:00:01,%RH,103.733
30/06/2023, 20:30:01,%RH,103.733
30/06/2023, 21:00:01,%RH,104.228
30/06/2023, 21:30:01,%RH,104.228
30/06/2023, 22:00:01,%RH,102.739
30/06/2023, 22:30:01,%RH,104.721
30/06/2023, 23:00:01,%RH,104.721
30/06/2023, 23:30:01,%RH,103.733
01/07/2023, 00:00:01,%RH,103.733
01/07/2023, 00:30:01,%RH,102.739
01/07/2023, 01:00:01,%RH,103.237
01/07/2023, 01:30:01,%RH,102.739
01/07/2023, 02:00:01,%RH,102.739
01/07/2023, 02:30:01,%RH,102.739
01/07/2023, 03:00:01,%RH,103.733
01/07/2023, 03:30:01,%RH,103.237
01/07/2023, 04:00:01,%RH,102.739
01/07/2023, 04:30:01,%RH,102.24
01/07/2023, 05:00:01,%RH,102.739
01/07/2023, 05:30:01,%RH,102.739
01/07/2023, 06:00:01,%RH,103.237
01/07/2023, 06:30:01,%RH,103.237
01/07/2023, 07:00:01,%RH,102.739
01/07/2023, 07:30:01,%RH,102.739
01/07/2023, 08:00:01,%RH,102.739
01/07/2023, 08:30:01,%RH,102.739
01/07/2023, 09:00:01,%RH,102.24
01/07/2023, 09:30:01,%RH,99.726
01/07/2023, 10:00:01,%RH,100.735
01/07/2023, 10:30:01,%RH,99.726
01/07/2023, 11:00:01,%RH,98.201
01/07/2023, 11:30:01,%RH,95.633
01/07/2023, 12:00:01,%RH,93.032
01/07/2023, 12:30:01,%RH,97.178
01/07/2023, 13:00:01,%RH,95.115
01/07/2023, 13:30:01,%RH,86.112
01/07/2023, 14:00:01,%RH,77.849
01/07/2023, 14:30:01,%RH,78.968
01/07/2023, 15:00:01,%RH,76.724
01/07/2023, 15:30:01,%RH,80.637
01/07/2023, 16:00:01,%RH,78.409
01/07/2023, 16:30:01,%RH,77.287
01/07/2023, 17:00:01,%RH,85.028
01/07/2023, 17:30:01,%RH,85.571
01/07/2023, 18:00:01,%RH,81.19
01/07/2023, 18:30:01,%RH,90.397
01/07/2023, 19:00:01,%RH,89.866
01/07/2023, 19:30:01,%RH,85.028
01/07/2023, 20:00:01,%RH,86.112
01/07/2023, 20:30:01,%RH,82.843
01/07/2023, 21:00:01,%RH,88.8
01/07/2023, 21:30:01,%RH,83.391
01/07/2023, 22:00:01,%RH,85.571
01/07/2023, 22:30:01,%RH,96.149
01/07/2023, 23:00:01,%RH,99.726
01/07/2023, 23:30:01,%RH,99.726
02/07/2023, 00:00:01,%RH,99.726
02/07/2023, 00:30:01,%RH,99.726
02/07/2023, 01:00:01,%RH,99.726
02/07/2023, 01:30:01,%RH,96.149
02/07/2023, 02:00:01,%RH,96.149
02/07/2023, 02:30:01,%RH,95.115
02/07/2023, 03:00:01,%RH,97.178
02/07/2023, 03:30:01,%RH,94.596
02/07/2023, 04:00:01,%RH,94.596
02/07/2023, 04:30:01,%RH,94.076
02/07/2023, 05:00:01,%RH,94.596
02/07/2023, 05:30:01,%RH,93.555
02/07/2023, 06:00:01,%RH,91.982
02/07/2023, 06:30:01,%RH,92.508
02/07/2023, 07:00:01,%RH,91.455
02/07/2023, 07:30:01,%RH,91.982
02/07/2023, 08:00:01,%RH,93.032
02/07/2023, 08:30:01,%RH,90.397
02/07/2023, 09:00:01,%RH,91.455
02/07/2023, 09:30:01,%RH,89.334
02/07/2023, 10:00:01,%RH,86.653
02/07/2023, 10:30:01,%RH,85.571
02/07/2023, 11:00:01,%RH,85.571
02/07/2023, 11:30:01,%RH,84.484
02/07/2023, 12:00:01,%RH,83.391
02/07/2023, 12:30:01,%RH,78.409
02/07/2023, 13:00:01,%RH,77.287
02/07/2023, 13:30:01,%RH,78.968
02/07/2023, 14:00:01,%RH,83.391
02/07/2023, 14:30:01,%RH,91.982
02/07/2023, 15:00:01,%RH,90.397
02/07/2023, 15:30:01,%RH,86.112
02/07/2023, 16:00:01,%RH,98.201
02/07/2023, 16:30:01,%RH,99.726
02/07/2023, 17:00:01,%RH,95.633
02/07/2023, 17:30:01,%RH,93.555
02/07/2023, 18:00:01,%RH,94.076
02/07/2023, 18:30:01,%RH,92.508
02/07/2023, 19:00:01,%RH,93.555
02/07/2023, 19:30:01,%RH,91.982
02/07/2023, 20:00:01,%RH,91.455
02/07/2023, 20:30:01,%RH,91.982
02/07/2023, 21:00:01,%RH,97.69
02/07/2023, 21:30:01,%RH,97.178
02/07/2023, 22:00:01,%RH,99.726
02/07/2023, 22:30:01,%RH,100.231
02/07/2023, 23:00:01,%RH,100.231
02/07/2023, 23:30:01,%RH,102.24
03/07/2023, 00:00:01,%RH,101.238
03/07/2023, 00:30:01,%RH,102.24
03/07/2023, 01:00:01,%RH,101.74
03/07/2023, 01:30:01,%RH,102.739
03/07/2023, 02:00:01,%RH,101.74
03/07/2023, 02:30:01,%RH,101.74
03/07/2023, 03:00:01,%RH,101.74
03/07/2023, 03:30:01,%RH,100.231
03/07/2023, 04:00:01,%RH,97.178
03/07/2023, 04:30:01,%RH,95.633
03/07/2023, 05:00:01,%RH,95.633
03/07/2023, 05:30:01,%RH,94.076
03/07/2023, 06:00:01,%RH,96.149
03/07/2023, 06:30:01,%RH,96.664
03/07/2023, 07:00:01,%RH,99.219
03/07/2023, 07:30:01,%RH,100.735
03/07/2023, 08:00:01,%RH,98.201
03/07/2023, 08:30:01,%RH,96.149
03/07/2023, 09:00:01,%RH,94.076
03/07/2023, 09:30:01,%RH,88.265
03/07/2023, 10:00:01,%RH,86.653
03/07/2023, 10:30:01,%RH,88.265
03/07/2023, 11:00:01,%RH,89.334
03/07/2023, 11:30:01,%RH,87.192
03/07/2023, 12:00:01,%RH,83.391
03/07/2023, 12:30:01,%RH,77.849
03/07/2023, 13:00:01,%RH,76.724
03/07/2023, 13:30:01,%RH,75.027
03/07/2023, 14:00:01,%RH,76.724
03/07/2023, 14:30:01,%RH,71.021
03/07/2023, 15:00:01,%RH,69.865
03/07/2023, 15:30:01,%RH,72.746
03/07/2023, 16:00:01,%RH,73.889
03/07/2023, 16:30:01,%RH,78.409
03/07/2023, 17:00:01,%RH,76.724
03/07/2023, 17:30:01,%RH,80.637
03/07/2023, 18:00:01,%RH,87.192
03/07/2023, 18:30:01,%RH,87.192
03/07/2023, 19:00:01,%RH,87.729
03/07/2023, 19:30:01,%RH,75.594
03/07/2023, 20:00:01,%RH,79.525
03/07/2023, 20:30:01,%RH,95.115
03/07/2023, 21:00:01,%RH,100.735
03/07/2023, 21:30:01,%RH,101.238
03/07/2023, 22:00:01,%RH,101.74
03/07/2023, 22:30:01,%RH,102.739
03/07/2023, 23:00:01,%RH,100.735
03/07/2023, 23:30:01,%RH,102.24
04/07/2023, 00:00:01,%RH,101.238
04/07/2023, 00:30:01,%RH,102.24
04/07/2023, 01:00:01,%RH,101.238
04/07/2023, 01:30:01,%RH,99.219
04/07/2023, 02:00:01,%RH,97.178
04/07/2023, 02:30:01,%RH,100.735
04/07/2023, 03:00:01,%RH,97.178
04/07/2023, 03:30:01,%RH,96.664
04/07/2023, 04:00:01,%RH,99.219
04/07/2023, 04:30:01,%RH,96.664
04/07/2023, 05:00:01,%RH,99.219
04/07/2023, 05:30:01,%RH,100.735
04/07/2023, 06:00:01,%RH,97.69
04/07/2023, 06:30:01,%RH,97.178
04/07/2023, 07:00:01,%RH,96.664
04/07/2023, 07:30:01,%RH,94.076
04/07/2023, 08:00:01,%RH,95.115
04/07/2023, 08:30:01,%RH,94.076
04/07/2023, 09:00:01,%RH,90.397
04/07/2023, 09:30:01,%RH,91.982
04/07/2023, 10:00:01,%RH,91.455
