1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 16 23:59:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Jun 27 02:59:01 BST 2023
Total Mission Samples:  6070
Total Device Samples:  17011
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
27/06/2023, 02:59:01,C,12.033
27/06/2023, 03:29:01,C,11.531
27/06/2023, 03:59:01,C,12.033
27/06/2023, 04:29:01,C,12.534
27/06/2023, 04:59:01,C,12.534
27/06/2023, 05:29:01,C,12.534
27/06/2023, 05:59:01,C,12.534
27/06/2023, 06:29:01,C,12.534
27/06/2023, 06:59:01,C,13.036
27/06/2023, 07:29:01,C,13.036
27/06/2023, 07:59:01,C,13.537
27/06/2023, 08:29:01,C,14.039
27/06/2023, 08:59:01,C,14.039
27/06/2023, 09:29:01,C,13.537
27/06/2023, 09:59:01,C,13.537
27/06/2023, 10:29:01,C,13.036
27/06/2023, 10:59:01,C,13.036
27/06/2023, 11:29:01,C,13.537
27/06/2023, 11:59:01,C,13.036
27/06/2023, 12:29:01,C,13.036
27/06/2023, 12:59:01,C,13.537
27/06/2023, 13:29:01,C,14.039
27/06/2023, 13:59:01,C,14.54
27/06/2023, 14:29:01,C,15.041
27/06/2023, 14:59:01,C,15.542
27/06/2023, 15:29:01,C,15.542
27/06/2023, 15:59:01,C,15.542
27/06/2023, 16:29:01,C,15.542
27/06/2023, 16:59:01,C,15.542
27/06/2023, 17:29:01,C,15.542
27/06/2023, 17:59:01,C,15.542
27/06/2023, 18:29:01,C,15.542
27/06/2023, 18:59:01,C,15.542
27/06/2023, 19:29:01,C,15.041
27/06/2023, 19:59:01,C,15.041
27/06/2023, 20:29:01,C,15.542
27/06/2023, 20:59:01,C,15.542
27/06/2023, 21:29:01,C,15.041
27/06/2023, 21:59:01,C,15.542
27/06/2023, 22:29:01,C,15.041
27/06/2023, 22:59:01,C,15.041
27/06/2023, 23:29:01,C,15.041
27/06/2023, 23:59:01,C,15.041
28/06/2023, 00:29:01,C,15.041
28/06/2023, 00:59:01,C,15.542
28/06/2023, 01:29:01,C,15.542
28/06/2023, 01:59:01,C,15.542
28/06/2023, 02:29:01,C,16.044
28/06/2023, 02:59:01,C,15.542
28/06/2023, 03:29:01,C,15.542
28/06/2023, 03:59:01,C,15.542
28/06/2023, 04:29:01,C,15.542
28/06/2023, 04:59:01,C,15.542
28/06/2023, 05:29:01,C,15.542
28/06/2023, 05:59:01,C,15.542
28/06/2023, 06:29:01,C,15.542
28/06/2023, 06:59:01,C,15.542
28/06/2023, 07:29:01,C,15.542
28/06/2023, 07:59:01,C,15.542
28/06/2023, 08:29:01,C,15.542
28/06/2023, 08:59:01,C,15.542
28/06/2023, 09:29:01,C,16.044
28/06/2023, 09:59:01,C,16.044
28/06/2023, 10:29:01,C,16.044
28/06/2023, 10:59:01,C,16.545
28/06/2023, 11:29:01,C,16.545
28/06/2023, 11:59:01,C,16.044
28/06/2023, 12:29:01,C,16.044
28/06/2023, 12:59:01,C,16.044
28/06/2023, 13:29:01,C,15.542
28/06/2023, 13:59:01,C,15.542
28/06/2023, 14:29:01,C,15.542
28/06/2023, 14:59:01,C,15.542
28/06/2023, 15:29:01,C,16.044
28/06/2023, 15:59:01,C,15.041
28/06/2023, 16:29:01,C,15.041
28/06/2023, 16:59:01,C,15.542
28/06/2023, 17:29:01,C,14.54
28/06/2023, 17:59:01,C,15.542
28/06/2023, 18:29:01,C,15.041
28/06/2023, 18:59:01,C,15.041
28/06/2023, 19:29:01,C,14.54
28/06/2023, 19:59:01,C,14.039
28/06/2023, 20:29:01,C,13.537
28/06/2023, 20:59:01,C,13.036
28/06/2023, 21:29:01,C,12.534
28/06/2023, 21:59:01,C,11.531
28/06/2023, 22:29:01,C,10.528
28/06/2023, 22:59:01,C,10.026
28/06/2023, 23:29:01,C,9.524
28/06/2023, 23:59:01,C,8.52
29/06/2023, 00:29:01,C,8.52
29/06/2023, 00:59:01,C,7.516
29/06/2023, 01:29:01,C,7.516
29/06/2023, 01:59:01,C,8.52
29/06/2023, 02:29:01,C,9.022
29/06/2023, 02:59:01,C,9.524
29/06/2023, 03:29:01,C,9.524
29/06/2023, 03:59:01,C,9.524
29/06/2023, 04:29:01,C,9.022
29/06/2023, 04:59:01,C,8.018
29/06/2023, 05:29:01,C,7.516
29/06/2023, 05:59:01,C,8.018
29/06/2023, 06:29:01,C,9.022
29/06/2023, 06:59:01,C,11.029
29/06/2023, 07:29:01,C,11.531
29/06/2023, 07:59:01,C,11.531
29/06/2023, 08:29:01,C,12.033
29/06/2023, 08:59:01,C,12.534
29/06/2023, 09:29:01,C,12.033
29/06/2023, 09:59:01,C,13.537
29/06/2023, 10:29:01,C,13.036
29/06/2023, 10:59:01,C,14.54
29/06/2023, 11:29:01,C,14.54
29/06/2023, 11:59:01,C,14.54
29/06/2023, 12:29:01,C,15.542
29/06/2023, 12:59:01,C,16.044
29/06/2023, 13:29:01,C,16.044
29/06/2023, 13:59:01,C,16.044
29/06/2023, 14:29:01,C,16.545
29/06/2023, 14:59:01,C,16.044
29/06/2023, 15:29:01,C,16.044
29/06/2023, 15:59:01,C,15.542
29/06/2023, 16:29:01,C,15.542
29/06/2023, 16:59:01,C,15.542
29/06/2023, 17:29:01,C,15.542
29/06/2023, 17:59:01,C,15.041
29/06/2023, 18:29:01,C,14.54
29/06/2023, 18:59:01,C,14.039
29/06/2023, 19:29:01,C,14.039
29/06/2023, 19:59:01,C,13.537
29/06/2023, 20:29:01,C,13.537
29/06/2023, 20:59:01,C,13.036
29/06/2023, 21:29:01,C,13.036
29/06/2023, 21:59:01,C,12.534
29/06/2023, 22:29:01,C,12.033
29/06/2023, 22:59:01,C,12.033
29/06/2023, 23:29:01,C,11.531
29/06/2023, 23:59:01,C,11.029
30/06/2023, 00:29:01,C,11.531
30/06/2023, 00:59:01,C,12.033
30/06/2023, 01:29:01,C,12.033
30/06/2023, 01:59:01,C,11.531
30/06/2023, 02:29:01,C,11.531
30/06/2023, 02:59:01,C,11.531
30/06/2023, 03:29:01,C,11.531
30/06/2023, 03:59:01,C,11.531
30/06/2023, 04:29:01,C,12.033
30/06/2023, 04:59:01,C,12.033
30/06/2023, 05:29:01,C,12.534
30/06/2023, 05:59:01,C,12.534
30/06/2023, 06:29:01,C,12.534
30/06/2023, 06:59:01,C,12.534
30/06/2023, 07:29:01,C,12.534
30/06/2023, 07:59:01,C,12.534
30/06/2023, 08:29:01,C,13.036
30/06/2023, 08:59:01,C,13.036
30/06/2023, 09:29:01,C,13.036
30/06/2023, 09:59:01,C,12.534
30/06/2023, 10:29:01,C,12.534
30/06/2023, 10:59:01,C,13.036
30/06/2023, 11:29:01,C,13.537
30/06/2023, 11:59:01,C,13.537
30/06/2023, 12:29:01,C,14.039
30/06/2023, 12:59:01,C,14.039
30/06/2023, 13:29:01,C,14.039
30/06/2023, 13:59:01,C,13.537
30/06/2023, 14:29:01,C,13.537
30/06/2023, 14:59:01,C,13.537
30/06/2023, 15:29:01,C,13.537
30/06/2023, 15:59:01,C,13.537
30/06/2023, 16:29:01,C,14.039
30/06/2023, 16:59:01,C,14.039
30/06/2023, 17:29:01,C,14.039
30/06/2023, 17:59:01,C,14.039
30/06/2023, 18:29:01,C,14.54
30/06/2023, 18:59:01,C,14.54
30/06/2023, 19:29:01,C,14.54
30/06/2023, 19:59:01,C,14.54
30/06/2023, 20:29:01,C,14.54
30/06/2023, 20:59:01,C,14.54
30/06/2023, 21:29:01,C,14.54
30/06/2023, 21:59:01,C,14.039
30/06/2023, 22:29:01,C,14.039
30/06/2023, 22:59:01,C,14.039
30/06/2023, 23:29:01,C,14.039
30/06/2023, 23:59:01,C,14.039
01/07/2023, 00:29:01,C,13.537
01/07/2023, 00:59:01,C,13.537
01/07/2023, 01:29:01,C,13.537
01/07/2023, 01:59:01,C,13.537
01/07/2023, 02:29:01,C,13.036
01/07/2023, 02:59:01,C,13.036
01/07/2023, 03:29:01,C,13.036
01/07/2023, 03:59:01,C,12.534
01/07/2023, 04:29:01,C,12.534
01/07/2023, 04:59:01,C,12.534
01/07/2023, 05:29:01,C,12.033
01/07/2023, 05:59:01,C,12.033
01/07/2023, 06:29:01,C,12.033
01/07/2023, 06:59:01,C,12.033
01/07/2023, 07:29:01,C,12.033
01/07/2023, 07:59:01,C,12.033
01/07/2023, 08:29:01,C,12.033
01/07/2023, 08:59:01,C,12.033
01/07/2023, 09:29:01,C,12.534
01/07/2023, 09:59:01,C,12.534
01/07/2023, 10:29:01,C,12.534
01/07/2023, 10:59:01,C,12.534
01/07/2023, 11:29:01,C,13.537
01/07/2023, 11:59:01,C,13.537
01/07/2023, 12:29:01,C,13.036
01/07/2023, 12:59:01,C,13.036
01/07/2023, 13:29:01,C,14.039
01/07/2023, 13:59:01,C,15.041
01/07/2023, 14:29:01,C,15.041
01/07/2023, 14:59:01,C,15.041
01/07/2023, 15:29:01,C,14.54
01/07/2023, 15:59:01,C,15.041
01/07/2023, 16:29:01,C,14.54
01/07/2023, 16:59:01,C,13.036
01/07/2023, 17:29:01,C,13.537
01/07/2023, 17:59:01,C,13.036
01/07/2023, 18:29:01,C,12.534
01/07/2023, 18:59:01,C,11.531
01/07/2023, 19:29:01,C,12.033
01/07/2023, 19:59:01,C,11.531
01/07/2023, 20:29:01,C,12.033
01/07/2023, 20:59:01,C,11.531
01/07/2023, 21:29:01,C,11.029
01/07/2023, 21:59:01,C,11.531
01/07/2023, 22:29:01,C,11.029
01/07/2023, 22:59:01,C,10.528
01/07/2023, 23:29:01,C,10.528
