,regen5,norway,cat_bield,great_wood,regen5,regen3,regen7,regen1,regen2,regen4,regen4,regen2,regen6,regen7,norway,great_wood,regen6,regen3,cat_bield,regen1
,temperature,relative humidity,temperature,relative humidity,relative humidity,temperature,relative humidity,relative humidity,relative humidity,temperature,relative humidity,temperature,temperature,temperature,temperature,temperature,relative humidity,relative humidity,relative humidity,temperature
2023-06-05 05:30:00,5.526,,,,100.767,,,,,5.57,96.637,,6.528,,,,97.955,,,
2023-06-05 06:00:00,6.528,,,,101.757,,102.354,104.309,,6.072,99.152,,6.528,5.507,,,98.474,,,6.083
2023-06-05 06:30:00,7.531,98.201,,,100.767,,101.87,100.522,104.352,8.079,99.649,6.553,7.532,7.014,4.551,,98.474,,,10.599
2023-06-05 07:00:00,9.034,97.69,,,95.712,,100.405,84.873,102.963,9.584,98.652,8.057,9.037,9.022,5.554,,97.435,,,13.105
2023-06-05 07:30:00,11.539,98.201,,,88.334,,92.84,74.515,102.497,10.587,92.522,9.561,10.04,10.528,7.058,,93.219,,,14.609
2023-06-05 08:00:00,13.041,95.633,,,83.407,,89.701,67.673,91.805,11.589,84.497,11.565,10.542,12.033,9.063,,89.449,,,16.613
2023-06-05 08:30:00,14.042,90.927,,,76.612,,82.123,67.092,87.713,12.592,82.289,13.067,12.046,13.537,10.566,,86.711,,,17.114
2023-06-05 09:00:00,15.044,81.742,,,73.119,,78.202,62.389,78.105,14.095,78.357,14.57,13.55,15.041,12.57,,79.985,,,18.616
2023-06-05 09:30:00,16.045,78.409,,,73.119,,73.031,57.582,77.555,15.097,76.071,15.571,14.552,16.545,13.572,,78.269,,,19.617
2023-06-05 10:00:00,17.046,73.318,,,68.961,,65.305,55.753,73.657,16.099,72.001,16.573,15.554,18.549,15.575,,74.797,,,20.619
2023-06-05 10:30:00,17.547,72.173,,,69.561,,61.018,55.753,69.676,17.101,68.443,18.575,16.556,19.049,16.076,,70.081,,,21.619
2023-06-05 11:00:00,18.047,68.12,,,68.36,,60.399,60.598,65.024,17.602,70.822,19.075,16.556,19.55,17.077,,73.04,,,20.619
2023-06-05 11:30:00,17.547,69.865,,,69.561,,65.91,62.982,66.781,18.103,69.04,19.576,16.556,18.549,17.578,,72.451,,,20.118
2023-06-05 12:00:00,19.048,69.865,,,61.631,,64.698,60.598,70.25,17.101,72.001,18.575,16.556,19.55,17.578,,71.269,,,21.119
2023-06-05 12:30:00,21.049,66.363,,,60.384,,62.252,59.396,66.197,18.603,68.443,19.576,17.558,20.051,18.078,,68.887,,,21.119
2023-06-05 13:00:00,19.048,68.703,,,64.716,,67.715,65.926,65.611,18.603,67.843,20.076,18.059,18.549,17.578,,69.485,,,18.616
2023-06-05 13:30:00,18.548,69.285,,,66.546,,68.909,68.252,70.822,18.103,69.636,18.575,17.558,18.048,17.578,,70.676,,,19.617
2023-06-05 14:00:00,21.049,69.285,,,60.384,,64.698,59.998,68.523,18.103,71.412,19.075,17.558,20.551,17.578,,71.269,,,20.619
2023-06-05 14:30:00,19.548,69.285,,,64.716,,65.91,66.51,59.659,18.603,69.04,22.077,18.559,19.049,18.078,,68.288,,,19.117
2023-06-05 15:00:00,20.049,69.865,,,64.716,,64.698,62.389,63.843,18.103,70.23,21.077,18.059,20.051,17.578,,68.887,,,21.119
2023-06-05 15:30:00,20.549,68.703,,,62.871,,60.399,58.188,60.863,19.104,69.04,23.078,18.559,21.553,18.579,,68.887,,,22.12
2023-06-05 16:00:00,19.048,65.185,,,66.546,,67.115,62.389,55.391,19.104,67.843,24.578,19.06,19.049,18.579,,67.085,,,20.619
2023-06-05 16:30:00,19.548,69.285,,,65.328,,65.305,62.389,66.781,18.603,70.23,20.076,18.059,20.051,18.579,,71.269,,,20.118
2023-06-05 17:00:00,18.548,68.12,,,69.561,,65.91,67.673,64.434,18.603,70.23,21.077,18.559,19.55,18.579,,69.485,,,19.617
2023-06-05 17:30:00,18.548,70.444,,,70.158,,70.096,69.405,69.1,18.103,72.587,20.576,18.059,19.049,18.078,,71.269,,,19.617
2023-06-05 18:00:00,17.547,71.598,,,74.873,,74.771,73.39,71.392,18.103,74.337,19.576,18.059,18.048,18.579,,72.451,,,18.115
2023-06-05 18:30:00,17.547,72.746,,,74.873,,73.613,73.953,74.779,17.101,78.357,18.074,17.057,17.547,18.078,,76.54,,,17.615
2023-06-05 19:00:00,18.047,73.889,,,71.94,,71.863,70.552,75.338,17.101,77.788,18.575,17.057,18.549,17.578,,77.118,,,18.616
