,regen2,regen2,regen1,regen1,regen5,regen5,cat_bield,cat_bield,regen7,regen7,great_wood,great_wood,norway,norway,regen3,regen3,regen4,regen6,regen6,regen4
,relative humidity,temperature,relative humidity,temperature,temperature,relative humidity,temperature,relative humidity,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,relative humidity,temperature,temperature
2023-05-17 00:00:00,,,98.103,6.585,7.531,96.225,10.058,86.531,94.386,7.014,,,,,90.397,9.046,,,,
2023-05-17 00:30:00,97.739,7.055,98.103,7.589,7.531,95.712,9.557,88.081,97.428,7.516,85.7,9.61,94.596,8.061,92.508,9.046,93.561,91.612,8.535,8.079
2023-05-17 01:00:00,99.184,7.556,98.59,6.585,7.531,96.737,9.557,89.105,96.421,7.014,87.359,9.109,96.149,7.559,91.982,9.046,94.594,93.219,8.034,8.079
2023-05-17 01:30:00,99.184,7.556,101.479,6.585,7.531,98.262,9.056,90.123,97.929,6.512,86.808,9.109,96.664,7.559,91.982,9.046,95.619,93.751,8.034,7.577
2023-05-17 02:00:00,99.663,7.055,100.522,6.585,7.03,96.225,8.555,90.629,97.929,6.512,89.55,8.607,97.69,7.058,92.508,8.043,96.637,96.39,8.034,7.577
2023-05-17 02:30:00,101.087,7.055,99.559,5.581,6.027,97.755,7.552,94.62,97.428,6.01,90.636,8.106,98.201,7.058,94.596,7.542,96.637,94.811,7.532,7.577
2023-05-17 03:00:00,100.139,6.553,100.042,5.581,6.027,99.77,7.051,95.601,99.913,5.507,92.789,7.605,97.69,6.557,95.115,7.041,96.129,96.39,6.528,7.075
2023-05-17 03:30:00,101.087,6.052,100.042,5.581,6.027,99.77,7.051,96.089,100.895,5.507,94.917,7.103,98.71,6.055,96.149,7.041,97.144,96.913,6.528,7.075
2023-05-17 04:00:00,101.559,6.052,101.001,5.581,6.027,99.77,7.051,96.089,99.913,5.507,95.445,6.602,99.726,6.055,95.633,7.041,95.619,98.474,6.528,7.075
2023-05-17 04:30:00,100.614,6.052,101.001,5.079,5.526,100.269,7.051,96.089,99.913,5.005,94.387,6.602,99.726,6.055,93.555,7.041,96.129,98.474,6.528,6.574
2023-05-17 05:00:00,101.559,5.551,101.479,5.079,5.025,100.767,7.051,95.601,101.383,4.502,94.917,6.602,99.726,5.554,96.664,6.539,96.129,98.474,6.026,5.57
2023-05-17 05:30:00,102.497,5.551,100.042,5.581,5.526,101.263,6.549,96.089,101.87,4.502,95.971,6.602,99.726,5.052,94.596,6.539,100.145,98.474,6.026,6.072
2023-05-17 06:00:00,102.029,5.551,98.59,6.083,7.531,93.117,7.051,95.111,102.354,5.507,95.971,6.1,100.231,5.052,93.555,7.041,98.652,98.474,6.528,6.072
2023-05-17 06:30:00,102.963,6.553,93.647,8.09,8.032,92.593,8.555,92.638,100.895,7.014,93.856,7.103,100.735,5.554,96.149,7.542,97.144,91.612,7.532,7.075
2023-05-17 07:00:00,99.184,8.057,90.09,9.094,9.034,90.478,9.557,90.629,95.407,8.52,93.323,7.605,101.238,6.055,93.032,8.544,94.594,91.612,8.034,8.079
