,great_wood,great_wood,regen4,regen4,regen2,regen2,cat_bield,cat_bield,regen1,regen1,regen5,regen5,regen6,regen6,norway,norway,regen3,regen3,regen7,regen7
,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity
2023-06-27 02:30:00,,,,,,,,,,,11.539,101.757,12.046,101.045,,,,,,
2023-06-27 03:00:00,,,12.091,101.621,,,,,12.103,101.954,12.039,101.757,12.046,101.045,,,,,12.033,101.383
2023-06-27 03:30:00,,,12.592,101.131,12.567,102.029,,,11.1,102.901,12.039,100.767,12.547,100.534,,,13.054,99.726,11.531,100.895
2023-06-27 04:00:00,,,12.592,101.131,12.066,101.559,12.564,101.814,11.601,101.479,12.039,101.263,12.547,100.534,12.069,100.735,13.054,100.735,12.033,101.87
2023-06-27 04:30:00,12.616,99.613,12.592,101.621,12.567,102.497,13.065,102.28,12.103,101.479,12.54,102.249,12.547,100.534,12.069,101.238,13.054,100.735,12.534,101.383
2023-06-27 05:00:00,13.117,100.127,12.592,101.131,12.567,102.497,13.065,100.876,12.103,102.429,12.54,101.263,12.547,102.062,12.57,100.231,13.054,100.231,12.534,101.383
2023-06-27 05:30:00,13.117,98.58,12.592,101.621,12.567,102.029,12.564,101.814,12.103,100.042,12.54,100.767,13.049,100.021,12.57,100.735,13.054,100.735,12.534,101.383
2023-06-27 06:00:00,13.117,100.127,12.592,101.131,12.567,101.559,13.065,102.28,12.103,102.901,12.54,101.263,12.547,99.507,12.57,101.74,13.054,100.735,12.534,102.354
2023-06-27 06:30:00,13.117,100.127,12.592,101.621,13.067,101.087,13.065,102.28,12.604,100.522,12.54,101.757,12.547,100.021,12.57,101.74,13.054,100.735,12.534,102.354
2023-06-27 07:00:00,13.117,100.639,12.592,101.131,13.067,102.497,13.565,102.28,12.604,100.042,13.041,100.269,12.547,100.021,12.57,102.24,13.054,100.735,13.036,101.87
2023-06-27 07:30:00,13.117,100.639,13.093,101.621,13.067,101.559,14.066,100.405,13.105,99.559,13.041,100.767,13.049,101.554,12.57,101.74,13.555,100.735,13.036,101.87
2023-06-27 08:00:00,13.618,99.097,13.093,102.11,13.568,101.087,14.066,99.932,13.607,98.103,13.542,100.767,13.049,100.021,13.071,101.238,13.555,100.735,13.537,100.895
2023-06-27 08:30:00,13.618,98.58,13.093,102.11,14.069,99.663,15.068,98.024,14.108,97.614,14.042,100.767,13.049,100.534,13.071,101.74,14.055,101.238,14.039,99.913
2023-06-27 09:00:00,14.119,99.613,13.594,101.131,14.57,98.704,14.567,98.503,14.108,97.614,14.042,99.77,13.55,100.021,13.572,101.74,14.055,100.231,14.039,99.913
2023-06-27 09:30:00,14.119,99.097,13.594,100.145,14.57,98.223,14.567,99.932,13.607,98.59,13.542,100.269,13.55,100.021,13.572,101.238,14.055,100.735,13.537,99.913
2023-06-27 10:00:00,14.119,99.097,13.594,101.131,14.069,99.184,14.066,100.405,13.607,98.59,13.542,100.767,13.55,101.045,13.572,101.238,14.055,102.24,13.537,101.383
2023-06-27 10:30:00,13.618,100.639,13.594,101.621,14.069,99.184,13.565,99.932,13.105,97.614,13.041,101.757,13.049,101.045,13.572,101.74,13.555,101.238,13.036,100.895
2023-06-27 11:00:00,13.117,99.613,13.093,101.621,13.568,99.663,14.066,100.405,13.105,99.559,13.041,101.263,12.547,100.534,12.57,101.238,13.555,102.24,13.036,101.383
2023-06-27 11:30:00,13.117,99.613,13.093,102.11,13.568,100.614,14.066,101.346,13.105,99.075,13.041,103.228,13.049,102.569,13.071,101.74,13.555,102.24,13.537,101.87
2023-06-27 12:00:00,13.618,101.15,13.093,102.597,13.568,101.559,13.565,101.814,13.105,100.042,13.041,101.757,13.049,102.569,13.071,104.228,13.054,101.74,13.036,102.354
2023-06-27 12:30:00,13.117,100.127,13.093,102.11,13.568,102.029,14.066,101.346,13.105,100.522,13.041,103.228,13.049,102.062,13.071,102.739,13.555,102.739,13.036,102.354
2023-06-27 13:00:00,13.618,101.15,13.093,102.597,13.568,102.029,14.567,101.814,13.607,100.042,13.542,102.249,13.049,102.062,13.071,103.237,13.555,102.24,13.537,102.354
2023-06-27 13:30:00,13.618,101.15,13.594,104.526,14.069,102.029,15.068,101.814,14.108,100.042,14.042,102.249,13.55,102.569,13.071,103.733,14.556,103.237,14.039,101.87
2023-06-27 14:00:00,14.119,101.659,14.095,102.597,14.57,102.029,15.569,102.744,14.609,100.042,14.543,102.739,13.55,102.569,13.572,103.237,14.556,103.237,14.54,102.354
2023-06-27 14:30:00,14.62,101.15,14.596,103.565,15.071,101.087,15.569,102.744,15.11,99.559,15.044,102.249,14.552,103.074,14.073,103.733,15.057,102.739,15.041,101.383
2023-06-27 15:00:00,15.121,101.15,15.097,103.082,15.571,102.029,16.069,101.814,15.611,99.559,15.544,101.757,15.053,102.062,14.574,103.237,15.558,102.739,15.542,101.87
2023-06-27 15:30:00,15.621,100.639,15.598,103.082,16.072,101.559,16.57,101.346,15.611,100.042,15.544,100.767,15.554,102.569,15.075,104.228,16.058,102.739,15.542,101.87
2023-06-27 16:00:00,15.621,101.15,15.598,102.597,16.573,100.614,16.57,100.405,16.112,99.559,15.544,102.249,15.554,102.569,15.075,103.237,16.058,102.24,15.542,101.87
2023-06-27 16:30:00,16.122,100.639,15.598,103.082,16.573,101.559,16.069,100.405,15.611,99.559,15.544,101.263,15.554,102.062,15.575,103.237,16.058,102.739,15.542,101.383
2023-06-27 17:00:00,15.621,101.15,15.598,102.11,16.072,100.614,16.069,101.346,15.611,99.559,15.544,100.767,15.554,101.554,15.075,103.237,15.558,102.739,15.542,101.383
2023-06-27 17:30:00,15.621,100.639,15.598,102.11,16.072,101.559,16.069,100.405,15.611,98.59,15.544,101.263,15.554,103.577,15.075,103.237,16.058,102.24,15.542,100.895
2023-06-27 18:00:00,15.621,101.15,15.598,102.11,16.072,101.087,16.069,100.876,15.611,99.075,15.544,102.249,15.554,103.074,15.075,102.739,15.558,102.739,15.542,100.895
2023-06-27 18:30:00,15.621,101.15,15.598,103.082,16.072,101.087,16.069,102.28,15.611,99.559,15.544,101.757,15.053,101.045,15.075,101.74,15.558,102.739,15.542,101.87
2023-06-27 19:00:00,15.621,101.15,15.598,102.597,16.072,101.087,16.069,102.28,15.611,100.042,15.544,102.249,15.554,102.569,15.075,102.739,15.558,102.739,15.542,101.383
2023-06-27 19:30:00,15.621,101.659,15.598,102.11,16.072,101.559,15.569,103.207,15.11,100.522,15.044,101.757,15.554,103.577,15.075,102.739,15.558,102.24,15.041,101.383
2023-06-27 20:00:00,15.121,101.15,15.097,102.597,15.571,101.087,16.069,103.207,15.11,100.042,15.044,102.249,15.053,102.062,15.075,102.24,15.558,102.739,15.041,101.87
2023-06-27 20:30:00,15.621,101.15,15.097,102.11,15.571,102.497,16.069,103.668,15.11,100.522,15.544,101.757,15.053,102.569,15.075,103.237,15.558,103.237,15.542,102.354
2023-06-27 21:00:00,15.621,101.15,15.598,102.597,15.571,102.029,16.069,104.128,15.11,100.042,15.544,102.249,15.554,103.074,15.075,104.228,15.558,103.237,15.542,102.354
2023-06-27 21:30:00,15.621,102.167,15.598,102.597,15.571,102.029,15.569,104.128,15.11,101.001,15.544,102.249,15.053,102.062,15.075,102.24,15.558,103.237,15.041,102.354
2023-06-27 22:00:00,15.621,102.167,15.097,102.597,15.571,102.497,15.569,104.585,15.11,101.479,15.544,102.249,15.053,103.074,15.075,103.733,15.558,103.237,15.542,102.354
2023-06-27 22:30:00,15.621,101.15,15.598,102.597,15.571,102.963,15.569,104.585,15.11,101.001,15.044,102.249,15.554,103.074,15.075,103.237,15.558,103.237,15.041,102.837
2023-06-27 23:00:00,15.121,103.681,15.097,102.11,15.571,102.963,15.569,105.041,15.11,101.954,15.044,102.739,15.053,102.569,15.075,104.228,15.558,103.733,15.041,103.797
