1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 410000007F072241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  3624
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Apr 13 00:00:01 BST 2024
Total Mission Samples:  3624
Total Device Samples:  78215
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/04/2024, 00:00:01,%RH,105.004
13/04/2024, 00:30:01,%RH,105.004
13/04/2024, 01:00:01,%RH,105.004
13/04/2024, 01:30:01,%RH,105.48
13/04/2024, 02:00:01,%RH,105.48
13/04/2024, 02:30:01,%RH,105.48
13/04/2024, 03:00:01,%RH,105.954
13/04/2024, 03:30:01,%RH,105.954
13/04/2024, 04:00:01,%RH,105.48
13/04/2024, 04:30:01,%RH,105.954
13/04/2024, 05:00:01,%RH,106.427
13/04/2024, 05:30:01,%RH,105.954
13/04/2024, 06:00:01,%RH,106.897
13/04/2024, 06:30:01,%RH,106.427
13/04/2024, 07:00:01,%RH,105.954
13/04/2024, 07:30:01,%RH,106.427
13/04/2024, 08:00:01,%RH,105.954
13/04/2024, 08:30:01,%RH,105.954
13/04/2024, 09:00:01,%RH,106.427
13/04/2024, 09:30:01,%RH,105.954
13/04/2024, 10:00:01,%RH,105.954
13/04/2024, 10:30:01,%RH,105.954
13/04/2024, 11:00:01,%RH,105.954
13/04/2024, 11:30:01,%RH,105.48
13/04/2024, 12:00:01,%RH,105.954
13/04/2024, 12:30:01,%RH,105.48
13/04/2024, 13:00:01,%RH,105.954
13/04/2024, 13:30:01,%RH,105.48
13/04/2024, 14:00:01,%RH,104.526
13/04/2024, 14:30:01,%RH,105.48
13/04/2024, 15:00:01,%RH,105.004
13/04/2024, 15:30:01,%RH,103.565
13/04/2024, 16:00:01,%RH,102.11
13/04/2024, 16:30:01,%RH,99.152
13/04/2024, 17:00:01,%RH,95.107
13/04/2024, 17:30:01,%RH,92.522
13/04/2024, 18:00:01,%RH,87.755
13/04/2024, 18:30:01,%RH,97.144
13/04/2024, 19:00:01,%RH,95.619
13/04/2024, 19:30:01,%RH,91.999
13/04/2024, 20:00:01,%RH,99.152
13/04/2024, 20:30:01,%RH,99.152
13/04/2024, 21:00:01,%RH,90.421
13/04/2024, 21:30:01,%RH,96.129
13/04/2024, 22:00:01,%RH,96.129
13/04/2024, 22:30:01,%RH,91.475
13/04/2024, 23:00:01,%RH,94.594
13/04/2024, 23:30:01,%RH,97.144
14/04/2024, 00:00:01,%RH,87.755
14/04/2024, 00:30:01,%RH,89.891
14/04/2024, 01:00:01,%RH,92.522
14/04/2024, 01:30:01,%RH,90.949
14/04/2024, 02:00:01,%RH,91.999
14/04/2024, 02:30:01,%RH,91.475
14/04/2024, 03:00:01,%RH,93.042
14/04/2024, 03:30:01,%RH,96.129
14/04/2024, 04:00:01,%RH,95.107
14/04/2024, 04:30:01,%RH,93.561
14/04/2024, 05:00:01,%RH,96.129
14/04/2024, 05:30:01,%RH,95.107
14/04/2024, 06:00:01,%RH,96.637
14/04/2024, 06:30:01,%RH,97.144
14/04/2024, 07:00:01,%RH,96.129
14/04/2024, 07:30:01,%RH,96.129
14/04/2024, 08:00:01,%RH,95.619
14/04/2024, 08:30:01,%RH,96.129
14/04/2024, 09:00:01,%RH,96.129
14/04/2024, 09:30:01,%RH,95.107
14/04/2024, 10:00:01,%RH,90.421
14/04/2024, 10:30:01,%RH,88.827
14/04/2024, 11:00:01,%RH,87.217
14/04/2024, 11:30:01,%RH,88.292
14/04/2024, 12:00:01,%RH,90.949
14/04/2024, 12:30:01,%RH,82.844
14/04/2024, 13:00:01,%RH,86.134
14/04/2024, 13:30:01,%RH,89.36
14/04/2024, 14:00:01,%RH,89.891
14/04/2024, 14:30:01,%RH,87.217
14/04/2024, 15:00:01,%RH,88.292
14/04/2024, 15:30:01,%RH,88.292
14/04/2024, 16:00:01,%RH,89.36
14/04/2024, 16:30:01,%RH,87.755
14/04/2024, 17:00:01,%RH,89.891
14/04/2024, 17:30:01,%RH,91.999
14/04/2024, 18:00:01,%RH,94.079
14/04/2024, 18:30:01,%RH,96.637
14/04/2024, 19:00:01,%RH,95.619
14/04/2024, 19:30:01,%RH,98.151
14/04/2024, 20:00:01,%RH,97.648
14/04/2024, 20:30:01,%RH,98.652
14/04/2024, 21:00:01,%RH,98.652
14/04/2024, 21:30:01,%RH,99.152
14/04/2024, 22:00:01,%RH,99.649
14/04/2024, 22:30:01,%RH,99.649
14/04/2024, 23:00:01,%RH,98.151
14/04/2024, 23:30:01,%RH,99.649
15/04/2024, 00:00:01,%RH,99.649
15/04/2024, 00:30:01,%RH,100.145
15/04/2024, 01:00:01,%RH,100.639
15/04/2024, 01:30:01,%RH,103.082
15/04/2024, 02:00:01,%RH,104.526
15/04/2024, 02:30:01,%RH,102.597
15/04/2024, 03:00:01,%RH,101.621
15/04/2024, 03:30:01,%RH,101.131
15/04/2024, 04:00:01,%RH,101.131
15/04/2024, 04:30:01,%RH,102.11
15/04/2024, 05:00:01,%RH,103.565
15/04/2024, 05:30:01,%RH,101.621
15/04/2024, 06:00:01,%RH,102.597
15/04/2024, 06:30:01,%RH,102.11
15/04/2024, 07:00:01,%RH,99.649
15/04/2024, 07:30:01,%RH,98.652
15/04/2024, 08:00:01,%RH,95.619
15/04/2024, 08:30:01,%RH,98.652
15/04/2024, 09:00:01,%RH,101.621
15/04/2024, 09:30:01,%RH,104.526
15/04/2024, 10:00:01,%RH,103.082
15/04/2024, 10:30:01,%RH,101.621
15/04/2024, 11:00:01,%RH,100.145
15/04/2024, 11:30:01,%RH,102.597
15/04/2024, 12:00:01,%RH,98.151
15/04/2024, 12:30:01,%RH,99.649
15/04/2024, 13:00:01,%RH,96.129
15/04/2024, 13:30:01,%RH,97.648
15/04/2024, 14:00:01,%RH,86.134
15/04/2024, 14:30:01,%RH,86.676
15/04/2024, 15:00:01,%RH,91.999
15/04/2024, 15:30:01,%RH,81.733
