1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  3629
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Apr 13 00:00:01 BST 2024
Total Mission Samples:  3629
Total Device Samples:  27196
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/04/2024, 00:00:01,C,8.592
13/04/2024, 00:30:01,C,8.592
13/04/2024, 01:00:01,C,8.592
13/04/2024, 01:30:01,C,8.592
13/04/2024, 02:00:01,C,8.592
13/04/2024, 02:30:01,C,8.592
13/04/2024, 03:00:01,C,8.592
13/04/2024, 03:30:01,C,8.592
13/04/2024, 04:00:01,C,8.592
13/04/2024, 04:30:01,C,8.592
13/04/2024, 05:00:01,C,8.592
13/04/2024, 05:30:01,C,8.592
13/04/2024, 06:00:01,C,8.592
13/04/2024, 06:30:01,C,8.592
13/04/2024, 07:00:01,C,8.592
13/04/2024, 07:30:01,C,8.592
13/04/2024, 08:00:01,C,8.592
13/04/2024, 08:30:01,C,9.094
13/04/2024, 09:00:01,C,9.094
13/04/2024, 09:30:01,C,9.094
13/04/2024, 10:00:01,C,9.094
13/04/2024, 10:30:01,C,9.595
13/04/2024, 11:00:01,C,9.595
13/04/2024, 11:30:01,C,9.595
13/04/2024, 12:00:01,C,9.094
13/04/2024, 12:30:01,C,9.094
13/04/2024, 13:00:01,C,9.595
13/04/2024, 13:30:01,C,9.595
13/04/2024, 14:00:01,C,9.595
13/04/2024, 14:30:01,C,9.094
13/04/2024, 15:00:01,C,9.094
13/04/2024, 15:30:01,C,9.094
13/04/2024, 16:00:01,C,9.094
13/04/2024, 16:30:01,C,8.592
13/04/2024, 17:00:01,C,8.592
13/04/2024, 17:30:01,C,8.592
13/04/2024, 18:00:01,C,8.09
13/04/2024, 18:30:01,C,7.589
13/04/2024, 19:00:01,C,7.087
13/04/2024, 19:30:01,C,6.585
13/04/2024, 20:00:01,C,6.083
13/04/2024, 20:30:01,C,6.083
13/04/2024, 21:00:01,C,6.585
13/04/2024, 21:30:01,C,6.083
13/04/2024, 22:00:01,C,6.083
13/04/2024, 22:30:01,C,6.083
13/04/2024, 23:00:01,C,6.083
13/04/2024, 23:30:01,C,6.083
14/04/2024, 00:00:01,C,5.079
14/04/2024, 00:30:01,C,5.581
14/04/2024, 01:00:01,C,5.581
14/04/2024, 01:30:01,C,5.581
14/04/2024, 02:00:01,C,6.083
14/04/2024, 02:30:01,C,6.083
14/04/2024, 03:00:01,C,6.083
14/04/2024, 03:30:01,C,6.083
14/04/2024, 04:00:01,C,6.083
14/04/2024, 04:30:01,C,6.083
14/04/2024, 05:00:01,C,6.083
14/04/2024, 05:30:01,C,6.083
14/04/2024, 06:00:01,C,6.083
14/04/2024, 06:30:01,C,6.083
14/04/2024, 07:00:01,C,6.083
14/04/2024, 07:30:01,C,6.083
14/04/2024, 08:00:01,C,6.083
14/04/2024, 08:30:01,C,6.585
14/04/2024, 09:00:01,C,6.585
14/04/2024, 09:30:01,C,7.589
14/04/2024, 10:00:01,C,8.09
14/04/2024, 10:30:01,C,8.592
14/04/2024, 11:00:01,C,8.09
14/04/2024, 11:30:01,C,8.09
14/04/2024, 12:00:01,C,8.592
14/04/2024, 12:30:01,C,9.094
14/04/2024, 13:00:01,C,8.09
14/04/2024, 13:30:01,C,7.589
14/04/2024, 14:00:01,C,8.09
14/04/2024, 14:30:01,C,8.09
14/04/2024, 15:00:01,C,7.589
14/04/2024, 15:30:01,C,8.09
14/04/2024, 16:00:01,C,8.09
14/04/2024, 16:30:01,C,8.09
14/04/2024, 17:00:01,C,7.589
14/04/2024, 17:30:01,C,7.589
14/04/2024, 18:00:01,C,7.087
14/04/2024, 18:30:01,C,7.087
14/04/2024, 19:00:01,C,7.087
14/04/2024, 19:30:01,C,7.087
14/04/2024, 20:00:01,C,7.087
14/04/2024, 20:30:01,C,6.585
14/04/2024, 21:00:01,C,7.087
14/04/2024, 21:30:01,C,7.087
14/04/2024, 22:00:01,C,7.087
14/04/2024, 22:30:01,C,7.087
14/04/2024, 23:00:01,C,7.087
14/04/2024, 23:30:01,C,7.087
15/04/2024, 00:00:01,C,7.589
15/04/2024, 00:30:01,C,7.087
15/04/2024, 01:00:01,C,4.577
15/04/2024, 01:30:01,C,5.079
15/04/2024, 02:00:01,C,6.083
15/04/2024, 02:30:01,C,6.585
15/04/2024, 03:00:01,C,6.585
15/04/2024, 03:30:01,C,6.585
15/04/2024, 04:00:01,C,6.585
15/04/2024, 04:30:01,C,5.581
15/04/2024, 05:00:01,C,4.577
15/04/2024, 05:30:01,C,4.075
15/04/2024, 06:00:01,C,3.573
15/04/2024, 06:30:01,C,4.075
15/04/2024, 07:00:01,C,4.075
15/04/2024, 07:30:01,C,3.573
15/04/2024, 08:00:01,C,2.568
15/04/2024, 08:30:01,C,3.07
15/04/2024, 09:00:01,C,1.563
15/04/2024, 09:30:01,C,1.061
15/04/2024, 10:00:01,C,3.07
15/04/2024, 10:30:01,C,4.075
15/04/2024, 11:00:01,C,4.075
15/04/2024, 11:30:01,C,3.573
15/04/2024, 12:00:01,C,4.577
15/04/2024, 12:30:01,C,5.079
15/04/2024, 13:00:01,C,5.581
15/04/2024, 13:30:01,C,6.083
15/04/2024, 14:00:01,C,6.585
15/04/2024, 14:30:01,C,6.585
15/04/2024, 15:00:01,C,5.079
15/04/2024, 15:30:01,C,7.087
15/04/2024, 16:00:01,C,6.585
15/04/2024, 16:30:01,C,7.087
15/04/2024, 17:00:01,C,5.581
15/04/2024, 17:30:01,C,5.581
15/04/2024, 18:00:01,C,4.075
15/04/2024, 18:30:01,C,5.079
15/04/2024, 19:00:01,C,5.581
15/04/2024, 19:30:01,C,5.581
15/04/2024, 20:00:01,C,5.079
15/04/2024, 20:30:01,C,5.079
15/04/2024, 21:00:01,C,5.581
15/04/2024, 21:30:01,C,5.581
15/04/2024, 22:00:01,C,6.083
15/04/2024, 22:30:01,C,6.083
15/04/2024, 23:00:01,C,6.083
15/04/2024, 23:30:01,C,6.083
16/04/2024, 00:00:01,C,6.585
16/04/2024, 00:30:01,C,6.083
16/04/2024, 01:00:01,C,6.083
16/04/2024, 01:30:01,C,6.585
16/04/2024, 02:00:01,C,6.585
16/04/2024, 02:30:01,C,6.585
16/04/2024, 03:00:01,C,6.083
16/04/2024, 03:30:01,C,6.083
16/04/2024, 04:00:01,C,6.083
16/04/2024, 04:30:01,C,5.581
16/04/2024, 05:00:01,C,5.581
16/04/2024, 05:30:01,C,5.581
16/04/2024, 06:00:01,C,4.577
16/04/2024, 06:30:01,C,4.577
16/04/2024, 07:00:01,C,5.581
16/04/2024, 07:30:01,C,5.581
16/04/2024, 08:00:01,C,6.585
16/04/2024, 08:30:01,C,8.09
16/04/2024, 09:00:01,C,8.592
16/04/2024, 09:30:01,C,9.595
16/04/2024, 10:00:01,C,8.592
16/04/2024, 10:30:01,C,9.094
16/04/2024, 11:00:01,C,9.595
16/04/2024, 11:30:01,C,11.1
16/04/2024, 12:00:01,C,9.094
16/04/2024, 12:30:01,C,10.599
16/04/2024, 13:00:01,C,10.097
16/04/2024, 13:30:01,C,11.1
16/04/2024, 14:00:01,C,11.1
16/04/2024, 14:30:01,C,10.097
16/04/2024, 15:00:01,C,11.601
16/04/2024, 15:30:01,C,10.097
16/04/2024, 16:00:01,C,13.105
16/04/2024, 16:30:01,C,11.1
16/04/2024, 17:00:01,C,10.599
16/04/2024, 17:30:01,C,10.599
16/04/2024, 18:00:01,C,9.094
16/04/2024, 18:30:01,C,9.094
