1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  3629
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Apr 13 00:00:01 BST 2024
Total Mission Samples:  3629
Total Device Samples:  27196
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/04/2024, 00:00:01,%RH,102.901
13/04/2024, 00:30:01,%RH,103.372
13/04/2024, 01:00:01,%RH,103.841
13/04/2024, 01:30:01,%RH,103.372
13/04/2024, 02:00:01,%RH,103.841
13/04/2024, 02:30:01,%RH,103.841
13/04/2024, 03:00:01,%RH,103.372
13/04/2024, 03:30:01,%RH,103.841
13/04/2024, 04:00:01,%RH,103.841
13/04/2024, 04:30:01,%RH,103.841
13/04/2024, 05:00:01,%RH,104.309
13/04/2024, 05:30:01,%RH,103.372
13/04/2024, 06:00:01,%RH,103.841
13/04/2024, 06:30:01,%RH,103.841
13/04/2024, 07:00:01,%RH,104.309
13/04/2024, 07:30:01,%RH,102.429
13/04/2024, 08:00:01,%RH,104.309
13/04/2024, 08:30:01,%RH,103.841
13/04/2024, 09:00:01,%RH,103.841
13/04/2024, 09:30:01,%RH,104.309
13/04/2024, 10:00:01,%RH,103.372
13/04/2024, 10:30:01,%RH,103.372
13/04/2024, 11:00:01,%RH,103.372
13/04/2024, 11:30:01,%RH,103.372
13/04/2024, 12:00:01,%RH,102.901
13/04/2024, 12:30:01,%RH,103.372
13/04/2024, 13:00:01,%RH,101.954
13/04/2024, 13:30:01,%RH,102.429
13/04/2024, 14:00:01,%RH,103.841
13/04/2024, 14:30:01,%RH,103.841
13/04/2024, 15:00:01,%RH,102.429
13/04/2024, 15:30:01,%RH,102.429
13/04/2024, 16:00:01,%RH,100.042
13/04/2024, 16:30:01,%RH,97.614
13/04/2024, 17:00:01,%RH,91.114
13/04/2024, 17:30:01,%RH,88.023
13/04/2024, 18:00:01,%RH,84.873
13/04/2024, 18:30:01,%RH,89.06
13/04/2024, 19:00:01,%RH,89.06
13/04/2024, 19:30:01,%RH,91.114
13/04/2024, 20:00:01,%RH,91.114
13/04/2024, 20:30:01,%RH,90.09
13/04/2024, 21:00:01,%RH,87.502
13/04/2024, 21:30:01,%RH,91.624
13/04/2024, 22:00:01,%RH,93.143
13/04/2024, 22:30:01,%RH,90.603
13/04/2024, 23:00:01,%RH,89.06
13/04/2024, 23:30:01,%RH,91.624
14/04/2024, 00:00:01,%RH,88.542
14/04/2024, 00:30:01,%RH,88.542
14/04/2024, 01:00:01,%RH,90.09
14/04/2024, 01:30:01,%RH,90.09
14/04/2024, 02:00:01,%RH,89.06
14/04/2024, 02:30:01,%RH,90.603
14/04/2024, 03:00:01,%RH,91.114
14/04/2024, 03:30:01,%RH,94.148
14/04/2024, 04:00:01,%RH,93.647
14/04/2024, 04:30:01,%RH,93.143
14/04/2024, 05:00:01,%RH,95.147
14/04/2024, 05:30:01,%RH,94.648
14/04/2024, 06:00:01,%RH,96.632
14/04/2024, 06:30:01,%RH,96.632
14/04/2024, 07:00:01,%RH,97.124
14/04/2024, 07:30:01,%RH,95.643
14/04/2024, 08:00:01,%RH,97.614
