1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  3622
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Apr 13 00:00:01 BST 2024
Total Mission Samples:  3622
Total Device Samples:  77149
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/04/2024, 00:00:01,C,8.533
13/04/2024, 00:30:01,C,8.533
13/04/2024, 01:00:01,C,8.533
13/04/2024, 01:30:01,C,9.034
13/04/2024, 02:00:01,C,9.034
13/04/2024, 02:30:01,C,9.034
13/04/2024, 03:00:01,C,9.034
13/04/2024, 03:30:01,C,9.034
13/04/2024, 04:00:01,C,9.034
13/04/2024, 04:30:01,C,9.034
13/04/2024, 05:00:01,C,9.034
13/04/2024, 05:30:01,C,9.034
13/04/2024, 06:00:01,C,9.034
13/04/2024, 06:30:01,C,9.034
13/04/2024, 07:00:01,C,9.034
13/04/2024, 07:30:01,C,9.034
13/04/2024, 08:00:01,C,9.034
13/04/2024, 08:30:01,C,9.034
13/04/2024, 09:00:01,C,9.034
13/04/2024, 09:30:01,C,9.535
13/04/2024, 10:00:01,C,9.535
13/04/2024, 10:30:01,C,10.036
13/04/2024, 11:00:01,C,10.036
13/04/2024, 11:30:01,C,9.535
13/04/2024, 12:00:01,C,9.535
13/04/2024, 12:30:01,C,9.535
13/04/2024, 13:00:01,C,10.036
13/04/2024, 13:30:01,C,10.036
13/04/2024, 14:00:01,C,10.036
13/04/2024, 14:30:01,C,9.535
13/04/2024, 15:00:01,C,9.535
13/04/2024, 15:30:01,C,9.034
13/04/2024, 16:00:01,C,9.535
13/04/2024, 16:30:01,C,9.034
13/04/2024, 17:00:01,C,9.034
13/04/2024, 17:30:01,C,9.034
13/04/2024, 18:00:01,C,8.533
13/04/2024, 18:30:01,C,8.533
13/04/2024, 19:00:01,C,8.032
13/04/2024, 19:30:01,C,7.03
13/04/2024, 20:00:01,C,6.528
13/04/2024, 20:30:01,C,6.528
13/04/2024, 21:00:01,C,6.528
13/04/2024, 21:30:01,C,6.528
13/04/2024, 22:00:01,C,6.027
13/04/2024, 22:30:01,C,6.528
