1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  3623
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Apr 13 00:00:01 BST 2024
Total Mission Samples:  3623
Total Device Samples:  83067
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/04/2024, 00:00:01,%RH,105.214
13/04/2024, 00:30:01,%RH,106.682
13/04/2024, 01:00:01,%RH,105.704
13/04/2024, 01:30:01,%RH,105.704
13/04/2024, 02:00:01,%RH,106.194
13/04/2024, 02:30:01,%RH,103.733
13/04/2024, 03:00:01,%RH,105.704
13/04/2024, 03:30:01,%RH,105.214
13/04/2024, 04:00:01,%RH,106.194
13/04/2024, 04:30:01,%RH,105.704
13/04/2024, 05:00:01,%RH,106.194
13/04/2024, 05:30:01,%RH,105.704
13/04/2024, 06:00:01,%RH,105.704
13/04/2024, 06:30:01,%RH,105.704
13/04/2024, 07:00:01,%RH,106.194
13/04/2024, 07:30:01,%RH,106.194
13/04/2024, 08:00:01,%RH,105.704
13/04/2024, 08:30:01,%RH,106.194
13/04/2024, 09:00:01,%RH,106.194
13/04/2024, 09:30:01,%RH,105.214
13/04/2024, 10:00:01,%RH,105.704
13/04/2024, 10:30:01,%RH,104.228
13/04/2024, 11:00:01,%RH,105.704
13/04/2024, 11:30:01,%RH,104.721
13/04/2024, 12:00:01,%RH,105.214
13/04/2024, 12:30:01,%RH,104.721
13/04/2024, 13:00:01,%RH,105.214
13/04/2024, 13:30:01,%RH,103.237
13/04/2024, 14:00:01,%RH,104.228
13/04/2024, 14:30:01,%RH,104.721
13/04/2024, 15:00:01,%RH,104.228
13/04/2024, 15:30:01,%RH,102.739
13/04/2024, 16:00:01,%RH,100.231
13/04/2024, 16:30:01,%RH,98.71
13/04/2024, 17:00:01,%RH,88.8
13/04/2024, 17:30:01,%RH,87.192
13/04/2024, 18:00:01,%RH,83.938
13/04/2024, 18:30:01,%RH,87.192
13/04/2024, 19:00:01,%RH,88.265
13/04/2024, 19:30:01,%RH,88.8
