1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  3626
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 12 23:59:01 BST 2024
Total Mission Samples:  3626
Total Device Samples:  28754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/04/2024, 23:59:01,C,8.52
13/04/2024, 00:29:01,C,8.52
13/04/2024, 00:59:01,C,9.022
13/04/2024, 01:29:01,C,9.022
13/04/2024, 01:59:01,C,9.022
13/04/2024, 02:29:01,C,9.022
13/04/2024, 02:59:01,C,9.022
13/04/2024, 03:29:01,C,9.022
13/04/2024, 03:59:01,C,9.022
13/04/2024, 04:29:01,C,9.022
13/04/2024, 04:59:01,C,8.52
13/04/2024, 05:29:01,C,9.022
13/04/2024, 05:59:01,C,8.52
13/04/2024, 06:29:01,C,8.52
13/04/2024, 06:59:01,C,8.52
13/04/2024, 07:29:01,C,9.022
13/04/2024, 07:59:01,C,9.022
13/04/2024, 08:29:01,C,9.022
13/04/2024, 08:59:01,C,9.022
13/04/2024, 09:29:01,C,9.524
13/04/2024, 09:59:01,C,9.524
13/04/2024, 10:29:01,C,10.026
13/04/2024, 10:59:01,C,10.026
13/04/2024, 11:29:01,C,9.524
13/04/2024, 11:59:01,C,9.524
13/04/2024, 12:29:01,C,9.524
13/04/2024, 12:59:01,C,10.026
13/04/2024, 13:29:01,C,10.026
13/04/2024, 13:59:01,C,10.026
13/04/2024, 14:29:01,C,9.524
13/04/2024, 14:59:01,C,9.524
13/04/2024, 15:29:01,C,9.022
13/04/2024, 15:59:01,C,9.524
13/04/2024, 16:29:01,C,9.022
13/04/2024, 16:59:01,C,8.52
13/04/2024, 17:29:01,C,9.022
13/04/2024, 17:59:01,C,8.018
13/04/2024, 18:29:01,C,7.014
13/04/2024, 18:59:01,C,7.516
13/04/2024, 19:29:01,C,6.512
13/04/2024, 19:59:01,C,6.512
13/04/2024, 20:29:01,C,6.01
13/04/2024, 20:59:01,C,6.512
13/04/2024, 21:29:01,C,6.01
13/04/2024, 21:59:01,C,5.507
13/04/2024, 22:29:01,C,6.01
13/04/2024, 22:59:01,C,6.01
13/04/2024, 23:29:01,C,6.01
13/04/2024, 23:59:01,C,5.005
14/04/2024, 00:29:01,C,5.005
14/04/2024, 00:59:01,C,5.507
14/04/2024, 01:29:01,C,5.005
14/04/2024, 01:59:01,C,6.01
14/04/2024, 02:29:01,C,6.01
14/04/2024, 02:59:01,C,6.01
14/04/2024, 03:29:01,C,6.01
14/04/2024, 03:59:01,C,6.01
14/04/2024, 04:29:01,C,6.01
14/04/2024, 04:59:01,C,6.01
14/04/2024, 05:29:01,C,6.01
14/04/2024, 05:59:01,C,6.01
14/04/2024, 06:29:01,C,6.01
14/04/2024, 06:59:01,C,6.01
14/04/2024, 07:29:01,C,6.512
14/04/2024, 07:59:01,C,6.512
14/04/2024, 08:29:01,C,7.014
14/04/2024, 08:59:01,C,7.014
14/04/2024, 09:29:01,C,8.018
14/04/2024, 09:59:01,C,9.022
14/04/2024, 10:29:01,C,10.026
14/04/2024, 10:59:01,C,9.022
14/04/2024, 11:29:01,C,9.524
14/04/2024, 11:59:01,C,9.022
14/04/2024, 12:29:01,C,10.026
14/04/2024, 12:59:01,C,9.022
14/04/2024, 13:29:01,C,8.018
14/04/2024, 13:59:01,C,8.52
14/04/2024, 14:29:01,C,8.52
14/04/2024, 14:59:01,C,8.52
14/04/2024, 15:29:01,C,8.52
14/04/2024, 15:59:01,C,8.52
14/04/2024, 16:29:01,C,9.022
14/04/2024, 16:59:01,C,8.52
14/04/2024, 17:29:01,C,8.018
14/04/2024, 17:59:01,C,7.516
14/04/2024, 18:29:01,C,7.516
14/04/2024, 18:59:01,C,7.516
14/04/2024, 19:29:01,C,7.516
14/04/2024, 19:59:01,C,7.014
14/04/2024, 20:29:01,C,7.014
14/04/2024, 20:59:01,C,7.014
14/04/2024, 21:29:01,C,7.014
14/04/2024, 21:59:01,C,7.516
14/04/2024, 22:29:01,C,7.516
14/04/2024, 22:59:01,C,7.516
14/04/2024, 23:29:01,C,7.516
14/04/2024, 23:59:01,C,7.516
15/04/2024, 00:29:01,C,7.516
15/04/2024, 00:59:01,C,5.005
15/04/2024, 01:29:01,C,5.005
15/04/2024, 01:59:01,C,6.512
15/04/2024, 02:29:01,C,6.512
15/04/2024, 02:59:01,C,7.014
15/04/2024, 03:29:01,C,7.014
15/04/2024, 03:59:01,C,6.512
15/04/2024, 04:29:01,C,6.01
15/04/2024, 04:59:01,C,4.502
15/04/2024, 05:29:01,C,4
15/04/2024, 05:59:01,C,3.497
15/04/2024, 06:29:01,C,4
15/04/2024, 06:59:01,C,4
15/04/2024, 07:29:01,C,3.497
15/04/2024, 07:59:01,C,2.492
15/04/2024, 08:29:01,C,3.497
15/04/2024, 08:59:01,C,1.487
15/04/2024, 09:29:01,C,1.487
15/04/2024, 09:59:01,C,2.995
15/04/2024, 10:29:01,C,4.502
15/04/2024, 10:59:01,C,4
15/04/2024, 11:29:01,C,4
15/04/2024, 11:59:01,C,5.005
15/04/2024, 12:29:01,C,5.005
15/04/2024, 12:59:01,C,6.01
15/04/2024, 13:29:01,C,6.512
15/04/2024, 13:59:01,C,7.014
15/04/2024, 14:29:01,C,6.512
15/04/2024, 14:59:01,C,5.005
15/04/2024, 15:29:01,C,8.018
15/04/2024, 15:59:01,C,7.014
15/04/2024, 16:29:01,C,7.516
15/04/2024, 16:59:01,C,5.507
15/04/2024, 17:29:01,C,6.01
15/04/2024, 17:59:01,C,4.502
15/04/2024, 18:29:01,C,5.005
15/04/2024, 18:59:01,C,6.01
15/04/2024, 19:29:01,C,6.01
15/04/2024, 19:59:01,C,5.507
15/04/2024, 20:29:01,C,5.507
15/04/2024, 20:59:01,C,5.507
15/04/2024, 21:29:01,C,5.507
15/04/2024, 21:59:01,C,6.01
15/04/2024, 22:29:01,C,6.01
15/04/2024, 22:59:01,C,6.512
15/04/2024, 23:29:01,C,6.512
15/04/2024, 23:59:01,C,6.512
16/04/2024, 00:29:01,C,6.512
16/04/2024, 00:59:01,C,6.01
16/04/2024, 01:29:01,C,6.512
16/04/2024, 01:59:01,C,7.014
16/04/2024, 02:29:01,C,6.512
16/04/2024, 02:59:01,C,6.01
