1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  3626
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 12 23:59:01 BST 2024
Total Mission Samples:  3626
Total Device Samples:  28754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/04/2024, 23:59:01,%RH,102.354
13/04/2024, 00:29:01,%RH,102.837
13/04/2024, 00:59:01,%RH,102.837
13/04/2024, 01:29:01,%RH,103.318
13/04/2024, 01:59:01,%RH,103.318
13/04/2024, 02:29:01,%RH,102.837
13/04/2024, 02:59:01,%RH,103.797
13/04/2024, 03:29:01,%RH,103.318
13/04/2024, 03:59:01,%RH,103.797
13/04/2024, 04:29:01,%RH,103.318
13/04/2024, 04:59:01,%RH,103.797
13/04/2024, 05:29:01,%RH,103.797
13/04/2024, 05:59:01,%RH,104.274
13/04/2024, 06:29:01,%RH,103.797
13/04/2024, 06:59:01,%RH,103.318
13/04/2024, 07:29:01,%RH,103.797
13/04/2024, 07:59:01,%RH,103.797
13/04/2024, 08:29:01,%RH,103.797
13/04/2024, 08:59:01,%RH,103.318
13/04/2024, 09:29:01,%RH,102.354
13/04/2024, 09:59:01,%RH,103.318
13/04/2024, 10:29:01,%RH,101.87
13/04/2024, 10:59:01,%RH,100.895
13/04/2024, 11:29:01,%RH,102.354
13/04/2024, 11:59:01,%RH,102.837
13/04/2024, 12:29:01,%RH,103.318
13/04/2024, 12:59:01,%RH,102.837
13/04/2024, 13:29:01,%RH,101.383
13/04/2024, 13:59:01,%RH,100.405
13/04/2024, 14:29:01,%RH,101.383
13/04/2024, 14:59:01,%RH,102.837
13/04/2024, 15:29:01,%RH,101.383
13/04/2024, 15:59:01,%RH,98.925
13/04/2024, 16:29:01,%RH,97.929
13/04/2024, 16:59:01,%RH,94.386
13/04/2024, 17:29:01,%RH,89.171
13/04/2024, 17:59:01,%RH,85.414
13/04/2024, 18:29:01,%RH,93.357
13/04/2024, 18:59:01,%RH,90.229
13/04/2024, 19:29:01,%RH,94.386
13/04/2024, 19:59:01,%RH,89.171
13/04/2024, 20:29:01,%RH,96.925
13/04/2024, 20:59:01,%RH,89.171
13/04/2024, 21:29:01,%RH,95.407
13/04/2024, 21:59:01,%RH,98.427
13/04/2024, 22:29:01,%RH,95.915
13/04/2024, 22:59:01,%RH,92.84
13/04/2024, 23:29:01,%RH,94.386
13/04/2024, 23:59:01,%RH,91.279
14/04/2024, 00:29:01,%RH,94.897
14/04/2024, 00:59:01,%RH,92.84
14/04/2024, 01:29:01,%RH,95.407
14/04/2024, 01:59:01,%RH,91.279
14/04/2024, 02:29:01,%RH,90.754
14/04/2024, 02:59:01,%RH,91.279
14/04/2024, 03:29:01,%RH,92.321
14/04/2024, 03:59:01,%RH,92.321
14/04/2024, 04:29:01,%RH,94.386
14/04/2024, 04:59:01,%RH,95.407
14/04/2024, 05:29:01,%RH,95.915
14/04/2024, 05:59:01,%RH,95.915
14/04/2024, 06:29:01,%RH,97.929
14/04/2024, 06:59:01,%RH,96.421
14/04/2024, 07:29:01,%RH,95.407
14/04/2024, 07:59:01,%RH,94.897
14/04/2024, 08:29:01,%RH,94.386
14/04/2024, 08:59:01,%RH,91.801
14/04/2024, 09:29:01,%RH,88.64
14/04/2024, 09:59:01,%RH,82.676
14/04/2024, 10:29:01,%RH,79.332
14/04/2024, 10:59:01,%RH,82.676
14/04/2024, 11:29:01,%RH,82.676
14/04/2024, 11:59:01,%RH,79.332
14/04/2024, 12:29:01,%RH,77.066
14/04/2024, 12:59:01,%RH,78.202
14/04/2024, 13:29:01,%RH,84.324
14/04/2024, 13:59:01,%RH,83.228
14/04/2024, 14:29:01,%RH,81.569
14/04/2024, 14:59:01,%RH,83.228
14/04/2024, 15:29:01,%RH,81.012
14/04/2024, 15:59:01,%RH,83.777
14/04/2024, 16:29:01,%RH,81.012
14/04/2024, 16:59:01,%RH,85.414
14/04/2024, 17:29:01,%RH,87.572
14/04/2024, 17:59:01,%RH,92.84
14/04/2024, 18:29:01,%RH,94.897
14/04/2024, 18:59:01,%RH,96.421
14/04/2024, 19:29:01,%RH,96.925
14/04/2024, 19:59:01,%RH,97.428
14/04/2024, 20:29:01,%RH,98.427
14/04/2024, 20:59:01,%RH,98.925
14/04/2024, 21:29:01,%RH,99.42
14/04/2024, 21:59:01,%RH,99.42
14/04/2024, 22:29:01,%RH,99.42
14/04/2024, 22:59:01,%RH,98.925
14/04/2024, 23:29:01,%RH,98.925
14/04/2024, 23:59:01,%RH,98.427
15/04/2024, 00:29:01,%RH,99.42
15/04/2024, 00:59:01,%RH,100.895
15/04/2024, 01:29:01,%RH,103.318
15/04/2024, 01:59:01,%RH,103.797
15/04/2024, 02:29:01,%RH,99.913
15/04/2024, 02:59:01,%RH,99.913
15/04/2024, 03:29:01,%RH,98.427
15/04/2024, 03:59:01,%RH,99.913
15/04/2024, 04:29:01,%RH,98.925
15/04/2024, 04:59:01,%RH,100.895
15/04/2024, 05:29:01,%RH,100.895
15/04/2024, 05:59:01,%RH,101.383
15/04/2024, 06:29:01,%RH,98.925
15/04/2024, 06:59:01,%RH,97.428
15/04/2024, 07:29:01,%RH,96.421
15/04/2024, 07:59:01,%RH,96.421
15/04/2024, 08:29:01,%RH,93.872
15/04/2024, 08:59:01,%RH,98.925
15/04/2024, 09:29:01,%RH,101.383
15/04/2024, 09:59:01,%RH,99.913
15/04/2024, 10:29:01,%RH,95.915
15/04/2024, 10:59:01,%RH,97.929
15/04/2024, 11:29:01,%RH,98.427
15/04/2024, 11:59:01,%RH,95.407
15/04/2024, 12:29:01,%RH,93.872
15/04/2024, 12:59:01,%RH,91.801
15/04/2024, 13:29:01,%RH,93.872
15/04/2024, 13:59:01,%RH,82.123
15/04/2024, 14:29:01,%RH,82.123
15/04/2024, 14:59:01,%RH,91.801
15/04/2024, 15:29:01,%RH,78.768
15/04/2024, 15:59:01,%RH,87.572
15/04/2024, 16:29:01,%RH,89.171
15/04/2024, 16:59:01,%RH,93.357
15/04/2024, 17:29:01,%RH,93.357
15/04/2024, 17:59:01,%RH,96.421
15/04/2024, 18:29:01,%RH,96.421
15/04/2024, 18:59:01,%RH,92.321
15/04/2024, 19:29:01,%RH,94.386
15/04/2024, 19:59:01,%RH,96.421
15/04/2024, 20:29:01,%RH,97.428
15/04/2024, 20:59:01,%RH,96.925
15/04/2024, 21:29:01,%RH,97.428
15/04/2024, 21:59:01,%RH,95.407
15/04/2024, 22:29:01,%RH,91.801
15/04/2024, 22:59:01,%RH,84.87
15/04/2024, 23:29:01,%RH,85.956
15/04/2024, 23:59:01,%RH,84.87
16/04/2024, 00:29:01,%RH,87.035
16/04/2024, 00:59:01,%RH,88.107
16/04/2024, 01:29:01,%RH,83.228
16/04/2024, 01:59:01,%RH,81.012
16/04/2024, 02:29:01,%RH,84.87
16/04/2024, 02:59:01,%RH,85.414
16/04/2024, 03:29:01,%RH,85.414
16/04/2024, 03:59:01,%RH,85.414
16/04/2024, 04:29:01,%RH,90.754
16/04/2024, 04:59:01,%RH,89.171
16/04/2024, 05:29:01,%RH,88.64
16/04/2024, 05:59:01,%RH,89.701
16/04/2024, 06:29:01,%RH,89.171
16/04/2024, 06:59:01,%RH,89.171
16/04/2024, 07:29:01,%RH,87.572
16/04/2024, 07:59:01,%RH,84.324
16/04/2024, 08:29:01,%RH,81.012
16/04/2024, 08:59:01,%RH,73.031
16/04/2024, 09:29:01,%RH,71.863
16/04/2024, 09:59:01,%RH,71.863
16/04/2024, 10:29:01,%RH,70.096
16/04/2024, 10:59:01,%RH,67.115
16/04/2024, 11:29:01,%RH,67.715
16/04/2024, 11:59:01,%RH,67.715
16/04/2024, 12:29:01,%RH,61.636
