1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 350000007D600541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 05:29:01 BST 2024
Total Mission Samples:  7179
Total Device Samples:  24511
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 05:29:01,%RH,121.252
16/06/2024, 05:59:01,%RH,121.252
16/06/2024, 06:29:01,%RH,124.33
16/06/2024, 06:59:01,%RH,121.252
16/06/2024, 07:29:01,%RH,121.252
16/06/2024, 07:59:01,%RH,124.33
16/06/2024, 08:29:01,%RH,121.252
16/06/2024, 08:59:01,%RH,124.33
16/06/2024, 09:29:01,%RH,121.252
16/06/2024, 09:59:01,%RH,110.637
16/06/2024, 10:29:01,%RH,110.637
16/06/2024, 10:59:01,%RH,90.874
16/06/2024, 11:29:01,%RH,94.059
16/06/2024, 11:59:01,%RH,98.737
16/06/2024, 12:29:01,%RH,93.531
16/06/2024, 12:59:01,%RH,93.531
16/06/2024, 13:29:01,%RH,97.191
16/06/2024, 13:59:01,%RH,87.092
16/06/2024, 14:29:01,%RH,89.262
16/06/2024, 14:59:01,%RH,85.449
16/06/2024, 15:29:01,%RH,91.408
16/06/2024, 15:59:01,%RH,93.003
16/06/2024, 16:29:01,%RH,106.273
16/06/2024, 16:59:01,%RH,121.252
16/06/2024, 17:29:01,%RH,124.33
16/06/2024, 17:59:01,%RH,124.33
16/06/2024, 18:29:01,%RH,124.33
16/06/2024, 18:59:01,%RH,124.33
16/06/2024, 19:29:01,%RH,121.252
16/06/2024, 19:59:01,%RH,121.252
16/06/2024, 20:29:01,%RH,120.807
16/06/2024, 20:59:01,%RH,120.807
16/06/2024, 21:29:01,%RH,124.33
16/06/2024, 21:59:01,%RH,124.33
16/06/2024, 22:29:01,%RH,124.33
16/06/2024, 22:59:01,%RH,124.33
16/06/2024, 23:29:01,%RH,124.33
16/06/2024, 23:59:01,%RH,124.33
17/06/2024, 00:29:01,%RH,124.33
17/06/2024, 00:59:01,%RH,124.33
17/06/2024, 01:29:01,%RH,124.33
17/06/2024, 01:59:01,%RH,124.33
17/06/2024, 02:29:01,%RH,124.33
17/06/2024, 02:59:01,%RH,124.33
17/06/2024, 03:29:01,%RH,124.33
17/06/2024, 03:59:01,%RH,124.33
17/06/2024, 04:29:01,%RH,124.33
