1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 410000007F072241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 05:30:01 BST 2024
Total Mission Samples:  7179
Total Device Samples:  81770
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 05:30:01,%RH,105.954
16/06/2024, 06:00:01,%RH,105.48
16/06/2024, 06:30:01,%RH,106.427
16/06/2024, 07:00:01,%RH,106.427
16/06/2024, 07:30:01,%RH,105.954
16/06/2024, 08:00:01,%RH,105.004
16/06/2024, 08:30:01,%RH,105.954
16/06/2024, 09:00:01,%RH,105.48
16/06/2024, 09:30:01,%RH,100.639
16/06/2024, 10:00:01,%RH,96.637
16/06/2024, 10:30:01,%RH,97.144
16/06/2024, 11:00:01,%RH,91.475
16/06/2024, 11:30:01,%RH,89.891
16/06/2024, 12:00:01,%RH,93.561
16/06/2024, 12:30:01,%RH,93.042
16/06/2024, 13:00:01,%RH,90.949
16/06/2024, 13:30:01,%RH,89.891
16/06/2024, 14:00:01,%RH,86.676
16/06/2024, 14:30:01,%RH,88.292
16/06/2024, 15:00:01,%RH,88.292
16/06/2024, 15:30:01,%RH,88.292
16/06/2024, 16:00:01,%RH,89.891
16/06/2024, 16:30:01,%RH,91.475
16/06/2024, 17:00:01,%RH,99.152
16/06/2024, 17:30:01,%RH,101.131
16/06/2024, 18:00:01,%RH,101.131
16/06/2024, 18:30:01,%RH,101.621
16/06/2024, 19:00:01,%RH,102.11
16/06/2024, 19:30:01,%RH,103.565
16/06/2024, 20:00:01,%RH,103.082
16/06/2024, 20:30:01,%RH,103.082
16/06/2024, 21:00:01,%RH,103.565
16/06/2024, 21:30:01,%RH,103.082
16/06/2024, 22:00:01,%RH,103.082
16/06/2024, 22:30:01,%RH,103.565
16/06/2024, 23:00:01,%RH,104.046
16/06/2024, 23:30:01,%RH,104.526
17/06/2024, 00:00:01,%RH,104.046
17/06/2024, 00:30:01,%RH,104.046
17/06/2024, 01:00:01,%RH,103.082
17/06/2024, 01:30:01,%RH,104.526
17/06/2024, 02:00:01,%RH,103.565
17/06/2024, 02:30:01,%RH,103.082
17/06/2024, 03:00:01,%RH,104.046
17/06/2024, 03:30:01,%RH,103.565
17/06/2024, 04:00:01,%RH,104.046
17/06/2024, 04:30:01,%RH,105.004
17/06/2024, 05:00:01,%RH,105.004
17/06/2024, 05:30:01,%RH,105.004
17/06/2024, 06:00:01,%RH,105.004
17/06/2024, 06:30:01,%RH,105.48
17/06/2024, 07:00:01,%RH,104.526
17/06/2024, 07:30:01,%RH,105.004
17/06/2024, 08:00:01,%RH,103.082
17/06/2024, 08:30:01,%RH,104.046
17/06/2024, 09:00:01,%RH,103.565
17/06/2024, 09:30:01,%RH,102.597
17/06/2024, 10:00:01,%RH,102.11
17/06/2024, 10:30:01,%RH,100.639
17/06/2024, 11:00:01,%RH,96.637
17/06/2024, 11:30:01,%RH,98.652
17/06/2024, 12:00:01,%RH,95.619
17/06/2024, 12:30:01,%RH,94.594
