1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:59:01 BST 2024
Total Mission Samples:  7178
Total Device Samples:  30552
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:59:01,C,7.051
16/06/2024, 05:29:01,C,7.552
16/06/2024, 05:59:01,C,8.053
16/06/2024, 06:29:01,C,9.056
16/06/2024, 06:59:01,C,9.557
16/06/2024, 07:29:01,C,10.559
16/06/2024, 07:59:01,C,11.061
16/06/2024, 08:29:01,C,11.562
16/06/2024, 08:59:01,C,12.063
16/06/2024, 09:29:01,C,12.063
16/06/2024, 09:59:01,C,13.065
16/06/2024, 10:29:01,C,12.564
16/06/2024, 10:59:01,C,13.065
16/06/2024, 11:29:01,C,15.068
16/06/2024, 11:59:01,C,14.567
16/06/2024, 12:29:01,C,14.066
16/06/2024, 12:59:01,C,14.066
16/06/2024, 13:29:01,C,14.567
16/06/2024, 13:59:01,C,13.565
16/06/2024, 14:29:01,C,13.565
16/06/2024, 14:59:01,C,13.565
16/06/2024, 15:29:01,C,13.565
16/06/2024, 15:59:01,C,13.065
16/06/2024, 16:29:01,C,13.065
16/06/2024, 16:59:01,C,11.562
16/06/2024, 17:29:01,C,11.562
16/06/2024, 17:59:01,C,11.562
16/06/2024, 18:29:01,C,11.562
16/06/2024, 18:59:01,C,11.562
16/06/2024, 19:29:01,C,11.562
16/06/2024, 19:59:01,C,11.562
16/06/2024, 20:29:01,C,11.562
16/06/2024, 20:59:01,C,11.562
16/06/2024, 21:29:01,C,11.061
16/06/2024, 21:59:01,C,11.061
16/06/2024, 22:29:01,C,10.559
16/06/2024, 22:59:01,C,10.559
16/06/2024, 23:29:01,C,10.559
16/06/2024, 23:59:01,C,10.559
17/06/2024, 00:29:01,C,10.559
17/06/2024, 00:59:01,C,10.559
17/06/2024, 01:29:01,C,10.559
17/06/2024, 01:59:01,C,10.559
17/06/2024, 02:29:01,C,10.559
17/06/2024, 02:59:01,C,10.559
17/06/2024, 03:29:01,C,10.559
17/06/2024, 03:59:01,C,10.559
17/06/2024, 04:29:01,C,10.559
17/06/2024, 04:59:01,C,10.559
17/06/2024, 05:29:01,C,10.559
17/06/2024, 05:59:01,C,11.061
17/06/2024, 06:29:01,C,11.061
17/06/2024, 06:59:01,C,11.061
17/06/2024, 07:29:01,C,12.063
17/06/2024, 07:59:01,C,11.562
17/06/2024, 08:29:01,C,12.564
17/06/2024, 08:59:01,C,12.564
17/06/2024, 09:29:01,C,12.564
17/06/2024, 09:59:01,C,12.564
17/06/2024, 10:29:01,C,14.066
17/06/2024, 10:59:01,C,15.068
17/06/2024, 11:29:01,C,14.567
17/06/2024, 11:59:01,C,15.569
17/06/2024, 12:29:01,C,14.567
17/06/2024, 12:59:01,C,15.569
17/06/2024, 13:29:01,C,16.069
17/06/2024, 13:59:01,C,16.57
17/06/2024, 14:29:01,C,17.071
17/06/2024, 14:59:01,C,16.57
17/06/2024, 15:29:01,C,16.57
17/06/2024, 15:59:01,C,15.569
17/06/2024, 16:29:01,C,17.071
17/06/2024, 16:59:01,C,15.068
17/06/2024, 17:29:01,C,15.068
17/06/2024, 17:59:01,C,14.567
17/06/2024, 18:29:01,C,14.567
17/06/2024, 18:59:01,C,13.565
17/06/2024, 19:29:01,C,13.565
17/06/2024, 19:59:01,C,13.065
17/06/2024, 20:29:01,C,12.564
17/06/2024, 20:59:01,C,12.564
17/06/2024, 21:29:01,C,12.063
17/06/2024, 21:59:01,C,12.063
17/06/2024, 22:29:01,C,12.063
17/06/2024, 22:59:01,C,11.562
17/06/2024, 23:29:01,C,11.562
17/06/2024, 23:59:01,C,11.061
18/06/2024, 00:29:01,C,11.061
18/06/2024, 00:59:01,C,11.061
18/06/2024, 01:29:01,C,11.061
18/06/2024, 01:59:01,C,11.061
18/06/2024, 02:29:01,C,11.061
18/06/2024, 02:59:01,C,10.559
18/06/2024, 03:29:01,C,10.559
18/06/2024, 03:59:01,C,10.559
18/06/2024, 04:29:01,C,10.559
18/06/2024, 04:59:01,C,10.559
18/06/2024, 05:29:01,C,10.559
18/06/2024, 05:59:01,C,10.559
18/06/2024, 06:29:01,C,11.061
18/06/2024, 06:59:01,C,11.061
18/06/2024, 07:29:01,C,11.562
18/06/2024, 07:59:01,C,12.063
18/06/2024, 08:29:01,C,12.564
18/06/2024, 08:59:01,C,12.564
18/06/2024, 09:29:01,C,13.065
18/06/2024, 09:59:01,C,13.065
18/06/2024, 10:29:01,C,13.565
18/06/2024, 10:59:01,C,13.065
18/06/2024, 11:29:01,C,13.565
18/06/2024, 11:59:01,C,14.066
18/06/2024, 12:29:01,C,15.569
18/06/2024, 12:59:01,C,16.069
18/06/2024, 13:29:01,C,16.069
18/06/2024, 13:59:01,C,15.569
18/06/2024, 14:29:01,C,16.57
18/06/2024, 14:59:01,C,16.57
18/06/2024, 15:29:01,C,16.57
18/06/2024, 15:59:01,C,17.571
18/06/2024, 16:29:01,C,17.571
18/06/2024, 16:59:01,C,17.071
18/06/2024, 17:29:01,C,16.57
18/06/2024, 17:59:01,C,16.069
18/06/2024, 18:29:01,C,15.569
18/06/2024, 18:59:01,C,16.069
18/06/2024, 19:29:01,C,15.068
18/06/2024, 19:59:01,C,14.567
18/06/2024, 20:29:01,C,14.567
18/06/2024, 20:59:01,C,13.065
18/06/2024, 21:29:01,C,12.564
18/06/2024, 21:59:01,C,12.063
18/06/2024, 22:29:01,C,11.562
18/06/2024, 22:59:01,C,11.562
18/06/2024, 23:29:01,C,12.063
18/06/2024, 23:59:01,C,12.063
19/06/2024, 00:29:01,C,11.562
19/06/2024, 00:59:01,C,11.061
19/06/2024, 01:29:01,C,10.559
19/06/2024, 01:59:01,C,10.559
19/06/2024, 02:29:01,C,9.557
19/06/2024, 02:59:01,C,10.058
19/06/2024, 03:29:01,C,10.058
19/06/2024, 03:59:01,C,9.557
19/06/2024, 04:29:01,C,10.058
19/06/2024, 04:59:01,C,10.058
19/06/2024, 05:29:01,C,9.557
19/06/2024, 05:59:01,C,10.058
19/06/2024, 06:29:01,C,10.058
19/06/2024, 06:59:01,C,10.559
19/06/2024, 07:29:01,C,11.562
19/06/2024, 07:59:01,C,12.564
19/06/2024, 08:29:01,C,13.565
19/06/2024, 08:59:01,C,14.066
19/06/2024, 09:29:01,C,14.567
19/06/2024, 09:59:01,C,15.068
19/06/2024, 10:29:01,C,15.569
19/06/2024, 10:59:01,C,16.57
19/06/2024, 11:29:01,C,14.567
19/06/2024, 11:59:01,C,15.068
19/06/2024, 12:29:01,C,14.567
19/06/2024, 12:59:01,C,15.068
19/06/2024, 13:29:01,C,15.068
19/06/2024, 13:59:01,C,15.569
19/06/2024, 14:29:01,C,15.569
19/06/2024, 14:59:01,C,15.068
19/06/2024, 15:29:01,C,14.567
19/06/2024, 15:59:01,C,14.567
19/06/2024, 16:29:01,C,15.569
19/06/2024, 16:59:01,C,17.071
19/06/2024, 17:29:01,C,16.57
19/06/2024, 17:59:01,C,16.069
19/06/2024, 18:29:01,C,16.069
19/06/2024, 18:59:01,C,15.068
19/06/2024, 19:29:01,C,14.567
19/06/2024, 19:59:01,C,14.066
19/06/2024, 20:29:01,C,12.564
19/06/2024, 20:59:01,C,12.063
19/06/2024, 21:29:01,C,11.061
19/06/2024, 21:59:01,C,10.058
19/06/2024, 22:29:01,C,9.557
19/06/2024, 22:59:01,C,8.555
19/06/2024, 23:29:01,C,8.053
19/06/2024, 23:59:01,C,7.552
20/06/2024, 00:29:01,C,7.552
20/06/2024, 00:59:01,C,7.552
20/06/2024, 01:29:01,C,7.552
20/06/2024, 01:59:01,C,8.053
20/06/2024, 02:29:01,C,9.056
20/06/2024, 02:59:01,C,9.056
20/06/2024, 03:29:01,C,8.053
20/06/2024, 03:59:01,C,7.552
20/06/2024, 04:29:01,C,7.552
20/06/2024, 04:59:01,C,8.053
20/06/2024, 05:29:01,C,7.552
20/06/2024, 05:59:01,C,7.552
20/06/2024, 06:29:01,C,8.555
20/06/2024, 06:59:01,C,10.058
20/06/2024, 07:29:01,C,11.562
20/06/2024, 07:59:01,C,13.565
20/06/2024, 08:29:01,C,14.567
20/06/2024, 08:59:01,C,16.069
20/06/2024, 09:29:01,C,16.069
20/06/2024, 09:59:01,C,16.069
20/06/2024, 10:29:01,C,16.57
20/06/2024, 10:59:01,C,17.571
20/06/2024, 11:29:01,C,17.571
20/06/2024, 11:59:01,C,18.072
20/06/2024, 12:29:01,C,18.072
20/06/2024, 12:59:01,C,18.072
20/06/2024, 13:29:01,C,18.572
20/06/2024, 13:59:01,C,18.072
20/06/2024, 14:29:01,C,18.072
20/06/2024, 14:59:01,C,18.572
20/06/2024, 15:29:01,C,17.571
20/06/2024, 15:59:01,C,18.572
20/06/2024, 16:29:01,C,17.571
20/06/2024, 16:59:01,C,17.071
20/06/2024, 17:29:01,C,17.071
20/06/2024, 17:59:01,C,17.071
20/06/2024, 18:29:01,C,16.57
20/06/2024, 18:59:01,C,16.57
20/06/2024, 19:29:01,C,16.57
20/06/2024, 19:59:01,C,16.069
20/06/2024, 20:29:01,C,15.068
20/06/2024, 20:59:01,C,13.565
20/06/2024, 21:29:01,C,12.063
20/06/2024, 21:59:01,C,11.061
