1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007D620041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:59:01 BST 2024
Total Mission Samples:  7178
Total Device Samples:  30552
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:59:01,%RH,105.496
16/06/2024, 05:29:01,%RH,105.949
16/06/2024, 05:59:01,%RH,105.496
16/06/2024, 06:29:01,%RH,105.041
16/06/2024, 06:59:01,%RH,105.041
16/06/2024, 07:29:01,%RH,105.041
16/06/2024, 07:59:01,%RH,104.585
16/06/2024, 08:29:01,%RH,103.668
16/06/2024, 08:59:01,%RH,105.041
16/06/2024, 09:29:01,%RH,101.346
16/06/2024, 09:59:01,%RH,98.024
16/06/2024, 10:29:01,%RH,97.06
16/06/2024, 10:59:01,%RH,92.638
16/06/2024, 11:29:01,%RH,91.637
16/06/2024, 11:59:01,%RH,92.638
16/06/2024, 12:29:01,%RH,87.049
16/06/2024, 12:59:01,%RH,86.531
16/06/2024, 13:29:01,%RH,86.012
16/06/2024, 13:59:01,%RH,83.916
16/06/2024, 14:29:01,%RH,86.012
16/06/2024, 14:59:01,%RH,86.012
16/06/2024, 15:29:01,%RH,85.49
16/06/2024, 15:59:01,%RH,87.049
16/06/2024, 16:29:01,%RH,91.637
16/06/2024, 16:59:01,%RH,99.932
16/06/2024, 17:29:01,%RH,101.346
16/06/2024, 17:59:01,%RH,101.346
16/06/2024, 18:29:01,%RH,101.814
16/06/2024, 18:59:01,%RH,102.28
16/06/2024, 19:29:01,%RH,102.744
16/06/2024, 19:59:01,%RH,102.744
