1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:30:01 BST 2024
Total Mission Samples:  7177
Total Device Samples:  30744
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:30:01,C,6.083
16/06/2024, 05:00:01,C,7.087
16/06/2024, 05:30:01,C,7.589
16/06/2024, 06:00:01,C,8.09
16/06/2024, 06:30:01,C,8.592
16/06/2024, 07:00:01,C,9.094
16/06/2024, 07:30:01,C,9.595
16/06/2024, 08:00:01,C,10.097
16/06/2024, 08:30:01,C,10.599
16/06/2024, 09:00:01,C,11.1
16/06/2024, 09:30:01,C,11.601
16/06/2024, 10:00:01,C,12.604
16/06/2024, 10:30:01,C,12.103
16/06/2024, 11:00:01,C,13.105
16/06/2024, 11:30:01,C,13.607
16/06/2024, 12:00:01,C,13.607
16/06/2024, 12:30:01,C,13.607
16/06/2024, 13:00:01,C,13.607
16/06/2024, 13:30:01,C,13.607
16/06/2024, 14:00:01,C,13.105
16/06/2024, 14:30:01,C,13.105
16/06/2024, 15:00:01,C,13.607
16/06/2024, 15:30:01,C,12.604
16/06/2024, 16:00:01,C,12.604
16/06/2024, 16:30:01,C,12.103
16/06/2024, 17:00:01,C,11.1
16/06/2024, 17:30:01,C,10.599
16/06/2024, 18:00:01,C,10.599
16/06/2024, 18:30:01,C,10.599
16/06/2024, 19:00:01,C,10.599
16/06/2024, 19:30:01,C,11.1
16/06/2024, 20:00:01,C,10.599
16/06/2024, 20:30:01,C,10.599
16/06/2024, 21:00:01,C,10.599
16/06/2024, 21:30:01,C,10.097
16/06/2024, 22:00:01,C,10.097
16/06/2024, 22:30:01,C,10.097
16/06/2024, 23:00:01,C,10.097
16/06/2024, 23:30:01,C,10.097
17/06/2024, 00:00:01,C,10.097
17/06/2024, 00:30:01,C,10.097
17/06/2024, 01:00:01,C,10.097
17/06/2024, 01:30:01,C,10.097
17/06/2024, 02:00:01,C,10.097
17/06/2024, 02:30:01,C,10.097
17/06/2024, 03:00:01,C,10.097
17/06/2024, 03:30:01,C,10.097
17/06/2024, 04:00:01,C,10.097
17/06/2024, 04:30:01,C,10.097
17/06/2024, 05:00:01,C,10.097
17/06/2024, 05:30:01,C,10.097
17/06/2024, 06:00:01,C,10.097
17/06/2024, 06:30:01,C,10.097
17/06/2024, 07:00:01,C,10.599
17/06/2024, 07:30:01,C,11.1
17/06/2024, 08:00:01,C,11.1
17/06/2024, 08:30:01,C,11.601
17/06/2024, 09:00:01,C,11.601
17/06/2024, 09:30:01,C,11.601
17/06/2024, 10:00:01,C,11.601
17/06/2024, 10:30:01,C,13.105
17/06/2024, 11:00:01,C,14.108
17/06/2024, 11:30:01,C,13.607
17/06/2024, 12:00:01,C,15.11
17/06/2024, 12:30:01,C,14.108
17/06/2024, 13:00:01,C,14.609
17/06/2024, 13:30:01,C,15.11
17/06/2024, 14:00:01,C,16.613
17/06/2024, 14:30:01,C,16.613
17/06/2024, 15:00:01,C,15.611
17/06/2024, 15:30:01,C,16.112
17/06/2024, 16:00:01,C,15.11
17/06/2024, 16:30:01,C,15.611
17/06/2024, 17:00:01,C,14.609
17/06/2024, 17:30:01,C,14.108
17/06/2024, 18:00:01,C,13.607
17/06/2024, 18:30:01,C,13.105
17/06/2024, 19:00:01,C,13.105
17/06/2024, 19:30:01,C,12.604
17/06/2024, 20:00:01,C,12.103
17/06/2024, 20:30:01,C,11.601
17/06/2024, 21:00:01,C,11.601
17/06/2024, 21:30:01,C,11.1
17/06/2024, 22:00:01,C,11.1
17/06/2024, 22:30:01,C,11.1
17/06/2024, 23:00:01,C,10.599
17/06/2024, 23:30:01,C,10.599
18/06/2024, 00:00:01,C,10.599
18/06/2024, 00:30:01,C,10.097
18/06/2024, 01:00:01,C,10.097
18/06/2024, 01:30:01,C,10.097
18/06/2024, 02:00:01,C,10.097
18/06/2024, 02:30:01,C,10.097
18/06/2024, 03:00:01,C,10.097
18/06/2024, 03:30:01,C,10.097
18/06/2024, 04:00:01,C,10.097
18/06/2024, 04:30:01,C,9.595
18/06/2024, 05:00:01,C,10.097
18/06/2024, 05:30:01,C,10.097
18/06/2024, 06:00:01,C,10.097
18/06/2024, 06:30:01,C,10.599
18/06/2024, 07:00:01,C,10.599
18/06/2024, 07:30:01,C,10.599
18/06/2024, 08:00:01,C,11.1
18/06/2024, 08:30:01,C,11.601
18/06/2024, 09:00:01,C,11.601
18/06/2024, 09:30:01,C,12.103
18/06/2024, 10:00:01,C,12.103
18/06/2024, 10:30:01,C,12.103
18/06/2024, 11:00:01,C,12.604
18/06/2024, 11:30:01,C,12.604
18/06/2024, 12:00:01,C,13.105
18/06/2024, 12:30:01,C,15.611
18/06/2024, 13:00:01,C,14.609
18/06/2024, 13:30:01,C,15.611
18/06/2024, 14:00:01,C,14.108
18/06/2024, 14:30:01,C,16.112
18/06/2024, 15:00:01,C,15.11
18/06/2024, 15:30:01,C,15.11
18/06/2024, 16:00:01,C,16.112
18/06/2024, 16:30:01,C,16.112
18/06/2024, 17:00:01,C,15.611
18/06/2024, 17:30:01,C,15.11
18/06/2024, 18:00:01,C,15.11
18/06/2024, 18:30:01,C,14.609
18/06/2024, 19:00:01,C,14.609
18/06/2024, 19:30:01,C,14.108
18/06/2024, 20:00:01,C,13.607
18/06/2024, 20:30:01,C,13.607
18/06/2024, 21:00:01,C,12.604
18/06/2024, 21:30:01,C,12.103
18/06/2024, 22:00:01,C,11.601
18/06/2024, 22:30:01,C,10.599
18/06/2024, 23:00:01,C,11.601
18/06/2024, 23:30:01,C,11.1
19/06/2024, 00:00:01,C,11.1
19/06/2024, 00:30:01,C,10.599
19/06/2024, 01:00:01,C,10.599
19/06/2024, 01:30:01,C,9.595
19/06/2024, 02:00:01,C,10.097
19/06/2024, 02:30:01,C,9.595
19/06/2024, 03:00:01,C,9.595
19/06/2024, 03:30:01,C,9.595
19/06/2024, 04:00:01,C,9.094
19/06/2024, 04:30:01,C,9.595
19/06/2024, 05:00:01,C,9.595
19/06/2024, 05:30:01,C,9.094
19/06/2024, 06:00:01,C,9.595
19/06/2024, 06:30:01,C,9.595
19/06/2024, 07:00:01,C,10.097
19/06/2024, 07:30:01,C,11.1
19/06/2024, 08:00:01,C,11.601
19/06/2024, 08:30:01,C,13.105
19/06/2024, 09:00:01,C,13.105
19/06/2024, 09:30:01,C,13.607
19/06/2024, 10:00:01,C,14.108
19/06/2024, 10:30:01,C,14.108
19/06/2024, 11:00:01,C,14.108
19/06/2024, 11:30:01,C,13.607
19/06/2024, 12:00:01,C,13.607
19/06/2024, 12:30:01,C,13.607
19/06/2024, 13:00:01,C,14.108
19/06/2024, 13:30:01,C,14.108
19/06/2024, 14:00:01,C,14.108
19/06/2024, 14:30:01,C,14.609
19/06/2024, 15:00:01,C,14.108
19/06/2024, 15:30:01,C,13.607
19/06/2024, 16:00:01,C,14.108
19/06/2024, 16:30:01,C,14.609
19/06/2024, 17:00:01,C,16.112
19/06/2024, 17:30:01,C,15.11
19/06/2024, 18:00:01,C,15.11
19/06/2024, 18:30:01,C,15.11
19/06/2024, 19:00:01,C,14.108
19/06/2024, 19:30:01,C,13.607
19/06/2024, 20:00:01,C,13.105
19/06/2024, 20:30:01,C,11.601
19/06/2024, 21:00:01,C,11.601
19/06/2024, 21:30:01,C,10.599
19/06/2024, 22:00:01,C,9.595
19/06/2024, 22:30:01,C,8.592
19/06/2024, 23:00:01,C,8.09
19/06/2024, 23:30:01,C,7.589
20/06/2024, 00:00:01,C,7.589
20/06/2024, 00:30:01,C,7.087
20/06/2024, 01:00:01,C,7.087
20/06/2024, 01:30:01,C,7.589
20/06/2024, 02:00:01,C,8.09
20/06/2024, 02:30:01,C,8.592
20/06/2024, 03:00:01,C,8.592
20/06/2024, 03:30:01,C,7.589
20/06/2024, 04:00:01,C,7.087
20/06/2024, 04:30:01,C,7.589
20/06/2024, 05:00:01,C,7.589
20/06/2024, 05:30:01,C,7.087
20/06/2024, 06:00:01,C,7.087
20/06/2024, 06:30:01,C,8.09
20/06/2024, 07:00:01,C,9.595
20/06/2024, 07:30:01,C,11.601
20/06/2024, 08:00:01,C,13.607
20/06/2024, 08:30:01,C,14.108
20/06/2024, 09:00:01,C,15.11
20/06/2024, 09:30:01,C,14.609
20/06/2024, 10:00:01,C,14.609
20/06/2024, 10:30:01,C,15.11
20/06/2024, 11:00:01,C,16.112
20/06/2024, 11:30:01,C,16.112
20/06/2024, 12:00:01,C,17.114
20/06/2024, 12:30:01,C,16.613
20/06/2024, 13:00:01,C,16.613
20/06/2024, 13:30:01,C,16.613
20/06/2024, 14:00:01,C,16.112
20/06/2024, 14:30:01,C,16.613
20/06/2024, 15:00:01,C,17.114
20/06/2024, 15:30:01,C,16.112
20/06/2024, 16:00:01,C,17.114
20/06/2024, 16:30:01,C,16.613
20/06/2024, 17:00:01,C,16.112
20/06/2024, 17:30:01,C,16.112
20/06/2024, 18:00:01,C,16.112
20/06/2024, 18:30:01,C,15.611
20/06/2024, 19:00:01,C,15.611
20/06/2024, 19:30:01,C,15.611
20/06/2024, 20:00:01,C,15.11
20/06/2024, 20:30:01,C,14.609
20/06/2024, 21:00:01,C,13.105
20/06/2024, 21:30:01,C,11.1
20/06/2024, 22:00:01,C,10.097
20/06/2024, 22:30:01,C,9.094
20/06/2024, 23:00:01,C,8.09
20/06/2024, 23:30:01,C,8.09
21/06/2024, 00:00:01,C,8.09
21/06/2024, 00:30:01,C,7.589
21/06/2024, 01:00:01,C,7.589
21/06/2024, 01:30:01,C,7.589
21/06/2024, 02:00:01,C,7.589
21/06/2024, 02:30:01,C,7.589
21/06/2024, 03:00:01,C,7.087
21/06/2024, 03:30:01,C,7.087
21/06/2024, 04:00:01,C,7.087
21/06/2024, 04:30:01,C,7.589
21/06/2024, 05:00:01,C,7.589
21/06/2024, 05:30:01,C,7.589
21/06/2024, 06:00:01,C,8.09
21/06/2024, 06:30:01,C,9.094
21/06/2024, 07:00:01,C,10.599
21/06/2024, 07:30:01,C,12.103
21/06/2024, 08:00:01,C,13.105
21/06/2024, 08:30:01,C,13.105
21/06/2024, 09:00:01,C,14.609
21/06/2024, 09:30:01,C,14.609
21/06/2024, 10:00:01,C,15.611
21/06/2024, 10:30:01,C,15.11
21/06/2024, 11:00:01,C,14.609
21/06/2024, 11:30:01,C,14.609
21/06/2024, 12:00:01,C,14.108
21/06/2024, 12:30:01,C,14.108
21/06/2024, 13:00:01,C,14.609
21/06/2024, 13:30:01,C,15.11
21/06/2024, 14:00:01,C,15.611
21/06/2024, 14:30:01,C,15.11
21/06/2024, 15:00:01,C,14.609
21/06/2024, 15:30:01,C,15.611
21/06/2024, 16:00:01,C,14.609
21/06/2024, 16:30:01,C,14.108
21/06/2024, 17:00:01,C,13.607
21/06/2024, 17:30:01,C,13.607
21/06/2024, 18:00:01,C,13.607
21/06/2024, 18:30:01,C,14.609
21/06/2024, 19:00:01,C,14.609
21/06/2024, 19:30:01,C,13.607
21/06/2024, 20:00:01,C,13.105
21/06/2024, 20:30:01,C,13.105
21/06/2024, 21:00:01,C,12.604
21/06/2024, 21:30:01,C,12.604
21/06/2024, 22:00:01,C,12.604
21/06/2024, 22:30:01,C,12.103
21/06/2024, 23:00:01,C,11.601
21/06/2024, 23:30:01,C,11.601
22/06/2024, 00:00:01,C,11.601
22/06/2024, 00:30:01,C,11.601
22/06/2024, 01:00:01,C,11.601
22/06/2024, 01:30:01,C,11.601
22/06/2024, 02:00:01,C,11.601
22/06/2024, 02:30:01,C,12.103
22/06/2024, 03:00:01,C,11.601
22/06/2024, 03:30:01,C,11.601
22/06/2024, 04:00:01,C,11.1
22/06/2024, 04:30:01,C,11.1
22/06/2024, 05:00:01,C,10.599
22/06/2024, 05:30:01,C,10.599
22/06/2024, 06:00:01,C,10.599
22/06/2024, 06:30:01,C,11.1
22/06/2024, 07:00:01,C,11.1
22/06/2024, 07:30:01,C,12.604
22/06/2024, 08:00:01,C,13.105
22/06/2024, 08:30:01,C,13.607
22/06/2024, 09:00:01,C,13.607
22/06/2024, 09:30:01,C,14.108
22/06/2024, 10:00:01,C,14.108
22/06/2024, 10:30:01,C,14.108
22/06/2024, 11:00:01,C,15.11
22/06/2024, 11:30:01,C,14.108
22/06/2024, 12:00:01,C,14.609
22/06/2024, 12:30:01,C,15.611
22/06/2024, 13:00:01,C,14.609
22/06/2024, 13:30:01,C,15.611
22/06/2024, 14:00:01,C,15.11
22/06/2024, 14:30:01,C,15.11
22/06/2024, 15:00:01,C,16.112
22/06/2024, 15:30:01,C,15.611
22/06/2024, 16:00:01,C,16.112
22/06/2024, 16:30:01,C,16.112
22/06/2024, 17:00:01,C,14.609
22/06/2024, 17:30:01,C,14.609
22/06/2024, 18:00:01,C,14.609
22/06/2024, 18:30:01,C,14.108
22/06/2024, 19:00:01,C,13.105
22/06/2024, 19:30:01,C,12.604
22/06/2024, 20:00:01,C,12.103
22/06/2024, 20:30:01,C,12.604
22/06/2024, 21:00:01,C,12.103
22/06/2024, 21:30:01,C,12.103
22/06/2024, 22:00:01,C,11.601
22/06/2024, 22:30:01,C,11.601
22/06/2024, 23:00:01,C,11.601
22/06/2024, 23:30:01,C,12.103
