1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 02:30:01 BST 2024
Total Mission Samples:  7173
Total Device Samples:  80700
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 02:30:01,%RH,113.972
16/06/2024, 03:00:01,%RH,114.418
16/06/2024, 03:30:01,%RH,114.418
16/06/2024, 04:00:01,%RH,113.525
16/06/2024, 04:30:01,%RH,113.075
16/06/2024, 05:00:01,%RH,113.972
16/06/2024, 05:30:01,%RH,113.972
16/06/2024, 06:00:01,%RH,113.972
16/06/2024, 06:30:01,%RH,113.525
16/06/2024, 07:00:01,%RH,113.525
16/06/2024, 07:30:01,%RH,113.972
16/06/2024, 08:00:01,%RH,113.972
16/06/2024, 08:30:01,%RH,113.075
16/06/2024, 09:00:01,%RH,114.418
16/06/2024, 09:30:01,%RH,114.862
16/06/2024, 10:00:01,%RH,110.802
16/06/2024, 10:30:01,%RH,81.171
16/06/2024, 11:00:01,%RH,73.705
16/06/2024, 11:30:01,%RH,69.561
16/06/2024, 12:00:01,%RH,73.119
16/06/2024, 12:30:01,%RH,70.754
16/06/2024, 13:00:01,%RH,71.348
16/06/2024, 13:30:01,%RH,77.188
16/06/2024, 14:00:01,%RH,68.961
16/06/2024, 14:30:01,%RH,59.758
16/06/2024, 15:00:01,%RH,52.754
16/06/2024, 15:30:01,%RH,65.328
16/06/2024, 16:00:01,%RH,70.158
16/06/2024, 16:30:01,%RH,98.766
16/06/2024, 17:00:01,%RH,111.717
16/06/2024, 17:30:01,%RH,112.171
16/06/2024, 18:00:01,%RH,112.171
16/06/2024, 18:30:01,%RH,112.624
16/06/2024, 19:00:01,%RH,111.717
16/06/2024, 19:30:01,%RH,111.26
16/06/2024, 20:00:01,%RH,111.717
16/06/2024, 20:30:01,%RH,112.624
16/06/2024, 21:00:01,%RH,112.171
16/06/2024, 21:30:01,%RH,113.075
16/06/2024, 22:00:01,%RH,113.075
16/06/2024, 22:30:01,%RH,112.624
16/06/2024, 23:00:01,%RH,113.075
16/06/2024, 23:30:01,%RH,113.075
17/06/2024, 00:00:01,%RH,113.075
17/06/2024, 00:30:01,%RH,113.075
17/06/2024, 01:00:01,%RH,113.075
17/06/2024, 01:30:01,%RH,112.624
17/06/2024, 02:00:01,%RH,113.525
17/06/2024, 02:30:01,%RH,113.525
17/06/2024, 03:00:01,%RH,113.075
17/06/2024, 03:30:01,%RH,113.525
17/06/2024, 04:00:01,%RH,113.075
17/06/2024, 04:30:01,%RH,113.075
17/06/2024, 05:00:01,%RH,113.075
17/06/2024, 05:30:01,%RH,113.525
17/06/2024, 06:00:01,%RH,113.075
17/06/2024, 06:30:01,%RH,113.075
17/06/2024, 07:00:01,%RH,113.075
17/06/2024, 07:30:01,%RH,114.418
17/06/2024, 08:00:01,%RH,113.525
17/06/2024, 08:30:01,%RH,113.525
17/06/2024, 09:00:01,%RH,114.418
17/06/2024, 09:30:01,%RH,114.418
17/06/2024, 10:00:01,%RH,113.525
17/06/2024, 10:30:01,%RH,116.183
17/06/2024, 11:00:01,%RH,78.335
17/06/2024, 11:30:01,%RH,74.873
17/06/2024, 12:00:01,%RH,86.162
17/06/2024, 12:30:01,%RH,85.066
17/06/2024, 13:00:01,%RH,71.348
17/06/2024, 13:30:01,%RH,57.869
17/06/2024, 14:00:01,%RH,29.739
17/06/2024, 14:30:01,%RH,-13.475
17/06/2024, 15:00:01,%RH,-35.113
17/06/2024, 15:30:01,%RH,-35.113
17/06/2024, 16:00:01,%RH,-35.113
17/06/2024, 16:30:01,%RH,-35.113
17/06/2024, 17:00:01,%RH,-35.113
17/06/2024, 17:30:01,%RH,50.154
17/06/2024, 18:00:01,%RH,-35.113
17/06/2024, 18:30:01,%RH,67.757
17/06/2024, 19:00:01,%RH,77.188
17/06/2024, 19:30:01,%RH,73.119
17/06/2024, 20:00:01,%RH,78.906
17/06/2024, 20:30:01,%RH,82.851
17/06/2024, 21:00:01,%RH,87.252
17/06/2024, 21:30:01,%RH,93.64
17/06/2024, 22:00:01,%RH,94.679
17/06/2024, 22:30:01,%RH,96.225
17/06/2024, 23:00:01,%RH,97.247
17/06/2024, 23:30:01,%RH,96.737
18/06/2024, 00:00:01,%RH,97.755
18/06/2024, 00:30:01,%RH,97.755
18/06/2024, 01:00:01,%RH,98.766
18/06/2024, 01:30:01,%RH,99.77
18/06/2024, 02:00:01,%RH,101.263
18/06/2024, 02:30:01,%RH,102.249
18/06/2024, 03:00:01,%RH,109.417
18/06/2024, 03:30:01,%RH,107.072
18/06/2024, 04:00:01,%RH,105.164
18/06/2024, 04:30:01,%RH,103.714
18/06/2024, 05:00:01,%RH,99.77
