1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:30:01 BST 2024
Total Mission Samples:  7177
Total Device Samples:  81631
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:30:01,%RH,107.059
16/06/2024, 05:00:01,%RH,107.059
16/06/2024, 05:30:01,%RH,107.059
16/06/2024, 06:00:01,%RH,106.566
16/06/2024, 06:30:01,%RH,106.566
16/06/2024, 07:00:01,%RH,106.072
16/06/2024, 07:30:01,%RH,106.566
16/06/2024, 08:00:01,%RH,106.566
16/06/2024, 08:30:01,%RH,106.072
16/06/2024, 09:00:01,%RH,105.079
16/06/2024, 09:30:01,%RH,105.576
16/06/2024, 10:00:01,%RH,105.079
16/06/2024, 10:30:01,%RH,102.569
16/06/2024, 11:00:01,%RH,98.991
16/06/2024, 11:30:01,%RH,96.39
16/06/2024, 12:00:01,%RH,94.282
16/06/2024, 12:30:01,%RH,89.992
16/06/2024, 13:00:01,%RH,93.751
16/06/2024, 13:30:01,%RH,91.612
16/06/2024, 14:00:01,%RH,91.074
16/06/2024, 14:30:01,%RH,90.534
16/06/2024, 15:00:01,%RH,92.685
16/06/2024, 15:30:01,%RH,91.074
16/06/2024, 16:00:01,%RH,93.751
16/06/2024, 16:30:01,%RH,95.339
16/06/2024, 17:00:01,%RH,101.554
16/06/2024, 17:30:01,%RH,103.074
16/06/2024, 18:00:01,%RH,103.577
16/06/2024, 18:30:01,%RH,104.079
16/06/2024, 19:00:01,%RH,104.079
16/06/2024, 19:30:01,%RH,105.079
16/06/2024, 20:00:01,%RH,104.58
16/06/2024, 20:30:01,%RH,105.079
16/06/2024, 21:00:01,%RH,105.079
16/06/2024, 21:30:01,%RH,105.079
16/06/2024, 22:00:01,%RH,105.079
16/06/2024, 22:30:01,%RH,105.079
16/06/2024, 23:00:01,%RH,105.079
16/06/2024, 23:30:01,%RH,105.576
17/06/2024, 00:00:01,%RH,105.079
17/06/2024, 00:30:01,%RH,105.079
17/06/2024, 01:00:01,%RH,105.576
17/06/2024, 01:30:01,%RH,105.079
17/06/2024, 02:00:01,%RH,105.576
17/06/2024, 02:30:01,%RH,105.576
17/06/2024, 03:00:01,%RH,105.576
17/06/2024, 03:30:01,%RH,105.576
17/06/2024, 04:00:01,%RH,105.079
17/06/2024, 04:30:01,%RH,105.576
17/06/2024, 05:00:01,%RH,105.576
17/06/2024, 05:30:01,%RH,105.576
17/06/2024, 06:00:01,%RH,105.576
17/06/2024, 06:30:01,%RH,106.072
17/06/2024, 07:00:01,%RH,105.576
17/06/2024, 07:30:01,%RH,106.072
17/06/2024, 08:00:01,%RH,106.072
17/06/2024, 08:30:01,%RH,105.079
17/06/2024, 09:00:01,%RH,105.576
17/06/2024, 09:30:01,%RH,105.079
17/06/2024, 10:00:01,%RH,105.079
17/06/2024, 10:30:01,%RH,105.079
17/06/2024, 11:00:01,%RH,103.577
17/06/2024, 11:30:01,%RH,103.577
17/06/2024, 12:00:01,%RH,101.045
17/06/2024, 12:30:01,%RH,100.021
17/06/2024, 13:00:01,%RH,99.507
17/06/2024, 13:30:01,%RH,97.955
17/06/2024, 14:00:01,%RH,93.219
17/06/2024, 14:30:01,%RH,87.262
17/06/2024, 15:00:01,%RH,87.811
17/06/2024, 15:30:01,%RH,92.149
17/06/2024, 16:00:01,%RH,91.074
17/06/2024, 16:30:01,%RH,89.449
17/06/2024, 17:00:01,%RH,91.074
17/06/2024, 17:30:01,%RH,93.219
17/06/2024, 18:00:01,%RH,93.751
17/06/2024, 18:30:01,%RH,94.282
17/06/2024, 19:00:01,%RH,95.865
17/06/2024, 19:30:01,%RH,94.282
17/06/2024, 20:00:01,%RH,95.865
17/06/2024, 20:30:01,%RH,97.435
17/06/2024, 21:00:01,%RH,98.474
17/06/2024, 21:30:01,%RH,99.507
17/06/2024, 22:00:01,%RH,101.045
17/06/2024, 22:30:01,%RH,101.554
17/06/2024, 23:00:01,%RH,101.045
17/06/2024, 23:30:01,%RH,101.554
18/06/2024, 00:00:01,%RH,101.045
18/06/2024, 00:30:01,%RH,101.554
18/06/2024, 01:00:01,%RH,102.062
18/06/2024, 01:30:01,%RH,101.554
18/06/2024, 02:00:01,%RH,101.554
18/06/2024, 02:30:01,%RH,102.569
18/06/2024, 03:00:01,%RH,103.074
18/06/2024, 03:30:01,%RH,103.074
18/06/2024, 04:00:01,%RH,104.079
18/06/2024, 04:30:01,%RH,103.074
18/06/2024, 05:00:01,%RH,103.577
18/06/2024, 05:30:01,%RH,102.569
18/06/2024, 06:00:01,%RH,101.554
18/06/2024, 06:30:01,%RH,103.074
18/06/2024, 07:00:01,%RH,102.569
18/06/2024, 07:30:01,%RH,101.045
18/06/2024, 08:00:01,%RH,100.534
18/06/2024, 08:30:01,%RH,100.021
18/06/2024, 09:00:01,%RH,96.913
18/06/2024, 09:30:01,%RH,96.39
18/06/2024, 10:00:01,%RH,93.751
18/06/2024, 10:30:01,%RH,92.685
18/06/2024, 11:00:01,%RH,94.811
18/06/2024, 11:30:01,%RH,93.219
18/06/2024, 12:00:01,%RH,92.149
18/06/2024, 12:30:01,%RH,84.494
18/06/2024, 13:00:01,%RH,85.606
18/06/2024, 13:30:01,%RH,85.05
18/06/2024, 14:00:01,%RH,88.359
18/06/2024, 14:30:01,%RH,84.494
18/06/2024, 15:00:01,%RH,86.159
18/06/2024, 15:30:01,%RH,86.711
18/06/2024, 16:00:01,%RH,85.05
18/06/2024, 16:30:01,%RH,86.711
18/06/2024, 17:00:01,%RH,85.606
18/06/2024, 17:30:01,%RH,86.711
18/06/2024, 18:00:01,%RH,87.262
18/06/2024, 18:30:01,%RH,92.149
18/06/2024, 19:00:01,%RH,88.905
18/06/2024, 19:30:01,%RH,91.612
18/06/2024, 20:00:01,%RH,87.262
18/06/2024, 20:30:01,%RH,89.992
18/06/2024, 21:00:01,%RH,90.534
18/06/2024, 21:30:01,%RH,92.685
18/06/2024, 22:00:01,%RH,94.811
18/06/2024, 22:30:01,%RH,96.39
18/06/2024, 23:00:01,%RH,97.435
18/06/2024, 23:30:01,%RH,96.39
19/06/2024, 00:00:01,%RH,96.39
19/06/2024, 00:30:01,%RH,96.39
19/06/2024, 01:00:01,%RH,95.339
19/06/2024, 01:30:01,%RH,96.39
19/06/2024, 02:00:01,%RH,96.39
19/06/2024, 02:30:01,%RH,96.39
19/06/2024, 03:00:01,%RH,95.865
19/06/2024, 03:30:01,%RH,93.219
19/06/2024, 04:00:01,%RH,94.282
19/06/2024, 04:30:01,%RH,93.219
19/06/2024, 05:00:01,%RH,93.219
19/06/2024, 05:30:01,%RH,96.913
19/06/2024, 06:00:01,%RH,94.282
19/06/2024, 06:30:01,%RH,96.913
19/06/2024, 07:00:01,%RH,95.339
19/06/2024, 07:30:01,%RH,95.339
19/06/2024, 08:00:01,%RH,93.219
19/06/2024, 08:30:01,%RH,88.905
19/06/2024, 09:00:01,%RH,83.376
19/06/2024, 09:30:01,%RH,82.252
19/06/2024, 10:00:01,%RH,82.252
19/06/2024, 10:30:01,%RH,83.376
19/06/2024, 11:00:01,%RH,79.985
19/06/2024, 11:30:01,%RH,86.159
19/06/2024, 12:00:01,%RH,82.814
19/06/2024, 12:30:01,%RH,85.05
19/06/2024, 13:00:01,%RH,85.606
19/06/2024, 13:30:01,%RH,85.05
19/06/2024, 14:00:01,%RH,88.359
19/06/2024, 14:30:01,%RH,86.159
19/06/2024, 15:00:01,%RH,90.534
19/06/2024, 15:30:01,%RH,92.685
19/06/2024, 16:00:01,%RH,90.534
19/06/2024, 16:30:01,%RH,90.534
19/06/2024, 17:00:01,%RH,89.449
19/06/2024, 17:30:01,%RH,89.449
19/06/2024, 18:00:01,%RH,90.534
19/06/2024, 18:30:01,%RH,90.534
19/06/2024, 19:00:01,%RH,91.074
19/06/2024, 19:30:01,%RH,92.685
19/06/2024, 20:00:01,%RH,91.612
19/06/2024, 20:30:01,%RH,95.865
19/06/2024, 21:00:01,%RH,98.474
19/06/2024, 21:30:01,%RH,98.991
19/06/2024, 22:00:01,%RH,100.021
19/06/2024, 22:30:01,%RH,101.045
19/06/2024, 23:00:01,%RH,101.045
19/06/2024, 23:30:01,%RH,101.045
20/06/2024, 00:00:01,%RH,102.569
20/06/2024, 00:30:01,%RH,102.569
20/06/2024, 01:00:01,%RH,103.074
20/06/2024, 01:30:01,%RH,103.577
20/06/2024, 02:00:01,%RH,103.074
20/06/2024, 02:30:01,%RH,103.577
20/06/2024, 03:00:01,%RH,102.062
20/06/2024, 03:30:01,%RH,102.062
20/06/2024, 04:00:01,%RH,102.062
20/06/2024, 04:30:01,%RH,104.079
20/06/2024, 05:00:01,%RH,102.569
20/06/2024, 05:30:01,%RH,101.554
20/06/2024, 06:00:01,%RH,104.079
20/06/2024, 06:30:01,%RH,104.079
20/06/2024, 07:00:01,%RH,100.021
20/06/2024, 07:30:01,%RH,96.913
20/06/2024, 08:00:01,%RH,88.905
20/06/2024, 08:30:01,%RH,86.159
20/06/2024, 09:00:01,%RH,83.376
20/06/2024, 09:30:01,%RH,86.711
20/06/2024, 10:00:01,%RH,87.262
20/06/2024, 10:30:01,%RH,88.359
20/06/2024, 11:00:01,%RH,87.262
20/06/2024, 11:30:01,%RH,86.159
20/06/2024, 12:00:01,%RH,83.935
20/06/2024, 12:30:01,%RH,82.252
20/06/2024, 13:00:01,%RH,85.05
20/06/2024, 13:30:01,%RH,85.05
20/06/2024, 14:00:01,%RH,81.687
20/06/2024, 14:30:01,%RH,83.376
20/06/2024, 15:00:01,%RH,78.843
20/06/2024, 15:30:01,%RH,84.494
20/06/2024, 16:00:01,%RH,81.687
20/06/2024, 16:30:01,%RH,84.494
20/06/2024, 17:00:01,%RH,81.687
